0,Good course. Learned a lot from it. Thanks!
1,This course was great! With good code examples and algorithm applications and also intuition!It's a shame that we couldn't finish planned courses due to busy schedules of instructors as I was really looking forward to the capstone project! 
2,Nice course with all the practical stuffs and nice analysis about each topic but practical part of LDA was restricted for GraphLab users only which is a weak fallback and rest everything is fine.
3,Clustering &amp; Retrieval was a lot tougher compared to courses on regression &amp; classification because the match concepts behind this course were too complex. Nevertheless Emily tried to make this course as intuitive as possible
4,I'm a grad student and I can notice the instructor makes a difference in this course. I fully recommend it.
5,awesome course!
6,"sometimes difficult,but import so many useful knowledge"
7,"The materials presented are excellent with well prepared skeleton codes for all ML models. Comparing this course to its three preceding ones, this course is more challenging both conceptually and computationally. The slight drawback is that, because of the highly technical nature of the last three weeks' materials, there isn't enough guidance about how one may construct the ML algorithms from scratch, that is, learners with less experience in computing will, more or less, have to accept the sample codes with little confidence about how to (re)write such codes in the first place.As a result, I believe that learners with more experience in algorithms and data structure (or learners who proceed to learn more about this area) are likely to gain more from this course for at least two reasons: i) they are more comfortable with the complicated ML algorithms; ii) they can improve the algorithms to speed up the estimation time (some advanced techniques are quite computationally expensive, say over 20 minutes).In general, I have learnt very much from this course and love it."
8,I liked the slides.
9,very good! strongly recommend to people who want to start a career on data science or are interested in it
10,The teachers are really amazing. They do not just explain it as if they read a book. They explain the concepts very well
11,Overall is great. The LDA and Dendrograms lack quality/specificity and depth of the previous topics. So sad the Specialization collapsed at 4 courses instead of 6.
12,This course was my first encounter with Machine Learning! The course gave me a good understanding of the different ML algorithms used in clustering and retrieval of data! 
13,Very nice course. Concepts are covered very clearly.
14,"For me, this was the toughest of the first four courses in this specialization (now that the last two are cancelled, these are the only four courses in the specialization). I'm satisfied with what I gained in the process of completing these four courses. While I've forgotten most of the details, especially those in the earlier courses, I now have a clearer picture of the lay of the land and am reasonably confident that I can use some of these concepts in my work. I also recognize that learning of this kind is a life-long process. My plan next is to go through [https://www.amazon.com/Introduction-Statistical-Learning-Applications-Statistics/dp/1461471370], which, based on my reading of the first chapter, promises to be an excellent way to review and clarify the concepts taught in these courses.What I liked most about the courses in this specializations are: good use of visualization to explain challenging concepts and use of programming exercises to connect abstract discussions with real-world data. What I'd have liked to have more of is exercises that serve as building blocks -- these are short and simple exercises (can be programming or otherwise) that progressively build one's understanding of a concept before tackling real-world data problems. edX does a good job in this respect.My greatest difficulty was in keeping the matrix notations straight. I don't have any linear algebra background beyond some matrix mathematics at the high school level. That hasn't been much of a problem in the earlier three courses, but in this one I really started to feel the need to gain some fluency in linear algebra. [There's an excellent course on the subject at edX: https://courses.edx.org/courses/course-v1%3AUTAustinX%2BUT.5.05x%2B1T2017/ and I'm currently working through it.]Regardless of what various machine learning course mention as prerequisites, I think students would benefit from first developing a strong foundation in programming (in this case Python), calculus, probability, and linear algebra. That doesn't mean one needs to know these subjects at an advanced level (of course, the more the better), but rather that the foundational concepts are absolutely clear. I'm hoping this course at Coursera would be helpful in this regard: https://www.coursera.org/learn/datasciencemathskills/"
15," Really a good course, succinct and concise. "
16,slightly repetitive of classification course with no real use-case value except lots of math..
17,"Great course on machine learning, however, left us in middle of learning, Recommender System + Deep Learning Capstone is missing"
18,Some themes are shown very superficially it would be great to go deeper. Despite of this the course is great! Thanks.
19,The course was very engaging and mathematically intensive. It provides background for all the necessary tools one must know to start clustering. Great Course. Will miss this course format as 5 and 6 are cancelled! 
20,Should use pandas instead of Graph Lab Create
21,Good and deep dive into ML!Absolutely disappointed that the course was delayed and the promise to take it through Course 5 and Capstone Project didn't come through.Not at all happy with that!! 
22,"super one, "
23, Best Course on ML yet on the Web 
24,"A great course as the other 3 courses in the specialization.This course introduces and make us implement Knn,Kd trees,Gaussian Mixture model and LDA model for clustering and retrieval.The data set is the peoples wiki from the Foundations course and theres a assignment on clustering images too.If you have taken the other 3 an do this with ease and if you haven't taken those i think it will be better to take this course after the other 3."
25,Excellent course! Thanks a lot for the effort in compiling this course... I really enjoyed it!
26,"Dependence on GraphLab technology is a big minus. The lectures are poorly balanced in terms of difficulty. Apart from that - interesting course, I'm glad I took it."
27,"If you are considering this specialization I would recommend the Andrew Ng course instead and the main reason is that it isn't depend on proprietary ML framework. Despite the good lectures, the assignments don't help you develop the knowledge required for ML developer role.Taking in consideration the permanent postponing the courses delivery, from summer 2016 to summer 2017, finally the most interesting part of the specialization was cancelled. I'm completely disappointed with the specialization learning expirience."
28, Not happy about course 5 &amp; 6 got cancelled. 
29,No good without the missing course and capstone projects
30,"The material is complex and challenging, but the teaching procedure is carefully thought out in a way that you quickly get it, giving you a great sense of accomplishment."
31, Excellent Course!!! 
32,"Very sophisticated, friendly and practical instructions"
33,Enjoyed the course and learned a lot. Amazing! 
34,awesome clustering course
35, This specialization is delayed for months now - very annoying! Don't give them money! 
36,very helpful
