,course_id,comment,parsed_sent
0,-N44X0IJEeWpogr5ZO8qxQ,Good course. Learned a lot from it. Thanks ,"[[((u'course', u'NN'), u'amod', (u'Good', u'JJ'))], [((u'Learned', u'VB'), u'dobj', (u'lot', u'NN')), ((u'lot', u'NN'), u'det', (u'a', u'DT')), ((u'Learned', u'VB'), u'nmod', (u'it', u'PRP')), ((u'it', u'PRP'), u'case', (u'from', u'IN'))], []]"
1,-N44X0IJEeWpogr5ZO8qxQ,This course was great With good code examples and algorithm applications and also intuition It's a shame that we couldn't finish planned courses due to busy schedules of instructors as I was really looking forward to the capstone project ,"[[((u'intuition', u'NN'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'This', u'DT')), ((u'intuition', u'NN'), u'cop', (u'was', u'VBD')), ((u'intuition', u'NN'), u'amod', (u'great', u'JJ')), ((u'intuition', u'NN'), u'nmod', (u'examples', u'NNS')), ((u'examples', u'NNS'), u'case', (u'With', u'IN')), ((u'examples', u'NNS'), u'amod', (u'good', u'JJ')), ((u'examples', u'NNS'), u'compound', (u'code', u'NN')), ((u'examples', u'NNS'), u'cc', (u'and', u'CC')), ((u'examples', u'NNS'), u'conj', (u'applications', u'NNS')), ((u'applications', u'NNS'), u'compound', (u'algorithm', u'NN')), ((u'examples', u'NNS'), u'cc', (u'and', u'CC')), ((u'examples', u'NNS'), u'conj', (u'also', u'RB')), ((u'intuition', u'NN'), u'acl:relcl', (u'shame', u'NN')), ((u'shame', u'NN'), u'nsubj', (u'It', u'PRP')), ((u'shame', u'NN'), u'cop', (u""'s"", u'VBZ')), ((u'shame', u'NN'), u'det', (u'a', u'DT')), ((u'shame', u'NN'), u'ccomp', (u'finish', u'VB')), ((u'finish', u'VB'), u'mark', (u'that', u'IN')), ((u'finish', u'VB'), u'nsubj', (u'we', u'PRP')), ((u'finish', u'VB'), u'aux', (u'could', u'MD')), ((u'finish', u'VB'), u'neg', (u""n't"", u'RB')), ((u'finish', u'VB'), u'xcomp', (u'looking', u'VBG')), ((u'looking', u'VBG'), u'nsubj', (u'courses', u'NNS')), ((u'courses', u'NNS'), u'amod', (u'planned', u'JJ')), ((u'looking', u'VBG'), u'dep', (u'due', u'JJ')), ((u'due', u'JJ'), u'nmod', (u'schedules', u'NNS')), ((u'schedules', u'NNS'), u'case', (u'to', u'TO')), ((u'schedules', u'NNS'), u'amod', (u'busy', u'JJ')), ((u'schedules', u'NNS'), u'nmod', (u'instructors', u'NNS')), ((u'instructors', u'NNS'), u'case', (u'of', u'IN')), ((u'looking', u'VBG'), u'mark', (u'as', u'IN')), ((u'looking', u'VBG'), u'nsubj', (u'I', u'PRP')), ((u'looking', u'VBG'), u'aux', (u'was', u'VBD')), ((u'looking', u'VBG'), u'advmod', (u'really', u'RB')), ((u'looking', u'VBG'), u'advmod', (u'forward', u'RB')), ((u'looking', u'VBG'), u'nmod', (u'project', u'NN')), ((u'project', u'NN'), u'case', (u'to', u'TO')), ((u'project', u'NN'), u'det', (u'the', u'DT')), ((u'project', u'NN'), u'amod', (u'capstone', u'JJ'))]]"
2,-N44X0IJEeWpogr5ZO8qxQ,Nice course with all the practical stuffs and nice analysis about each topic but practical part of LDA was restricted for GraphLab users only which is a weak fallback and rest everything is fine. ,"[[((u'restricted', u'VBN'), u'nsubjpass', (u'course', u'NN')), ((u'course', u'NN'), u'amod', (u'Nice', u'JJ')), ((u'course', u'NN'), u'nmod', (u'part', u'NN')), ((u'part', u'NN'), u'case', (u'with', u'IN')), ((u'part', u'NN'), u'det', (u'all', u'DT')), ((u'part', u'NN'), u'compound', (u'analysis', u'NN')), ((u'analysis', u'NN'), u'det', (u'the', u'DT')), ((u'analysis', u'NN'), u'amod', (u'practical', u'JJ')), ((u'analysis', u'NN'), u'amod', (u'stuffs', u'JJ')), ((u'stuffs', u'JJ'), u'cc', (u'and', u'CC')), ((u'stuffs', u'JJ'), u'conj', (u'nice', u'JJ')), ((u'analysis', u'NN'), u'nmod', (u'topic', u'NN')), ((u'topic', u'NN'), u'case', (u'about', u'IN')), ((u'topic', u'NN'), u'det', (u'each', u'DT')), ((u'analysis', u'NN'), u'cc', (u'but', u'CC')), ((u'analysis', u'NN'), u'conj', (u'practical', u'JJ')), ((u'part', u'NN'), u'nmod', (u'LDA', u'NNP')), ((u'LDA', u'NNP'), u'case', (u'of', u'IN')), ((u'restricted', u'VBN'), u'auxpass', (u'was', u'VBD')), ((u'restricted', u'VBN'), u'nmod', (u'users', u'NNS')), ((u'users', u'NNS'), u'case', (u'for', u'IN')), ((u'users', u'NNS'), u'compound', (u'GraphLab', u'NNP')), ((u'users', u'NNS'), u'acl:relcl', (u'fallback', u'NN')), ((u'fallback', u'NN'), u'advmod', (u'only', u'RB')), ((u'fallback', u'NN'), u'nsubj', (u'which', u'WDT')), ((u'fallback', u'NN'), u'cop', (u'is', u'VBZ')), ((u'fallback', u'NN'), u'det', (u'a', u'DT')), ((u'fallback', u'NN'), u'amod', (u'weak', u'JJ')), ((u'fallback', u'NN'), u'cc', (u'and', u'CC')), ((u'fallback', u'NN'), u'conj', (u'everything', u'NN')), ((u'everything', u'NN'), u'compound', (u'rest', u'NN')), ((u'fallback', u'NN'), u'acl:relcl', (u'fine', u'JJ')), ((u'fine', u'JJ'), u'cop', (u'is', u'VBZ'))]]"
3,-N44X0IJEeWpogr5ZO8qxQ,Clustering &amp; Retrieval was a lot tougher compared to courses on regression &amp; classification because the match concepts behind this course were too complex. Nevertheless Emily tried to make this course as intuitive as possible,"[[((u'tougher', u'JJR'), u'nsubj', (u'Clustering', u'NNP')), ((u'Clustering', u'NNP'), u'cc', (u'&', u'CC')), ((u'Clustering', u'NNP'), u'conj', (u'Retrieval', u'NNP')), ((u'tougher', u'JJR'), u'cop', (u'was', u'VBD')), ((u'tougher', u'JJR'), u'nmod:npmod', (u'lot', u'RB')), ((u'lot', u'RB'), u'det', (u'a', u'DT')), ((u'tougher', u'JJR'), u'advcl', (u'courses', u'NNS')), ((u'courses', u'NNS'), u'case', (u'compared', u'VBN')), ((u'courses', u'NNS'), u'case', (u'to', u'TO')), ((u'courses', u'NNS'), u'nmod', (u'regression', u'NNP')), ((u'regression', u'NNP'), u'case', (u'on', u'IN')), ((u'regression', u'NNP'), u'cc', (u'&', u'CC')), ((u'regression', u'NNP'), u'conj', (u'classification', u'NNP')), ((u'tougher', u'JJR'), u'advcl', (u'complex', u'JJ')), ((u'complex', u'JJ'), u'mark', (u'because', u'IN')), ((u'complex', u'JJ'), u'nsubj', (u'concepts', u'NNS')), ((u'concepts', u'NNS'), u'det', (u'the', u'DT')), ((u'concepts', u'NNS'), u'compound', (u'match', u'NN')), ((u'concepts', u'NNS'), u'nmod', (u'course', u'NN')), ((u'course', u'NN'), u'case', (u'behind', u'IN')), ((u'course', u'NN'), u'det', (u'this', u'DT')), ((u'complex', u'JJ'), u'cop', (u'were', u'VBD')), ((u'complex', u'JJ'), u'advmod', (u'too', u'RB'))], [((u'Emily', u'NNP'), u'dep', (u'Nevertheless', u'RB')), ((u'Emily', u'NNP'), u'acl', (u'tried', u'VBN')), ((u'tried', u'VBN'), u'xcomp', (u'make', u'VB')), ((u'make', u'VB'), u'mark', (u'to', u'TO')), ((u'make', u'VB'), u'xcomp', (u'intuitive', u'JJ')), ((u'intuitive', u'JJ'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'this', u'DT')), ((u'intuitive', u'JJ'), u'advmod', (u'as', u'RB')), ((u'intuitive', u'JJ'), u'advcl', (u'possible', u'JJ')), ((u'possible', u'JJ'), u'case', (u'as', u'IN'))]]"
4,-N44X0IJEeWpogr5ZO8qxQ,I'm a grad student and I can notice the instructor makes a difference in this course. I fully recommend it. ,"[[((u'student', u'NN'), u'nsubj', (u'I', u'PRP')), ((u'student', u'NN'), u'cop', (u""'m"", u'VBP')), ((u'student', u'NN'), u'det', (u'a', u'DT')), ((u'student', u'NN'), u'amod', (u'grad', u'JJ')), ((u'student', u'NN'), u'cc', (u'and', u'CC')), ((u'student', u'NN'), u'conj', (u'notice', u'VB')), ((u'notice', u'VB'), u'nsubj', (u'I', u'PRP')), ((u'notice', u'VB'), u'aux', (u'can', u'MD')), ((u'notice', u'VB'), u'ccomp', (u'makes', u'VBZ')), ((u'makes', u'VBZ'), u'nsubj', (u'instructor', u'NN')), ((u'instructor', u'NN'), u'det', (u'the', u'DT')), ((u'makes', u'VBZ'), u'dobj', (u'difference', u'NN')), ((u'difference', u'NN'), u'det', (u'a', u'DT')), ((u'difference', u'NN'), u'nmod', (u'course', u'NN')), ((u'course', u'NN'), u'case', (u'in', u'IN')), ((u'course', u'NN'), u'det', (u'this', u'DT'))], [((u'recommend', u'VBP'), u'nsubj', (u'I', u'PRP')), ((u'recommend', u'VBP'), u'advmod', (u'fully', u'RB')), ((u'recommend', u'VBP'), u'dobj', (u'it', u'PRP'))]]"
5,-N44X0IJEeWpogr5ZO8qxQ,awesome course ,"[[((u'course', u'NN'), u'amod', (u'awesome', u'JJ'))]]"
6,-N44X0IJEeWpogr5ZO8qxQ,"sometimes difficult,but import so many useful knowledge","[[((u'knowledge', u'NN'), u'amod', (u'difficult', u'JJ')), ((u'difficult', u'JJ'), u'advmod', (u'sometimes', u'RB')), ((u'difficult', u'JJ'), u'cc', (u'but', u'CC')), ((u'difficult', u'JJ'), u'conj', (u'many', u'JJ')), ((u'many', u'JJ'), u'advmod', (u'import', u'RB')), ((u'many', u'JJ'), u'advmod', (u'so', u'RB')), ((u'knowledge', u'NN'), u'amod', (u'useful', u'JJ'))]]"
7,-N44X0IJEeWpogr5ZO8qxQ,very good strongly recommend to people who want to start a career on data science or are interested in it,"[[((u'good', u'JJ'), u'advmod', (u'very', u'RB')), ((u'good', u'JJ'), u'dep', (u'recommend', u'VB')), ((u'recommend', u'VB'), u'advmod', (u'strongly', u'RB')), ((u'recommend', u'VB'), u'nmod', (u'people', u'NNS')), ((u'people', u'NNS'), u'case', (u'to', u'TO')), ((u'recommend', u'VB'), u'ccomp', (u'want', u'VBP')), ((u'want', u'VBP'), u'nsubj', (u'who', u'WP')), ((u'want', u'VBP'), u'xcomp', (u'start', u'VB')), ((u'start', u'VB'), u'mark', (u'to', u'TO')), ((u'start', u'VB'), u'dobj', (u'career', u'NN')), ((u'career', u'NN'), u'det', (u'a', u'DT')), ((u'start', u'VB'), u'nmod', (u'science', u'NN')), ((u'science', u'NN'), u'case', (u'on', u'IN')), ((u'science', u'NN'), u'compound', (u'data', u'NN')), ((u'want', u'VBP'), u'cc', (u'or', u'CC')), ((u'want', u'VBP'), u'conj', (u'interested', u'JJ')), ((u'interested', u'JJ'), u'cop', (u'are', u'VBP')), ((u'interested', u'JJ'), u'nmod', (u'it', u'PRP')), ((u'it', u'PRP'), u'case', (u'in', u'IN'))]]"
8,-N44X0IJEeWpogr5ZO8qxQ,The teachers are really amazing. They do not just explain it as if they read a book. They explain the concepts very well,"[[((u'amazing', u'JJ'), u'nsubj', (u'teachers', u'NNS')), ((u'teachers', u'NNS'), u'det', (u'The', u'DT')), ((u'amazing', u'JJ'), u'cop', (u'are', u'VBP')), ((u'amazing', u'JJ'), u'advmod', (u'really', u'RB'))], [((u'explain', u'VB'), u'nsubj', (u'They', u'PRP')), ((u'explain', u'VB'), u'aux', (u'do', u'VBP')), ((u'explain', u'VB'), u'neg', (u'not', u'RB')), ((u'explain', u'VB'), u'advmod', (u'just', u'RB')), ((u'explain', u'VB'), u'dobj', (u'it', u'PRP')), ((u'explain', u'VB'), u'advcl', (u'read', u'VBP')), ((u'read', u'VBP'), u'mark', (u'as', u'RB')), ((u'as', u'RB'), u'mwe', (u'if', u'IN')), ((u'read', u'VBP'), u'nsubj', (u'they', u'PRP')), ((u'read', u'VBP'), u'dobj', (u'book', u'NN')), ((u'book', u'NN'), u'det', (u'a', u'DT'))], [((u'explain', u'VBP'), u'nsubj', (u'They', u'PRP')), ((u'explain', u'VBP'), u'dobj', (u'concepts', u'NNS')), ((u'concepts', u'NNS'), u'det', (u'the', u'DT')), ((u'explain', u'VBP'), u'advmod', (u'well', u'RB')), ((u'well', u'RB'), u'advmod', (u'very', u'RB'))]]"
9,-N44X0IJEeWpogr5ZO8qxQ,Overall is great. The LDA and Dendrograms lack quality or specificity and depth of the previous topics. So sad the Specialization collapsed at 4 courses instead of 6. ,"[[((u'great', u'JJ'), u'nsubj', (u'Overall', u'JJ')), ((u'great', u'JJ'), u'cop', (u'is', u'VBZ'))], [((u'lack', u'VBP'), u'nsubj', (u'LDA', u'NNP')), ((u'LDA', u'NNP'), u'det', (u'The', u'DT')), ((u'LDA', u'NNP'), u'cc', (u'and', u'CC')), ((u'LDA', u'NNP'), u'conj', (u'Dendrograms', u'NNP')), ((u'lack', u'VBP'), u'dobj', (u'quality', u'NN')), ((u'quality', u'NN'), u'cc', (u'or', u'CC')), ((u'quality', u'NN'), u'conj', (u'specificity', u'NN')), ((u'quality', u'NN'), u'cc', (u'and', u'CC')), ((u'quality', u'NN'), u'conj', (u'depth', u'NN')), ((u'quality', u'NN'), u'nmod', (u'topics', u'NNS')), ((u'topics', u'NNS'), u'case', (u'of', u'IN')), ((u'topics', u'NNS'), u'det', (u'the', u'DT')), ((u'topics', u'NNS'), u'amod', (u'previous', u'JJ'))], [((u'collapsed', u'VBD'), u'dep', (u'So', u'IN')), ((u'collapsed', u'VBD'), u'nsubj', (u'Specialization', u'NN')), ((u'Specialization', u'NN'), u'amod', (u'sad', u'JJ')), ((u'Specialization', u'NN'), u'det', (u'the', u'DT')), ((u'collapsed', u'VBD'), u'nmod', (u'courses', u'NNS')), ((u'courses', u'NNS'), u'case', (u'at', u'IN')), ((u'courses', u'NNS'), u'nummod', (u'4', u'CD')), ((u'courses', u'NNS'), u'nmod', (u'6', u'CD')), ((u'6', u'CD'), u'case', (u'instead', u'RB')), ((u'instead', u'RB'), u'mwe', (u'of', u'IN'))]]"
10,-N44X0IJEeWpogr5ZO8qxQ,This course was my first encounter with Machine Learning The course gave me a good understanding of the different ML algorithms used in clustering and retrieval of data ,"[[((u'encounter', u'NN'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'This', u'DT')), ((u'encounter', u'NN'), u'cop', (u'was', u'VBD')), ((u'encounter', u'NN'), u'nmod:poss', (u'my', u'PRP$')), ((u'encounter', u'NN'), u'amod', (u'first', u'JJ')), ((u'encounter', u'NN'), u'nmod', (u'Learning', u'NNP')), ((u'Learning', u'NNP'), u'case', (u'with', u'IN')), ((u'Learning', u'NNP'), u'compound', (u'Machine', u'NNP')), ((u'Learning', u'NNP'), u'acl:relcl', (u'gave', u'VBD')), ((u'gave', u'VBD'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'The', u'DT')), ((u'gave', u'VBD'), u'iobj', (u'me', u'PRP')), ((u'gave', u'VBD'), u'dobj', (u'understanding', u'NN')), ((u'understanding', u'NN'), u'det', (u'a', u'DT')), ((u'understanding', u'NN'), u'amod', (u'good', u'JJ')), ((u'understanding', u'NN'), u'nmod', (u'algorithms', u'NNS')), ((u'algorithms', u'NNS'), u'case', (u'of', u'IN')), ((u'algorithms', u'NNS'), u'det', (u'the', u'DT')), ((u'algorithms', u'NNS'), u'amod', (u'different', u'JJ')), ((u'algorithms', u'NNS'), u'compound', (u'ML', u'NNP')), ((u'algorithms', u'NNS'), u'acl', (u'used', u'VBN')), ((u'used', u'VBN'), u'nmod', (u'clustering', u'VBG')), ((u'clustering', u'VBG'), u'case', (u'in', u'IN')), ((u'clustering', u'VBG'), u'cc', (u'and', u'CC')), ((u'clustering', u'VBG'), u'conj', (u'retrieval', u'NN')), ((u'clustering', u'VBG'), u'nmod', (u'data', u'NNS')), ((u'data', u'NNS'), u'case', (u'of', u'IN'))]]"
11,-N44X0IJEeWpogr5ZO8qxQ,Very nice course. Concepts are covered very clearly. ,"[[((u'course', u'NN'), u'dep', (u'Very', u'RB')), ((u'course', u'NN'), u'amod', (u'nice', u'JJ'))], [((u'covered', u'VBN'), u'nsubjpass', (u'Concepts', u'NNS')), ((u'covered', u'VBN'), u'auxpass', (u'are', u'VBP')), ((u'covered', u'VBN'), u'advmod', (u'clearly', u'RB')), ((u'clearly', u'RB'), u'advmod', (u'very', u'RB'))]]"
12,-N44X0IJEeWpogr5ZO8qxQ,E,[[]]
13,-N44X0IJEeWpogr5ZO8qxQ," Really a good course, succinct and concise. ","[[((u'Really', u'VB'), u'dobj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'a', u'DT')), ((u'course', u'NN'), u'amod', (u'good', u'JJ')), ((u'course', u'NN'), u'conj', (u'succinct', u'NN')), ((u'course', u'NN'), u'cc', (u'and', u'CC')), ((u'course', u'NN'), u'conj', (u'concise', u'NN'))]]"
14,-N44X0IJEeWpogr5ZO8qxQ,slightly repetitive of classification course with no real use-case value except lots of math. ,"[[((u'repetitive', u'JJ'), u'advmod', (u'slightly', u'RB')), ((u'repetitive', u'JJ'), u'nmod', (u'course', u'NN')), ((u'course', u'NN'), u'case', (u'of', u'IN')), ((u'course', u'NN'), u'compound', (u'classification', u'NN')), ((u'course', u'NN'), u'nmod', (u'value', u'NN')), ((u'value', u'NN'), u'case', (u'with', u'IN')), ((u'value', u'NN'), u'neg', (u'no', u'DT')), ((u'value', u'NN'), u'amod', (u'real', u'JJ')), ((u'value', u'NN'), u'amod', (u'use-case', u'JJ')), ((u'value', u'NN'), u'nmod', (u'lots', u'NNS')), ((u'lots', u'NNS'), u'case', (u'except', u'IN')), ((u'lots', u'NNS'), u'nmod', (u'math', u'NN')), ((u'math', u'NN'), u'case', (u'of', u'IN'))]]"
15,-N44X0IJEeWpogr5ZO8qxQ,"Great course on machine learning, however, left us in middle of learning, Recommender System + Deep Learning Capstone is missing","[[((u'left', u'VBD'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'amod', (u'Great', u'JJ')), ((u'course', u'NN'), u'nmod', (u'machine', u'NN')), ((u'machine', u'NN'), u'case', (u'on', u'IN')), ((u'machine', u'NN'), u'acl', (u'learning', u'VBG')), ((u'learning', u'VBG'), u'advmod', (u'however', u'RB')), ((u'left', u'VBD'), u'dobj', (u'us', u'PRP')), ((u'left', u'VBD'), u'nmod', (u'middle', u'NN')), ((u'middle', u'NN'), u'case', (u'in', u'IN')), ((u'middle', u'NN'), u'nmod', (u'learning', u'NN')), ((u'learning', u'NN'), u'case', (u'of', u'IN')), ((u'left', u'VBD'), u'dep', (u'missing', u'VBG')), ((u'missing', u'VBG'), u'nsubj', (u'Capstone', u'NNP')), ((u'Capstone', u'NNP'), u'compound', (u'Recommender', u'NNP')), ((u'Capstone', u'NNP'), u'compound', (u'System', u'NNP')), ((u'Capstone', u'NNP'), u'compound', (u'+', u'NNP')), ((u'Capstone', u'NNP'), u'compound', (u'Deep', u'NNP')), ((u'Capstone', u'NNP'), u'compound', (u'Learning', u'NNP')), ((u'missing', u'VBG'), u'cop', (u'is', u'VBZ'))]]"
16,-N44X0IJEeWpogr5ZO8qxQ,Some themes are shown very superficially it would be great to go deeper. Despite of this the course is great Thanks. ,"[[((u'shown', u'VBN'), u'nsubjpass', (u'themes', u'NNS')), ((u'themes', u'NNS'), u'det', (u'Some', u'DT')), ((u'shown', u'VBN'), u'auxpass', (u'are', u'VBP')), ((u'shown', u'VBN'), u'xcomp', (u'superficially', u'JJ')), ((u'superficially', u'JJ'), u'advmod', (u'very', u'RB')), ((u'superficially', u'JJ'), u'ccomp', (u'great', u'JJ')), ((u'great', u'JJ'), u'nsubj', (u'it', u'PRP')), ((u'great', u'JJ'), u'aux', (u'would', u'MD')), ((u'great', u'JJ'), u'cop', (u'be', u'VB')), ((u'great', u'JJ'), u'xcomp', (u'go', u'VB')), ((u'go', u'VB'), u'mark', (u'to', u'TO')), ((u'go', u'VB'), u'advmod', (u'deeper', u'RBR'))], [((u'Thanks', u'NNS'), u'nmod', (u'this', u'DT')), ((u'this', u'DT'), u'case', (u'Despite', u'IN')), ((u'this', u'DT'), u'case', (u'of', u'IN')), ((u'Thanks', u'NNS'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'the', u'DT')), ((u'Thanks', u'NNS'), u'cop', (u'is', u'VBZ')), ((u'Thanks', u'NNS'), u'amod', (u'great', u'JJ'))]]"
17,-N44X0IJEeWpogr5ZO8qxQ,The course was very engaging and mathematically intensive. It provides background for all the necessary tools one must know to start clustering. Great Course. Will miss this course format as 5 and 6 are cancelled ,"[[((u'engaging', u'JJ'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'The', u'DT')), ((u'engaging', u'JJ'), u'cop', (u'was', u'VBD')), ((u'engaging', u'JJ'), u'advmod', (u'very', u'RB')), ((u'engaging', u'JJ'), u'cc', (u'and', u'CC')), ((u'engaging', u'JJ'), u'conj', (u'intensive', u'JJ')), ((u'intensive', u'JJ'), u'advmod', (u'mathematically', u'RB'))], [((u'provides', u'VBZ'), u'nsubj', (u'It', u'PRP')), ((u'provides', u'VBZ'), u'dobj', (u'background', u'NN')), ((u'background', u'NN'), u'nmod', (u'tools', u'NNS')), ((u'tools', u'NNS'), u'case', (u'for', u'IN')), ((u'tools', u'NNS'), u'det:predet', (u'all', u'PDT')), ((u'tools', u'NNS'), u'det', (u'the', u'DT')), ((u'tools', u'NNS'), u'amod', (u'necessary', u'JJ')), ((u'tools', u'NNS'), u'acl:relcl', (u'know', u'VB')), ((u'know', u'VB'), u'nsubj', (u'one', u'PRP')), ((u'know', u'VB'), u'aux', (u'must', u'MD')), ((u'know', u'VB'), u'xcomp', (u'start', u'VB')), ((u'start', u'VB'), u'mark', (u'to', u'TO')), ((u'start', u'VB'), u'dobj', (u'clustering', u'NN'))], [((u'Course', u'NNP'), u'compound', (u'Great', u'NNP'))], [((u'miss', u'VBP'), u'nsubj', (u'Will', u'NNP')), ((u'miss', u'VBP'), u'ccomp', (u'cancelled', u'VBN')), ((u'cancelled', u'VBN'), u'nsubjpass', (u'format', u'NN')), ((u'format', u'NN'), u'det', (u'this', u'DT')), ((u'format', u'NN'), u'compound', (u'course', u'NN')), ((u'format', u'NN'), u'nmod', (u'5', u'CD')), ((u'5', u'CD'), u'case', (u'as', u'IN')), ((u'5', u'CD'), u'cc', (u'and', u'CC')), ((u'5', u'CD'), u'conj', (u'6', u'CD')), ((u'cancelled', u'VBN'), u'auxpass', (u'are', u'VBP'))]]"
18,-N44X0IJEeWpogr5ZO8qxQ,Should use pandas instead of Graph Lab Create,"[[((u'use', u'VB'), u'aux', (u'Should', u'MD')), ((u'use', u'VB'), u'dobj', (u'pandas', u'NNS')), ((u'pandas', u'NNS'), u'nmod', (u'Graph', u'NNP')), ((u'Graph', u'NNP'), u'case', (u'instead', u'RB')), ((u'instead', u'RB'), u'mwe', (u'of', u'IN')), ((u'use', u'VB'), u'nsubj', (u'Create', u'NNP')), ((u'Create', u'NNP'), u'compound', (u'Lab', u'NNP'))]]"
