,course_id,comment,parsed_sent
5754,-gcU5xn4EeWwrBKfKrqlSQ,Should use ionic 2 ,"[[((u'use', u'VB'), u'aux', (u'Should', u'MD')), ((u'use', u'VB'), u'xcomp', (u'ionic', u'JJ')), ((u'use', u'VB'), u'nsubj', (u'2', u'CD'))]]"
5755,-gcU5xn4EeWwrBKfKrqlSQ, Excelente ,[[]]
5756,-gcU5xn4EeWwrBKfKrqlSQ,"It's a good introduction to mobile app development; however, the class is unmaintained. Since 2014 when the videos and lectures were written, the frameworks have advanced and become incompatible with the lessons. Links in the lessons to documentation do not give useful information because they're for the wrong version of the framework. Still worth taking, but as a paid class I have higher expectations. ","[[((u'introduction', u'NN'), u'nsubj', (u'It', u'PRP')), ((u'introduction', u'NN'), u'cop', (u""'s"", u'VBZ')), ((u'introduction', u'NN'), u'det', (u'a', u'DT')), ((u'introduction', u'NN'), u'amod', (u'good', u'JJ')), ((u'introduction', u'NN'), u'nmod', (u'development', u'NN')), ((u'development', u'NN'), u'case', (u'to', u'TO')), ((u'development', u'NN'), u'amod', (u'mobile', u'JJ')), ((u'development', u'NN'), u'compound', (u'app', u'NN')), ((u'introduction', u'NN'), u'parataxis', (u'unmaintained', u'VBN')), ((u'unmaintained', u'VBN'), u'advmod', (u'however', u'RB')), ((u'unmaintained', u'VBN'), u'nsubjpass', (u'class', u'NN')), ((u'class', u'NN'), u'det', (u'the', u'DT')), ((u'unmaintained', u'VBN'), u'auxpass', (u'is', u'VBZ'))], [((u'advanced', u'VBN'), u'nmod', (u'2014', u'CD')), ((u'2014', u'CD'), u'case', (u'Since', u'IN')), ((u'2014', u'CD'), u'acl:relcl', (u'written', u'VBN')), ((u'written', u'VBN'), u'advmod', (u'when', u'WRB')), ((u'written', u'VBN'), u'nsubjpass', (u'videos', u'NNS')), ((u'videos', u'NNS'), u'det', (u'the', u'DT')), ((u'videos', u'NNS'), u'cc', (u'and', u'CC')), ((u'videos', u'NNS'), u'conj', (u'lectures', u'NNS')), ((u'written', u'VBN'), u'auxpass', (u'were', u'VBD')), ((u'advanced', u'VBN'), u'nsubj', (u'frameworks', u'NNS')), ((u'frameworks', u'NNS'), u'det', (u'the', u'DT')), ((u'advanced', u'VBN'), u'aux', (u'have', u'VBP')), ((u'advanced', u'VBN'), u'cc', (u'and', u'CC')), ((u'advanced', u'VBN'), u'conj', (u'become', u'VBN')), ((u'become', u'VBN'), u'xcomp', (u'incompatible', u'JJ')), ((u'become', u'VBN'), u'nmod', (u'lessons', u'NNS')), ((u'lessons', u'NNS'), u'case', (u'with', u'IN')), ((u'lessons', u'NNS'), u'det', (u'the', u'DT'))], [((u'give', u'VB'), u'nsubj', (u'Links', u'NNP')), ((u'Links', u'NNP'), u'nmod', (u'lessons', u'NNS')), ((u'lessons', u'NNS'), u'case', (u'in', u'IN')), ((u'lessons', u'NNS'), u'det', (u'the', u'DT')), ((u'lessons', u'NNS'), u'nmod', (u'documentation', u'NN')), ((u'documentation', u'NN'), u'case', (u'to', u'TO')), ((u'give', u'VB'), u'aux', (u'do', u'VBP')), ((u'give', u'VB'), u'neg', (u'not', u'RB')), ((u'give', u'VB'), u'dobj', (u'information', u'NN')), ((u'information', u'NN'), u'amod', (u'useful', u'JJ')), ((u'give', u'VB'), u'advcl', (u'version', u'NN')), ((u'version', u'NN'), u'mark', (u'because', u'IN')), ((u'version', u'NN'), u'nsubj', (u'they', u'PRP')), ((u'version', u'NN'), u'cop', (u""'re"", u'VBP')), ((u'version', u'NN'), u'case', (u'for', u'IN')), ((u'version', u'NN'), u'det', (u'the', u'DT')), ((u'version', u'NN'), u'amod', (u'wrong', u'JJ')), ((u'version', u'NN'), u'nmod', (u'framework', u'NN')), ((u'framework', u'NN'), u'case', (u'of', u'IN')), ((u'framework', u'NN'), u'det', (u'the', u'DT'))], [((u'taking', u'VBG'), u'nsubj', (u'worth', u'NN')), ((u'worth', u'NN'), u'advmod', (u'Still', u'RB')), ((u'taking', u'VBG'), u'cc', (u'but', u'CC')), ((u'taking', u'VBG'), u'conj', (u'have', u'VBP')), ((u'have', u'VBP'), u'nmod', (u'class', u'NN')), ((u'class', u'NN'), u'case', (u'as', u'IN')), ((u'class', u'NN'), u'det', (u'a', u'DT')), ((u'class', u'NN'), u'amod', (u'paid', u'VBN')), ((u'have', u'VBP'), u'nsubj', (u'I', u'PRP')), ((u'have', u'VBP'), u'dobj', (u'expectations', u'NNS')), ((u'expectations', u'NNS'), u'amod', (u'higher', u'JJR'))]]"
5757,-gcU5xn4EeWwrBKfKrqlSQ,"Wow Is developing an app THIS simple if I know Angular This course and the way it proceeds in each step gave me a lot of confidence that developing an android app is simple. I haven't started anything yet (I did not do the exercises), but the fact that I know. It is easy is a good enough take home from this course. ","[[((u'developing', u'VBG'), u'nsubj', (u'Wow', u'NNP')), ((u'developing', u'VBG'), u'aux', (u'Is', u'VBZ')), ((u'developing', u'VBG'), u'xcomp', (u'know', u'VBP')), ((u'know', u'VBP'), u'nsubj', (u'THIS', u'NNS')), ((u'THIS', u'NNS'), u'det', (u'an', u'DT')), ((u'THIS', u'NNS'), u'compound', (u'app', u'NN')), ((u'know', u'VBP'), u'dep', (u'simple', u'JJ')), ((u'know', u'VBP'), u'mark', (u'if', u'IN')), ((u'know', u'VBP'), u'nsubj', (u'I', u'PRP')), ((u'know', u'VBP'), u'dobj', (u'Angular', u'NNP')), ((u'Angular', u'NNP'), u'acl:relcl', (u'gave', u'VBD')), ((u'gave', u'VBD'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'This', u'DT')), ((u'course', u'NN'), u'cc', (u'and', u'CC')), ((u'course', u'NN'), u'conj', (u'way', u'NN')), ((u'way', u'NN'), u'det', (u'the', u'DT')), ((u'way', u'NN'), u'acl:relcl', (u'proceeds', u'VBZ')), ((u'proceeds', u'VBZ'), u'nsubj', (u'it', u'PRP')), ((u'proceeds', u'VBZ'), u'nmod', (u'step', u'NN')), ((u'step', u'NN'), u'case', (u'in', u'IN')), ((u'step', u'NN'), u'det', (u'each', u'DT')), ((u'gave', u'VBD'), u'iobj', (u'me', u'PRP')), ((u'gave', u'VBD'), u'dobj', (u'lot', u'NN')), ((u'lot', u'NN'), u'det', (u'a', u'DT')), ((u'lot', u'NN'), u'nmod', (u'confidence', u'NN')), ((u'confidence', u'NN'), u'case', (u'of', u'IN')), ((u'know', u'VBP'), u'ccomp', (u'simple', u'JJ')), ((u'simple', u'JJ'), u'mark', (u'that', u'IN')), ((u'simple', u'JJ'), u'csubj', (u'developing', u'VBG')), ((u'developing', u'VBG'), u'dobj', (u'app', u'NN')), ((u'app', u'NN'), u'det', (u'an', u'DT')), ((u'app', u'NN'), u'amod', (u'android', u'JJ')), ((u'simple', u'JJ'), u'cop', (u'is', u'VBZ'))], [((u'started', u'VBN'), u'nsubj', (u'I', u'PRP')), ((u'started', u'VBN'), u'aux', (u'have', u'VBP')), ((u'started', u'VBN'), u'neg', (u""n't"", u'RB')), ((u'started', u'VBN'), u'dobj', (u'anything', u'NN')), ((u'started', u'VBN'), u'advmod', (u'yet', u'RB')), ((u'started', u'VBN'), u'parataxis', (u'do', u'VB')), ((u'do', u'VB'), u'nsubj', (u'I', u'PRP')), ((u'do', u'VB'), u'aux', (u'did', u'VBD')), ((u'do', u'VB'), u'neg', (u'not', u'RB')), ((u'do', u'VB'), u'dobj', (u'exercises', u'NNS')), ((u'exercises', u'NNS'), u'det', (u'the', u'DT')), ((u'started', u'VBN'), u'cc', (u'but', u'CC')), ((u'started', u'VBN'), u'conj', (u'fact', u'NN')), ((u'fact', u'NN'), u'det', (u'the', u'DT')), ((u'fact', u'NN'), u'ccomp', (u'know', u'VBP')), ((u'know', u'VBP'), u'mark', (u'that', u'IN')), ((u'know', u'VBP'), u'nsubj', (u'I', u'PRP'))], [((u'easy', u'JJ'), u'nsubj', (u'It', u'PRP')), ((u'easy', u'JJ'), u'cop', (u'is', u'VBZ')), ((u'easy', u'JJ'), u'ccomp', (u'home', u'NN')), ((u'home', u'NN'), u'cop', (u'is', u'VBZ')), ((u'home', u'NN'), u'det', (u'a', u'DT')), ((u'home', u'NN'), u'amod', (u'good', u'JJ')), ((u'home', u'NN'), u'amod', (u'enough', u'JJ')), ((u'home', u'NN'), u'compound', (u'take', u'NN')), ((u'home', u'NN'), u'nmod', (u'course', u'NN')), ((u'course', u'NN'), u'case', (u'from', u'IN')), ((u'course', u'NN'), u'det', (u'this', u'DT'))]]"
5758,-gcU5xn4EeWwrBKfKrqlSQ,Enjoyed this course less than the other courses in the series. Needs to be refreshed and updated. ,"[[((u'Enjoyed', u'VBN'), u'nmod', (u'courses', u'NNS')), ((u'courses', u'NNS'), u'advmod', (u'less', u'RBR')), ((u'less', u'RBR'), u'nmod:npmod', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'this', u'DT')), ((u'courses', u'NNS'), u'case', (u'than', u'IN')), ((u'courses', u'NNS'), u'det', (u'the', u'DT')), ((u'courses', u'NNS'), u'amod', (u'other', u'JJ')), ((u'courses', u'NNS'), u'nmod', (u'series', u'NN')), ((u'series', u'NN'), u'case', (u'in', u'IN')), ((u'series', u'NN'), u'det', (u'the', u'DT'))], [((u'refreshed', u'JJ'), u'nsubj', (u'Needs', u'NNS')), ((u'refreshed', u'JJ'), u'mark', (u'to', u'TO')), ((u'refreshed', u'JJ'), u'cop', (u'be', u'VB')), ((u'refreshed', u'JJ'), u'cc', (u'and', u'CC')), ((u'refreshed', u'JJ'), u'conj', (u'updated', u'JJ'))]]"
5759,-gcU5xn4EeWwrBKfKrqlSQ,"Would be good to be updated with Ionic 2 and Angular 2,","[[((u'good', u'JJ'), u'aux', (u'Would', u'MD')), ((u'good', u'JJ'), u'cop', (u'be', u'VB')), ((u'good', u'JJ'), u'xcomp', (u'updated', u'VBN')), ((u'updated', u'VBN'), u'mark', (u'to', u'TO')), ((u'updated', u'VBN'), u'auxpass', (u'be', u'VB')), ((u'updated', u'VBN'), u'nmod', (u'Ionic', u'NNP')), ((u'Ionic', u'NNP'), u'case', (u'with', u'IN')), ((u'Ionic', u'NNP'), u'nummod', (u'2', u'CD')), ((u'Ionic', u'NNP'), u'cc', (u'and', u'CC')), ((u'Ionic', u'NNP'), u'conj', (u'Angular', u'NNP')), ((u'Angular', u'NNP'), u'nummod', (u'2', u'CD'))]]"
5760,-gcU5xn4EeWwrBKfKrqlSQ,"Great lessons, learned a lot, love it, appreciate ","[[((u'love', u'VBP'), u'nsubj', (u'lessons', u'NNS')), ((u'lessons', u'NNS'), u'amod', (u'Great', u'JJ')), ((u'lessons', u'NNS'), u'acl', (u'learned', u'VBN')), ((u'learned', u'VBN'), u'dobj', (u'lot', u'NN')), ((u'lot', u'NN'), u'det', (u'a', u'DT')), ((u'love', u'VBP'), u'ccomp', (u'appreciate', u'VB')), ((u'appreciate', u'VB'), u'nsubj', (u'it', u'PRP'))]]"
5761,-gcU5xn4EeWwrBKfKrqlSQ,Excellent course,"[[((u'course', u'NN'), u'amod', (u'Excellent', u'JJ'))]]"
5762,-gcU5xn4EeWwrBKfKrqlSQ,"Excellent. A bit long in terms of duration and explanation, but at the end you end up learning and understanding the concepts well. Finally after many attempts I have been able to learn Ionic. ","[[], [((u'end', u'VBP'), u'dep', (u'long', u'JJ')), ((u'long', u'JJ'), u'nmod:npmod', (u'bit', u'RB')), ((u'bit', u'RB'), u'det', (u'A', u'DT')), ((u'long', u'JJ'), u'nmod', (u'terms', u'NNS')), ((u'terms', u'NNS'), u'case', (u'in', u'IN')), ((u'terms', u'NNS'), u'nmod', (u'duration', u'NN')), ((u'duration', u'NN'), u'case', (u'of', u'IN')), ((u'duration', u'NN'), u'cc', (u'and', u'CC')), ((u'duration', u'NN'), u'conj', (u'explanation', u'NN')), ((u'long', u'JJ'), u'cc', (u'but', u'CC')), ((u'long', u'JJ'), u'conj', (u'end', u'NN')), ((u'end', u'NN'), u'case', (u'at', u'IN')), ((u'end', u'NN'), u'det', (u'the', u'DT')), ((u'end', u'VBP'), u'nsubj', (u'you', u'PRP')), ((u'end', u'VBP'), u'compound:prt', (u'up', u'RP')), ((u'end', u'VBP'), u'ccomp', (u'learning', u'VBG')), ((u'learning', u'VBG'), u'cc', (u'and', u'CC')), ((u'learning', u'VBG'), u'conj', (u'understanding', u'VBG')), ((u'understanding', u'VBG'), u'dobj', (u'concepts', u'NNS')), ((u'concepts', u'NNS'), u'det', (u'the', u'DT')), ((u'understanding', u'VBG'), u'advmod', (u'well', u'RB'))], [((u'able', u'JJ'), u'advmod', (u'Finally', u'RB')), ((u'able', u'JJ'), u'nmod', (u'attempts', u'NNS')), ((u'attempts', u'NNS'), u'case', (u'after', u'IN')), ((u'attempts', u'NNS'), u'amod', (u'many', u'JJ')), ((u'able', u'JJ'), u'nsubj', (u'I', u'PRP')), ((u'able', u'JJ'), u'aux', (u'have', u'VBP')), ((u'able', u'JJ'), u'cop', (u'been', u'VBN')), ((u'able', u'JJ'), u'xcomp', (u'learn', u'VB')), ((u'learn', u'VB'), u'mark', (u'to', u'TO')), ((u'learn', u'VB'), u'dobj', (u'Ionic', u'NNP'))]]"
5763,-gcU5xn4EeWwrBKfKrqlSQ,Best course by best Instructor. ,"[[((u'course', u'NN'), u'compound', (u'Best', u'NN')), ((u'course', u'NN'), u'nmod', (u'Instructor', u'NN')), ((u'Instructor', u'NN'), u'case', (u'by', u'IN')), ((u'Instructor', u'NN'), u'amod', (u'best', u'JJS'))]]"
