,course_id,comment,parsed_sent
3415,52blABnqEeW9dA4X94-nLQ,Great course ,"[[((u'course', u'NN'), u'amod', (u'Great', u'JJ'))]]"
3416,52blABnqEeW9dA4X94-nLQ,"Excellent course. Gives you a hands-on approach to Angular JS, with links to more resources so that you can explore further and find all information you need to build a complete project. ","[[((u'Excellent', u'VB'), u'dobj', (u'course', u'NN'))], [((u'need', u'VBP'), u'dep', (u'Gives', u'VBZ')), ((u'Gives', u'VBZ'), u'iobj', (u'you', u'PRP')), ((u'Gives', u'VBZ'), u'dobj', (u'approach', u'NN')), ((u'approach', u'NN'), u'det', (u'a', u'DT')), ((u'approach', u'NN'), u'amod', (u'hands-on', u'JJ')), ((u'approach', u'NN'), u'nmod', (u'JS', u'NNP')), ((u'JS', u'NNP'), u'case', (u'to', u'TO')), ((u'JS', u'NNP'), u'compound', (u'Angular', u'NNP')), ((u'Gives', u'VBZ'), u'dep', (u'links', u'NNS')), ((u'links', u'NNS'), u'case', (u'with', u'IN')), ((u'links', u'NNS'), u'nmod', (u'resources', u'NNS')), ((u'resources', u'NNS'), u'case', (u'to', u'TO')), ((u'resources', u'NNS'), u'amod', (u'more', u'JJR')), ((u'Gives', u'VBZ'), u'advcl', (u'explore', u'VB')), ((u'explore', u'VB'), u'mark', (u'so', u'RB')), ((u'so', u'RB'), u'mwe', (u'that', u'IN')), ((u'explore', u'VB'), u'nsubj', (u'you', u'PRP')), ((u'explore', u'VB'), u'aux', (u'can', u'MD')), ((u'explore', u'VB'), u'advmod', (u'further', u'RBR')), ((u'explore', u'VB'), u'cc', (u'and', u'CC')), ((u'explore', u'VB'), u'conj', (u'find', u'VB')), ((u'find', u'VB'), u'dobj', (u'information', u'NN')), ((u'information', u'NN'), u'det', (u'all', u'DT')), ((u'need', u'VBP'), u'nsubj', (u'you', u'PRP')), ((u'need', u'VBP'), u'xcomp', (u'build', u'VB')), ((u'build', u'VB'), u'mark', (u'to', u'TO')), ((u'build', u'VB'), u'dobj', (u'project', u'NN')), ((u'project', u'NN'), u'det', (u'a', u'DT')), ((u'project', u'NN'), u'amod', (u'complete', u'JJ'))]]"
3417,52blABnqEeW9dA4X94-nLQ,Tough but worth it,"[[((u'Tough', u'JJ'), u'nmod', (u'it', u'PRP')), ((u'it', u'PRP'), u'cc', (u'but', u'CC')), ((u'it', u'PRP'), u'case', (u'worth', u'JJ'))]]"
3418,52blABnqEeW9dA4X94-nLQ,There are no better ways than this It's a great course and i would really recommend it for anyone because i gained more experience i never grasp before doing AngularJs course from another source and find the technique in this course more easier to understand too. ,"[[((u'are', u'VBP'), u'expl', (u'There', u'EX')), ((u'are', u'VBP'), u'nsubj', (u'ways', u'NNS')), ((u'ways', u'NNS'), u'neg', (u'no', u'DT')), ((u'ways', u'NNS'), u'amod', (u'better', u'JJR')), ((u'ways', u'NNS'), u'nmod', (u'this', u'DT')), ((u'this', u'DT'), u'case', (u'than', u'IN')), ((u'this', u'DT'), u'acl:relcl', (u'course', u'NN')), ((u'course', u'NN'), u'nsubj', (u'It', u'PRP')), ((u'course', u'NN'), u'cop', (u""'s"", u'VBZ')), ((u'course', u'NN'), u'det', (u'a', u'DT')), ((u'course', u'NN'), u'amod', (u'great', u'JJ')), ((u'are', u'VBP'), u'cc', (u'and', u'CC')), ((u'are', u'VBP'), u'conj', (u'recommend', u'VB')), ((u'recommend', u'VB'), u'nsubj', (u'i', u'FW')), ((u'recommend', u'VB'), u'aux', (u'would', u'MD')), ((u'recommend', u'VB'), u'advmod', (u'really', u'RB')), ((u'recommend', u'VB'), u'dobj', (u'it', u'PRP')), ((u'recommend', u'VB'), u'nmod', (u'anyone', u'NN')), ((u'anyone', u'NN'), u'case', (u'for', u'IN')), ((u'recommend', u'VB'), u'advcl', (u'gained', u'VBD')), ((u'gained', u'VBD'), u'mark', (u'because', u'IN')), ((u'gained', u'VBD'), u'nsubj', (u'i', u'FW')), ((u'gained', u'VBD'), u'ccomp', (u'grasp', u'VBP')), ((u'grasp', u'VBP'), u'nsubj', (u'i', u'NNS')), ((u'i', u'NNS'), u'amod', (u'more', u'JJR')), ((u'i', u'NNS'), u'compound', (u'experience', u'NN')), ((u'grasp', u'VBP'), u'neg', (u'never', u'RB')), ((u'grasp', u'VBP'), u'advcl', (u'doing', u'VBG')), ((u'doing', u'VBG'), u'mark', (u'before', u'IN')), ((u'doing', u'VBG'), u'dobj', (u'course', u'NN')), ((u'course', u'NN'), u'compound', (u'AngularJs', u'NNP')), ((u'doing', u'VBG'), u'nmod', (u'source', u'NN')), ((u'source', u'NN'), u'case', (u'from', u'IN')), ((u'source', u'NN'), u'det', (u'another', u'DT')), ((u'recommend', u'VB'), u'cc', (u'and', u'CC')), ((u'recommend', u'VB'), u'conj', (u'find', u'VB')), ((u'find', u'VB'), u'xcomp', (u'easier', u'JJR')), ((u'easier', u'JJR'), u'nsubj', (u'technique', u'NN')), ((u'technique', u'NN'), u'det', (u'the', u'DT')), ((u'technique', u'NN'), u'acl', (u'more', u'RBR')), ((u'more', u'RBR'), u'case', (u'in', u'IN')), ((u'more', u'RBR'), u'nmod:npmod', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'this', u'DT')), ((u'easier', u'JJR'), u'xcomp', (u'understand', u'VB')), ((u'understand', u'VB'), u'mark', (u'to', u'TO')), ((u'understand', u'VB'), u'advmod', (u'too', u'RB'))]]"
3419,52blABnqEeW9dA4X94-nLQ,Tough and fast paced. It requires a lot troubleshooting. This is one of those classes where it hurts so good. ,"[[((u'paced', u'VBN'), u'advmod', (u'Tough', u'RB')), ((u'Tough', u'RB'), u'cc', (u'and', u'CC')), ((u'Tough', u'RB'), u'conj', (u'fast', u'RB'))], [((u'requires', u'VBZ'), u'nsubj', (u'It', u'PRP')), ((u'requires', u'VBZ'), u'dobj', (u'troubleshooting', u'NN')), ((u'troubleshooting', u'NN'), u'det', (u'a', u'DT')), ((u'troubleshooting', u'NN'), u'compound', (u'lot', u'NN'))], [((u'one', u'CD'), u'nsubj', (u'This', u'DT')), ((u'one', u'CD'), u'cop', (u'is', u'VBZ')), ((u'one', u'CD'), u'nmod', (u'classes', u'NNS')), ((u'classes', u'NNS'), u'case', (u'of', u'IN')), ((u'classes', u'NNS'), u'det', (u'those', u'DT')), ((u'classes', u'NNS'), u'acl:relcl', (u'hurts', u'VBZ')), ((u'hurts', u'VBZ'), u'advmod', (u'where', u'WRB')), ((u'hurts', u'VBZ'), u'nsubj', (u'it', u'PRP')), ((u'hurts', u'VBZ'), u'xcomp', (u'good', u'JJ')), ((u'good', u'JJ'), u'advmod', (u'so', u'RB'))]]"
3420,52blABnqEeW9dA4X94-nLQ,great class. assignment 4 is a killer. make sure you really learn things in first assignments instead of just copy and paste. ,"[[((u'class', u'NN'), u'amod', (u'great', u'JJ'))], [((u'killer', u'NN'), u'nsubj', (u'assignment', u'NN')), ((u'assignment', u'NN'), u'nummod', (u'4', u'CD')), ((u'killer', u'NN'), u'cop', (u'is', u'VBZ')), ((u'killer', u'NN'), u'det', (u'a', u'DT'))], [((u'make', u'VB'), u'xcomp', (u'sure', u'JJ')), ((u'sure', u'JJ'), u'ccomp', (u'learn', u'VB')), ((u'learn', u'VB'), u'nsubj', (u'you', u'PRP')), ((u'learn', u'VB'), u'advmod', (u'really', u'RB')), ((u'learn', u'VB'), u'dobj', (u'things', u'NNS')), ((u'learn', u'VB'), u'nmod', (u'assignments', u'NNS')), ((u'assignments', u'NNS'), u'case', (u'in', u'IN')), ((u'assignments', u'NNS'), u'amod', (u'first', u'JJ')), ((u'assignments', u'NNS'), u'nmod', (u'copy', u'NN')), ((u'copy', u'NN'), u'case', (u'instead', u'RB')), ((u'instead', u'RB'), u'mwe', (u'of', u'IN')), ((u'copy', u'NN'), u'advmod', (u'just', u'RB')), ((u'learn', u'VB'), u'cc', (u'and', u'CC')), ((u'learn', u'VB'), u'conj', (u'paste', u'VB'))]]"
3421,52blABnqEeW9dA4X94-nLQ,very good course,"[[((u'course', u'NN'), u'amod', (u'good', u'JJ')), ((u'good', u'JJ'), u'advmod', (u'very', u'RB'))]]"
3422,52blABnqEeW9dA4X94-nLQ,really great course with awesome professor,"[[((u'course', u'NN'), u'advmod', (u'really', u'RB')), ((u'course', u'NN'), u'amod', (u'great', u'JJ')), ((u'course', u'NN'), u'nmod', (u'professor', u'NN')), ((u'professor', u'NN'), u'case', (u'with', u'IN')), ((u'professor', u'NN'), u'amod', (u'awesome', u'JJ'))]]"
3423,52blABnqEeW9dA4X94-nLQ,Highly recommended course. Helped a lot to get deeper understanding and later translate the knowledge to knew projects. Some topics you might need to watch more than one time. ,"[[((u'recommended', u'VBD'), u'nsubj', (u'Highly', u'NNP')), ((u'recommended', u'VBD'), u'dobj', (u'course', u'NN'))], [((u'Helped', u'VBN'), u'dobj', (u'lot', u'NN')), ((u'lot', u'NN'), u'det', (u'a', u'DT')), ((u'lot', u'NN'), u'acl', (u'get', u'VB')), ((u'get', u'VB'), u'mark', (u'to', u'TO')), ((u'get', u'VB'), u'dobj', (u'understanding', u'NN')), ((u'understanding', u'NN'), u'amod', (u'deeper', u'JJR')), ((u'Helped', u'VBN'), u'cc', (u'and', u'CC')), ((u'Helped', u'VBN'), u'conj', (u'translate', u'VB')), ((u'translate', u'VB'), u'advmod', (u'later', u'RB')), ((u'translate', u'VB'), u'dobj', (u'knowledge', u'NN')), ((u'knowledge', u'NN'), u'det', (u'the', u'DT')), ((u'translate', u'VB'), u'nmod', (u'projects', u'NNS')), ((u'projects', u'NNS'), u'case', (u'to', u'TO')), ((u'projects', u'NNS'), u'amod', (u'knew', u'JJ'))], [((u'need', u'VB'), u'nsubj', (u'topics', u'NNS')), ((u'topics', u'NNS'), u'det', (u'Some', u'DT')), ((u'need', u'VB'), u'nsubj', (u'you', u'PRP')), ((u'need', u'VB'), u'aux', (u'might', u'MD')), ((u'need', u'VB'), u'xcomp', (u'watch', u'VB')), ((u'watch', u'VB'), u'mark', (u'to', u'TO')), ((u'watch', u'VB'), u'iobj', (u'one', u'CD')), ((u'one', u'CD'), u'advmod', (u'more', u'JJR')), ((u'more', u'JJR'), u'mwe', (u'than', u'IN')), ((u'watch', u'VB'), u'dobj', (u'time', u'NN'))]]"
3424,52blABnqEeW9dA4X94-nLQ,"A tough course, requires consistent hard work ","[[((u'course', u'NN'), u'det', (u'A', u'DT')), ((u'course', u'NN'), u'amod', (u'tough', u'JJ')), ((u'course', u'NN'), u'appos', (u'work', u'NN')), ((u'work', u'NN'), u'amod', (u'requires', u'JJ')), ((u'work', u'NN'), u'amod', (u'consistent', u'JJ')), ((u'work', u'NN'), u'amod', (u'hard', u'JJ'))]]"
