,course_id,comment,parsed_sent
5722,7-OlHzcAEeaG4w4uSkT3yQ,This is an excellent course. ,"[[((u'course', u'NN'), u'nsubj', (u'This', u'DT')), ((u'course', u'NN'), u'cop', (u'is', u'VBZ')), ((u'course', u'NN'), u'det', (u'an', u'DT')), ((u'course', u'NN'), u'amod', (u'excellent', u'JJ'))]]"
5723,7-OlHzcAEeaG4w4uSkT3yQ,Very useful to learn the basics of social media analysis (twitter and youtube) with python and R. It's a good course to start. ,"[[((u'course', u'NN'), u'dep', (u'useful', u'JJ')), ((u'useful', u'JJ'), u'advmod', (u'Very', u'RB')), ((u'useful', u'JJ'), u'ccomp', (u'learn', u'VB')), ((u'learn', u'VB'), u'mark', (u'to', u'TO')), ((u'learn', u'VB'), u'dobj', (u'basics', u'NNS')), ((u'basics', u'NNS'), u'det', (u'the', u'DT')), ((u'basics', u'NNS'), u'nmod', (u'analysis', u'NN')), ((u'analysis', u'NN'), u'case', (u'of', u'IN')), ((u'analysis', u'NN'), u'amod', (u'social', u'JJ')), ((u'analysis', u'NN'), u'compound', (u'media', u'NNS')), ((u'analysis', u'NN'), u'dep', (u'twitter', u'JJ')), ((u'twitter', u'JJ'), u'cc', (u'and', u'CC')), ((u'twitter', u'JJ'), u'conj', (u'youtube', u'JJ')), ((u'learn', u'VB'), u'nmod', (u'python', u'NN')), ((u'python', u'NN'), u'case', (u'with', u'IN')), ((u'python', u'NN'), u'cc', (u'and', u'CC')), ((u'python', u'NN'), u'conj', (u'R.', u'NNP')), ((u'course', u'NN'), u'nsubj', (u'It', u'PRP')), ((u'course', u'NN'), u'cop', (u""'s"", u'VBZ')), ((u'course', u'NN'), u'det', (u'a', u'DT')), ((u'course', u'NN'), u'amod', (u'good', u'JJ')), ((u'course', u'NN'), u'acl', (u'start', u'VB')), ((u'start', u'VB'), u'mark', (u'to', u'TO'))]]"
5724,7-OlHzcAEeaG4w4uSkT3yQ,"The course material should be provided on coursera itself. Instead of having to download a 1. 8GB dataset from yelp, the two files could have been shared here. ","[[((u'provided', u'VBN'), u'nsubjpass', (u'material', u'NN')), ((u'material', u'NN'), u'det', (u'The', u'DT')), ((u'material', u'NN'), u'compound', (u'course', u'NN')), ((u'provided', u'VBN'), u'aux', (u'should', u'MD')), ((u'provided', u'VBN'), u'auxpass', (u'be', u'VB')), ((u'provided', u'VBN'), u'nmod', (u'coursera', u'NN')), ((u'coursera', u'NN'), u'case', (u'on', u'IN')), ((u'coursera', u'NN'), u'advmod', (u'itself', u'PRP'))], [((u'having', u'VBG'), u'mark', (u'Instead', u'RB')), ((u'Instead', u'RB'), u'mwe', (u'of', u'IN')), ((u'having', u'VBG'), u'xcomp', (u'download', u'VB')), ((u'download', u'VB'), u'mark', (u'to', u'TO')), ((u'download', u'VB'), u'dobj', (u'1', u'CD')), ((u'1', u'CD'), u'det', (u'a', u'DT'))], [((u'shared', u'VBN'), u'nsubjpass', (u'dataset', u'NN')), ((u'dataset', u'NN'), u'nummod', (u'8GB', u'CD')), ((u'dataset', u'NN'), u'nmod', (u'yelp', u'NN')), ((u'yelp', u'NN'), u'case', (u'from', u'IN')), ((u'yelp', u'NN'), u'appos', (u'files', u'NNS')), ((u'files', u'NNS'), u'det', (u'the', u'DT')), ((u'files', u'NNS'), u'nummod', (u'two', u'CD')), ((u'shared', u'VBN'), u'aux', (u'could', u'MD')), ((u'shared', u'VBN'), u'aux', (u'have', u'VB')), ((u'shared', u'VBN'), u'auxpass', (u'been', u'VBN')), ((u'shared', u'VBN'), u'advmod', (u'here', u'RB'))]]"
5725,7-OlHzcAEeaG4w4uSkT3yQ,"A good, basic introduction to Social Media Data Analytics","[[((u'introduction', u'NN'), u'det', (u'A', u'DT')), ((u'introduction', u'NN'), u'amod', (u'good', u'JJ')), ((u'introduction', u'NN'), u'amod', (u'basic', u'JJ')), ((u'introduction', u'NN'), u'nmod', (u'Analytics', u'NNPS')), ((u'Analytics', u'NNPS'), u'case', (u'to', u'TO')), ((u'Analytics', u'NNPS'), u'compound', (u'Social', u'NNP')), ((u'Analytics', u'NNPS'), u'compound', (u'Media', u'NNP')), ((u'Analytics', u'NNPS'), u'compound', (u'Data', u'NNP'))]]"
5726,7-OlHzcAEeaG4w4uSkT3yQ,"I'd like to give just one star rating for this course, as it is very far from what I expected. The course expect students to know Python, to know R, but did not go deep enough to help students understand the insight from social media data. In fact, lots of R task can be replaced with Python, so the course could be designed in a much better way that students do not always switch between two programming environments. This course mainly teaches how to download data with keywords, and how to plot graph, not worth the effort of learning. Therefore, I would not recommend this course to anyone. ","[[((u'like', u'VB'), u'nsubj', (u'I', u'PRP')), ((u'like', u'VB'), u'aux', (u""'d"", u'MD')), ((u'like', u'VB'), u'xcomp', (u'give', u'VB')), ((u'give', u'VB'), u'mark', (u'to', u'TO')), ((u'give', u'VB'), u'iobj', (u'star', u'NN')), ((u'star', u'NN'), u'advmod', (u'just', u'RB')), ((u'star', u'NN'), u'nummod', (u'one', u'CD')), ((u'give', u'VB'), u'dobj', (u'rating', u'NN')), ((u'rating', u'NN'), u'nmod', (u'course', u'NN')), ((u'course', u'NN'), u'case', (u'for', u'IN')), ((u'course', u'NN'), u'det', (u'this', u'DT')), ((u'course', u'NN'), u'dep', (u'is', u'VBZ')), ((u'is', u'VBZ'), u'mark', (u'as', u'IN')), ((u'is', u'VBZ'), u'nsubj', (u'it', u'PRP')), ((u'is', u'VBZ'), u'advmod', (u'far', u'RB')), ((u'far', u'RB'), u'advmod', (u'very', u'RB')), ((u'far', u'RB'), u'advcl', (u'expected', u'VBD')), ((u'expected', u'VBD'), u'mark', (u'from', u'IN')), ((u'expected', u'VBD'), u'dobj', (u'what', u'WP')), ((u'expected', u'VBD'), u'nsubj', (u'I', u'PRP'))], [((u'expect', u'VBP'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'The', u'DT')), ((u'expect', u'VBP'), u'dobj', (u'students', u'NNS')), ((u'expect', u'VBP'), u'xcomp', (u'know', u'VB')), ((u'know', u'VB'), u'mark', (u'to', u'TO')), ((u'know', u'VB'), u'dobj', (u'Python', u'NNP')), ((u'know', u'VB'), u'advcl', (u'know', u'VB')), ((u'know', u'VB'), u'mark', (u'to', u'TO')), ((u'know', u'VB'), u'dobj', (u'R', u'NN')), ((u'expect', u'VBP'), u'cc', (u'but', u'CC')), ((u'expect', u'VBP'), u'conj', (u'go', u'VB')), ((u'go', u'VB'), u'aux', (u'did', u'VBD')), ((u'go', u'VB'), u'neg', (u'not', u'RB')), ((u'go', u'VB'), u'dobj', (u'data', u'NNS')), ((u'data', u'NNS'), u'amod', (u'deep', u'JJ')), ((u'deep', u'JJ'), u'advmod', (u'enough', u'RB')), ((u'deep', u'JJ'), u'xcomp', (u'help', u'VB')), ((u'help', u'VB'), u'mark', (u'to', u'TO')), ((u'help', u'VB'), u'ccomp', (u'understand', u'VB')), ((u'understand', u'VB'), u'nsubj', (u'students', u'NNS')), ((u'understand', u'VB'), u'dobj', (u'insight', u'NN')), ((u'insight', u'NN'), u'det', (u'the', u'DT')), ((u'understand', u'VB'), u'nmod', (u'media', u'NNS')), ((u'media', u'NNS'), u'case', (u'from', u'IN')), ((u'media', u'NNS'), u'amod', (u'social', u'JJ'))], [((u'replaced', u'VBN'), u'nmod', (u'fact', u'NN')), ((u'fact', u'NN'), u'case', (u'In', u'IN')), ((u'replaced', u'VBN'), u'nsubjpass', (u'lots', u'NNS')), ((u'lots', u'NNS'), u'nmod', (u'task', u'NN')), ((u'task', u'NN'), u'case', (u'of', u'IN')), ((u'task', u'NN'), u'compound', (u'R', u'NN')), ((u'replaced', u'VBN'), u'aux', (u'can', u'MD')), ((u'replaced', u'VBN'), u'auxpass', (u'be', u'VB')), ((u'replaced', u'VBN'), u'nmod', (u'Python', u'NNP')), ((u'Python', u'NNP'), u'case', (u'with', u'IN')), ((u'replaced', u'VBN'), u'dep', (u'so', u'IN')), ((u'replaced', u'VBN'), u'parataxis', (u'designed', u'VBN')), ((u'designed', u'VBN'), u'nsubjpass', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'the', u'DT')), ((u'designed', u'VBN'), u'aux', (u'could', u'MD')), ((u'designed', u'VBN'), u'auxpass', (u'be', u'VB')), ((u'designed', u'VBN'), u'nmod', (u'way', u'NN')), ((u'way', u'NN'), u'case', (u'in', u'IN')), ((u'way', u'NN'), u'det', (u'a', u'DT')), ((u'way', u'NN'), u'amod', (u'better', u'JJR')), ((u'better', u'JJR'), u'advmod', (u'much', u'RB')), ((u'designed', u'VBN'), u'ccomp', (u'switch', u'VB')), ((u'switch', u'VB'), u'mark', (u'that', u'IN')), ((u'switch', u'VB'), u'nsubj', (u'students', u'NNS')), ((u'switch', u'VB'), u'aux', (u'do', u'VBP')), ((u'switch', u'VB'), u'neg', (u'not', u'RB')), ((u'switch', u'VB'), u'advmod', (u'always', u'RB')), ((u'switch', u'VB'), u'nmod', (u'environments', u'NNS')), ((u'environments', u'NNS'), u'case', (u'between', u'IN')), ((u'environments', u'NNS'), u'nummod', (u'two', u'CD')), ((u'environments', u'NNS'), u'compound', (u'programming', u'NN'))], [((u'teaches', u'VBZ'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'This', u'DT')), ((u'teaches', u'VBZ'), u'advmod', (u'mainly', u'RB')), ((u'teaches', u'VBZ'), u'dep', (u'download', u'VB')), ((u'download', u'VB'), u'advmod', (u'how', u'WRB')), ((u'download', u'VB'), u'mark', (u'to', u'TO')), ((u'download', u'VB'), u'dobj', (u'data', u'NNS')), ((u'download', u'VB'), u'nmod', (u'keywords', u'NNS')), ((u'keywords', u'NNS'), u'case', (u'with', u'IN')), ((u'download', u'VB'), u'cc', (u'and', u'CC')), ((u'download', u'VB'), u'conj', (u'plot', u'VB')), ((u'plot', u'VB'), u'advmod', (u'how', u'WRB')), ((u'plot', u'VB'), u'mark', (u'to', u'TO')), ((u'plot', u'VB'), u'dobj', (u'graph', u'NN')), ((u'graph', u'NN'), u'amod', (u'worth', u'IN')), ((u'worth', u'IN'), u'neg', (u'not', u'RB')), ((u'worth', u'IN'), u'dep', (u'effort', u'NN')), ((u'effort', u'NN'), u'det', (u'the', u'DT')), ((u'effort', u'NN'), u'nmod', (u'learning', u'NN')), ((u'learning', u'NN'), u'case', (u'of', u'IN'))], [((u'recommend', u'VB'), u'advmod', (u'Therefore', u'RB')), ((u'recommend', u'VB'), u'nsubj', (u'I', u'PRP')), ((u'recommend', u'VB'), u'aux', (u'would', u'MD')), ((u'recommend', u'VB'), u'neg', (u'not', u'RB')), ((u'recommend', u'VB'), u'dobj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'this', u'DT')), ((u'recommend', u'VB'), u'nmod', (u'anyone', u'NN')), ((u'anyone', u'NN'), u'case', (u'to', u'TO'))]]"
5727,7-OlHzcAEeaG4w4uSkT3yQ,"Far from being a real course, it need polishing, at this point it looks more like a basic tutorial with a few error, perhaps next versions will be better. ","[[((u'better', u'JJR'), u'advmod', (u'Far', u'RB')), ((u'Far', u'RB'), u'advcl', (u'course', u'NN')), ((u'course', u'NN'), u'mark', (u'from', u'IN')), ((u'course', u'NN'), u'cop', (u'being', u'VBG')), ((u'course', u'NN'), u'det', (u'a', u'DT')), ((u'course', u'NN'), u'amod', (u'real', u'JJ')), ((u'better', u'JJR'), u'parataxis', (u'need', u'VBP')), ((u'need', u'VBP'), u'nsubj', (u'it', u'PRP')), ((u'need', u'VBP'), u'dobj', (u'polishing', u'VBG')), ((u'need', u'VBP'), u'nmod', (u'point', u'NN')), ((u'point', u'NN'), u'case', (u'at', u'IN')), ((u'point', u'NN'), u'det', (u'this', u'DT')), ((u'point', u'NN'), u'acl:relcl', (u'looks', u'VBZ')), ((u'looks', u'VBZ'), u'nsubj', (u'it', u'PRP')), ((u'looks', u'VBZ'), u'dobj', (u'more', u'JJR')), ((u'looks', u'VBZ'), u'nmod', (u'tutorial', u'NN')), ((u'tutorial', u'NN'), u'case', (u'like', u'IN')), ((u'tutorial', u'NN'), u'det', (u'a', u'DT')), ((u'tutorial', u'NN'), u'amod', (u'basic', u'JJ')), ((u'tutorial', u'NN'), u'nmod', (u'error', u'NN')), ((u'error', u'NN'), u'case', (u'with', u'IN')), ((u'error', u'NN'), u'det', (u'a', u'DT')), ((u'error', u'NN'), u'amod', (u'few', u'JJ')), ((u'better', u'JJR'), u'nsubj', (u'versions', u'NNS')), ((u'versions', u'NNS'), u'advmod', (u'perhaps', u'RB')), ((u'versions', u'NNS'), u'amod', (u'next', u'JJ')), ((u'better', u'JJR'), u'aux', (u'will', u'MD')), ((u'better', u'JJR'), u'cop', (u'be', u'VB'))]]"
5728,7-OlHzcAEeaG4w4uSkT3yQ,"Good overview, could be more robust and thorough ","[[((u'overview', u'VBD'), u'nsubj', (u'Good', u'NNP')), ((u'overview', u'VBD'), u'conj', (u'robust', u'JJ')), ((u'robust', u'JJ'), u'aux', (u'could', u'MD')), ((u'robust', u'JJ'), u'cop', (u'be', u'VB')), ((u'robust', u'JJ'), u'advmod', (u'more', u'RBR')), ((u'overview', u'VBD'), u'cc', (u'and', u'CC')), ((u'overview', u'VBD'), u'conj', (u'thorough', u'VBZ'))]]"
5729,7-OlHzcAEeaG4w4uSkT3yQ,This is an inroductory cousre tou,"[[((u'tou', u'NN'), u'nsubj', (u'This', u'DT')), ((u'tou', u'NN'), u'cop', (u'is', u'VBZ')), ((u'tou', u'NN'), u'det', (u'an', u'DT')), ((u'tou', u'NN'), u'amod', (u'cousre', u'JJ')), ((u'cousre', u'JJ'), u'advmod', (u'inroductory', u'RB'))]]"
5730,7-OlHzcAEeaG4w4uSkT3yQ,It can be more exhaustive. ,"[[((u'exhaustive', u'JJ'), u'nsubj', (u'It', u'PRP')), ((u'exhaustive', u'JJ'), u'aux', (u'can', u'MD')), ((u'exhaustive', u'JJ'), u'cop', (u'be', u'VB')), ((u'exhaustive', u'JJ'), u'advmod', (u'more', u'RBR'))]]"
5731,7-OlHzcAEeaG4w4uSkT3yQ,"Interesting course, could have added a bit more on how to write basic scripts or more ways of social media analytics","[[((u'added', u'VBN'), u'dep', (u'Interesting', u'VBG')), ((u'Interesting', u'VBG'), u'dobj', (u'course', u'NN')), ((u'added', u'VBN'), u'aux', (u'could', u'MD')), ((u'added', u'VBN'), u'aux', (u'have', u'VB')), ((u'added', u'VBN'), u'advmod', (u'more', u'RBR')), ((u'more', u'RBR'), u'nmod:npmod', (u'bit', u'RB')), ((u'bit', u'RB'), u'det', (u'a', u'DT')), ((u'more', u'RBR'), u'advcl', (u'write', u'VB')), ((u'write', u'VB'), u'mark', (u'on', u'IN')), ((u'write', u'VB'), u'advmod', (u'how', u'WRB')), ((u'write', u'VB'), u'mark', (u'to', u'TO')), ((u'write', u'VB'), u'dobj', (u'scripts', u'NNS')), ((u'scripts', u'NNS'), u'amod', (u'basic', u'JJ')), ((u'added', u'VBN'), u'nsubj', (u'ways', u'NNS')), ((u'ways', u'NNS'), u'nummod', (u'more', u'JJR')), ((u'more', u'JJR'), u'cc', (u'or', u'CC')), ((u'ways', u'NNS'), u'nmod', (u'analytics', u'NNS')), ((u'analytics', u'NNS'), u'case', (u'of', u'IN')), ((u'analytics', u'NNS'), u'amod', (u'social', u'JJ')), ((u'analytics', u'NNS'), u'compound', (u'media', u'NNS'))]]"
