,course_id,comment,parsed_sent
3284,8TKORJrSEeW6bw4ogk2HGQ,"This course provides a great foundation to build upon, but it is not very engaging. The instructor is simply reading off the screen and it looks like all the lectures were recorded over one day. He struggles to read the material towards the end of the course, while often mispronouncing the words and neglecting the concept of punctuation. I would recommend reading the reference book used in this course, Cybersecurity and Cyberwar: What Everyone Needs to Know, because listening to the lectures is painful ","[[((u'provides', u'VBZ'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'This', u'DT')), ((u'provides', u'VBZ'), u'dobj', (u'foundation', u'NN')), ((u'foundation', u'NN'), u'det', (u'a', u'DT')), ((u'foundation', u'NN'), u'amod', (u'great', u'JJ')), ((u'foundation', u'NN'), u'acl', (u'build', u'VB')), ((u'build', u'VB'), u'mark', (u'to', u'TO')), ((u'build', u'VB'), u'advcl', (u'upon', u'RB')), ((u'provides', u'VBZ'), u'cc', (u'but', u'CC')), ((u'provides', u'VBZ'), u'conj', (u'engaging', u'JJ')), ((u'engaging', u'JJ'), u'nsubj', (u'it', u'PRP')), ((u'engaging', u'JJ'), u'cop', (u'is', u'VBZ')), ((u'engaging', u'JJ'), u'neg', (u'not', u'RB')), ((u'engaging', u'JJ'), u'advmod', (u'very', u'RB'))], [((u'reading', u'VBG'), u'nsubj', (u'instructor', u'NN')), ((u'instructor', u'NN'), u'det', (u'The', u'DT')), ((u'reading', u'VBG'), u'aux', (u'is', u'VBZ')), ((u'reading', u'VBG'), u'advmod', (u'simply', u'RB')), ((u'reading', u'VBG'), u'compound:prt', (u'off', u'RP')), ((u'reading', u'VBG'), u'dobj', (u'screen', u'NN')), ((u'screen', u'NN'), u'det', (u'the', u'DT')), ((u'reading', u'VBG'), u'cc', (u'and', u'CC')), ((u'reading', u'VBG'), u'conj', (u'looks', u'VBZ')), ((u'looks', u'VBZ'), u'nsubj', (u'it', u'PRP')), ((u'looks', u'VBZ'), u'advcl', (u'recorded', u'VBN')), ((u'recorded', u'VBN'), u'mark', (u'like', u'IN')), ((u'recorded', u'VBN'), u'nsubjpass', (u'lectures', u'NN')), ((u'lectures', u'NN'), u'det:predet', (u'all', u'PDT')), ((u'lectures', u'NN'), u'det', (u'the', u'DT')), ((u'recorded', u'VBN'), u'auxpass', (u'were', u'VBD')), ((u'recorded', u'VBN'), u'nmod', (u'day', u'NN')), ((u'day', u'NN'), u'case', (u'over', u'IN')), ((u'day', u'NN'), u'nummod', (u'one', u'CD'))], [((u'struggles', u'VBZ'), u'nsubj', (u'He', u'PRP')), ((u'struggles', u'VBZ'), u'xcomp', (u'read', u'VB')), ((u'read', u'VB'), u'mark', (u'to', u'TO')), ((u'read', u'VB'), u'dobj', (u'material', u'NN')), ((u'material', u'NN'), u'det', (u'the', u'DT')), ((u'material', u'NN'), u'nmod', (u'end', u'NN')), ((u'end', u'NN'), u'case', (u'towards', u'IN')), ((u'end', u'NN'), u'det', (u'the', u'DT')), ((u'end', u'NN'), u'nmod', (u'course', u'NN')), ((u'course', u'NN'), u'case', (u'of', u'IN')), ((u'course', u'NN'), u'det', (u'the', u'DT')), ((u'read', u'VB'), u'advcl', (u'often', u'RB')), ((u'often', u'RB'), u'mark', (u'while', u'IN')), ((u'read', u'VB'), u'dep', (u'mispronouncing', u'VBG')), ((u'mispronouncing', u'VBG'), u'dobj', (u'words', u'NNS')), ((u'words', u'NNS'), u'det', (u'the', u'DT')), ((u'mispronouncing', u'VBG'), u'cc', (u'and', u'CC')), ((u'mispronouncing', u'VBG'), u'conj', (u'neglecting', u'VBG')), ((u'neglecting', u'VBG'), u'dobj', (u'concept', u'NN')), ((u'concept', u'NN'), u'det', (u'the', u'DT')), ((u'concept', u'NN'), u'nmod', (u'punctuation', u'NN')), ((u'punctuation', u'NN'), u'case', (u'of', u'IN'))], [((u'recommend', u'VB'), u'nsubj', (u'I', u'PRP')), ((u'recommend', u'VB'), u'aux', (u'would', u'MD')), ((u'recommend', u'VB'), u'xcomp', (u'reading', u'VBG')), ((u'reading', u'VBG'), u'dobj', (u'book', u'NN')), ((u'book', u'NN'), u'det', (u'the', u'DT')), ((u'book', u'NN'), u'compound', (u'reference', u'NN')), ((u'book', u'NN'), u'acl', (u'used', u'VBN')), ((u'used', u'VBN'), u'nmod', (u'course', u'NN')), ((u'course', u'NN'), u'case', (u'in', u'IN')), ((u'course', u'NN'), u'det', (u'this', u'DT')), ((u'course', u'NN'), u'conj', (u'Cybersecurity', u'NNP')), ((u'course', u'NN'), u'cc', (u'and', u'CC')), ((u'course', u'NN'), u'conj', (u'Cyberwar', u'NNP')), ((u'book', u'NN'), u'acl:relcl', (u'Everyone', u'VBD')), ((u'Everyone', u'VBD'), u'nsubj', (u'What', u'WP')), ((u'Everyone', u'VBD'), u'dobj', (u'Needs', u'NNS')), ((u'Everyone', u'VBD'), u'nmod', (u'Know', u'NNP')), ((u'Know', u'NNP'), u'case', (u'to', u'TO')), ((u'Everyone', u'VBD'), u'advcl', (u'painful', u'JJ')), ((u'painful', u'JJ'), u'mark', (u'because', u'IN')), ((u'painful', u'JJ'), u'csubj', (u'listening', u'VBG')), ((u'listening', u'VBG'), u'nmod', (u'lectures', u'NN')), ((u'lectures', u'NN'), u'case', (u'to', u'TO')), ((u'lectures', u'NN'), u'det', (u'the', u'DT')), ((u'painful', u'JJ'), u'cop', (u'is', u'VBZ'))]]"
3285,8TKORJrSEeW6bw4ogk2HGQ,"It's a great course, I've learned a lot. ","[[((u'learned', u'VBN'), u'ccomp', (u'course', u'NN')), ((u'course', u'NN'), u'nsubj', (u'It', u'PRP')), ((u'course', u'NN'), u'cop', (u""'s"", u'VBZ')), ((u'course', u'NN'), u'det', (u'a', u'DT')), ((u'course', u'NN'), u'amod', (u'great', u'JJ')), ((u'learned', u'VBN'), u'nsubj', (u'I', u'PRP')), ((u'learned', u'VBN'), u'aux', (u""'ve"", u'VBP')), ((u'learned', u'VBN'), u'dobj', (u'lot', u'NN')), ((u'lot', u'NN'), u'det', (u'a', u'DT'))]]"
3286,8TKORJrSEeW6bw4ogk2HGQ,This course is informative and deals with the subject on a basic level so that we can use these lessons to understand and study further. ,"[[((u'informative', u'JJ'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'This', u'DT')), ((u'informative', u'JJ'), u'cop', (u'is', u'VBZ')), ((u'informative', u'JJ'), u'cc', (u'and', u'CC')), ((u'informative', u'JJ'), u'conj', (u'deals', u'VBZ')), ((u'deals', u'VBZ'), u'nmod', (u'subject', u'NN')), ((u'subject', u'NN'), u'case', (u'with', u'IN')), ((u'subject', u'NN'), u'det', (u'the', u'DT')), ((u'subject', u'NN'), u'nmod', (u'level', u'NN')), ((u'level', u'NN'), u'case', (u'on', u'IN')), ((u'level', u'NN'), u'det', (u'a', u'DT')), ((u'level', u'NN'), u'amod', (u'basic', u'JJ')), ((u'deals', u'VBZ'), u'advcl', (u'use', u'VB')), ((u'use', u'VB'), u'mark', (u'so', u'RB')), ((u'so', u'RB'), u'mwe', (u'that', u'IN')), ((u'use', u'VB'), u'nsubj', (u'we', u'PRP')), ((u'use', u'VB'), u'aux', (u'can', u'MD')), ((u'use', u'VB'), u'dobj', (u'lessons', u'NNS')), ((u'lessons', u'NNS'), u'det', (u'these', u'DT')), ((u'use', u'VB'), u'xcomp', (u'understand', u'VB')), ((u'understand', u'VB'), u'mark', (u'to', u'TO')), ((u'understand', u'VB'), u'cc', (u'and', u'CC')), ((u'understand', u'VB'), u'conj', (u'study', u'VB')), ((u'understand', u'VB'), u'advmod', (u'further', u'RBR'))]]"
3287,8TKORJrSEeW6bw4ogk2HGQ,"Hello, I found difficult to understand the speakers and it was too massive. ","[[((u'found', u'VBD'), u'discourse', (u'Hello', u'UH')), ((u'found', u'VBD'), u'nsubj', (u'I', u'PRP')), ((u'found', u'VBD'), u'xcomp', (u'difficult', u'JJ')), ((u'difficult', u'JJ'), u'xcomp', (u'understand', u'VB')), ((u'understand', u'VB'), u'mark', (u'to', u'TO')), ((u'understand', u'VB'), u'dobj', (u'speakers', u'NNS')), ((u'speakers', u'NNS'), u'det', (u'the', u'DT')), ((u'found', u'VBD'), u'cc', (u'and', u'CC')), ((u'found', u'VBD'), u'conj', (u'massive', u'JJ')), ((u'massive', u'JJ'), u'nsubj', (u'it', u'PRP')), ((u'massive', u'JJ'), u'cop', (u'was', u'VBD')), ((u'massive', u'JJ'), u'advmod', (u'too', u'RB'))]]"
3288,8TKORJrSEeW6bw4ogk2HGQ,"A very interesting and comprehensive basic course on cyber warfare and cyber conflict and how they are will impact our lives in the future. The course provides a good view of cyber threats related to the political, economic, diplomatic realms of nowadays international relations. ","[[((u'impact', u'VB'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'A', u'DT')), ((u'course', u'NN'), u'amod', (u'interesting', u'JJ')), ((u'interesting', u'JJ'), u'advmod', (u'very', u'RB')), ((u'interesting', u'JJ'), u'cc', (u'and', u'CC')), ((u'interesting', u'JJ'), u'conj', (u'comprehensive', u'JJ')), ((u'course', u'NN'), u'amod', (u'basic', u'JJ')), ((u'course', u'NN'), u'nmod', (u'warfare', u'NN')), ((u'warfare', u'NN'), u'case', (u'on', u'IN')), ((u'warfare', u'NN'), u'compound', (u'cyber', u'NN')), ((u'warfare', u'NN'), u'cc', (u'and', u'CC')), ((u'warfare', u'NN'), u'conj', (u'conflict', u'NN')), ((u'conflict', u'NN'), u'compound', (u'cyber', u'NN')), ((u'warfare', u'NN'), u'cc', (u'and', u'CC')), ((u'warfare', u'NN'), u'conj', (u'are', u'VBP')), ((u'are', u'VBP'), u'advmod', (u'how', u'WRB')), ((u'are', u'VBP'), u'nsubj', (u'they', u'PRP')), ((u'impact', u'VB'), u'aux', (u'will', u'MD')), ((u'impact', u'VB'), u'dobj', (u'lives', u'NNS')), ((u'lives', u'NNS'), u'nmod:poss', (u'our', u'PRP$')), ((u'impact', u'VB'), u'nmod', (u'future', u'NN')), ((u'future', u'NN'), u'case', (u'in', u'IN')), ((u'future', u'NN'), u'det', (u'the', u'DT'))], [((u'provides', u'VBZ'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'The', u'DT')), ((u'provides', u'VBZ'), u'dobj', (u'view', u'NN')), ((u'view', u'NN'), u'det', (u'a', u'DT')), ((u'view', u'NN'), u'amod', (u'good', u'JJ')), ((u'view', u'NN'), u'nmod', (u'threats', u'NNS')), ((u'threats', u'NNS'), u'case', (u'of', u'IN')), ((u'threats', u'NNS'), u'compound', (u'cyber', u'NN')), ((u'threats', u'NNS'), u'acl', (u'related', u'VBN')), ((u'related', u'VBN'), u'nmod', (u'realms', u'NN')), ((u'realms', u'NN'), u'case', (u'to', u'TO')), ((u'realms', u'NN'), u'det', (u'the', u'DT')), ((u'realms', u'NN'), u'amod', (u'political', u'JJ')), ((u'realms', u'NN'), u'amod', (u'economic', u'JJ')), ((u'realms', u'NN'), u'amod', (u'diplomatic', u'JJ')), ((u'realms', u'NN'), u'nmod', (u'relations', u'NNS')), ((u'relations', u'NNS'), u'case', (u'of', u'IN')), ((u'relations', u'NNS'), u'amod', (u'nowadays', u'JJ')), ((u'relations', u'NNS'), u'amod', (u'international', u'JJ'))]]"
3289,8TKORJrSEeW6bw4ogk2HGQ,"Much of the literature was unavailable which I think is a downside. Also, while interesting, the topics were covered only superficially and I felt that that questions during the videos and at the end of the module were very easy and did not challenge the participant to think or research. ","[[((u'unavailable', u'JJ'), u'nsubj', (u'Much', u'RB')), ((u'Much', u'RB'), u'nmod', (u'literature', u'NN')), ((u'literature', u'NN'), u'case', (u'of', u'IN')), ((u'literature', u'NN'), u'det', (u'the', u'DT')), ((u'unavailable', u'JJ'), u'cop', (u'was', u'VBD')), ((u'unavailable', u'JJ'), u'ccomp', (u'think', u'VBP')), ((u'think', u'VBP'), u'dobj', (u'which', u'WDT')), ((u'think', u'VBP'), u'nsubj', (u'I', u'PRP')), ((u'think', u'VBP'), u'ccomp', (u'downside', u'NN')), ((u'downside', u'NN'), u'cop', (u'is', u'VBZ')), ((u'downside', u'NN'), u'det', (u'a', u'DT'))], [((u'covered', u'VBN'), u'advmod', (u'Also', u'RB')), ((u'covered', u'VBN'), u'advcl', (u'interesting', u'JJ')), ((u'interesting', u'JJ'), u'mark', (u'while', u'IN')), ((u'covered', u'VBN'), u'nsubjpass', (u'topics', u'NNS')), ((u'topics', u'NNS'), u'det', (u'the', u'DT')), ((u'covered', u'VBN'), u'auxpass', (u'were', u'VBD')), ((u'covered', u'VBN'), u'advmod', (u'only', u'RB')), ((u'covered', u'VBN'), u'advmod', (u'superficially', u'RB')), ((u'covered', u'VBN'), u'cc', (u'and', u'CC')), ((u'covered', u'VBN'), u'conj', (u'felt', u'VBD')), ((u'felt', u'VBD'), u'nsubj', (u'I', u'PRP')), ((u'felt', u'VBD'), u'ccomp', (u'easy', u'JJ')), ((u'easy', u'JJ'), u'mark', (u'that', u'IN')), ((u'easy', u'JJ'), u'mark', (u'that', u'IN')), ((u'easy', u'JJ'), u'nsubj', (u'questions', u'NNS')), ((u'questions', u'NNS'), u'nmod', (u'videos', u'NNS')), ((u'videos', u'NNS'), u'case', (u'during', u'IN')), ((u'videos', u'NNS'), u'det', (u'the', u'DT')), ((u'videos', u'NNS'), u'cc', (u'and', u'CC')), ((u'videos', u'NNS'), u'conj', (u'end', u'NN')), ((u'end', u'NN'), u'case', (u'at', u'IN')), ((u'end', u'NN'), u'det', (u'the', u'DT')), ((u'end', u'NN'), u'nmod', (u'module', u'NN')), ((u'module', u'NN'), u'case', (u'of', u'IN')), ((u'module', u'NN'), u'det', (u'the', u'DT')), ((u'easy', u'JJ'), u'cop', (u'were', u'VBD')), ((u'easy', u'JJ'), u'advmod', (u'very', u'RB')), ((u'felt', u'VBD'), u'cc', (u'and', u'CC')), ((u'felt', u'VBD'), u'conj', (u'challenge', u'VB')), ((u'challenge', u'VB'), u'aux', (u'did', u'VBD')), ((u'challenge', u'VB'), u'neg', (u'not', u'RB')), ((u'challenge', u'VB'), u'dobj', (u'participant', u'NN')), ((u'participant', u'NN'), u'det', (u'the', u'DT')), ((u'participant', u'NN'), u'acl', (u'think', u'VB')), ((u'think', u'VB'), u'mark', (u'to', u'TO')), ((u'think', u'VB'), u'cc', (u'or', u'CC')), ((u'think', u'VB'), u'conj', (u'research', u'VB'))]]"
3290,8TKORJrSEeW6bw4ogk2HGQ,Fantastic course. ,"[[((u'course', u'NN'), u'amod', (u'Fantastic', u'JJ'))]]"
3291,8TKORJrSEeW6bw4ogk2HGQ,"good insight on fundamentals on cyber conflicts, for b","[[((u'insight', u'NN'), u'amod', (u'good', u'JJ')), ((u'insight', u'NN'), u'nmod', (u'fundamentals', u'NNS')), ((u'fundamentals', u'NNS'), u'case', (u'on', u'IN')), ((u'fundamentals', u'NNS'), u'nmod', (u'conflicts', u'NNS')), ((u'conflicts', u'NNS'), u'case', (u'on', u'IN')), ((u'conflicts', u'NNS'), u'compound', (u'cyber', u'NN')), ((u'insight', u'NN'), u'acl', (u'b', u'SYM')), ((u'b', u'SYM'), u'case', (u'for', u'IN'))]]"
3292,8TKORJrSEeW6bw4ogk2HGQ,nice course. however would have liked more specific examples of cyber conflicts along with how they were resolved to each country's satisfaction ( if there are any such examples to look at ). Thank you to you all for putting this course together. ,"[[((u'course', u'NN'), u'amod', (u'nice', u'JJ'))], [((u'liked', u'VBN'), u'advmod', (u'however', u'RB')), ((u'liked', u'VBN'), u'aux', (u'would', u'MD')), ((u'liked', u'VBN'), u'aux', (u'have', u'VB')), ((u'liked', u'VBN'), u'dep', (u'examples', u'NNS')), ((u'examples', u'NNS'), u'amod', (u'more', u'JJR')), ((u'examples', u'NNS'), u'amod', (u'specific', u'JJ')), ((u'examples', u'NNS'), u'nmod', (u'conflicts', u'NNS')), ((u'conflicts', u'NNS'), u'case', (u'of', u'IN')), ((u'conflicts', u'NNS'), u'compound', (u'cyber', u'NN')), ((u'conflicts', u'NNS'), u'advmod', (u'along', u'IN')), ((u'along', u'IN'), u'advcl', (u'resolved', u'VBN')), ((u'resolved', u'VBN'), u'mark', (u'with', u'IN')), ((u'resolved', u'VBN'), u'advmod', (u'how', u'WRB')), ((u'resolved', u'VBN'), u'nsubjpass', (u'they', u'PRP')), ((u'resolved', u'VBN'), u'auxpass', (u'were', u'VBD')), ((u'resolved', u'VBN'), u'nmod', (u'satisfaction', u'NN')), ((u'satisfaction', u'NN'), u'case', (u'to', u'TO')), ((u'satisfaction', u'NN'), u'nmod:poss', (u'country', u'NN')), ((u'country', u'NN'), u'det', (u'each', u'DT')), ((u'country', u'NN'), u'case', (u""'s"", u'POS')), ((u'satisfaction', u'NN'), u'dep', (u'are', u'VBP')), ((u'are', u'VBP'), u'mark', (u'if', u'IN')), ((u'are', u'VBP'), u'expl', (u'there', u'EX')), ((u'are', u'VBP'), u'nsubj', (u'examples', u'NNS')), ((u'examples', u'NNS'), u'det', (u'any', u'DT')), ((u'examples', u'NNS'), u'amod', (u'such', u'JJ')), ((u'examples', u'NNS'), u'acl', (u'look', u'VB')), ((u'look', u'VB'), u'mark', (u'to', u'TO')), ((u'look', u'VB'), u'nmod', (u'at', u'IN'))], [((u'Thank', u'VB'), u'dobj', (u'you', u'PRP')), ((u'Thank', u'VB'), u'nmod', (u'you', u'PRP')), ((u'you', u'PRP'), u'case', (u'to', u'TO')), ((u'Thank', u'VB'), u'advcl', (u'putting', u'VBG')), ((u'putting', u'VBG'), u'advmod', (u'all', u'DT')), ((u'putting', u'VBG'), u'mark', (u'for', u'IN')), ((u'putting', u'VBG'), u'dobj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'this', u'DT')), ((u'putting', u'VBG'), u'advmod', (u'together', u'RB'))]]"
3293,8TKORJrSEeW6bw4ogk2HGQ,"It's Ok, nothing much to gain iin terms of knowledge realted to cyber conflict. ","[[((u'Ok', u'NN'), u'nsubj', (u'It', u'PRP')), ((u'Ok', u'NN'), u'cop', (u""'s"", u'VBZ')), ((u'Ok', u'NN'), u'amod', (u'nothing', u'NN')), ((u'nothing', u'NN'), u'advmod', (u'much', u'RB')), ((u'Ok', u'NN'), u'acl', (u'gain', u'VB')), ((u'gain', u'VB'), u'mark', (u'to', u'TO')), ((u'gain', u'VB'), u'dobj', (u'terms', u'NNS')), ((u'terms', u'NNS'), u'compound', (u'iin', u'NN')), ((u'terms', u'NNS'), u'nmod', (u'knowledge', u'NN')), ((u'knowledge', u'NN'), u'case', (u'of', u'IN')), ((u'knowledge', u'NN'), u'acl', (u'realted', u'VBN')), ((u'realted', u'VBN'), u'nmod', (u'conflict', u'NN')), ((u'conflict', u'NN'), u'case', (u'to', u'TO')), ((u'conflict', u'NN'), u'compound', (u'cyber', u'NN'))]]"
