,course_id,comment,parsed_sent
10099,8UQBnm04EeWyAQ6K5KeLkw,Very good course. ,"[[((u'course', u'NN'), u'dep', (u'Very', u'RB')), ((u'course', u'NN'), u'amod', (u'good', u'JJ'))]]"
10100,8UQBnm04EeWyAQ6K5KeLkw,"It was very interesting to go learn what I already know:) through this course. I liked the way it is organized. I got a bit casual with the quizzes but was very serious with the programming assignments. Otherwise I should have secured 100%. But marks or grades aside, it was lovely being busy for the past 4 weeks. I look forward to completing the 2nd course in this Specialization pack. All the instructors were very good. Thank you all so much. ","[[((u'interesting', u'JJ'), u'nsubj', (u'It', u'PRP')), ((u'interesting', u'JJ'), u'cop', (u'was', u'VBD')), ((u'interesting', u'JJ'), u'advmod', (u'very', u'RB')), ((u'interesting', u'JJ'), u'xcomp', (u'go', u'VB')), ((u'go', u'VB'), u'mark', (u'to', u'TO')), ((u'go', u'VB'), u'xcomp', (u'learn', u'VB')), ((u'learn', u'VB'), u'ccomp', (u'know', u'VBP')), ((u'know', u'VBP'), u'dobj', (u'what', u'WP')), ((u'know', u'VBP'), u'nsubj', (u'I', u'PRP')), ((u'know', u'VBP'), u'advmod', (u'already', u'RB')), ((u'know', u'VBP'), u'advmod', (u':-RRB-', u'RB')), ((u'know', u'VBP'), u'nmod', (u'course', u'NN')), ((u'course', u'NN'), u'case', (u'through', u'IN')), ((u'course', u'NN'), u'det', (u'this', u'DT'))], [((u'liked', u'VBD'), u'nsubj', (u'I', u'PRP')), ((u'liked', u'VBD'), u'dobj', (u'way', u'NN')), ((u'way', u'NN'), u'det', (u'the', u'DT')), ((u'way', u'NN'), u'acl:relcl', (u'organized', u'VBN')), ((u'organized', u'VBN'), u'nsubjpass', (u'it', u'PRP')), ((u'organized', u'VBN'), u'auxpass', (u'is', u'VBZ'))], [((u'got', u'VBD'), u'nsubj', (u'I', u'PRP')), ((u'got', u'VBD'), u'dobj', (u'bit', u'NN')), ((u'bit', u'NN'), u'det', (u'a', u'DT')), ((u'bit', u'NN'), u'amod', (u'casual', u'JJ')), ((u'got', u'VBD'), u'nmod', (u'quizzes', u'NNS')), ((u'quizzes', u'NNS'), u'case', (u'with', u'IN')), ((u'quizzes', u'NNS'), u'det', (u'the', u'DT')), ((u'got', u'VBD'), u'cc', (u'but', u'CC')), ((u'got', u'VBD'), u'conj', (u'serious', u'JJ')), ((u'serious', u'JJ'), u'cop', (u'was', u'VBD')), ((u'serious', u'JJ'), u'advmod', (u'very', u'RB')), ((u'serious', u'JJ'), u'nmod', (u'assignments', u'NNS')), ((u'assignments', u'NNS'), u'case', (u'with', u'IN')), ((u'assignments', u'NNS'), u'det', (u'the', u'DT')), ((u'assignments', u'NNS'), u'compound', (u'programming', u'NN'))], [((u'secured', u'VBN'), u'advmod', (u'Otherwise', u'RB')), ((u'secured', u'VBN'), u'nsubj', (u'I', u'PRP')), ((u'secured', u'VBN'), u'aux', (u'should', u'MD')), ((u'secured', u'VBN'), u'aux', (u'have', u'VB')), ((u'secured', u'VBN'), u'dobj', (u'%', u'NN')), ((u'%', u'NN'), u'nummod', (u'100', u'CD'))], [((u'lovely', u'JJ'), u'cc', (u'But', u'CC')), ((u'lovely', u'JJ'), u'advmod', (u'aside', u'RB')), ((u'aside', u'RB'), u'nmod:npmod', (u'marks', u'NNS')), ((u'marks', u'NNS'), u'cc', (u'or', u'CC')), ((u'marks', u'NNS'), u'conj', (u'grades', u'NNS')), ((u'lovely', u'JJ'), u'nsubj', (u'it', u'PRP')), ((u'lovely', u'JJ'), u'cop', (u'was', u'VBD')), ((u'lovely', u'JJ'), u'dep', (u'busy', u'JJ')), ((u'busy', u'JJ'), u'cop', (u'being', u'VBG')), ((u'busy', u'JJ'), u'nmod', (u'weeks', u'NNS')), ((u'weeks', u'NNS'), u'case', (u'for', u'IN')), ((u'weeks', u'NNS'), u'det', (u'the', u'DT')), ((u'weeks', u'NNS'), u'amod', (u'past', u'JJ')), ((u'weeks', u'NNS'), u'nummod', (u'4', u'CD'))], [((u'look', u'VBP'), u'nsubj', (u'I', u'PRP')), ((u'look', u'VBP'), u'advmod', (u'forward', u'RB')), ((u'look', u'VBP'), u'advcl', (u'completing', u'VBG')), ((u'completing', u'VBG'), u'mark', (u'to', u'TO')), ((u'completing', u'VBG'), u'dobj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'the', u'DT')), ((u'course', u'NN'), u'amod', (u'2nd', u'JJ')), ((u'completing', u'VBG'), u'nmod', (u'pack', u'NN')), ((u'pack', u'NN'), u'case', (u'in', u'IN')), ((u'pack', u'NN'), u'det', (u'this', u'DT')), ((u'pack', u'NN'), u'compound', (u'Specialization', u'NNP'))], [((u'good', u'JJ'), u'nsubj', (u'instructors', u'NNS')), ((u'instructors', u'NNS'), u'det:predet', (u'All', u'PDT')), ((u'instructors', u'NNS'), u'det', (u'the', u'DT')), ((u'good', u'JJ'), u'cop', (u'were', u'VBD')), ((u'good', u'JJ'), u'advmod', (u'very', u'RB'))], [((u'Thank', u'VB'), u'xcomp', (u'much', u'JJ')), ((u'much', u'JJ'), u'nsubj', (u'you', u'PRP')), ((u'much', u'JJ'), u'det', (u'all', u'DT')), ((u'much', u'JJ'), u'advmod', (u'so', u'RB'))]]"
10101,8UQBnm04EeWyAQ6K5KeLkw,"this is a nice course for beginners, although it does not completed all basic functionality. ","[[((u'course', u'NN'), u'nsubj', (u'this', u'DT')), ((u'course', u'NN'), u'cop', (u'is', u'VBZ')), ((u'course', u'NN'), u'det', (u'a', u'DT')), ((u'course', u'NN'), u'amod', (u'nice', u'JJ')), ((u'course', u'NN'), u'nmod', (u'beginners', u'NNS')), ((u'beginners', u'NNS'), u'case', (u'for', u'IN')), ((u'course', u'NN'), u'advcl', (u'completed', u'VBN')), ((u'completed', u'VBN'), u'mark', (u'although', u'IN')), ((u'completed', u'VBN'), u'nsubj', (u'it', u'PRP')), ((u'completed', u'VBN'), u'aux', (u'does', u'VBZ')), ((u'completed', u'VBN'), u'neg', (u'not', u'RB')), ((u'completed', u'VBN'), u'dobj', (u'functionality', u'NN')), ((u'functionality', u'NN'), u'det', (u'all', u'DT')), ((u'functionality', u'NN'), u'amod', (u'basic', u'JJ'))]]"
10102,8UQBnm04EeWyAQ6K5KeLkw,"Nice course, but so more unused code in examples","[[((u'Nice', u'VB'), u'dobj', (u'course', u'NN')), ((u'course', u'NN'), u'cc', (u'but', u'CC')), ((u'course', u'NN'), u'advmod', (u'so', u'RB')), ((u'course', u'NN'), u'dep', (u'code', u'NN')), ((u'code', u'NN'), u'amod', (u'more', u'JJR')), ((u'code', u'NN'), u'amod', (u'unused', u'JJ')), ((u'code', u'NN'), u'nmod', (u'examples', u'NNS')), ((u'examples', u'NNS'), u'case', (u'in', u'IN'))]]"
10103,8UQBnm04EeWyAQ6K5KeLkw,this course is for very beginner in java or in coding so recommended this course to only those who are beginner otherwise it is good if you loose your hands on programming then to cleanup your hands it's very helpful ,"[[((u'beginner', u'NN'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'this', u'DT')), ((u'beginner', u'NN'), u'cop', (u'is', u'VBZ')), ((u'beginner', u'NN'), u'case', (u'for', u'IN')), ((u'beginner', u'NN'), u'amod', (u'very', u'JJ')), ((u'beginner', u'NN'), u'nmod', (u'java', u'NN')), ((u'java', u'NN'), u'case', (u'in', u'IN')), ((u'beginner', u'NN'), u'cc', (u'or', u'CC')), ((u'beginner', u'NN'), u'conj', (u'coding', u'VBG')), ((u'coding', u'VBG'), u'mark', (u'in', u'IN')), ((u'coding', u'VBG'), u'advcl', (u'recommended', u'VBD')), ((u'recommended', u'VBD'), u'mark', (u'so', u'IN')), ((u'recommended', u'VBD'), u'dobj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'this', u'DT')), ((u'recommended', u'VBD'), u'nmod', (u'those', u'DT')), ((u'those', u'DT'), u'case', (u'to', u'TO')), ((u'those', u'DT'), u'advmod', (u'only', u'RB')), ((u'those', u'DT'), u'acl:relcl', (u'beginner', u'JJ')), ((u'beginner', u'JJ'), u'nsubj', (u'who', u'WP')), ((u'beginner', u'JJ'), u'cop', (u'are', u'VBP')), ((u'beginner', u'JJ'), u'advmod', (u'otherwise', u'RB')), ((u'beginner', u'JJ'), u'ccomp', (u'good', u'JJ')), ((u'good', u'JJ'), u'nsubj', (u'it', u'PRP')), ((u'good', u'JJ'), u'cop', (u'is', u'VBZ')), ((u'good', u'JJ'), u'advcl', (u'loose', u'VBZ')), ((u'loose', u'VBZ'), u'mark', (u'if', u'IN')), ((u'loose', u'VBZ'), u'nsubj', (u'you', u'PRP')), ((u'loose', u'VBZ'), u'dobj', (u'hands', u'NNS')), ((u'hands', u'NNS'), u'nmod:poss', (u'your', u'PRP$')), ((u'loose', u'VBZ'), u'nmod', (u'programming', u'NN')), ((u'programming', u'NN'), u'case', (u'on', u'IN')), ((u'loose', u'VBZ'), u'advcl', (u'cleanup', u'VB')), ((u'cleanup', u'VB'), u'advmod', (u'then', u'RB')), ((u'cleanup', u'VB'), u'mark', (u'to', u'TO')), ((u'cleanup', u'VB'), u'dobj', (u'hands', u'NNS')), ((u'hands', u'NNS'), u'nmod:poss', (u'your', u'PRP$')), ((u'hands', u'NNS'), u'acl:relcl', (u'helpful', u'JJ')), ((u'helpful', u'JJ'), u'nsubj', (u'it', u'PRP')), ((u'helpful', u'JJ'), u'cop', (u""'s"", u'VBZ')), ((u'helpful', u'JJ'), u'advmod', (u'very', u'RB'))]]"
10104,8UQBnm04EeWyAQ6K5KeLkw,"Excellent pace to review Java. I have dabbled in Java for over a decade, but this course gave me a formal footing esp regarding the strengths of inheritance vs. polymorphism. ","[[((u'Excellent', u'VB'), u'dobj', (u'pace', u'NN')), ((u'Excellent', u'VB'), u'advcl', (u'review', u'VB')), ((u'review', u'VB'), u'mark', (u'to', u'TO')), ((u'review', u'VB'), u'dobj', (u'Java', u'NNP'))], [((u'dabbled', u'VBD'), u'nsubj', (u'I', u'PRP')), ((u'dabbled', u'VBD'), u'aux', (u'have', u'VBP')), ((u'dabbled', u'VBD'), u'nmod', (u'Java', u'NNP')), ((u'Java', u'NNP'), u'case', (u'in', u'IN')), ((u'dabbled', u'VBD'), u'nmod', (u'decade', u'NN')), ((u'decade', u'NN'), u'case', (u'for', u'IN')), ((u'decade', u'NN'), u'case', (u'over', u'IN')), ((u'decade', u'NN'), u'det', (u'a', u'DT')), ((u'dabbled', u'VBD'), u'cc', (u'but', u'CC')), ((u'dabbled', u'VBD'), u'conj', (u'gave', u'VBD')), ((u'gave', u'VBD'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'this', u'DT')), ((u'gave', u'VBD'), u'iobj', (u'me', u'PRP')), ((u'gave', u'VBD'), u'dobj', (u'esp', u'NN')), ((u'esp', u'NN'), u'det', (u'a', u'DT')), ((u'esp', u'NN'), u'amod', (u'formal', u'JJ')), ((u'esp', u'NN'), u'compound', (u'footing', u'NN')), ((u'esp', u'NN'), u'nmod', (u'strengths', u'NNS')), ((u'strengths', u'NNS'), u'case', (u'regarding', u'VBG')), ((u'strengths', u'NNS'), u'det', (u'the', u'DT')), ((u'strengths', u'NNS'), u'nmod', (u'inheritance', u'NN')), ((u'inheritance', u'NN'), u'case', (u'of', u'IN')), ((u'inheritance', u'NN'), u'nmod', (u'polymorphism', u'NN')), ((u'polymorphism', u'NN'), u'case', (u'vs.', u'IN'))]]"
10105,8UQBnm04EeWyAQ6K5KeLkw,nice overview for java,"[[((u'overview', u'NN'), u'amod', (u'nice', u'JJ')), ((u'overview', u'NN'), u'nmod', (u'java', u'NN')), ((u'java', u'NN'), u'case', (u'for', u'IN'))]]"
10106,8UQBnm04EeWyAQ6K5KeLkw,It provides me with exercises to practice but some of the videos explain things awfully or just not at all. Others are good. The discussion boards are helpful. I just wish they didn't talk as much about what something is as opposed to how it works. Many videos often don't show any code or very little which makes understand syntax difficult. ,"[[((u'provides', u'VBZ'), u'nsubj', (u'It', u'PRP')), ((u'provides', u'VBZ'), u'dobj', (u'me', u'PRP')), ((u'provides', u'VBZ'), u'nmod', (u'exercises', u'NNS')), ((u'exercises', u'NNS'), u'case', (u'with', u'IN')), ((u'exercises', u'NNS'), u'nmod', (u'practice', u'NN')), ((u'practice', u'NN'), u'case', (u'to', u'TO')), ((u'provides', u'VBZ'), u'cc', (u'but', u'CC')), ((u'provides', u'VBZ'), u'conj', (u'explain', u'VBP')), ((u'explain', u'VBP'), u'nsubj', (u'some', u'DT')), ((u'some', u'DT'), u'nmod', (u'videos', u'NNS')), ((u'videos', u'NNS'), u'case', (u'of', u'IN')), ((u'videos', u'NNS'), u'det', (u'the', u'DT')), ((u'explain', u'VBP'), u'dobj', (u'things', u'NNS')), ((u'explain', u'VBP'), u'advmod', (u'awfully', u'RB')), ((u'awfully', u'RB'), u'cc', (u'or', u'CC')), ((u'awfully', u'RB'), u'conj', (u'just', u'RB')), ((u'awfully', u'RB'), u'nmod', (u'all', u'DT')), ((u'all', u'DT'), u'neg', (u'not', u'RB')), ((u'all', u'DT'), u'case', (u'at', u'IN'))], [((u'good', u'JJ'), u'nsubj', (u'Others', u'NNS')), ((u'good', u'JJ'), u'cop', (u'are', u'VBP'))], [((u'helpful', u'JJ'), u'nsubj', (u'boards', u'NNS')), ((u'boards', u'NNS'), u'det', (u'The', u'DT')), ((u'boards', u'NNS'), u'compound', (u'discussion', u'NN')), ((u'helpful', u'JJ'), u'cop', (u'are', u'VBP'))], [((u'wish', u'VBP'), u'nsubj', (u'I', u'PRP')), ((u'wish', u'VBP'), u'advmod', (u'just', u'RB')), ((u'wish', u'VBP'), u'ccomp', (u'talk', u'VB')), ((u'talk', u'VB'), u'nsubj', (u'they', u'PRP')), ((u'talk', u'VB'), u'aux', (u'did', u'VBD')), ((u'talk', u'VB'), u'neg', (u""n't"", u'RB')), ((u'talk', u'VB'), u'advmod', (u'much', u'RB')), ((u'much', u'RB'), u'advmod', (u'as', u'RB')), ((u'much', u'RB'), u'advcl', (u'opposed', u'VBN')), ((u'opposed', u'VBN'), u'mark', (u'about', u'IN')), ((u'opposed', u'VBN'), u'dobj', (u'what', u'WP')), ((u'opposed', u'VBN'), u'nsubjpass', (u'something', u'NN')), ((u'opposed', u'VBN'), u'auxpass', (u'is', u'VBZ')), ((u'opposed', u'VBN'), u'advmod', (u'as', u'RB')), ((u'opposed', u'VBN'), u'advcl', (u'works', u'VBZ')), ((u'works', u'VBZ'), u'mark', (u'to', u'TO')), ((u'works', u'VBZ'), u'advmod', (u'how', u'WRB')), ((u'works', u'VBZ'), u'nsubj', (u'it', u'PRP'))], [((u'show', u'VB'), u'nsubj', (u'videos', u'NNS')), ((u'videos', u'NNS'), u'amod', (u'Many', u'JJ')), ((u'show', u'VB'), u'advmod', (u'often', u'RB')), ((u'show', u'VB'), u'aux', (u'do', u'VBP')), ((u'show', u'VB'), u'neg', (u""n't"", u'RB')), ((u'show', u'VB'), u'dobj', (u'code', u'NN')), ((u'code', u'NN'), u'det', (u'any', u'DT')), ((u'show', u'VB'), u'cc', (u'or', u'CC')), ((u'show', u'VB'), u'advmod', (u'little', u'JJ')), ((u'little', u'JJ'), u'advmod', (u'very', u'RB')), ((u'little', u'JJ'), u'advcl', (u'makes', u'VBZ')), ((u'makes', u'VBZ'), u'nsubj', (u'which', u'WDT')), ((u'show', u'VB'), u'conj', (u'understand', u'VB')), ((u'understand', u'VB'), u'xcomp', (u'difficult', u'JJ')), ((u'difficult', u'JJ'), u'nsubj', (u'syntax', u'NN'))]]"
10107,8UQBnm04EeWyAQ6K5KeLkw,Great Course,"[[((u'Course', u'NNP'), u'compound', (u'Great', u'NNP'))]]"
10108,8UQBnm04EeWyAQ6K5KeLkw,if you're a somewhat experienced programmer looking to start and hand on learn how to build apps this course is not for you. ,"[[((u'you', u'PRP'), u'advcl', (u'programmer', u'NN')), ((u'programmer', u'NN'), u'mark', (u'if', u'IN')), ((u'programmer', u'NN'), u'nsubj', (u'you', u'PRP')), ((u'programmer', u'NN'), u'cop', (u""'re"", u'VBP')), ((u'programmer', u'NN'), u'det', (u'a', u'DT')), ((u'programmer', u'NN'), u'amod', (u'experienced', u'JJ')), ((u'experienced', u'JJ'), u'advmod', (u'somewhat', u'RB')), ((u'programmer', u'NN'), u'acl', (u'looking', u'VBG')), ((u'looking', u'VBG'), u'xcomp', (u'start', u'VB')), ((u'start', u'VB'), u'mark', (u'to', u'TO')), ((u'start', u'VB'), u'cc', (u'and', u'CC')), ((u'start', u'VB'), u'conj', (u'learn', u'VB')), ((u'learn', u'VB'), u'advmod', (u'hand', u'NN')), ((u'hand', u'NN'), u'case', (u'on', u'IN')), ((u'learn', u'VB'), u'ccomp', (u'build', u'VB')), ((u'build', u'VB'), u'advmod', (u'how', u'WRB')), ((u'build', u'VB'), u'mark', (u'to', u'TO')), ((u'build', u'VB'), u'dobj', (u'apps', u'NNS')), ((u'you', u'PRP'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'this', u'DT')), ((u'you', u'PRP'), u'cop', (u'is', u'VBZ')), ((u'you', u'PRP'), u'neg', (u'not', u'RB')), ((u'you', u'PRP'), u'case', (u'for', u'IN'))]]"
