,course_id,comment,parsed_sent
5737,CpOs5DyhEea_QBJ9iBnl3w,"The content of the course is extremely useful, however assignments need review as the exercises results have mistakes and they are not explained very well (missing step by step guidance). ","[[((u'useful', u'JJ'), u'nsubj', (u'content', u'NN')), ((u'content', u'NN'), u'det', (u'The', u'DT')), ((u'content', u'NN'), u'nmod', (u'course', u'NN')), ((u'course', u'NN'), u'case', (u'of', u'IN')), ((u'course', u'NN'), u'det', (u'the', u'DT')), ((u'useful', u'JJ'), u'cop', (u'is', u'VBZ')), ((u'useful', u'JJ'), u'advmod', (u'extremely', u'RB')), ((u'useful', u'JJ'), u'conj', (u'review', u'VB')), ((u'review', u'VB'), u'advmod', (u'however', u'RB')), ((u'review', u'VB'), u'nsubj', (u'assignments', u'NNS')), ((u'review', u'VB'), u'aux', (u'need', u'MD')), ((u'review', u'VB'), u'advcl', (u'have', u'VBP')), ((u'have', u'VBP'), u'mark', (u'as', u'IN')), ((u'have', u'VBP'), u'nsubj', (u'results', u'NNS')), ((u'results', u'NNS'), u'det', (u'the', u'DT')), ((u'results', u'NNS'), u'compound', (u'exercises', u'NNS')), ((u'have', u'VBP'), u'dobj', (u'mistakes', u'NNS')), ((u'useful', u'JJ'), u'cc', (u'and', u'CC')), ((u'useful', u'JJ'), u'conj', (u'explained', u'VBN')), ((u'explained', u'VBN'), u'nsubjpass', (u'they', u'PRP')), ((u'explained', u'VBN'), u'auxpass', (u'are', u'VBP')), ((u'explained', u'VBN'), u'neg', (u'not', u'RB')), ((u'explained', u'VBN'), u'advmod', (u'well', u'RB')), ((u'well', u'RB'), u'advmod', (u'very', u'RB')), ((u'explained', u'VBN'), u'parataxis', (u'missing', u'VBG')), ((u'missing', u'VBG'), u'dobj', (u'step', u'NN')), ((u'missing', u'VBG'), u'nmod', (u'guidance', u'NN')), ((u'guidance', u'NN'), u'case', (u'by', u'IN')), ((u'guidance', u'NN'), u'compound', (u'step', u'NN'))]]"
5738,CpOs5DyhEea_QBJ9iBnl3w,"Unfortunately, the content of the course is poor. Too many interviews and some of them are pointless. ","[[((u'poor', u'JJ'), u'advmod', (u'Unfortunately', u'RB')), ((u'poor', u'JJ'), u'nsubj', (u'content', u'NN')), ((u'content', u'NN'), u'det', (u'the', u'DT')), ((u'content', u'NN'), u'nmod', (u'course', u'NN')), ((u'course', u'NN'), u'case', (u'of', u'IN')), ((u'course', u'NN'), u'det', (u'the', u'DT')), ((u'poor', u'JJ'), u'cop', (u'is', u'VBZ'))], [((u'pointless', u'JJ'), u'nsubj', (u'interviews', u'NNS')), ((u'interviews', u'NNS'), u'advmod', (u'Too', u'RB')), ((u'interviews', u'NNS'), u'amod', (u'many', u'JJ')), ((u'interviews', u'NNS'), u'cc', (u'and', u'CC')), ((u'interviews', u'NNS'), u'conj', (u'some', u'DT')), ((u'some', u'DT'), u'nmod', (u'them', u'PRP')), ((u'them', u'PRP'), u'case', (u'of', u'IN')), ((u'pointless', u'JJ'), u'cop', (u'are', u'VBP'))]]"
5739,CpOs5DyhEea_QBJ9iBnl3w,"The content is too basic, and both lectures are too boring. ","[[((u'basic', u'JJ'), u'nsubj', (u'content', u'NN')), ((u'content', u'NN'), u'det', (u'The', u'DT')), ((u'basic', u'JJ'), u'cop', (u'is', u'VBZ')), ((u'basic', u'JJ'), u'advmod', (u'too', u'RB')), ((u'basic', u'JJ'), u'cc', (u'and', u'CC')), ((u'basic', u'JJ'), u'conj', (u'boring', u'JJ')), ((u'boring', u'JJ'), u'nsubj', (u'lectures', u'NN')), ((u'lectures', u'NN'), u'det', (u'both', u'DT')), ((u'boring', u'JJ'), u'cop', (u'are', u'VBP')), ((u'boring', u'JJ'), u'advmod', (u'too', u'RB'))]]"
5740,CpOs5DyhEea_QBJ9iBnl3w,Awesome Professors Great Material. Very thankful to Coursera for providing this course. ,"[[((u'Material', u'NNP'), u'compound', (u'Awesome', u'NNP')), ((u'Material', u'NNP'), u'compound', (u'Professors', u'NNP')), ((u'Material', u'NNP'), u'compound', (u'Great', u'NNP'))], [((u'thankful', u'JJ'), u'advmod', (u'Very', u'RB')), ((u'thankful', u'JJ'), u'nmod', (u'Coursera', u'NNP')), ((u'Coursera', u'NNP'), u'case', (u'to', u'TO')), ((u'Coursera', u'NNP'), u'acl', (u'providing', u'VBG')), ((u'providing', u'VBG'), u'mark', (u'for', u'IN')), ((u'providing', u'VBG'), u'dobj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'this', u'DT'))]]"
5741,CpOs5DyhEea_QBJ9iBnl3w,I love it. Would be cool to be able download all materials in one big. zip file (e. g for searching using grep) ;-),"[[((u'love', u'VBP'), u'nsubj', (u'I', u'PRP')), ((u'love', u'VBP'), u'dobj', (u'it', u'PRP'))], [((u'cool', u'JJ'), u'aux', (u'Would', u'MD')), ((u'cool', u'JJ'), u'cop', (u'be', u'VB')), ((u'cool', u'JJ'), u'xcomp', (u'able', u'JJ')), ((u'able', u'JJ'), u'mark', (u'to', u'TO')), ((u'able', u'JJ'), u'cop', (u'be', u'VB')), ((u'able', u'JJ'), u'ccomp', (u'download', u'VB')), ((u'download', u'VB'), u'xcomp', (u'big', u'JJ')), ((u'big', u'JJ'), u'nsubj', (u'materials', u'NNS')), ((u'materials', u'NNS'), u'det', (u'all', u'DT')), ((u'materials', u'NNS'), u'nmod', (u'one', u'CD')), ((u'one', u'CD'), u'case', (u'in', u'IN'))], [((u'zip', u'VB'), u'dobj', (u'file', u'NN')), ((u'file', u'NN'), u'dep', (u'g', u'NN')), ((u'g', u'NN'), u'compound', (u'e.', u'NN')), ((u'g', u'NN'), u'acl', (u'searching', u'VBG')), ((u'searching', u'VBG'), u'mark', (u'for', u'IN')), ((u'searching', u'VBG'), u'advcl', (u'using', u'VBG')), ((u'using', u'VBG'), u'dobj', (u'grep', u'NN')), ((u'zip', u'VB'), u'advcl', (u'-', u'NN'))]]"
5742,CpOs5DyhEea_QBJ9iBnl3w,"instructions for assignments are not clear Lectures are good, but its practically impossible to get the certificate. ","[[((u'clear', u'JJ'), u'nsubj', (u'instructions', u'NNS')), ((u'instructions', u'NNS'), u'nmod', (u'assignments', u'NNS')), ((u'assignments', u'NNS'), u'case', (u'for', u'IN')), ((u'clear', u'JJ'), u'cop', (u'are', u'VBP')), ((u'clear', u'JJ'), u'neg', (u'not', u'RB')), ((u'clear', u'JJ'), u'ccomp', (u'good', u'JJ')), ((u'good', u'JJ'), u'nsubj', (u'Lectures', u'NNP')), ((u'good', u'JJ'), u'cop', (u'are', u'VBP')), ((u'clear', u'JJ'), u'cc', (u'but', u'CC')), ((u'clear', u'JJ'), u'conj', (u'impossible', u'JJ')), ((u'impossible', u'JJ'), u'dep', (u'practically', u'NN')), ((u'practically', u'NN'), u'nmod:poss', (u'its', u'PRP$')), ((u'impossible', u'JJ'), u'xcomp', (u'get', u'VB')), ((u'get', u'VB'), u'mark', (u'to', u'TO')), ((u'get', u'VB'), u'dobj', (u'certificate', u'NN')), ((u'certificate', u'NN'), u'det', (u'the', u'DT'))]]"
5743,CpOs5DyhEea_QBJ9iBnl3w,"Overall , it is a very interesting course. But I would like to say , that there are too many interviews. I think that it is a little bit difficult for some non-native speaker to understand the main and important things from the interview, because some interviewers talked in a very loose way. So I would suggest our teacher , to summarize the main points of those interview in a better way. ","[[((u'course', u'NN'), u'advmod', (u'Overall', u'RB')), ((u'course', u'NN'), u'nsubj', (u'it', u'PRP')), ((u'course', u'NN'), u'cop', (u'is', u'VBZ')), ((u'course', u'NN'), u'det', (u'a', u'DT')), ((u'course', u'NN'), u'amod', (u'interesting', u'JJ')), ((u'interesting', u'JJ'), u'advmod', (u'very', u'RB'))], [((u'like', u'VB'), u'cc', (u'But', u'CC')), ((u'like', u'VB'), u'nsubj', (u'I', u'PRP')), ((u'like', u'VB'), u'aux', (u'would', u'MD')), ((u'like', u'VB'), u'xcomp', (u'say', u'VB')), ((u'say', u'VB'), u'mark', (u'to', u'TO')), ((u'like', u'VB'), u'ccomp', (u'are', u'VBP')), ((u'are', u'VBP'), u'mark', (u'that', u'IN')), ((u'are', u'VBP'), u'expl', (u'there', u'EX')), ((u'are', u'VBP'), u'nsubj', (u'interviews', u'NNS')), ((u'interviews', u'NNS'), u'amod', (u'many', u'JJ')), ((u'many', u'JJ'), u'advmod', (u'too', u'RB'))], [((u'think', u'VBP'), u'nsubj', (u'I', u'PRP')), ((u'think', u'VBP'), u'ccomp', (u'difficult', u'JJ')), ((u'difficult', u'JJ'), u'mark', (u'that', u'IN')), ((u'difficult', u'JJ'), u'nsubj', (u'it', u'PRP')), ((u'difficult', u'JJ'), u'cop', (u'is', u'VBZ')), ((u'difficult', u'JJ'), u'nmod:npmod', (u'bit', u'NN')), ((u'bit', u'NN'), u'det', (u'a', u'DT')), ((u'bit', u'NN'), u'amod', (u'little', u'JJ')), ((u'difficult', u'JJ'), u'nmod', (u'speaker', u'NN')), ((u'speaker', u'NN'), u'case', (u'for', u'IN')), ((u'speaker', u'NN'), u'det', (u'some', u'DT')), ((u'speaker', u'NN'), u'amod', (u'non-native', u'JJ')), ((u'difficult', u'JJ'), u'xcomp', (u'understand', u'VB')), ((u'understand', u'VB'), u'mark', (u'to', u'TO')), ((u'understand', u'VB'), u'dobj', (u'things', u'NNS')), ((u'things', u'NNS'), u'det', (u'the', u'DT')), ((u'things', u'NNS'), u'amod', (u'main', u'JJ')), ((u'main', u'JJ'), u'cc', (u'and', u'CC')), ((u'main', u'JJ'), u'conj', (u'important', u'JJ')), ((u'understand', u'VB'), u'nmod', (u'interview', u'NN')), ((u'interview', u'NN'), u'case', (u'from', u'IN')), ((u'interview', u'NN'), u'det', (u'the', u'DT')), ((u'difficult', u'JJ'), u'advcl', (u'talked', u'VBD')), ((u'talked', u'VBD'), u'mark', (u'because', u'IN')), ((u'talked', u'VBD'), u'nsubj', (u'interviewers', u'NNS')), ((u'interviewers', u'NNS'), u'det', (u'some', u'DT')), ((u'talked', u'VBD'), u'nmod', (u'way', u'NN')), ((u'way', u'NN'), u'case', (u'in', u'IN')), ((u'way', u'NN'), u'det', (u'a', u'DT')), ((u'way', u'NN'), u'amod', (u'loose', u'JJ')), ((u'loose', u'JJ'), u'advmod', (u'very', u'RB'))], [((u'suggest', u'VB'), u'dep', (u'So', u'IN')), ((u'suggest', u'VB'), u'nsubj', (u'I', u'PRP')), ((u'suggest', u'VB'), u'aux', (u'would', u'MD')), ((u'suggest', u'VB'), u'dobj', (u'teacher', u'NN')), ((u'teacher', u'NN'), u'nmod:poss', (u'our', u'PRP$')), ((u'suggest', u'VB'), u'advcl', (u'summarize', u'VB')), ((u'summarize', u'VB'), u'mark', (u'to', u'TO')), ((u'summarize', u'VB'), u'dobj', (u'points', u'NNS')), ((u'points', u'NNS'), u'det', (u'the', u'DT')), ((u'points', u'NNS'), u'amod', (u'main', u'JJ')), ((u'points', u'NNS'), u'nmod', (u'interview', u'NN')), ((u'interview', u'NN'), u'case', (u'of', u'IN')), ((u'interview', u'NN'), u'det', (u'those', u'DT')), ((u'interview', u'NN'), u'nmod', (u'way', u'NN')), ((u'way', u'NN'), u'case', (u'in', u'IN')), ((u'way', u'NN'), u'det', (u'a', u'DT')), ((u'way', u'NN'), u'amod', (u'better', u'JJR'))]]"
5744,CpOs5DyhEea_QBJ9iBnl3w,"Excellent course providing not only the knowledge of algorithms but also useful insights into developing and maintaining recommender systems. Only thing that could use some work is the assignments. Spreadsheet assignment in week 4 is poorly designed (as evidenced by many forum threads with people not knowing what is it that the authors actually want). Other than that, that was an extremely helpful course. ","[[((u'course', u'NN'), u'amod', (u'Excellent', u'JJ')), ((u'course', u'NN'), u'acl', (u'providing', u'VBG')), ((u'providing', u'VBG'), u'advmod', (u'only', u'RB')), ((u'only', u'RB'), u'dep', (u'not', u'RB')), ((u'providing', u'VBG'), u'dobj', (u'knowledge', u'NN')), ((u'knowledge', u'NN'), u'det', (u'the', u'DT')), ((u'knowledge', u'NN'), u'nmod', (u'insights', u'NNS')), ((u'insights', u'NNS'), u'case', (u'of', u'IN')), ((u'insights', u'NNS'), u'amod', (u'useful', u'JJ')), ((u'useful', u'JJ'), u'dep', (u'algorithms', u'JJ')), ((u'useful', u'JJ'), u'cc', (u'but', u'CC')), ((u'useful', u'JJ'), u'advmod', (u'also', u'RB')), ((u'providing', u'VBG'), u'advcl', (u'developing', u'VBG')), ((u'developing', u'VBG'), u'mark', (u'into', u'IN')), ((u'developing', u'VBG'), u'cc', (u'and', u'CC')), ((u'developing', u'VBG'), u'conj', (u'maintaining', u'VBG')), ((u'developing', u'VBG'), u'dobj', (u'systems', u'NNS')), ((u'systems', u'NNS'), u'compound', (u'recommender', u'NN'))], [((u'assignments', u'NNS'), u'nsubj', (u'thing', u'NN')), ((u'thing', u'NN'), u'advmod', (u'Only', u'RB')), ((u'thing', u'NN'), u'acl:relcl', (u'use', u'VB')), ((u'use', u'VB'), u'nsubj', (u'that', u'WDT')), ((u'use', u'VB'), u'aux', (u'could', u'MD')), ((u'use', u'VB'), u'dobj', (u'work', u'NN')), ((u'work', u'NN'), u'det', (u'some', u'DT')), ((u'assignments', u'NNS'), u'cop', (u'is', u'VBZ')), ((u'assignments', u'NNS'), u'det', (u'the', u'DT'))], [((u'designed', u'VBN'), u'nsubjpass', (u'assignment', u'NN')), ((u'assignment', u'NN'), u'amod', (u'Spreadsheet', u'JJ')), ((u'assignment', u'NN'), u'nmod', (u'week', u'NN')), ((u'week', u'NN'), u'case', (u'in', u'IN')), ((u'week', u'NN'), u'nummod', (u'4', u'CD')), ((u'designed', u'VBN'), u'auxpass', (u'is', u'VBZ')), ((u'designed', u'VBN'), u'advmod', (u'poorly', u'RB')), ((u'designed', u'VBN'), u'parataxis', (u'evidenced', u'VBN')), ((u'evidenced', u'VBN'), u'mark', (u'as', u'IN')), ((u'evidenced', u'VBN'), u'advcl', (u'knowing', u'VBG')), ((u'knowing', u'VBG'), u'mark', (u'by', u'IN')), ((u'knowing', u'VBG'), u'nsubj', (u'threads', u'NNS')), ((u'threads', u'NNS'), u'amod', (u'many', u'JJ')), ((u'threads', u'NNS'), u'compound', (u'forum', u'NN')), ((u'threads', u'NNS'), u'nmod', (u'people', u'NNS')), ((u'people', u'NNS'), u'case', (u'with', u'IN')), ((u'knowing', u'VBG'), u'neg', (u'not', u'RB')), ((u'knowing', u'VBG'), u'ccomp', (u'it', u'PRP')), ((u'it', u'PRP'), u'nsubj', (u'what', u'WP')), ((u'it', u'PRP'), u'cop', (u'is', u'VBZ')), ((u'it', u'PRP'), u'ccomp', (u'want', u'VBP')), ((u'want', u'VBP'), u'mark', (u'that', u'IN')), ((u'want', u'VBP'), u'nsubj', (u'authors', u'NNS')), ((u'authors', u'NNS'), u'det', (u'the', u'DT')), ((u'want', u'VBP'), u'advmod', (u'actually', u'RB'))], [((u'Other', u'JJ'), u'nmod', (u'that', u'DT')), ((u'that', u'DT'), u'case', (u'than', u'IN')), ((u'that', u'DT'), u'acl:relcl', (u'course', u'NN')), ((u'course', u'NN'), u'nsubj', (u'that', u'WDT')), ((u'course', u'NN'), u'cop', (u'was', u'VBD')), ((u'course', u'NN'), u'det', (u'an', u'DT')), ((u'course', u'NN'), u'amod', (u'helpful', u'JJ')), ((u'helpful', u'JJ'), u'advmod', (u'extremely', u'RB'))]]"
5745,CpOs5DyhEea_QBJ9iBnl3w,Very good content Very interesting interviews with expert in the field that shows real examples. However the exercise needs a bit more work to be very useful. ,"[[((u'Very', u'VBD'), u'nsubj', (u'content', u'NN')), ((u'content', u'NN'), u'amod', (u'good', u'JJ')), ((u'good', u'JJ'), u'advmod', (u'Very', u'RB')), ((u'Very', u'VBD'), u'dobj', (u'interviews', u'NNS')), ((u'interviews', u'NNS'), u'amod', (u'interesting', u'JJ')), ((u'Very', u'VBD'), u'nmod', (u'expert', u'NN')), ((u'expert', u'NN'), u'case', (u'with', u'IN')), ((u'Very', u'VBD'), u'nmod', (u'field', u'NN')), ((u'field', u'NN'), u'case', (u'in', u'IN')), ((u'field', u'NN'), u'det', (u'the', u'DT')), ((u'field', u'NN'), u'acl:relcl', (u'shows', u'VBZ')), ((u'shows', u'VBZ'), u'nsubj', (u'that', u'WDT')), ((u'shows', u'VBZ'), u'dobj', (u'examples', u'NNS')), ((u'examples', u'NNS'), u'amod', (u'real', u'JJ'))], [((u'needs', u'VBZ'), u'advmod', (u'However', u'RB')), ((u'needs', u'VBZ'), u'nsubj', (u'exercise', u'NN')), ((u'exercise', u'NN'), u'det', (u'the', u'DT')), ((u'needs', u'VBZ'), u'dobj', (u'work', u'NN')), ((u'work', u'NN'), u'amod', (u'more', u'JJR')), ((u'more', u'JJR'), u'nmod:npmod', (u'bit', u'RB')), ((u'bit', u'RB'), u'det', (u'a', u'DT')), ((u'work', u'NN'), u'acl', (u'useful', u'JJ')), ((u'useful', u'JJ'), u'mark', (u'to', u'TO')), ((u'useful', u'JJ'), u'cop', (u'be', u'VB')), ((u'useful', u'JJ'), u'advmod', (u'very', u'RB'))]]"
5746,CpOs5DyhEea_QBJ9iBnl3w,"I think this is very useful for introductory, but it lacks some references for who wants go deeper. ","[[((u'think', u'VBP'), u'nsubj', (u'I', u'PRP')), ((u'think', u'VBP'), u'ccomp', (u'useful', u'JJ')), ((u'useful', u'JJ'), u'nsubj', (u'this', u'DT')), ((u'useful', u'JJ'), u'cop', (u'is', u'VBZ')), ((u'useful', u'JJ'), u'advmod', (u'very', u'RB')), ((u'useful', u'JJ'), u'nmod', (u'introductory', u'NNP')), ((u'introductory', u'NNP'), u'case', (u'for', u'IN')), ((u'think', u'VBP'), u'cc', (u'but', u'CC')), ((u'think', u'VBP'), u'conj', (u'lacks', u'VBZ')), ((u'lacks', u'VBZ'), u'nsubj', (u'it', u'PRP')), ((u'lacks', u'VBZ'), u'dobj', (u'references', u'NNS')), ((u'references', u'NNS'), u'det', (u'some', u'DT')), ((u'references', u'NNS'), u'acl', (u'wants', u'VBZ')), ((u'wants', u'VBZ'), u'mark', (u'for', u'IN')), ((u'wants', u'VBZ'), u'nsubj', (u'who', u'WP')), ((u'wants', u'VBZ'), u'xcomp', (u'go', u'VB')), ((u'go', u'VB'), u'advmod', (u'deeper', u'RBR'))]]"
