,course_id,comment,parsed_sent
5657,Fo72zMekEeWrYA6c7hw6vQ,Great course in NLP which provides a broad overview of the topic. The programming assignments can make you confident in solving NLP-based problems in business applications. ,"[[((u'course', u'NN'), u'amod', (u'Great', u'JJ')), ((u'course', u'NN'), u'nmod', (u'NLP', u'NNP')), ((u'NLP', u'NNP'), u'case', (u'in', u'IN')), ((u'NLP', u'NNP'), u'acl:relcl', (u'provides', u'VBZ')), ((u'provides', u'VBZ'), u'nsubj', (u'which', u'WDT')), ((u'provides', u'VBZ'), u'dobj', (u'overview', u'NN')), ((u'overview', u'NN'), u'det', (u'a', u'DT')), ((u'overview', u'NN'), u'amod', (u'broad', u'JJ')), ((u'overview', u'NN'), u'nmod', (u'topic', u'NN')), ((u'topic', u'NN'), u'case', (u'of', u'IN')), ((u'topic', u'NN'), u'det', (u'the', u'DT'))], [((u'make', u'VB'), u'nsubj', (u'assignments', u'NNS')), ((u'assignments', u'NNS'), u'det', (u'The', u'DT')), ((u'assignments', u'NNS'), u'compound', (u'programming', u'NN')), ((u'make', u'VB'), u'aux', (u'can', u'MD')), ((u'make', u'VB'), u'xcomp', (u'confident', u'JJ')), ((u'confident', u'JJ'), u'nsubj', (u'you', u'PRP')), ((u'confident', u'JJ'), u'advcl', (u'solving', u'VBG')), ((u'solving', u'VBG'), u'mark', (u'in', u'IN')), ((u'solving', u'VBG'), u'dobj', (u'problems', u'NNS')), ((u'problems', u'NNS'), u'amod', (u'NLP-based', u'JJ')), ((u'solving', u'VBG'), u'nmod', (u'applications', u'NNS')), ((u'applications', u'NNS'), u'case', (u'in', u'IN')), ((u'applications', u'NNS'), u'compound', (u'business', u'NN'))]]"
5658,Fo72zMekEeWrYA6c7hw6vQ,Its a tough course but worth it More in depth details will be much better. Coding Assignments can be explained much better. In this course there is problem in understanding coding assignment details as in some cases they are not explained correctly. ,"[[((u'better', u'JJR'), u'dep', (u'course', u'NN')), ((u'course', u'NN'), u'nmod:poss', (u'Its', u'PRP$')), ((u'course', u'NN'), u'det', (u'a', u'DT')), ((u'course', u'NN'), u'amod', (u'tough', u'JJ')), ((u'course', u'NN'), u'cc', (u'but', u'CC')), ((u'course', u'NN'), u'conj', (u'worth', u'JJ')), ((u'better', u'JJR'), u'nsubj', (u'it', u'PRP')), ((u'better', u'JJR'), u'advmod', (u'More', u'RBR')), ((u'More', u'RBR'), u'nmod', (u'details', u'NNS')), ((u'details', u'NNS'), u'case', (u'in', u'IN')), ((u'details', u'NNS'), u'compound', (u'depth', u'NN')), ((u'better', u'JJR'), u'aux', (u'will', u'MD')), ((u'better', u'JJR'), u'cop', (u'be', u'VB')), ((u'better', u'JJR'), u'advmod', (u'much', u'RB'))], [((u'explained', u'VBN'), u'nsubjpass', (u'Assignments', u'NNP')), ((u'Assignments', u'NNP'), u'compound', (u'Coding', u'NNP')), ((u'explained', u'VBN'), u'aux', (u'can', u'MD')), ((u'explained', u'VBN'), u'auxpass', (u'be', u'VB')), ((u'explained', u'VBN'), u'xcomp', (u'better', u'JJR')), ((u'better', u'JJR'), u'advmod', (u'much', u'RB'))], [((u'is', u'VBZ'), u'nmod', (u'course', u'NN')), ((u'course', u'NN'), u'case', (u'In', u'IN')), ((u'course', u'NN'), u'det', (u'this', u'DT')), ((u'is', u'VBZ'), u'expl', (u'there', u'EX')), ((u'is', u'VBZ'), u'nsubj', (u'problem', u'NN')), ((u'problem', u'NN'), u'acl', (u'understanding', u'VBG')), ((u'understanding', u'VBG'), u'mark', (u'in', u'IN')), ((u'understanding', u'VBG'), u'dobj', (u'details', u'NNS')), ((u'details', u'NNS'), u'amod', (u'coding', u'JJ')), ((u'details', u'NNS'), u'compound', (u'assignment', u'NN')), ((u'understanding', u'VBG'), u'advcl', (u'explained', u'VBN')), ((u'explained', u'VBN'), u'mark', (u'as', u'IN')), ((u'explained', u'VBN'), u'nmod', (u'cases', u'NNS')), ((u'cases', u'NNS'), u'case', (u'in', u'IN')), ((u'cases', u'NNS'), u'det', (u'some', u'DT')), ((u'explained', u'VBN'), u'nsubjpass', (u'they', u'PRP')), ((u'explained', u'VBN'), u'auxpass', (u'are', u'VBP')), ((u'explained', u'VBN'), u'neg', (u'not', u'RB')), ((u'explained', u'VBN'), u'advmod', (u'correctly', u'RB'))]]"
5659,Fo72zMekEeWrYA6c7hw6vQ,"I got very good introduction not only for NLP but also for other adjacent topics like ML, probability theory, linear algebra. Highly recommend if you want to get involved in these topics. ","[[((u'got', u'VBD'), u'nsubj', (u'I', u'PRP')), ((u'got', u'VBD'), u'dobj', (u'introduction', u'NN')), ((u'introduction', u'NN'), u'amod', (u'good', u'JJ')), ((u'good', u'JJ'), u'advmod', (u'very', u'RB')), ((u'got', u'VBD'), u'nmod', (u'NLP', u'NNP')), ((u'NLP', u'NNP'), u'cc:preconj', (u'only', u'JJ')), ((u'only', u'JJ'), u'neg', (u'not', u'RB')), ((u'NLP', u'NNP'), u'case', (u'for', u'IN')), ((u'NLP', u'NNP'), u'cc', (u'but', u'CC')), ((u'NLP', u'NNP'), u'conj', (u'topics', u'NNS')), ((u'topics', u'NNS'), u'advmod', (u'also', u'RB')), ((u'topics', u'NNS'), u'case', (u'for', u'IN')), ((u'topics', u'NNS'), u'amod', (u'other', u'JJ')), ((u'topics', u'NNS'), u'amod', (u'adjacent', u'JJ')), ((u'got', u'VBD'), u'nmod', (u'ML', u'NNP')), ((u'ML', u'NNP'), u'case', (u'like', u'IN')), ((u'ML', u'NNP'), u'appos', (u'theory', u'NN')), ((u'theory', u'NN'), u'compound', (u'probability', u'NN')), ((u'theory', u'NN'), u'appos', (u'algebra', u'NN')), ((u'algebra', u'NN'), u'amod', (u'linear', u'JJ'))], [((u'recommend', u'VBP'), u'nsubj', (u'Highly', u'NNP')), ((u'recommend', u'VBP'), u'advcl', (u'want', u'VBP')), ((u'want', u'VBP'), u'mark', (u'if', u'IN')), ((u'want', u'VBP'), u'nsubj', (u'you', u'PRP')), ((u'want', u'VBP'), u'xcomp', (u'involved', u'VBN')), ((u'involved', u'VBN'), u'mark', (u'to', u'TO')), ((u'involved', u'VBN'), u'auxpass', (u'get', u'VB')), ((u'involved', u'VBN'), u'nmod', (u'topics', u'NNS')), ((u'topics', u'NNS'), u'case', (u'in', u'IN')), ((u'topics', u'NNS'), u'det', (u'these', u'DT'))]]"
5660,Fo72zMekEeWrYA6c7hw6vQ,An ambitious sweep across the NLP landscape. Requires at least intermediate knowledge of Python; especially the programming assignments are barely doable without advanced debugging skills. Exercises often refer to material not covered in the course up to that point. ,"[[((u'sweep', u'NN'), u'det', (u'An', u'DT')), ((u'sweep', u'NN'), u'amod', (u'ambitious', u'JJ')), ((u'sweep', u'NN'), u'nmod', (u'landscape', u'NN')), ((u'landscape', u'NN'), u'case', (u'across', u'IN')), ((u'landscape', u'NN'), u'det', (u'the', u'DT')), ((u'landscape', u'NN'), u'compound', (u'NLP', u'NNP'))], [((u'intermediate', u'VBZ'), u'nsubj', (u'Requires', u'NNS')), ((u'intermediate', u'VBZ'), u'advmod', (u'at', u'IN')), ((u'at', u'IN'), u'mwe', (u'least', u'JJS')), ((u'intermediate', u'VBZ'), u'dobj', (u'knowledge', u'NN')), ((u'knowledge', u'NN'), u'nmod', (u'Python', u'NNP')), ((u'Python', u'NNP'), u'case', (u'of', u'IN')), ((u'intermediate', u'VBZ'), u'parataxis', (u'doable', u'JJ')), ((u'doable', u'JJ'), u'advmod', (u'especially', u'RB')), ((u'doable', u'JJ'), u'nsubj', (u'assignments', u'NNS')), ((u'assignments', u'NNS'), u'det', (u'the', u'DT')), ((u'assignments', u'NNS'), u'compound', (u'programming', u'NN')), ((u'doable', u'JJ'), u'cop', (u'are', u'VBP')), ((u'doable', u'JJ'), u'advmod', (u'barely', u'RB')), ((u'doable', u'JJ'), u'nmod', (u'skills', u'NNS')), ((u'skills', u'NNS'), u'case', (u'without', u'IN')), ((u'skills', u'NNS'), u'amod', (u'advanced', u'JJ')), ((u'skills', u'NNS'), u'amod', (u'debugging', u'VBG'))], [((u'refer', u'VBP'), u'nsubj', (u'Exercises', u'NNS')), ((u'refer', u'VBP'), u'advmod', (u'often', u'RB')), ((u'refer', u'VBP'), u'nmod', (u'material', u'NN')), ((u'material', u'NN'), u'case', (u'to', u'TO')), ((u'material', u'NN'), u'neg', (u'not', u'RB')), ((u'material', u'NN'), u'acl', (u'covered', u'VBN')), ((u'covered', u'VBN'), u'nmod', (u'course', u'NN')), ((u'course', u'NN'), u'case', (u'in', u'IN')), ((u'course', u'NN'), u'det', (u'the', u'DT')), ((u'course', u'NN'), u'advmod', (u'up', u'RB')), ((u'up', u'RB'), u'nmod', (u'point', u'NN')), ((u'point', u'NN'), u'case', (u'to', u'TO')), ((u'point', u'NN'), u'det', (u'that', u'DT'))]]"
5661,Fo72zMekEeWrYA6c7hw6vQ,"Although the course seems to be very interesting and cover wide spectrum of NLP subjects, it is full with references to other materials some of them are no longer exist in the location given. Also the programming exercises quite often are detached from the material and also have references to materials that were not covered in lectures accompany them. My advice to author - made lectures and exercises more self-contained. Do not try to cover enormous amount of material during one week. Make exercised to be closely connected to the material given during that week. ","[[((u'full', u'JJ'), u'advcl', (u'seems', u'VBZ')), ((u'seems', u'VBZ'), u'mark', (u'Although', u'IN')), ((u'seems', u'VBZ'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'the', u'DT')), ((u'seems', u'VBZ'), u'xcomp', (u'interesting', u'JJ')), ((u'interesting', u'JJ'), u'mark', (u'to', u'TO')), ((u'interesting', u'JJ'), u'cop', (u'be', u'VB')), ((u'interesting', u'JJ'), u'advmod', (u'very', u'RB')), ((u'interesting', u'JJ'), u'cc', (u'and', u'CC')), ((u'interesting', u'JJ'), u'conj', (u'cover', u'VB')), ((u'cover', u'VB'), u'dobj', (u'spectrum', u'NN')), ((u'spectrum', u'NN'), u'amod', (u'wide', u'JJ')), ((u'spectrum', u'NN'), u'nmod', (u'subjects', u'NNS')), ((u'subjects', u'NNS'), u'case', (u'of', u'IN')), ((u'subjects', u'NNS'), u'compound', (u'NLP', u'NNP')), ((u'full', u'JJ'), u'nsubj', (u'it', u'PRP')), ((u'full', u'JJ'), u'cop', (u'is', u'VBZ')), ((u'full', u'JJ'), u'nmod', (u'references', u'NNS')), ((u'references', u'NNS'), u'case', (u'with', u'IN')), ((u'references', u'NNS'), u'nmod', (u'materials', u'NNS')), ((u'materials', u'NNS'), u'case', (u'to', u'TO')), ((u'materials', u'NNS'), u'amod', (u'other', u'JJ')), ((u'full', u'JJ'), u'ccomp', (u'exist', u'JJ')), ((u'exist', u'JJ'), u'nsubj', (u'some', u'DT')), ((u'some', u'DT'), u'nmod', (u'them', u'PRP')), ((u'them', u'PRP'), u'case', (u'of', u'IN')), ((u'exist', u'JJ'), u'cop', (u'are', u'VBP')), ((u'exist', u'JJ'), u'advmod', (u'longer', u'RBR')), ((u'longer', u'RBR'), u'neg', (u'no', u'RB')), ((u'exist', u'JJ'), u'nmod', (u'location', u'NN')), ((u'location', u'NN'), u'case', (u'in', u'IN')), ((u'location', u'NN'), u'det', (u'the', u'DT')), ((u'location', u'NN'), u'acl', (u'given', u'VBN'))], [((u'exercises', u'VBZ'), u'advmod', (u'Also', u'RB')), ((u'exercises', u'VBZ'), u'nsubj', (u'programming', u'NN')), ((u'programming', u'NN'), u'det', (u'the', u'DT')), ((u'exercises', u'VBZ'), u'advmod', (u'often', u'RB')), ((u'often', u'RB'), u'advmod', (u'quite', u'RB')), ((u'often', u'RB'), u'dep', (u'detached', u'VBN')), ((u'detached', u'VBN'), u'auxpass', (u'are', u'VBP')), ((u'detached', u'VBN'), u'nmod', (u'material', u'NN')), ((u'material', u'NN'), u'case', (u'from', u'IN')), ((u'material', u'NN'), u'det', (u'the', u'DT')), ((u'exercises', u'VBZ'), u'cc', (u'and', u'CC')), ((u'exercises', u'VBZ'), u'conj', (u'references', u'VBN')), ((u'references', u'VBN'), u'advmod', (u'also', u'RB')), ((u'references', u'VBN'), u'aux', (u'have', u'VBP')), ((u'references', u'VBN'), u'nmod', (u'materials', u'NNS')), ((u'materials', u'NNS'), u'case', (u'to', u'TO')), ((u'materials', u'NNS'), u'acl:relcl', (u'covered', u'VBN')), ((u'covered', u'VBN'), u'nsubjpass', (u'that', u'WDT')), ((u'covered', u'VBN'), u'auxpass', (u'were', u'VBD')), ((u'covered', u'VBN'), u'neg', (u'not', u'RB')), ((u'covered', u'VBN'), u'nmod', (u'lectures', u'NNP')), ((u'lectures', u'NNP'), u'case', (u'in', u'IN')), ((u'exercises', u'VBZ'), u'dep', (u'accompany', u'VB')), ((u'accompany', u'VB'), u'dobj', (u'them', u'PRP'))], [((u'lectures', u'VBZ'), u'nsubj', (u'advice', u'NN')), ((u'advice', u'NN'), u'nmod:poss', (u'My', u'PRP$')), ((u'advice', u'NN'), u'nmod', (u'author', u'NN')), ((u'author', u'NN'), u'case', (u'to', u'TO')), ((u'author', u'NN'), u'acl', (u'made', u'VBN')), ((u'lectures', u'VBZ'), u'cc', (u'and', u'CC')), ((u'lectures', u'VBZ'), u'conj', (u'exercises', u'VBZ')), ((u'lectures', u'VBZ'), u'xcomp', (u'self-contained', u'JJ')), ((u'self-contained', u'JJ'), u'advmod', (u'more', u'RBR'))], [((u'try', u'VB'), u'aux', (u'Do', u'VB')), ((u'try', u'VB'), u'neg', (u'not', u'RB')), ((u'try', u'VB'), u'xcomp', (u'cover', u'VB')), ((u'cover', u'VB'), u'mark', (u'to', u'TO')), ((u'cover', u'VB'), u'dobj', (u'amount', u'NN')), ((u'amount', u'NN'), u'amod', (u'enormous', u'JJ')), ((u'amount', u'NN'), u'nmod', (u'material', u'NN')), ((u'material', u'NN'), u'case', (u'of', u'IN')), ((u'cover', u'VB'), u'nmod', (u'one', u'CD')), ((u'one', u'CD'), u'case', (u'during', u'IN')), ((u'try', u'VB'), u'nmod:tmod', (u'week', u'NN'))], [((u'Make', u'VB'), u'dep', (u'exercised', u'VBN')), ((u'exercised', u'VBN'), u'xcomp', (u'connected', u'JJ')), ((u'connected', u'JJ'), u'mark', (u'to', u'TO')), ((u'connected', u'JJ'), u'cop', (u'be', u'VB')), ((u'connected', u'JJ'), u'advmod', (u'closely', u'RB')), ((u'connected', u'JJ'), u'nmod', (u'material', u'NN')), ((u'material', u'NN'), u'case', (u'to', u'TO')), ((u'material', u'NN'), u'det', (u'the', u'DT')), ((u'material', u'NN'), u'nmod', (u'week', u'NN')), ((u'week', u'NN'), u'case', (u'given', u'VBN')), ((u'week', u'NN'), u'case', (u'during', u'IN')), ((u'week', u'NN'), u'det', (u'that', u'DT'))]]"
5662,Fo72zMekEeWrYA6c7hw6vQ,"After about week 6, helpfulness decreased quite a lot. ","[[((u'decreased', u'VBD'), u'nmod', (u'week', u'NN')), ((u'week', u'NN'), u'case', (u'After', u'IN')), ((u'week', u'NN'), u'case', (u'about', u'IN')), ((u'week', u'NN'), u'nummod', (u'6', u'CD')), ((u'decreased', u'VBD'), u'nsubj', (u'helpfulness', u'NNS')), ((u'decreased', u'VBD'), u'dobj', (u'lot', u'NN')), ((u'lot', u'NN'), u'det:predet', (u'quite', u'PDT')), ((u'lot', u'NN'), u'det', (u'a', u'DT'))]]"
5663,Fo72zMekEeWrYA6c7hw6vQ,"Great overview of many of the most important topics of NLP. Practical examples and exploration of different approaches for each task (from first attempts to state of the art) make it easier to understand and absorb the theoretical content, while acquiring insight for concrete applications. ","[[((u'overview', u'NN'), u'amod', (u'Great', u'JJ')), ((u'overview', u'NN'), u'nmod', (u'many', u'JJ')), ((u'many', u'JJ'), u'case', (u'of', u'IN')), ((u'many', u'JJ'), u'nmod', (u'topics', u'NNS')), ((u'topics', u'NNS'), u'case', (u'of', u'IN')), ((u'topics', u'NNS'), u'det', (u'the', u'DT')), ((u'topics', u'NNS'), u'amod', (u'important', u'JJ')), ((u'important', u'JJ'), u'advmod', (u'most', u'RBS')), ((u'overview', u'NN'), u'nmod', (u'NLP', u'NNP')), ((u'NLP', u'NNP'), u'case', (u'of', u'IN'))], [((u'make', u'VBP'), u'nsubj', (u'examples', u'NNS')), ((u'examples', u'NNS'), u'amod', (u'Practical', u'JJ')), ((u'examples', u'NNS'), u'cc', (u'and', u'CC')), ((u'examples', u'NNS'), u'conj', (u'exploration', u'NN')), ((u'exploration', u'NN'), u'nmod', (u'approaches', u'NNS')), ((u'approaches', u'NNS'), u'case', (u'of', u'IN')), ((u'approaches', u'NNS'), u'amod', (u'different', u'JJ')), ((u'approaches', u'NNS'), u'nmod', (u'task', u'NN')), ((u'task', u'NN'), u'case', (u'for', u'IN')), ((u'task', u'NN'), u'det', (u'each', u'DT')), ((u'task', u'NN'), u'nmod', (u'attempts', u'NNS')), ((u'attempts', u'NNS'), u'case', (u'from', u'IN')), ((u'attempts', u'NNS'), u'amod', (u'first', u'JJ')), ((u'attempts', u'NNS'), u'nmod', (u'state', u'NN')), ((u'state', u'NN'), u'case', (u'to', u'TO')), ((u'state', u'NN'), u'nmod', (u'art', u'NN')), ((u'art', u'NN'), u'case', (u'of', u'IN')), ((u'art', u'NN'), u'det', (u'the', u'DT')), ((u'make', u'VBP'), u'xcomp', (u'understand', u'VB')), ((u'understand', u'VB'), u'nsubj', (u'it', u'PRP')), ((u'understand', u'VB'), u'dep', (u'easier', u'RBR')), ((u'understand', u'VB'), u'mark', (u'to', u'TO')), ((u'understand', u'VB'), u'cc', (u'and', u'CC')), ((u'understand', u'VB'), u'conj', (u'absorb', u'VB')), ((u'understand', u'VB'), u'dobj', (u'content', u'NN')), ((u'content', u'NN'), u'det', (u'the', u'DT')), ((u'content', u'NN'), u'amod', (u'theoretical', u'JJ')), ((u'make', u'VBP'), u'advcl', (u'acquiring', u'VBG')), ((u'acquiring', u'VBG'), u'mark', (u'while', u'IN')), ((u'acquiring', u'VBG'), u'dobj', (u'insight', u'NN')), ((u'acquiring', u'VBG'), u'nmod', (u'applications', u'NNS')), ((u'applications', u'NNS'), u'case', (u'for', u'IN')), ((u'applications', u'NNS'), u'amod', (u'concrete', u'JJ'))]]"
5664,Fo72zMekEeWrYA6c7hw6vQ,The course skims through loads of topics. Need to go deep in some of them. ,"[[((u'skims', u'VBZ'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'The', u'DT')), ((u'skims', u'VBZ'), u'nmod', (u'loads', u'NNS')), ((u'loads', u'NNS'), u'case', (u'through', u'IN')), ((u'loads', u'NNS'), u'nmod', (u'topics', u'NNS')), ((u'topics', u'NNS'), u'case', (u'of', u'IN'))], [((u'Need', u'VBN'), u'xcomp', (u'go', u'VB')), ((u'go', u'VB'), u'mark', (u'to', u'TO')), ((u'go', u'VB'), u'advmod', (u'deep', u'RB')), ((u'go', u'VB'), u'nmod', (u'some', u'DT')), ((u'some', u'DT'), u'case', (u'in', u'IN')), ((u'some', u'DT'), u'nmod', (u'them', u'PRP')), ((u'them', u'PRP'), u'case', (u'of', u'IN'))]]"
5665,Fo72zMekEeWrYA6c7hw6vQ,Recommended for new users who want to learn NLP. ,"[[((u'Recommended', u'VBN'), u'nmod', (u'users', u'NNS')), ((u'users', u'NNS'), u'case', (u'for', u'IN')), ((u'users', u'NNS'), u'amod', (u'new', u'JJ')), ((u'users', u'NNS'), u'acl:relcl', (u'want', u'VBP')), ((u'want', u'VBP'), u'nsubj', (u'who', u'WP')), ((u'want', u'VBP'), u'xcomp', (u'learn', u'VB')), ((u'learn', u'VB'), u'mark', (u'to', u'TO')), ((u'learn', u'VB'), u'dobj', (u'NLP', u'NNP'))]]"
5666,Fo72zMekEeWrYA6c7hw6vQ,"A lot of good information, but I found it hard to retain most of it without a less dry style of presentation. Assignment were quite hard, and instructions were a bit too sketchy. ","[[((u'found', u'VBD'), u'nsubj', (u'lot', u'NN')), ((u'lot', u'NN'), u'det', (u'A', u'DT')), ((u'lot', u'NN'), u'nmod', (u'information', u'NN')), ((u'information', u'NN'), u'case', (u'of', u'IN')), ((u'information', u'NN'), u'amod', (u'good', u'JJ')), ((u'found', u'VBD'), u'advmod', (u'but', u'CC')), ((u'found', u'VBD'), u'nsubj', (u'I', u'PRP')), ((u'found', u'VBD'), u'xcomp', (u'hard', u'JJ')), ((u'hard', u'JJ'), u'nsubj', (u'it', u'PRP')), ((u'hard', u'JJ'), u'xcomp', (u'retain', u'VB')), ((u'retain', u'VB'), u'mark', (u'to', u'TO')), ((u'retain', u'VB'), u'dobj', (u'most', u'JJS')), ((u'most', u'JJS'), u'nmod', (u'it', u'PRP')), ((u'it', u'PRP'), u'case', (u'of', u'IN')), ((u'retain', u'VB'), u'nmod', (u'style', u'NN')), ((u'style', u'NN'), u'case', (u'without', u'IN')), ((u'style', u'NN'), u'det', (u'a', u'DT')), ((u'style', u'NN'), u'amod', (u'dry', u'JJ')), ((u'dry', u'JJ'), u'advmod', (u'less', u'RBR')), ((u'style', u'NN'), u'nmod', (u'presentation', u'NN')), ((u'presentation', u'NN'), u'case', (u'of', u'IN'))], [((u'hard', u'JJ'), u'nsubj', (u'Assignment', u'NNP')), ((u'hard', u'JJ'), u'cop', (u'were', u'VBD')), ((u'hard', u'JJ'), u'advmod', (u'quite', u'RB')), ((u'hard', u'JJ'), u'cc', (u'and', u'CC')), ((u'hard', u'JJ'), u'conj', (u'sketchy', u'JJ')), ((u'sketchy', u'JJ'), u'nsubj', (u'instructions', u'NNS')), ((u'sketchy', u'JJ'), u'cop', (u'were', u'VBD')), ((u'sketchy', u'JJ'), u'dep', (u'bit', u'RB')), ((u'bit', u'RB'), u'det', (u'a', u'DT')), ((u'sketchy', u'JJ'), u'advmod', (u'too', u'RB'))]]"
