,course_id,comment,parsed_sent
7440,H02KsW1DEeWXrA6ju0fvnQ,loved it - fascinating subject and more detail than you could possibly want from the course instructors. Friendly community in the forum too. ,"[[((u'subject', u'NN'), u'dep', (u'loved', u'VBD')), ((u'loved', u'VBD'), u'dobj', (u'it', u'PRP')), ((u'subject', u'NN'), u'amod', (u'fascinating', u'JJ')), ((u'subject', u'NN'), u'cc', (u'and', u'CC')), ((u'subject', u'NN'), u'conj', (u'detail', u'NN')), ((u'detail', u'NN'), u'amod', (u'more', u'JJR')), ((u'subject', u'NN'), u'dep', (u'want', u'VB')), ((u'want', u'VB'), u'mark', (u'than', u'IN')), ((u'want', u'VB'), u'nsubj', (u'you', u'PRP')), ((u'want', u'VB'), u'aux', (u'could', u'MD')), ((u'want', u'VB'), u'advmod', (u'possibly', u'RB')), ((u'want', u'VB'), u'nmod', (u'instructors', u'NNS')), ((u'instructors', u'NNS'), u'case', (u'from', u'IN')), ((u'instructors', u'NNS'), u'det', (u'the', u'DT')), ((u'instructors', u'NNS'), u'compound', (u'course', u'NN'))], [((u'community', u'NN'), u'compound', (u'Friendly', u'NNP')), ((u'community', u'NN'), u'nmod', (u'forum', u'NN')), ((u'forum', u'NN'), u'case', (u'in', u'IN')), ((u'forum', u'NN'), u'det', (u'the', u'DT')), ((u'community', u'NN'), u'advmod', (u'too', u'RB'))]]"
7441,H02KsW1DEeWXrA6ju0fvnQ,"By far the laziest course set up in the track. It's an interesting topic, but without independent study I would have learned almost nothing due to the lack of any practicals in this Practical Machine Learning. A really disappointing course that fails to be worth more than just a couple hours of youtube. ","[[((u'set', u'VBD'), u'advmod', (u'far', u'RB')), ((u'far', u'RB'), u'case', (u'By', u'IN')), ((u'set', u'VBD'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'the', u'DT')), ((u'course', u'NN'), u'compound', (u'laziest', u'NN')), ((u'set', u'VBD'), u'compound:prt', (u'up', u'RP')), ((u'set', u'VBD'), u'nmod', (u'track', u'NN')), ((u'track', u'NN'), u'case', (u'in', u'IN')), ((u'track', u'NN'), u'det', (u'the', u'DT'))], [((u'topic', u'NN'), u'nsubj', (u'It', u'PRP')), ((u'topic', u'NN'), u'cop', (u""'s"", u'VBZ')), ((u'topic', u'NN'), u'det', (u'an', u'DT')), ((u'topic', u'NN'), u'amod', (u'interesting', u'JJ')), ((u'topic', u'NN'), u'cc', (u'but', u'CC')), ((u'topic', u'NN'), u'conj', (u'learned', u'VBN')), ((u'learned', u'VBN'), u'nmod', (u'study', u'NN')), ((u'study', u'NN'), u'case', (u'without', u'IN')), ((u'study', u'NN'), u'amod', (u'independent', u'JJ')), ((u'learned', u'VBN'), u'nsubj', (u'I', u'PRP')), ((u'learned', u'VBN'), u'aux', (u'would', u'MD')), ((u'learned', u'VBN'), u'aux', (u'have', u'VB')), ((u'learned', u'VBN'), u'xcomp', (u'due', u'JJ')), ((u'due', u'JJ'), u'advmod', (u'almost', u'RB')), ((u'due', u'JJ'), u'nmod:npmod', (u'nothing', u'NN')), ((u'due', u'JJ'), u'nmod', (u'lack', u'NN')), ((u'lack', u'NN'), u'case', (u'to', u'TO')), ((u'lack', u'NN'), u'det', (u'the', u'DT')), ((u'lack', u'NN'), u'nmod', (u'practicals', u'NNS')), ((u'practicals', u'NNS'), u'case', (u'of', u'IN')), ((u'practicals', u'NNS'), u'det', (u'any', u'DT')), ((u'learned', u'VBN'), u'nmod', (u'Learning', u'NNP')), ((u'Learning', u'NNP'), u'case', (u'in', u'IN')), ((u'Learning', u'NNP'), u'det', (u'this', u'DT')), ((u'Learning', u'NNP'), u'compound', (u'Practical', u'NNP')), ((u'Learning', u'NNP'), u'compound', (u'Machine', u'NNP'))], [((u'course', u'NN'), u'det', (u'A', u'DT')), ((u'course', u'NN'), u'amod', (u'disappointing', u'JJ')), ((u'disappointing', u'JJ'), u'advmod', (u'really', u'RB')), ((u'course', u'NN'), u'acl:relcl', (u'fails', u'VBZ')), ((u'fails', u'VBZ'), u'nsubj', (u'that', u'WDT')), ((u'fails', u'VBZ'), u'xcomp', (u'worth', u'IN')), ((u'worth', u'IN'), u'mark', (u'to', u'TO')), ((u'worth', u'IN'), u'cop', (u'be', u'VB')), ((u'worth', u'IN'), u'dep', (u'hours', u'NNS')), ((u'hours', u'NNS'), u'nummod', (u'couple', u'NN')), ((u'couple', u'NN'), u'advmod', (u'more', u'JJR')), ((u'more', u'JJR'), u'mwe', (u'than', u'IN')), ((u'couple', u'NN'), u'advmod', (u'just', u'RB')), ((u'couple', u'NN'), u'advmod', (u'a', u'DT')), ((u'hours', u'NNS'), u'nmod', (u'youtube', u'NN')), ((u'youtube', u'NN'), u'case', (u'of', u'IN'))]]"
7442,H02KsW1DEeWXrA6ju0fvnQ,Some of the content are not designed in a way easy to digest especially for a novice people doesn't have a lot of background like me. I have to use google and read out of the lecture excessively to understand some of the points that were jumped or not mentioned in the lecture. Maybe they are self-evident to people in the domain of machine learning but they were hard for me. I wish the lecture could have explained them in more detail in a plainer way. ,"[[((u'designed', u'VBN'), u'nsubjpass', (u'Some', u'DT')), ((u'Some', u'DT'), u'nmod', (u'content', u'NN')), ((u'content', u'NN'), u'case', (u'of', u'IN')), ((u'content', u'NN'), u'det', (u'the', u'DT')), ((u'designed', u'VBN'), u'auxpass', (u'are', u'VBP')), ((u'designed', u'VBN'), u'neg', (u'not', u'RB')), ((u'designed', u'VBN'), u'nmod', (u'way', u'NN')), ((u'way', u'NN'), u'case', (u'in', u'IN')), ((u'way', u'NN'), u'det', (u'a', u'DT')), ((u'way', u'NN'), u'amod', (u'easy', u'JJ')), ((u'easy', u'JJ'), u'xcomp', (u'digest', u'VB')), ((u'digest', u'VB'), u'mark', (u'to', u'TO')), ((u'digest', u'VB'), u'advmod', (u'especially', u'RB')), ((u'digest', u'VB'), u'advcl', (u'have', u'VB')), ((u'have', u'VB'), u'mark', (u'for', u'IN')), ((u'have', u'VB'), u'nsubj', (u'people', u'NNS')), ((u'people', u'NNS'), u'det', (u'a', u'DT')), ((u'people', u'NNS'), u'compound', (u'novice', u'NN')), ((u'have', u'VB'), u'aux', (u'does', u'VBZ')), ((u'have', u'VB'), u'neg', (u""n't"", u'RB')), ((u'have', u'VB'), u'dobj', (u'lot', u'NN')), ((u'lot', u'NN'), u'det', (u'a', u'DT')), ((u'lot', u'NN'), u'nmod', (u'background', u'NN')), ((u'background', u'NN'), u'case', (u'of', u'IN')), ((u'have', u'VB'), u'nmod', (u'me', u'PRP')), ((u'me', u'PRP'), u'case', (u'like', u'IN'))], [((u'have', u'VBP'), u'nsubj', (u'I', u'PRP')), ((u'have', u'VBP'), u'xcomp', (u'use', u'VB')), ((u'use', u'VB'), u'mark', (u'to', u'TO')), ((u'use', u'VB'), u'dobj', (u'google', u'NN')), ((u'use', u'VB'), u'cc', (u'and', u'CC')), ((u'use', u'VB'), u'conj', (u'read', u'VB')), ((u'read', u'VB'), u'compound:prt', (u'out', u'RP')), ((u'read', u'VB'), u'nmod', (u'lecture', u'NN')), ((u'lecture', u'NN'), u'case', (u'of', u'IN')), ((u'lecture', u'NN'), u'det', (u'the', u'DT')), ((u'lecture', u'NN'), u'amod', (u'excessively', u'RB')), ((u'excessively', u'RB'), u'xcomp', (u'understand', u'VB')), ((u'understand', u'VB'), u'mark', (u'to', u'TO')), ((u'understand', u'VB'), u'dobj', (u'some', u'DT')), ((u'some', u'DT'), u'nmod', (u'points', u'NNS')), ((u'points', u'NNS'), u'case', (u'of', u'IN')), ((u'points', u'NNS'), u'det', (u'the', u'DT')), ((u'points', u'NNS'), u'acl:relcl', (u'jumped', u'VBN')), ((u'jumped', u'VBN'), u'nsubjpass', (u'that', u'WDT')), ((u'jumped', u'VBN'), u'auxpass', (u'were', u'VBD')), ((u'jumped', u'VBN'), u'cc', (u'or', u'CC')), ((u'jumped', u'VBN'), u'conj', (u'mentioned', u'VBN')), ((u'mentioned', u'VBN'), u'neg', (u'not', u'RB')), ((u'mentioned', u'VBN'), u'nmod', (u'lecture', u'NN')), ((u'lecture', u'NN'), u'case', (u'in', u'IN')), ((u'lecture', u'NN'), u'det', (u'the', u'DT'))], [((u'self-evident', u'JJ'), u'advmod', (u'Maybe', u'RB')), ((u'self-evident', u'JJ'), u'nsubj', (u'they', u'PRP')), ((u'self-evident', u'JJ'), u'cop', (u'are', u'VBP')), ((u'self-evident', u'JJ'), u'nmod', (u'people', u'NNS')), ((u'people', u'NNS'), u'case', (u'to', u'TO')), ((u'people', u'NNS'), u'nmod', (u'domain', u'NN')), ((u'domain', u'NN'), u'case', (u'in', u'IN')), ((u'domain', u'NN'), u'det', (u'the', u'DT')), ((u'domain', u'NN'), u'nmod', (u'learning', u'NN')), ((u'learning', u'NN'), u'case', (u'of', u'IN')), ((u'learning', u'NN'), u'compound', (u'machine', u'NN')), ((u'self-evident', u'JJ'), u'cc', (u'but', u'CC')), ((u'self-evident', u'JJ'), u'conj', (u'hard', u'JJ')), ((u'hard', u'JJ'), u'nsubj', (u'they', u'PRP')), ((u'hard', u'JJ'), u'cop', (u'were', u'VBD')), ((u'hard', u'JJ'), u'nmod', (u'me', u'PRP')), ((u'me', u'PRP'), u'case', (u'for', u'IN'))], [((u'wish', u'VBP'), u'nsubj', (u'I', u'PRP')), ((u'wish', u'VBP'), u'ccomp', (u'explained', u'VBN')), ((u'explained', u'VBN'), u'nsubj', (u'lecture', u'NN')), ((u'lecture', u'NN'), u'det', (u'the', u'DT')), ((u'explained', u'VBN'), u'aux', (u'could', u'MD')), ((u'explained', u'VBN'), u'aux', (u'have', u'VB')), ((u'explained', u'VBN'), u'dobj', (u'them', u'PRP')), ((u'explained', u'VBN'), u'nmod', (u'detail', u'NN')), ((u'detail', u'NN'), u'case', (u'in', u'IN')), ((u'detail', u'NN'), u'amod', (u'more', u'JJR')), ((u'detail', u'NN'), u'nmod', (u'way', u'NN')), ((u'way', u'NN'), u'case', (u'in', u'IN')), ((u'way', u'NN'), u'det', (u'a', u'DT')), ((u'way', u'NN'), u'compound', (u'plainer', u'NN'))]]"
7443,H02KsW1DEeWXrA6ju0fvnQ,Fantastic Class ,"[[((u'Class', u'NNP'), u'compound', (u'Fantastic', u'NNP'))]]"
7444,H02KsW1DEeWXrA6ju0fvnQ,I enjoyed detailed information and was very straight forward to understand. ,"[[((u'enjoyed', u'VBD'), u'nsubj', (u'I', u'PRP')), ((u'enjoyed', u'VBD'), u'dobj', (u'information', u'NN')), ((u'information', u'NN'), u'amod', (u'detailed', u'JJ')), ((u'enjoyed', u'VBD'), u'cc', (u'and', u'CC')), ((u'enjoyed', u'VBD'), u'conj', (u'straight', u'JJ')), ((u'straight', u'JJ'), u'cop', (u'was', u'VBD')), ((u'straight', u'JJ'), u'advmod', (u'very', u'RB')), ((u'straight', u'JJ'), u'dep', (u'understand', u'VB')), ((u'understand', u'VB'), u'advmod', (u'forward', u'RB')), ((u'understand', u'VB'), u'mark', (u'to', u'TO'))]]"
7445,H02KsW1DEeWXrA6ju0fvnQ,Great Course ,"[[((u'Course', u'NNP'), u'compound', (u'Great', u'NNP'))]]"
7446,H02KsW1DEeWXrA6ju0fvnQ,Very fine course in machine learning where the focus is more on the use of ML rather on the theory behind it i. e. the course title fits its contents. ,"[[((u'e.', u'VBP'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'amod', (u'fine', u'JJ')), ((u'fine', u'JJ'), u'advmod', (u'Very', u'RB')), ((u'course', u'NN'), u'nmod', (u'machine', u'NN')), ((u'machine', u'NN'), u'case', (u'in', u'IN')), ((u'machine', u'NN'), u'acl', (u'learning', u'VBG')), ((u'learning', u'VBG'), u'advcl', (u'more', u'JJR')), ((u'more', u'JJR'), u'advmod', (u'where', u'WRB')), ((u'more', u'JJR'), u'nsubj', (u'focus', u'NN')), ((u'focus', u'NN'), u'det', (u'the', u'DT')), ((u'more', u'JJR'), u'cop', (u'is', u'VBZ')), ((u'more', u'JJR'), u'nmod', (u'use', u'NN')), ((u'use', u'NN'), u'case', (u'on', u'IN')), ((u'use', u'NN'), u'det', (u'the', u'DT')), ((u'use', u'NN'), u'nmod', (u'ML', u'NNP')), ((u'ML', u'NNP'), u'case', (u'of', u'IN')), ((u'more', u'JJR'), u'nmod', (u'theory', u'NN')), ((u'theory', u'NN'), u'advmod', (u'rather', u'RB')), ((u'theory', u'NN'), u'case', (u'on', u'IN')), ((u'theory', u'NN'), u'det', (u'the', u'DT')), ((u'theory', u'NN'), u'nmod', (u'it', u'PRP')), ((u'it', u'PRP'), u'case', (u'behind', u'IN')), ((u'e.', u'VBP'), u'advmod', (u'i.', u'RB')), ((u'e.', u'VBP'), u'ccomp', (u'fits', u'VBZ')), ((u'fits', u'VBZ'), u'nsubj', (u'title', u'NN')), ((u'title', u'NN'), u'det', (u'the', u'DT')), ((u'title', u'NN'), u'compound', (u'course', u'NN')), ((u'fits', u'VBZ'), u'dobj', (u'contents', u'NNS')), ((u'contents', u'NNS'), u'nmod:poss', (u'its', u'PRP$'))]]"
7447,H02KsW1DEeWXrA6ju0fvnQ,"This course really demystified machine learning, and provided practical steps and guidance on how to create predictive models. While I do wish there were more resources on how to tune models and investigate specific model parameters, I understand that there just wasn't enough time. I couldn't imagine a better course for a solid foundation in this skill. ","[[((u'demystified', u'VBD'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'This', u'DT')), ((u'demystified', u'VBD'), u'advmod', (u'really', u'RB')), ((u'demystified', u'VBD'), u'dobj', (u'learning', u'NN')), ((u'learning', u'NN'), u'compound', (u'machine', u'NN')), ((u'demystified', u'VBD'), u'cc', (u'and', u'CC')), ((u'demystified', u'VBD'), u'conj', (u'provided', u'VBD')), ((u'provided', u'VBD'), u'dobj', (u'steps', u'NNS')), ((u'steps', u'NNS'), u'amod', (u'practical', u'JJ')), ((u'steps', u'NNS'), u'cc', (u'and', u'CC')), ((u'steps', u'NNS'), u'conj', (u'guidance', u'NN')), ((u'provided', u'VBD'), u'advcl', (u'create', u'VB')), ((u'create', u'VB'), u'mark', (u'on', u'IN')), ((u'create', u'VB'), u'advmod', (u'how', u'WRB')), ((u'create', u'VB'), u'mark', (u'to', u'TO')), ((u'create', u'VB'), u'dobj', (u'models', u'NNS')), ((u'models', u'NNS'), u'amod', (u'predictive', u'JJ'))], [((u'understand', u'VBP'), u'advcl', (u'do', u'VBP')), ((u'do', u'VBP'), u'mark', (u'While', u'IN')), ((u'do', u'VBP'), u'nsubj', (u'I', u'PRP')), ((u'do', u'VBP'), u'ccomp', (u'wish', u'VBP')), ((u'wish', u'VBP'), u'ccomp', (u'were', u'VBD')), ((u'were', u'VBD'), u'expl', (u'there', u'EX')), ((u'were', u'VBD'), u'nsubj', (u'resources', u'NNS')), ((u'resources', u'NNS'), u'amod', (u'more', u'JJR')), ((u'resources', u'NNS'), u'acl', (u'tune', u'VB')), ((u'tune', u'VB'), u'mark', (u'on', u'IN')), ((u'tune', u'VB'), u'advmod', (u'how', u'WRB')), ((u'tune', u'VB'), u'mark', (u'to', u'TO')), ((u'tune', u'VB'), u'dobj', (u'models', u'NNS')), ((u'tune', u'VB'), u'cc', (u'and', u'CC')), ((u'tune', u'VB'), u'conj', (u'investigate', u'VB')), ((u'investigate', u'VB'), u'dobj', (u'parameters', u'NNS')), ((u'parameters', u'NNS'), u'amod', (u'specific', u'JJ')), ((u'parameters', u'NNS'), u'compound', (u'model', u'NN')), ((u'understand', u'VBP'), u'nsubj', (u'I', u'PRP')), ((u'understand', u'VBP'), u'ccomp', (u'was', u'VBD')), ((u'was', u'VBD'), u'mark', (u'that', u'IN')), ((u'was', u'VBD'), u'expl', (u'there', u'EX')), ((u'was', u'VBD'), u'advmod', (u'just', u'RB')), ((u'was', u'VBD'), u'neg', (u""n't"", u'RB')), ((u'was', u'VBD'), u'nsubj', (u'time', u'NN')), ((u'time', u'NN'), u'amod', (u'enough', u'JJ'))], [((u'imagine', u'VB'), u'nsubj', (u'I', u'PRP')), ((u'imagine', u'VB'), u'aux', (u'could', u'MD')), ((u'imagine', u'VB'), u'neg', (u""n't"", u'RB')), ((u'imagine', u'VB'), u'dobj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'a', u'DT')), ((u'course', u'NN'), u'amod', (u'better', u'JJR')), ((u'imagine', u'VB'), u'nmod', (u'foundation', u'NN')), ((u'foundation', u'NN'), u'case', (u'for', u'IN')), ((u'foundation', u'NN'), u'det', (u'a', u'DT')), ((u'foundation', u'NN'), u'amod', (u'solid', u'JJ')), ((u'foundation', u'NN'), u'nmod', (u'skill', u'NN')), ((u'skill', u'NN'), u'case', (u'in', u'IN')), ((u'skill', u'NN'), u'det', (u'this', u'DT'))]]"
7448,H02KsW1DEeWXrA6ju0fvnQ,Good,[[]]
7449,H02KsW1DEeWXrA6ju0fvnQ,Good in introducing caret package and getting some experience in running algorithms. Was expecting more in-depth discussion about the methods though. ,"[[((u'Good', u'JJ'), u'advcl', (u'introducing', u'VBG')), ((u'introducing', u'VBG'), u'mark', (u'in', u'IN')), ((u'introducing', u'VBG'), u'dobj', (u'package', u'NN')), ((u'package', u'NN'), u'amod', (u'caret', u'JJ')), ((u'introducing', u'VBG'), u'cc', (u'and', u'CC')), ((u'introducing', u'VBG'), u'conj', (u'getting', u'VBG')), ((u'getting', u'VBG'), u'dobj', (u'experience', u'NN')), ((u'experience', u'NN'), u'det', (u'some', u'DT')), ((u'getting', u'VBG'), u'advcl', (u'running', u'VBG')), ((u'running', u'VBG'), u'mark', (u'in', u'IN')), ((u'running', u'VBG'), u'dobj', (u'algorithms', u'NNS'))], [((u'expecting', u'VBG'), u'aux', (u'Was', u'VBD')), ((u'expecting', u'VBG'), u'dobj', (u'discussion', u'NN')), ((u'discussion', u'NN'), u'amod', (u'more', u'JJR')), ((u'discussion', u'NN'), u'amod', (u'in-depth', u'JJ')), ((u'discussion', u'NN'), u'nmod', (u'methods', u'NNS')), ((u'methods', u'NNS'), u'case', (u'about', u'IN')), ((u'methods', u'NNS'), u'det', (u'the', u'DT')), ((u'expecting', u'VBG'), u'advmod', (u'though', u'RB'))]]"
