,course_id,comment,parsed_sent
7783,LgWwihnoEeWDtQoum3sFeQ,Awesome ,[[]]
7784,LgWwihnoEeWDtQoum3sFeQ,It gave me more confident about Front-End. Highly Recommend,"[[((u'gave', u'VBD'), u'nsubj', (u'It', u'PRP')), ((u'gave', u'VBD'), u'xcomp', (u'confident', u'JJ')), ((u'confident', u'JJ'), u'nsubj', (u'me', u'PRP')), ((u'confident', u'JJ'), u'advmod', (u'more', u'RBR')), ((u'confident', u'JJ'), u'advcl', (u'Front-End', u'JJ')), ((u'Front-End', u'JJ'), u'case', (u'about', u'IN'))], [((u'Recommend', u'NNP'), u'compound', (u'Highly', u'NNP'))]]"
7785,LgWwihnoEeWDtQoum3sFeQ,"The course explains HTML, CSS, and Javascript for complete beginners, although even more advanced users can still benefit from the course. The course material is very easy to follow, consists of both theory and hands-on examples. The instructor delivers awesome lectures, very easy to follow and understandable Definitely recommend it for anyone who either wants to learn these skills or those who might already know them but want to refresh their memory (like myself). ","[[((u'explains', u'VBZ'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'The', u'DT')), ((u'explains', u'VBZ'), u'dobj', (u'HTML', u'NNP')), ((u'HTML', u'NNP'), u'conj', (u'CSS', u'NNP')), ((u'HTML', u'NNP'), u'cc', (u'and', u'CC')), ((u'HTML', u'NNP'), u'conj', (u'Javascript', u'NNP')), ((u'explains', u'VBZ'), u'nmod', (u'beginners', u'NNS')), ((u'beginners', u'NNS'), u'case', (u'for', u'IN')), ((u'beginners', u'NNS'), u'amod', (u'complete', u'JJ')), ((u'explains', u'VBZ'), u'advcl', (u'benefit', u'VB')), ((u'benefit', u'VB'), u'mark', (u'although', u'IN')), ((u'benefit', u'VB'), u'nsubj', (u'users', u'NNS')), ((u'users', u'NNS'), u'amod', (u'advanced', u'JJ')), ((u'advanced', u'JJ'), u'advmod', (u'even', u'RB')), ((u'advanced', u'JJ'), u'advmod', (u'more', u'RBR')), ((u'benefit', u'VB'), u'aux', (u'can', u'MD')), ((u'benefit', u'VB'), u'advmod', (u'still', u'RB')), ((u'benefit', u'VB'), u'nmod', (u'course', u'NN')), ((u'course', u'NN'), u'case', (u'from', u'IN')), ((u'course', u'NN'), u'det', (u'the', u'DT'))], [((u'easy', u'JJ'), u'nsubj', (u'material', u'NN')), ((u'material', u'NN'), u'det', (u'The', u'DT')), ((u'material', u'NN'), u'compound', (u'course', u'NN')), ((u'easy', u'JJ'), u'cop', (u'is', u'VBZ')), ((u'easy', u'JJ'), u'advmod', (u'very', u'RB')), ((u'easy', u'JJ'), u'xcomp', (u'follow', u'VB')), ((u'follow', u'VB'), u'mark', (u'to', u'TO')), ((u'follow', u'VB'), u'dep', (u'consists', u'VBZ')), ((u'follow', u'VB'), u'nmod', (u'theory', u'NN')), ((u'theory', u'NN'), u'case', (u'of', u'IN')), ((u'theory', u'NN'), u'det', (u'both', u'DT')), ((u'theory', u'NN'), u'cc', (u'and', u'CC')), ((u'theory', u'NN'), u'conj', (u'examples', u'NNS')), ((u'examples', u'NNS'), u'amod', (u'hands-on', u'JJ'))], [((u'delivers', u'VBZ'), u'nsubj', (u'instructor', u'NN')), ((u'instructor', u'NN'), u'det', (u'The', u'DT')), ((u'delivers', u'VBZ'), u'xcomp', (u'awesome', u'JJ')), ((u'awesome', u'JJ'), u'ccomp', (u'lectures', u'VBZ')), ((u'awesome', u'JJ'), u'conj', (u'easy', u'JJ')), ((u'easy', u'JJ'), u'advmod', (u'very', u'RB')), ((u'easy', u'JJ'), u'xcomp', (u'follow', u'VB')), ((u'follow', u'VB'), u'mark', (u'to', u'TO')), ((u'awesome', u'JJ'), u'cc', (u'and', u'CC')), ((u'awesome', u'JJ'), u'conj', (u'understandable', u'JJ')), ((u'understandable', u'JJ'), u'ccomp', (u'recommend', u'VBP')), ((u'recommend', u'VBP'), u'nsubj', (u'Definitely', u'NNP')), ((u'recommend', u'VBP'), u'dobj', (u'it', u'PRP')), ((u'recommend', u'VBP'), u'nmod', (u'anyone', u'NN')), ((u'anyone', u'NN'), u'case', (u'for', u'IN')), ((u'anyone', u'NN'), u'acl:relcl', (u'wants', u'VBZ')), ((u'wants', u'VBZ'), u'nsubj', (u'who', u'WP')), ((u'wants', u'VBZ'), u'advmod', (u'either', u'RB')), ((u'wants', u'VBZ'), u'xcomp', (u'learn', u'VB')), ((u'learn', u'VB'), u'mark', (u'to', u'TO')), ((u'learn', u'VB'), u'dobj', (u'skills', u'NNS')), ((u'skills', u'NNS'), u'det', (u'these', u'DT')), ((u'anyone', u'NN'), u'cc', (u'or', u'CC')), ((u'anyone', u'NN'), u'conj', (u'those', u'DT')), ((u'those', u'DT'), u'acl:relcl', (u'know', u'VB')), ((u'know', u'VB'), u'nsubj', (u'who', u'WP')), ((u'know', u'VB'), u'aux', (u'might', u'MD')), ((u'know', u'VB'), u'advmod', (u'already', u'RB')), ((u'know', u'VB'), u'dobj', (u'them', u'PRP')), ((u'recommend', u'VBP'), u'cc', (u'but', u'CC')), ((u'recommend', u'VBP'), u'conj', (u'want', u'VBP')), ((u'want', u'VBP'), u'xcomp', (u'refresh', u'VB')), ((u'refresh', u'VB'), u'mark', (u'to', u'TO')), ((u'refresh', u'VB'), u'dobj', (u'memory', u'NN')), ((u'memory', u'NN'), u'nmod:poss', (u'their', u'PRP$')), ((u'refresh', u'VB'), u'dep', (u'myself', u'PRP')), ((u'myself', u'PRP'), u'case', (u'like', u'IN'))]]"
7786,LgWwihnoEeWDtQoum3sFeQ," It is so much clear to understand the lessons,even your english is not good. Thank to all people who gives us their precious time to teach. ","[[((u'clear', u'JJ'), u'nsubj', (u'It', u'PRP')), ((u'clear', u'JJ'), u'cop', (u'is', u'VBZ')), ((u'clear', u'JJ'), u'advmod', (u'so', u'RB')), ((u'clear', u'JJ'), u'advmod', (u'much', u'RB')), ((u'clear', u'JJ'), u'xcomp', (u'understand', u'VB')), ((u'understand', u'VB'), u'mark', (u'to', u'TO')), ((u'understand', u'VB'), u'dobj', (u'lessons', u'NNS')), ((u'lessons', u'NNS'), u'det', (u'the', u'DT')), ((u'clear', u'JJ'), u'ccomp', (u'good', u'JJ')), ((u'good', u'JJ'), u'advmod', (u'even', u'RB')), ((u'good', u'JJ'), u'nsubj', (u'english', u'NN')), ((u'english', u'NN'), u'nmod:poss', (u'your', u'PRP$')), ((u'good', u'JJ'), u'cop', (u'is', u'VBZ')), ((u'good', u'JJ'), u'neg', (u'not', u'RB'))], [((u'Thank', u'VB'), u'nmod', (u'people', u'NNS')), ((u'people', u'NNS'), u'case', (u'to', u'TO')), ((u'people', u'NNS'), u'det', (u'all', u'DT')), ((u'people', u'NNS'), u'acl:relcl', (u'gives', u'VBZ')), ((u'gives', u'VBZ'), u'nsubj', (u'who', u'WP')), ((u'gives', u'VBZ'), u'iobj', (u'us', u'PRP')), ((u'gives', u'VBZ'), u'dobj', (u'time', u'NN')), ((u'time', u'NN'), u'nmod:poss', (u'their', u'PRP$')), ((u'time', u'NN'), u'amod', (u'precious', u'JJ')), ((u'time', u'NN'), u'acl', (u'teach', u'VB')), ((u'teach', u'VB'), u'mark', (u'to', u'TO'))]]"
7787,LgWwihnoEeWDtQoum3sFeQ,"Well structured course, helped me build my skills. ","[[((u'helped', u'VBD'), u'advmod', (u'Well', u'RB')), ((u'helped', u'VBD'), u'dep', (u'structured', u'VBN')), ((u'structured', u'VBN'), u'dobj', (u'course', u'NN')), ((u'helped', u'VBD'), u'ccomp', (u'build', u'VB')), ((u'build', u'VB'), u'nsubj', (u'me', u'PRP')), ((u'build', u'VB'), u'dobj', (u'skills', u'NNS')), ((u'skills', u'NNS'), u'nmod:poss', (u'my', u'PRP$'))]]"
7788,LgWwihnoEeWDtQoum3sFeQ,"Excellent course my friends, teaches the basics of what you need to know to use HTML,CSS,Javascript and then it expands on it just enough so you know whats coming, its a beautifully well crafted course and the starter of a complete program made by Coursera to learn how to be a web developer, i personally recommend this course in its entirety. ","[[((u'recommend', u'VBP'), u'ccomp', (u'teaches', u'VBZ')), ((u'teaches', u'VBZ'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'amod', (u'Excellent', u'JJ')), ((u'course', u'NN'), u'dep', (u'friends', u'NNS')), ((u'friends', u'NNS'), u'nmod:poss', (u'my', u'PRP$')), ((u'teaches', u'VBZ'), u'dobj', (u'basics', u'NNS')), ((u'basics', u'NNS'), u'det', (u'the', u'DT')), ((u'basics', u'NNS'), u'acl', (u'need', u'VBP')), ((u'need', u'VBP'), u'mark', (u'of', u'IN')), ((u'need', u'VBP'), u'dobj', (u'what', u'WP')), ((u'need', u'VBP'), u'nsubj', (u'you', u'PRP')), ((u'need', u'VBP'), u'xcomp', (u'know', u'VB')), ((u'know', u'VB'), u'mark', (u'to', u'TO')), ((u'know', u'VB'), u'xcomp', (u'use', u'VB')), ((u'use', u'VB'), u'mark', (u'to', u'TO')), ((u'use', u'VB'), u'dobj', (u'Javascript', u'NNP')), ((u'Javascript', u'NNP'), u'compound', (u'HTML', u'NNP')), ((u'Javascript', u'NNP'), u'appos', (u'CSS', u'NNP')), ((u'Javascript', u'NNP'), u'cc', (u'and', u'CC')), ((u'Javascript', u'NNP'), u'conj', (u'then', u'RB')), ((u'then', u'RB'), u'dep', (u'expands', u'VBZ')), ((u'expands', u'VBZ'), u'nsubj', (u'it', u'PRP')), ((u'expands', u'VBZ'), u'nmod', (u'it', u'PRP')), ((u'it', u'PRP'), u'case', (u'on', u'IN')), ((u'need', u'VBP'), u'advmod', (u'enough', u'RB')), ((u'enough', u'RB'), u'advmod', (u'just', u'RB')), ((u'enough', u'RB'), u'advcl', (u'know', u'VBP')), ((u'know', u'VBP'), u'mark', (u'so', u'IN')), ((u'know', u'VBP'), u'nsubj', (u'you', u'PRP')), ((u'know', u'VBP'), u'dobj', (u'whats', u'NNS')), ((u'whats', u'NNS'), u'amod', (u'coming', u'VBG')), ((u'whats', u'NNS'), u'conj', (u'course', u'NN')), ((u'course', u'NN'), u'nmod:poss', (u'its', u'PRP$')), ((u'course', u'NN'), u'det', (u'a', u'DT')), ((u'course', u'NN'), u'amod', (u'crafted', u'JJ')), ((u'crafted', u'JJ'), u'advmod', (u'beautifully', u'RB')), ((u'crafted', u'JJ'), u'advmod', (u'well', u'RB')), ((u'whats', u'NNS'), u'cc', (u'and', u'CC')), ((u'whats', u'NNS'), u'conj', (u'starter', u'NN')), ((u'starter', u'NN'), u'det', (u'the', u'DT')), ((u'starter', u'NN'), u'nmod', (u'program', u'NN')), ((u'program', u'NN'), u'case', (u'of', u'IN')), ((u'program', u'NN'), u'det', (u'a', u'DT')), ((u'program', u'NN'), u'amod', (u'complete', u'JJ')), ((u'program', u'NN'), u'acl', (u'made', u'VBN')), ((u'made', u'VBN'), u'nmod', (u'Coursera', u'NNP')), ((u'Coursera', u'NNP'), u'case', (u'by', u'IN')), ((u'made', u'VBN'), u'xcomp', (u'learn', u'VB')), ((u'learn', u'VB'), u'mark', (u'to', u'TO')), ((u'learn', u'VB'), u'ccomp', (u'developer', u'NN')), ((u'developer', u'NN'), u'advmod', (u'how', u'WRB')), ((u'developer', u'NN'), u'mark', (u'to', u'TO')), ((u'developer', u'NN'), u'cop', (u'be', u'VB')), ((u'developer', u'NN'), u'det', (u'a', u'DT')), ((u'developer', u'NN'), u'compound', (u'web', u'NN')), ((u'recommend', u'VBP'), u'nsubj', (u'i', u'FW')), ((u'recommend', u'VBP'), u'advmod', (u'personally', u'RB')), ((u'recommend', u'VBP'), u'dobj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'this', u'DT')), ((u'course', u'NN'), u'nmod', (u'entirety', u'NN')), ((u'entirety', u'NN'), u'case', (u'in', u'IN')), ((u'entirety', u'NN'), u'nmod:poss', (u'its', u'PRP$'))]]"
7789,LgWwihnoEeWDtQoum3sFeQ,Good course ,"[[((u'course', u'NN'), u'amod', (u'Good', u'JJ'))]]"
7790,LgWwihnoEeWDtQoum3sFeQ,"Nice course to refresh the basic's, you will defiantly learn something new ","[[((u'Nice', u'VB'), u'dobj', (u'course', u'NN')), ((u'Nice', u'VB'), u'advcl', (u'refresh', u'VB')), ((u'refresh', u'VB'), u'mark', (u'to', u'TO')), ((u'refresh', u'VB'), u'ccomp', (u""'s"", u'VBZ')), ((u""'s"", u'VBZ'), u'nsubj', (u'basic', u'NN')), ((u'basic', u'NN'), u'det', (u'the', u'DT')), ((u""'s"", u'VBZ'), u'ccomp', (u'learn', u'VB')), ((u'learn', u'VB'), u'nsubj', (u'you', u'PRP')), ((u'learn', u'VB'), u'aux', (u'will', u'MD')), ((u'learn', u'VB'), u'advmod', (u'defiantly', u'RB')), ((u'learn', u'VB'), u'dobj', (u'something', u'NN')), ((u'something', u'NN'), u'amod', (u'new', u'JJ'))]]"
7791,LgWwihnoEeWDtQoum3sFeQ,"Very, very good course Many useful things were explained thoroughly Thank you David Rossiter Good luck with what you do ","[[((u'explained', u'VBN'), u'advmod', (u'Very', u'RB')), ((u'explained', u'VBN'), u'nsubjpass', (u'course', u'NN')), ((u'course', u'NN'), u'advmod', (u'very', u'RB')), ((u'course', u'NN'), u'amod', (u'good', u'JJ')), ((u'course', u'NN'), u'dep', (u'things', u'NNS')), ((u'things', u'NNS'), u'amod', (u'Many', u'JJ')), ((u'things', u'NNS'), u'amod', (u'useful', u'JJ')), ((u'explained', u'VBN'), u'auxpass', (u'were', u'VBD')), ((u'explained', u'VBN'), u'advmod', (u'thoroughly', u'RB')), ((u'explained', u'VBN'), u'dobj', (u'Rossiter', u'NNP')), ((u'Rossiter', u'NNP'), u'compound', (u'Thank', u'NNP')), ((u'Rossiter', u'NNP'), u'dep', (u'you', u'PRP')), ((u'Rossiter', u'NNP'), u'compound', (u'David', u'NNP')), ((u'Rossiter', u'NNP'), u'dep', (u'luck', u'NN')), ((u'luck', u'NN'), u'amod', (u'Good', u'JJ')), ((u'explained', u'VBN'), u'advcl', (u'do', u'VBP')), ((u'do', u'VBP'), u'mark', (u'with', u'IN')), ((u'do', u'VBP'), u'dobj', (u'what', u'WP')), ((u'do', u'VBP'), u'nsubj', (u'you', u'PRP'))]]"
7792,LgWwihnoEeWDtQoum3sFeQ,The professor made it in an easy and clever way ,"[[((u'made', u'VBD'), u'nsubj', (u'professor', u'NN')), ((u'professor', u'NN'), u'det', (u'The', u'DT')), ((u'made', u'VBD'), u'dobj', (u'it', u'PRP')), ((u'made', u'VBD'), u'nmod', (u'way', u'NN')), ((u'way', u'NN'), u'case', (u'in', u'IN')), ((u'way', u'NN'), u'det', (u'an', u'DT')), ((u'way', u'NN'), u'amod', (u'easy', u'JJ')), ((u'easy', u'JJ'), u'cc', (u'and', u'CC')), ((u'easy', u'JJ'), u'conj', (u'clever', u'JJ'))]]"
