,course_id,comment,parsed_sent
281,NwQ9txnoEeWDtQoum3sFeQ,Fantastic course I would recommend to anyone interested in learning the graph data structure in a fun and hands-on and engaging way Definitely one of the best courses I have followed on Coursera. ,"[[((u'interested', u'VBN'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'amod', (u'Fantastic', u'JJ')), ((u'course', u'NN'), u'acl:relcl', (u'recommend', u'VB')), ((u'recommend', u'VB'), u'nsubj', (u'I', u'PRP')), ((u'recommend', u'VB'), u'aux', (u'would', u'MD')), ((u'recommend', u'VB'), u'nmod', (u'anyone', u'NN')), ((u'anyone', u'NN'), u'case', (u'to', u'TO')), ((u'interested', u'VBN'), u'advcl', (u'learning', u'VBG')), ((u'learning', u'VBG'), u'mark', (u'in', u'IN')), ((u'learning', u'VBG'), u'dobj', (u'structure', u'NN')), ((u'structure', u'NN'), u'det', (u'the', u'DT')), ((u'structure', u'NN'), u'compound', (u'graph', u'NN')), ((u'structure', u'NN'), u'compound', (u'data', u'NNS')), ((u'structure', u'NN'), u'nmod', (u'fun', u'NN')), ((u'fun', u'NN'), u'case', (u'in', u'IN')), ((u'fun', u'NN'), u'det', (u'a', u'DT')), ((u'fun', u'NN'), u'cc', (u'and', u'CC')), ((u'fun', u'NN'), u'conj', (u'hands-on', u'JJ')), ((u'learning', u'VBG'), u'cc', (u'and', u'CC')), ((u'learning', u'VBG'), u'conj', (u'engaging', u'VBG')), ((u'engaging', u'VBG'), u'dobj', (u'one', u'NN')), ((u'one', u'NN'), u'compound', (u'way', u'NN')), ((u'one', u'NN'), u'compound', (u'Definitely', u'NN')), ((u'one', u'NN'), u'nmod', (u'courses', u'NNS')), ((u'courses', u'NNS'), u'case', (u'of', u'IN')), ((u'courses', u'NNS'), u'det', (u'the', u'DT')), ((u'courses', u'NNS'), u'amod', (u'best', u'JJS')), ((u'courses', u'NNS'), u'acl:relcl', (u'followed', u'VBN')), ((u'followed', u'VBN'), u'nsubj', (u'I', u'PRP')), ((u'followed', u'VBN'), u'aux', (u'have', u'VBP')), ((u'followed', u'VBN'), u'nmod', (u'Coursera', u'NNP')), ((u'Coursera', u'NNP'), u'case', (u'on', u'IN'))]]"
282,NwQ9txnoEeWDtQoum3sFeQ,"Although it is a little bit hard for beginner, it's really useful I am so happy that I have learned a lot about graph since there are many difficulties in this course. ","[[((u'useful', u'JJ'), u'advcl', (u'hard', u'JJ')), ((u'hard', u'JJ'), u'mark', (u'Although', u'IN')), ((u'hard', u'JJ'), u'nsubj', (u'it', u'PRP')), ((u'hard', u'JJ'), u'cop', (u'is', u'VBZ')), ((u'hard', u'JJ'), u'nmod:npmod', (u'bit', u'NN')), ((u'bit', u'NN'), u'det', (u'a', u'DT')), ((u'bit', u'NN'), u'amod', (u'little', u'JJ')), ((u'hard', u'JJ'), u'nmod', (u'beginner', u'NN')), ((u'beginner', u'NN'), u'case', (u'for', u'IN')), ((u'useful', u'JJ'), u'nsubj', (u'it', u'PRP')), ((u'useful', u'JJ'), u'cop', (u""'s"", u'VBZ')), ((u'useful', u'JJ'), u'advmod', (u'really', u'RB')), ((u'useful', u'JJ'), u'ccomp', (u'happy', u'JJ')), ((u'happy', u'JJ'), u'nsubj', (u'I', u'PRP')), ((u'happy', u'JJ'), u'cop', (u'am', u'VBP')), ((u'happy', u'JJ'), u'advmod', (u'so', u'RB')), ((u'happy', u'JJ'), u'ccomp', (u'learned', u'VBN')), ((u'learned', u'VBN'), u'mark', (u'that', u'IN')), ((u'learned', u'VBN'), u'nsubj', (u'I', u'PRP')), ((u'learned', u'VBN'), u'aux', (u'have', u'VBP')), ((u'learned', u'VBN'), u'dobj', (u'lot', u'NN')), ((u'lot', u'NN'), u'det', (u'a', u'DT')), ((u'lot', u'NN'), u'nmod', (u'graph', u'NN')), ((u'graph', u'NN'), u'case', (u'about', u'IN')), ((u'useful', u'JJ'), u'advcl', (u'are', u'VBP')), ((u'are', u'VBP'), u'mark', (u'since', u'IN')), ((u'are', u'VBP'), u'expl', (u'there', u'EX')), ((u'are', u'VBP'), u'nsubj', (u'difficulties', u'NNS')), ((u'difficulties', u'NNS'), u'amod', (u'many', u'JJ')), ((u'difficulties', u'NNS'), u'nmod', (u'course', u'NN')), ((u'course', u'NN'), u'case', (u'in', u'IN')), ((u'course', u'NN'), u'det', (u'this', u'DT'))]]"
283,NwQ9txnoEeWDtQoum3sFeQ,Pretty challenging but very interesting with a lot of useful assignments. Certainly good for those who aren't familiar with a data structure called graphs. ,"[[((u'Pretty', u'VB'), u'xcomp', (u'interesting', u'JJ')), ((u'interesting', u'JJ'), u'dep', (u'challenging', u'JJ')), ((u'interesting', u'JJ'), u'cc', (u'but', u'CC')), ((u'interesting', u'JJ'), u'advmod', (u'very', u'RB')), ((u'Pretty', u'VB'), u'nmod', (u'lot', u'NN')), ((u'lot', u'NN'), u'case', (u'with', u'IN')), ((u'lot', u'NN'), u'det', (u'a', u'DT')), ((u'lot', u'NN'), u'nmod', (u'assignments', u'NNS')), ((u'assignments', u'NNS'), u'case', (u'of', u'IN')), ((u'assignments', u'NNS'), u'amod', (u'useful', u'JJ'))], [((u'called', u'VBD'), u'nsubj', (u'Certainly', u'RB')), ((u'Certainly', u'RB'), u'dep', (u'good', u'JJ')), ((u'Certainly', u'RB'), u'nmod', (u'those', u'DT')), ((u'those', u'DT'), u'case', (u'for', u'IN')), ((u'those', u'DT'), u'acl:relcl', (u'familiar', u'JJ')), ((u'familiar', u'JJ'), u'nsubj', (u'who', u'WP')), ((u'familiar', u'JJ'), u'cop', (u'are', u'VBP')), ((u'familiar', u'JJ'), u'neg', (u""n't"", u'RB')), ((u'familiar', u'JJ'), u'nmod', (u'structure', u'NN')), ((u'structure', u'NN'), u'case', (u'with', u'IN')), ((u'structure', u'NN'), u'det', (u'a', u'DT')), ((u'structure', u'NN'), u'compound', (u'data', u'NN')), ((u'called', u'VBD'), u'dobj', (u'graphs', u'NNS'))]]"
284,NwQ9txnoEeWDtQoum3sFeQ,One of the coolest courses I took on Coursera ,"[[((u'One', u'CD'), u'nmod', (u'courses', u'NNS')), ((u'courses', u'NNS'), u'case', (u'of', u'IN')), ((u'courses', u'NNS'), u'det', (u'the', u'DT')), ((u'courses', u'NNS'), u'amod', (u'coolest', u'JJ')), ((u'courses', u'NNS'), u'acl:relcl', (u'took', u'VBD')), ((u'took', u'VBD'), u'nsubj', (u'I', u'PRP')), ((u'took', u'VBD'), u'nmod', (u'Coursera', u'NNP')), ((u'Coursera', u'NNP'), u'case', (u'on', u'IN'))]]"
285,NwQ9txnoEeWDtQoum3sFeQ,"Excellent course, appreciated the peer review aspect. ","[[((u'course', u'NN'), u'amod', (u'Excellent', u'JJ')), ((u'course', u'NN'), u'acl', (u'appreciated', u'VBN')), ((u'appreciated', u'VBN'), u'dobj', (u'aspect', u'NN')), ((u'aspect', u'NN'), u'det', (u'the', u'DT')), ((u'aspect', u'NN'), u'compound', (u'peer', u'NN')), ((u'aspect', u'NN'), u'compound', (u'review', u'NN'))]]"
286,NwQ9txnoEeWDtQoum3sFeQ,Very well structured course. ,"[[((u'structured', u'VBD'), u'nsubj', (u'Very', u'NNP')), ((u'structured', u'VBD'), u'advmod', (u'well', u'RB')), ((u'structured', u'VBD'), u'dobj', (u'course', u'NN'))]]"
287,NwQ9txnoEeWDtQoum3sFeQ,Excellent job Learning various search algorithms with diverse applications in real life. ,"[[((u'Learning', u'VBD'), u'nsubj', (u'job', u'NN')), ((u'job', u'NN'), u'amod', (u'Excellent', u'JJ')), ((u'Learning', u'VBD'), u'dobj', (u'algorithms', u'NNS')), ((u'algorithms', u'NNS'), u'amod', (u'various', u'JJ')), ((u'algorithms', u'NNS'), u'compound', (u'search', u'NN')), ((u'Learning', u'VBD'), u'nmod', (u'applications', u'NNS')), ((u'applications', u'NNS'), u'case', (u'with', u'IN')), ((u'applications', u'NNS'), u'amod', (u'diverse', u'JJ')), ((u'Learning', u'VBD'), u'nmod', (u'life', u'NN')), ((u'life', u'NN'), u'case', (u'in', u'IN')), ((u'life', u'NN'), u'amod', (u'real', u'JJ'))]]"
288,NwQ9txnoEeWDtQoum3sFeQ,A great and 'must-do' course for all beginners. ,"[[((u'beginners', u'VBZ'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'A', u'DT')), ((u'course', u'NN'), u'amod', (u'must-do', u'JJ')), ((u'must-do', u'JJ'), u'dep', (u'great', u'JJ')), ((u'must-do', u'JJ'), u'cc', (u'and', u'CC')), ((u'course', u'NN'), u'nmod', (u'all', u'DT')), ((u'all', u'DT'), u'case', (u'for', u'IN'))]]"
289,NwQ9txnoEeWDtQoum3sFeQ,Great ,[[]]
290,NwQ9txnoEeWDtQoum3sFeQ,Good introduction to Data Structures with Java examples,"[[((u'introduction', u'NN'), u'amod', (u'Good', u'JJ')), ((u'introduction', u'NN'), u'nmod', (u'Structures', u'NNP')), ((u'Structures', u'NNP'), u'case', (u'to', u'TO')), ((u'Structures', u'NNP'), u'compound', (u'Data', u'NNP')), ((u'Structures', u'NNP'), u'nmod', (u'examples', u'NNS')), ((u'examples', u'NNS'), u'case', (u'with', u'IN')), ((u'examples', u'NNS'), u'compound', (u'Java', u'NNP'))]]"
291,NwQ9txnoEeWDtQoum3sFeQ,"I thought the course was an outstanding treatment of data structures and algorithms. The instructors advance to more complex structures and algorithms as the student progresses. I never felt overwhelmed at any stage, and by the end of the course, I was impressed with how much new material we had covered. ","[[((u'thought', u'VBD'), u'nsubj', (u'I', u'PRP')), ((u'thought', u'VBD'), u'ccomp', (u'treatment', u'NN')), ((u'treatment', u'NN'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'the', u'DT')), ((u'treatment', u'NN'), u'cop', (u'was', u'VBD')), ((u'treatment', u'NN'), u'det', (u'an', u'DT')), ((u'treatment', u'NN'), u'amod', (u'outstanding', u'JJ')), ((u'treatment', u'NN'), u'nmod', (u'structures', u'NNS')), ((u'structures', u'NNS'), u'case', (u'of', u'IN')), ((u'structures', u'NNS'), u'compound', (u'data', u'NN')), ((u'structures', u'NNS'), u'cc', (u'and', u'CC')), ((u'structures', u'NNS'), u'conj', (u'algorithms', u'NNS'))], [((u'advance', u'VBP'), u'nsubj', (u'instructors', u'NNS')), ((u'instructors', u'NNS'), u'det', (u'The', u'DT')), ((u'advance', u'VBP'), u'nmod', (u'structures', u'NNS')), ((u'structures', u'NNS'), u'case', (u'to', u'TO')), ((u'structures', u'NNS'), u'amod', (u'complex', u'JJ')), ((u'complex', u'JJ'), u'advmod', (u'more', u'RBR')), ((u'structures', u'NNS'), u'cc', (u'and', u'CC')), ((u'structures', u'NNS'), u'conj', (u'algorithms', u'NNS')), ((u'advance', u'VBP'), u'advcl', (u'progresses', u'VBZ')), ((u'progresses', u'VBZ'), u'mark', (u'as', u'IN')), ((u'progresses', u'VBZ'), u'nsubj', (u'student', u'NN')), ((u'student', u'NN'), u'det', (u'the', u'DT'))], [((u'felt', u'VBD'), u'nsubj', (u'I', u'PRP')), ((u'felt', u'VBD'), u'neg', (u'never', u'RB')), ((u'felt', u'VBD'), u'dep', (u'overwhelmed', u'JJ')), ((u'overwhelmed', u'JJ'), u'nmod', (u'stage', u'NN')), ((u'stage', u'NN'), u'case', (u'at', u'IN')), ((u'stage', u'NN'), u'det', (u'any', u'DT')), ((u'felt', u'VBD'), u'cc', (u'and', u'CC')), ((u'felt', u'VBD'), u'conj', (u'impressed', u'VBN')), ((u'impressed', u'VBN'), u'nmod', (u'end', u'NN')), ((u'end', u'NN'), u'case', (u'by', u'IN')), ((u'end', u'NN'), u'det', (u'the', u'DT')), ((u'end', u'NN'), u'nmod', (u'course', u'NN')), ((u'course', u'NN'), u'case', (u'of', u'IN')), ((u'course', u'NN'), u'det', (u'the', u'DT')), ((u'impressed', u'VBN'), u'nsubjpass', (u'I', u'PRP')), ((u'impressed', u'VBN'), u'auxpass', (u'was', u'VBD')), ((u'impressed', u'VBN'), u'advcl', (u'covered', u'VBN')), ((u'covered', u'VBN'), u'mark', (u'with', u'IN')), ((u'covered', u'VBN'), u'dobj', (u'much', u'RB')), ((u'much', u'RB'), u'advmod', (u'how', u'WRB')), ((u'much', u'RB'), u'dep', (u'material', u'NN')), ((u'material', u'NN'), u'amod', (u'new', u'JJ')), ((u'covered', u'VBN'), u'nsubj', (u'we', u'PRP')), ((u'covered', u'VBN'), u'aux', (u'had', u'VBD'))]]"
292,NwQ9txnoEeWDtQoum3sFeQ,Very good course. I wish we could have done more algorithms with the map. Such a great way to teach algorithms. ,"[[((u'course', u'NN'), u'dep', (u'Very', u'RB')), ((u'course', u'NN'), u'amod', (u'good', u'JJ'))], [((u'wish', u'VBP'), u'nsubj', (u'I', u'PRP')), ((u'wish', u'VBP'), u'ccomp', (u'done', u'VBN')), ((u'done', u'VBN'), u'nsubj', (u'we', u'PRP')), ((u'done', u'VBN'), u'aux', (u'could', u'MD')), ((u'done', u'VBN'), u'aux', (u'have', u'VB')), ((u'done', u'VBN'), u'dobj', (u'algorithms', u'NNS')), ((u'algorithms', u'NNS'), u'amod', (u'more', u'JJR')), ((u'done', u'VBN'), u'nmod', (u'map', u'NN')), ((u'map', u'NN'), u'case', (u'with', u'IN')), ((u'map', u'NN'), u'det', (u'the', u'DT'))], [((u'teach', u'VB'), u'nsubj', (u'way', u'NN')), ((u'way', u'NN'), u'det:predet', (u'Such', u'PDT')), ((u'way', u'NN'), u'det', (u'a', u'DT')), ((u'way', u'NN'), u'amod', (u'great', u'JJ')), ((u'teach', u'VB'), u'mark', (u'to', u'TO')), ((u'teach', u'VB'), u'dobj', (u'algorithms', u'NNS'))]]"
293,NwQ9txnoEeWDtQoum3sFeQ,Great learning ,"[[((u'learning', u'NNP'), u'compound', (u'Great', u'NNP'))]]"
294,NwQ9txnoEeWDtQoum3sFeQ,"It was really great course ,well designed and challenging. ","[[((u'course', u'NN'), u'nsubj', (u'It', u'PRP')), ((u'course', u'NN'), u'cop', (u'was', u'VBD')), ((u'course', u'NN'), u'advmod', (u'really', u'RB')), ((u'course', u'NN'), u'amod', (u'great', u'JJ')), ((u'course', u'NN'), u'advmod', (u'well', u'RB')), ((u'course', u'NN'), u'amod', (u'designed', u'VBN')), ((u'designed', u'VBN'), u'cc', (u'and', u'CC')), ((u'designed', u'VBN'), u'conj', (u'challenging', u'JJ'))]]"
295,NwQ9txnoEeWDtQoum3sFeQ,Course teams really spend a lot of time for providing a great studying experience and procedure. ,"[[((u'spend', u'VBP'), u'nsubj', (u'teams', u'NNS')), ((u'teams', u'NNS'), u'compound', (u'Course', u'NNP')), ((u'spend', u'VBP'), u'advmod', (u'really', u'RB')), ((u'spend', u'VBP'), u'dobj', (u'lot', u'NN')), ((u'lot', u'NN'), u'det', (u'a', u'DT')), ((u'lot', u'NN'), u'nmod', (u'time', u'NN')), ((u'time', u'NN'), u'case', (u'of', u'IN')), ((u'spend', u'VBP'), u'advcl', (u'providing', u'VBG')), ((u'providing', u'VBG'), u'mark', (u'for', u'IN')), ((u'providing', u'VBG'), u'dobj', (u'great', u'JJ')), ((u'great', u'JJ'), u'det', (u'a', u'DT')), ((u'providing', u'VBG'), u'advcl', (u'studying', u'VBG')), ((u'studying', u'VBG'), u'dobj', (u'experience', u'NN')), ((u'experience', u'NN'), u'cc', (u'and', u'CC')), ((u'experience', u'NN'), u'conj', (u'procedure', u'NN'))]]"
296,NwQ9txnoEeWDtQoum3sFeQ,"UCSD always bring there A game, with fun projects and extensions to real world problems. I have completed all three courses. This course was especially informative as it dipped into the graph theory and the optimization problems we face. The course itself is fun and informative and may seem tough at times but is really rewarding once complete. Thanks guys and girls. ","[[((u'bring', u'VBP'), u'nsubj', (u'UCSD', u'NNP')), ((u'bring', u'VBP'), u'advmod', (u'always', u'RB')), ((u'bring', u'VBP'), u'xcomp', (u'game', u'NN')), ((u'game', u'NN'), u'expl', (u'there', u'EX')), ((u'game', u'NN'), u'det', (u'A', u'DT')), ((u'game', u'NN'), u'nmod', (u'projects', u'NNS')), ((u'projects', u'NNS'), u'case', (u'with', u'IN')), ((u'projects', u'NNS'), u'compound', (u'fun', u'NN')), ((u'projects', u'NNS'), u'cc', (u'and', u'CC')), ((u'projects', u'NNS'), u'conj', (u'extensions', u'NNS')), ((u'bring', u'VBP'), u'nmod', (u'problems', u'NNS')), ((u'problems', u'NNS'), u'case', (u'to', u'TO')), ((u'problems', u'NNS'), u'amod', (u'real', u'JJ')), ((u'problems', u'NNS'), u'compound', (u'world', u'NN'))], [((u'completed', u'VBN'), u'nsubj', (u'I', u'PRP')), ((u'completed', u'VBN'), u'aux', (u'have', u'VBP')), ((u'completed', u'VBN'), u'advmod', (u'all', u'RB')), ((u'all', u'RB'), u'nmod:npmod', (u'courses', u'NNS')), ((u'courses', u'NNS'), u'nummod', (u'three', u'CD'))], [((u'informative', u'JJ'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'This', u'DT')), ((u'informative', u'JJ'), u'cop', (u'was', u'VBD')), ((u'informative', u'JJ'), u'advmod', (u'especially', u'RB')), ((u'informative', u'JJ'), u'advcl', (u'dipped', u'VBD')), ((u'dipped', u'VBD'), u'mark', (u'as', u'IN')), ((u'dipped', u'VBD'), u'nsubj', (u'it', u'PRP')), ((u'dipped', u'VBD'), u'nmod', (u'theory', u'NN')), ((u'theory', u'NN'), u'case', (u'into', u'IN')), ((u'theory', u'NN'), u'det', (u'the', u'DT')), ((u'theory', u'NN'), u'compound', (u'graph', u'NN')), ((u'theory', u'NN'), u'cc', (u'and', u'CC')), ((u'theory', u'NN'), u'conj', (u'problems', u'NNS')), ((u'problems', u'NNS'), u'det', (u'the', u'DT')), ((u'problems', u'NNS'), u'compound', (u'optimization', u'NN')), ((u'dipped', u'VBD'), u'ccomp', (u'face', u'VBP')), ((u'face', u'VBP'), u'nsubj', (u'we', u'PRP'))], [((u'course', u'NN'), u'det', (u'The', u'DT')), ((u'course', u'NN'), u'ccomp', (u'fun', u'JJ')), ((u'fun', u'JJ'), u'nsubj', (u'itself', u'PRP')), ((u'fun', u'JJ'), u'cop', (u'is', u'VBZ')), ((u'fun', u'JJ'), u'cc', (u'and', u'CC')), ((u'fun', u'JJ'), u'conj', (u'informative', u'JJ')), ((u'fun', u'JJ'), u'cc', (u'and', u'CC')), ((u'fun', u'JJ'), u'conj', (u'seem', u'VB')), ((u'seem', u'VB'), u'aux', (u'may', u'MD')), ((u'seem', u'VB'), u'xcomp', (u'tough', u'JJ')), ((u'seem', u'VB'), u'nmod', (u'times', u'NNS')), ((u'times', u'NNS'), u'case', (u'at', u'IN')), ((u'course', u'NN'), u'dep', (u'rewarding', u'VBG')), ((u'rewarding', u'VBG'), u'cc', (u'but', u'CC')), ((u'rewarding', u'VBG'), u'aux', (u'is', u'VBZ')), ((u'rewarding', u'VBG'), u'advmod', (u'really', u'RB')), ((u'rewarding', u'VBG'), u'xcomp', (u'complete', u'JJ')), ((u'complete', u'JJ'), u'advmod', (u'once', u'RB'))], [((u'Thanks', u'NNS'), u'dep', (u'guys', u'NNS')), ((u'guys', u'NNS'), u'cc', (u'and', u'CC')), ((u'guys', u'NNS'), u'conj', (u'girls', u'NNS'))]]"
297,NwQ9txnoEeWDtQoum3sFeQ,"Great faculty, great course, great practical project ","[[((u'course', u'NN'), u'amod', (u'Great', u'JJ')), ((u'course', u'NN'), u'compound', (u'faculty', u'NN')), ((u'course', u'NN'), u'amod', (u'great', u'JJ')), ((u'course', u'NN'), u'appos', (u'project', u'NN')), ((u'project', u'NN'), u'amod', (u'great', u'JJ')), ((u'project', u'NN'), u'amod', (u'practical', u'JJ'))]]"
298,NwQ9txnoEeWDtQoum3sFeQ,Really helpful the course was. ,"[[((u'was', u'VBD'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'amod', (u'helpful', u'JJ')), ((u'helpful', u'JJ'), u'advmod', (u'Really', u'RB')), ((u'course', u'NN'), u'det', (u'the', u'DT'))]]"
299,NwQ9txnoEeWDtQoum3sFeQ,nice course. very well organised and presented. good refresher of ADS in Java,"[[((u'course', u'NN'), u'amod', (u'nice', u'JJ'))], [((u'organised', u'VBN'), u'advmod', (u'well', u'RB')), ((u'well', u'RB'), u'advmod', (u'very', u'RB')), ((u'organised', u'VBN'), u'cc', (u'and', u'CC')), ((u'organised', u'VBN'), u'conj', (u'presented', u'VBN'))], [((u'refresher', u'NN'), u'amod', (u'good', u'JJ')), ((u'refresher', u'NN'), u'nmod', (u'ADS', u'NNPS')), ((u'ADS', u'NNPS'), u'case', (u'of', u'IN')), ((u'refresher', u'NN'), u'nmod', (u'Java', u'NNP')), ((u'Java', u'NNP'), u'case', (u'in', u'IN'))]]"
300,NwQ9txnoEeWDtQoum3sFeQ,"The projects are fun, but the course is too short and abbreviated. ","[[((u'fun', u'NN'), u'nsubj', (u'projects', u'NNS')), ((u'projects', u'NNS'), u'det', (u'The', u'DT')), ((u'fun', u'NN'), u'cop', (u'are', u'VBP')), ((u'fun', u'NN'), u'cc', (u'but', u'CC')), ((u'fun', u'NN'), u'conj', (u'short', u'JJ')), ((u'short', u'JJ'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'the', u'DT')), ((u'short', u'JJ'), u'cop', (u'is', u'VBZ')), ((u'short', u'JJ'), u'advmod', (u'too', u'RB')), ((u'short', u'JJ'), u'cc', (u'and', u'CC')), ((u'short', u'JJ'), u'conj', (u'abbreviated', u'VBD'))]]"
