,course_id,comment,parsed_sent
2504,RO728xoIEeWg_RJGAuFGjw,wonderful PA ,"[[((u'PA', u'NNP'), u'amod', (u'wonderful', u'JJ'))]]"
2505,RO728xoIEeWg_RJGAuFGjw,Excellent course:),"[[((u'course', u'NN'), u'amod', (u'Excellent', u'JJ')), ((u'course', u'NN'), u'dep', (u')', u'NNP'))]]"
2506,RO728xoIEeWg_RJGAuFGjw,This course is really useful for people who want to learn basic knowledge about data structure and performance. ,"[[((u'useful', u'JJ'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'This', u'DT')), ((u'useful', u'JJ'), u'cop', (u'is', u'VBZ')), ((u'useful', u'JJ'), u'advmod', (u'really', u'RB')), ((u'useful', u'JJ'), u'nmod', (u'people', u'NNS')), ((u'people', u'NNS'), u'case', (u'for', u'IN')), ((u'people', u'NNS'), u'acl:relcl', (u'want', u'VBP')), ((u'want', u'VBP'), u'nsubj', (u'who', u'WP')), ((u'want', u'VBP'), u'xcomp', (u'learn', u'VB')), ((u'learn', u'VB'), u'mark', (u'to', u'TO')), ((u'learn', u'VB'), u'dobj', (u'knowledge', u'NN')), ((u'knowledge', u'NN'), u'amod', (u'basic', u'JJ')), ((u'learn', u'VB'), u'nmod', (u'structure', u'NN')), ((u'structure', u'NN'), u'case', (u'about', u'IN')), ((u'structure', u'NN'), u'compound', (u'data', u'NN')), ((u'structure', u'NN'), u'cc', (u'and', u'CC')), ((u'structure', u'NN'), u'conj', (u'performance', u'NN'))]]"
2507,RO728xoIEeWg_RJGAuFGjw,"A lot of very useful information. A perfect course for people familiar with the basics of java, and certainly a good continuation of the first course in the specialisation. ","[[((u'lot', u'NN'), u'det', (u'A', u'DT')), ((u'lot', u'NN'), u'nmod', (u'information', u'NN')), ((u'information', u'NN'), u'case', (u'of', u'IN')), ((u'information', u'NN'), u'amod', (u'useful', u'JJ')), ((u'useful', u'JJ'), u'advmod', (u'very', u'RB'))], [((u'course', u'NN'), u'det', (u'A', u'DT')), ((u'course', u'NN'), u'amod', (u'perfect', u'JJ')), ((u'course', u'NN'), u'nmod', (u'people', u'NNS')), ((u'people', u'NNS'), u'case', (u'for', u'IN')), ((u'course', u'NN'), u'amod', (u'familiar', u'JJ')), ((u'familiar', u'JJ'), u'nmod', (u'basics', u'NNS')), ((u'basics', u'NNS'), u'case', (u'with', u'IN')), ((u'basics', u'NNS'), u'det', (u'the', u'DT')), ((u'basics', u'NNS'), u'nmod', (u'java', u'NN')), ((u'java', u'NN'), u'case', (u'of', u'IN')), ((u'basics', u'NNS'), u'cc', (u'and', u'CC')), ((u'basics', u'NNS'), u'conj', (u'continuation', u'NN')), ((u'continuation', u'NN'), u'advmod', (u'certainly', u'RB')), ((u'continuation', u'NN'), u'det', (u'a', u'DT')), ((u'continuation', u'NN'), u'amod', (u'good', u'JJ')), ((u'continuation', u'NN'), u'nmod', (u'course', u'NN')), ((u'course', u'NN'), u'case', (u'of', u'IN')), ((u'course', u'NN'), u'det', (u'the', u'DT')), ((u'course', u'NN'), u'amod', (u'first', u'JJ')), ((u'course', u'NN'), u'nmod', (u'specialisation', u'NN')), ((u'specialisation', u'NN'), u'case', (u'in', u'IN')), ((u'specialisation', u'NN'), u'det', (u'the', u'DT'))]]"
2508,RO728xoIEeWg_RJGAuFGjw,"Very good, graded practical way to learn the fundamentals of data structures. Another great value course from UCSD. ","[[((u'graded', u'VBD'), u'advmod', (u'Very', u'RB')), ((u'graded', u'VBD'), u'dep', (u'good', u'JJ')), ((u'graded', u'VBD'), u'dobj', (u'way', u'NN')), ((u'way', u'NN'), u'amod', (u'practical', u'JJ')), ((u'graded', u'VBD'), u'advcl', (u'learn', u'VB')), ((u'learn', u'VB'), u'mark', (u'to', u'TO')), ((u'learn', u'VB'), u'dobj', (u'fundamentals', u'NNS')), ((u'fundamentals', u'NNS'), u'det', (u'the', u'DT')), ((u'fundamentals', u'NNS'), u'nmod', (u'structures', u'NNS')), ((u'structures', u'NNS'), u'case', (u'of', u'IN')), ((u'structures', u'NNS'), u'compound', (u'data', u'NN'))], [((u'course', u'NN'), u'det', (u'Another', u'DT')), ((u'course', u'NN'), u'amod', (u'great', u'JJ')), ((u'course', u'NN'), u'compound', (u'value', u'NN')), ((u'course', u'NN'), u'nmod', (u'UCSD', u'NNP')), ((u'UCSD', u'NNP'), u'case', (u'from', u'IN'))]]"
2509,RO728xoIEeWg_RJGAuFGjw,Outstanding course. ,"[[((u'course', u'NN'), u'amod', (u'Outstanding', u'JJ'))]]"
2510,RO728xoIEeWg_RJGAuFGjw,"Although I learned Java before, I never used it after second year of university. It has been 2 years and this series are good refreshing courses","[[((u'used', u'VBD'), u'advcl', (u'learned', u'VBD')), ((u'learned', u'VBD'), u'mark', (u'Although', u'IN')), ((u'learned', u'VBD'), u'nsubj', (u'I', u'PRP')), ((u'learned', u'VBD'), u'dobj', (u'Java', u'NNP')), ((u'learned', u'VBD'), u'advmod', (u'before', u'RB')), ((u'used', u'VBD'), u'nsubj', (u'I', u'PRP')), ((u'used', u'VBD'), u'neg', (u'never', u'RB')), ((u'used', u'VBD'), u'dobj', (u'it', u'PRP')), ((u'used', u'VBD'), u'nmod', (u'year', u'NN')), ((u'year', u'NN'), u'case', (u'after', u'IN')), ((u'year', u'NN'), u'amod', (u'second', u'JJ')), ((u'year', u'NN'), u'nmod', (u'university', u'NN')), ((u'university', u'NN'), u'case', (u'of', u'IN'))], [((u'good', u'JJ'), u'dep', (u'years', u'NNS')), ((u'years', u'NNS'), u'nsubj', (u'It', u'PRP')), ((u'years', u'NNS'), u'aux', (u'has', u'VBZ')), ((u'years', u'NNS'), u'cop', (u'been', u'VBN')), ((u'years', u'NNS'), u'nummod', (u'2', u'CD')), ((u'years', u'NNS'), u'cc', (u'and', u'CC')), ((u'years', u'NNS'), u'conj', (u'series', u'NN')), ((u'series', u'NN'), u'det', (u'this', u'DT')), ((u'good', u'JJ'), u'cop', (u'are', u'VBP')), ((u'good', u'JJ'), u'nsubj', (u'courses', u'NNS')), ((u'courses', u'NNS'), u'compound', (u'refreshing', u'NNP'))]]"
2511,RO728xoIEeWg_RJGAuFGjw,Loved it,"[[((u'Loved', u'VB'), u'dobj', (u'it', u'PRP'))]]"
2512,RO728xoIEeWg_RJGAuFGjw,great ,[[]]
2513,RO728xoIEeWg_RJGAuFGjw,This course is professional in many aspects. For me it was also inspiring. ,"[[((u'professional', u'NN'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'This', u'DT')), ((u'professional', u'NN'), u'cop', (u'is', u'VBZ')), ((u'professional', u'NN'), u'nmod', (u'aspects', u'NNS')), ((u'aspects', u'NNS'), u'case', (u'in', u'IN')), ((u'aspects', u'NNS'), u'amod', (u'many', u'JJ'))], [((u'inspiring', u'JJ'), u'nmod', (u'me', u'PRP')), ((u'me', u'PRP'), u'case', (u'For', u'IN')), ((u'inspiring', u'JJ'), u'nsubj', (u'it', u'PRP')), ((u'inspiring', u'JJ'), u'cop', (u'was', u'VBD')), ((u'inspiring', u'JJ'), u'advmod', (u'also', u'RB'))]]"
2514,RO728xoIEeWg_RJGAuFGjw,Great course. Very clear explanations for java data structures and interesting projects. Thanks UCSD. ,"[[((u'course', u'NN'), u'amod', (u'Great', u'JJ'))], [((u'explanations', u'NNS'), u'amod', (u'clear', u'JJ')), ((u'clear', u'JJ'), u'advmod', (u'Very', u'RB')), ((u'explanations', u'NNS'), u'nmod', (u'data', u'NNS')), ((u'data', u'NNS'), u'case', (u'for', u'IN')), ((u'data', u'NNS'), u'compound', (u'java', u'NN')), ((u'explanations', u'NNS'), u'dep', (u'structures', u'NNS')), ((u'structures', u'NNS'), u'cc', (u'and', u'CC')), ((u'structures', u'NNS'), u'conj', (u'projects', u'NNS')), ((u'projects', u'NNS'), u'amod', (u'interesting', u'JJ'))], [((u'UCSD', u'VBD'), u'nsubj', (u'Thanks', u'NNS'))]]"
