,course_id,comment,parsed_sent
5636,X55NADVvEeW6RApRXdjJPw,Week 4 is very bad Bad quality of video. Bad speaker. ,"[[((u'quality', u'NN'), u'nsubj', (u'Week', u'NNP')), ((u'Week', u'NNP'), u'nummod', (u'4', u'CD')), ((u'quality', u'NN'), u'cop', (u'is', u'VBZ')), ((u'quality', u'NN'), u'amod', (u'bad', u'JJ')), ((u'bad', u'JJ'), u'advmod', (u'very', u'RB')), ((u'quality', u'NN'), u'compound', (u'Bad', u'NNP')), ((u'quality', u'NN'), u'nmod', (u'video', u'NN')), ((u'video', u'NN'), u'case', (u'of', u'IN'))], [((u'speaker', u'VBZ'), u'nsubj', (u'Bad', u'NNP'))]]"
5637,X55NADVvEeW6RApRXdjJPw,"very useful, Swift is a great program lan","[[((u'is', u'VBZ'), u'dep', (u'useful', u'JJ')), ((u'useful', u'JJ'), u'advmod', (u'very', u'RB')), ((u'is', u'VBZ'), u'advmod', (u'Swift', u'RB')), ((u'is', u'VBZ'), u'nsubj', (u'program', u'NN')), ((u'program', u'NN'), u'det', (u'a', u'DT')), ((u'program', u'NN'), u'amod', (u'great', u'JJ')), ((u'program', u'NN'), u'dep', (u'lan', u'NN'))]]"
5638,X55NADVvEeW6RApRXdjJPw,"Hard and confusing, did not like this course. ","[[((u'like', u'VB'), u'nsubj', (u'Hard', u'NNP')), ((u'Hard', u'NNP'), u'cc', (u'and', u'CC')), ((u'Hard', u'NNP'), u'conj', (u'confusing', u'JJ')), ((u'like', u'VB'), u'aux', (u'did', u'VBD')), ((u'like', u'VB'), u'neg', (u'not', u'RB')), ((u'like', u'VB'), u'dobj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'this', u'DT'))]]"
5639,X55NADVvEeW6RApRXdjJPw,very good course. And trainers are expert in thier field. Thankyou. very nice experience,"[[((u'good', u'JJ'), u'advmod', (u'very', u'RB')), ((u'good', u'JJ'), u'dep', (u'course', u'NN'))], [((u'expert', u'NN'), u'cc', (u'And', u'CC')), ((u'expert', u'NN'), u'nsubj', (u'trainers', u'NNS')), ((u'expert', u'NN'), u'cop', (u'are', u'VBP')), ((u'expert', u'NN'), u'nmod', (u'field', u'NN')), ((u'field', u'NN'), u'case', (u'in', u'IN')), ((u'field', u'NN'), u'compound', (u'thier', u'NN'))], [], [((u'experience', u'NN'), u'amod', (u'nice', u'JJ')), ((u'nice', u'JJ'), u'advmod', (u'very', u'RB'))]]"
5640,X55NADVvEeW6RApRXdjJPw,"This is a good course in swift. The lecture videos goes into some depth, not just skim through the basics. So in that regard it's good. But the quizzes and assignment can be a bit improved. With that said, I would recommend this course to anyone who is interested learning iOS development with Swift. ","[[((u'course', u'NN'), u'nsubj', (u'This', u'DT')), ((u'course', u'NN'), u'cop', (u'is', u'VBZ')), ((u'course', u'NN'), u'det', (u'a', u'DT')), ((u'course', u'NN'), u'amod', (u'good', u'JJ')), ((u'course', u'NN'), u'nmod', (u'swift', u'NN')), ((u'swift', u'NN'), u'case', (u'in', u'IN'))], [((u'goes', u'VBZ'), u'nsubj', (u'videos', u'NNS')), ((u'videos', u'NNS'), u'det', (u'The', u'DT')), ((u'videos', u'NNS'), u'compound', (u'lecture', u'NN')), ((u'goes', u'VBZ'), u'nmod', (u'depth', u'NN')), ((u'depth', u'NN'), u'case', (u'into', u'IN')), ((u'depth', u'NN'), u'det', (u'some', u'DT')), ((u'depth', u'NN'), u'neg', (u'not', u'RB')), ((u'depth', u'NN'), u'advmod', (u'just', u'RB')), ((u'depth', u'NN'), u'dep', (u'skim', u'NN')), ((u'goes', u'VBZ'), u'nmod', (u'basics', u'NNS')), ((u'basics', u'NNS'), u'case', (u'through', u'IN')), ((u'basics', u'NNS'), u'det', (u'the', u'DT'))], [((u'good', u'JJ'), u'advmod', (u'So', u'RB')), ((u'good', u'JJ'), u'nmod', (u'regard', u'NN')), ((u'regard', u'NN'), u'case', (u'in', u'IN')), ((u'regard', u'NN'), u'det', (u'that', u'DT')), ((u'good', u'JJ'), u'nsubj', (u'it', u'PRP')), ((u'good', u'JJ'), u'cop', (u""'s"", u'VBZ'))], [((u'improved', u'JJ'), u'cc', (u'But', u'CC')), ((u'improved', u'JJ'), u'nsubj', (u'quizzes', u'NNS')), ((u'quizzes', u'NNS'), u'det', (u'the', u'DT')), ((u'quizzes', u'NNS'), u'cc', (u'and', u'CC')), ((u'quizzes', u'NNS'), u'conj', (u'assignment', u'NN')), ((u'improved', u'JJ'), u'aux', (u'can', u'MD')), ((u'improved', u'JJ'), u'cop', (u'be', u'VB')), ((u'improved', u'JJ'), u'nmod:npmod', (u'bit', u'RB')), ((u'bit', u'RB'), u'det', (u'a', u'DT'))], [((u'recommend', u'VB'), u'advcl', (u'said', u'VBD')), ((u'said', u'VBD'), u'mark', (u'With', u'IN')), ((u'said', u'VBD'), u'nsubj', (u'that', u'DT')), ((u'recommend', u'VB'), u'nsubj', (u'I', u'PRP')), ((u'recommend', u'VB'), u'aux', (u'would', u'MD')), ((u'recommend', u'VB'), u'dobj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'this', u'DT')), ((u'recommend', u'VB'), u'nmod', (u'anyone', u'NN')), ((u'anyone', u'NN'), u'case', (u'to', u'TO')), ((u'anyone', u'NN'), u'acl:relcl', (u'interested', u'JJ')), ((u'interested', u'JJ'), u'nsubj', (u'who', u'WP')), ((u'interested', u'JJ'), u'cop', (u'is', u'VBZ')), ((u'interested', u'JJ'), u'xcomp', (u'learning', u'VBG')), ((u'learning', u'VBG'), u'dobj', (u'development', u'NN')), ((u'development', u'NN'), u'compound', (u'iOS', u'NNP')), ((u'learning', u'VBG'), u'nmod', (u'Swift', u'NNP')), ((u'Swift', u'NNP'), u'case', (u'with', u'IN'))]]"
5641,X55NADVvEeW6RApRXdjJPw,Excellent ,[[]]
5642,X55NADVvEeW6RApRXdjJPw,Some videos are blurring,"[[((u'blurring', u'VBG'), u'nsubj', (u'videos', u'NNS')), ((u'videos', u'NNS'), u'det', (u'Some', u'DT')), ((u'blurring', u'VBG'), u'aux', (u'are', u'VBP'))]]"
5643,X55NADVvEeW6RApRXdjJPw,"Week 4 was particularly tough to get through. Instructor seem uninterested, and the constant hair flipping was distracting. Videos came through blurry despite using high quality settings. There was a lot of code to get through that could have been better organized. On a few occasions, I had to back-track through the videos to find something I missed. And, in one area, instructor had to go back and fix something but didn't bother to provide guidance as to were to go and do this yourself. In the end, I gave up following along with the videos and built the app using my own research. ","[[((u'tough', u'JJ'), u'nsubj', (u'Week', u'NNP')), ((u'Week', u'NNP'), u'nummod', (u'4', u'CD')), ((u'tough', u'JJ'), u'cop', (u'was', u'VBD')), ((u'tough', u'JJ'), u'advmod', (u'particularly', u'RB')), ((u'tough', u'JJ'), u'xcomp', (u'get', u'VB')), ((u'get', u'VB'), u'mark', (u'to', u'TO')), ((u'get', u'VB'), u'compound:prt', (u'through', u'RP'))], [((u'seem', u'VBP'), u'nsubj', (u'Instructor', u'NNP')), ((u'seem', u'VBP'), u'xcomp', (u'uninterested', u'JJ')), ((u'seem', u'VBP'), u'cc', (u'and', u'CC')), ((u'seem', u'VBP'), u'conj', (u'distracting', u'VBG')), ((u'distracting', u'VBG'), u'nsubj', (u'hair', u'NN')), ((u'hair', u'NN'), u'det', (u'the', u'DT')), ((u'hair', u'NN'), u'amod', (u'constant', u'JJ')), ((u'hair', u'NN'), u'amod', (u'flipping', u'VBG')), ((u'distracting', u'VBG'), u'aux', (u'was', u'VBD'))], [((u'came', u'VBD'), u'nsubj', (u'Videos', u'NNS')), ((u'came', u'VBD'), u'advcl', (u'blurry', u'JJ')), ((u'blurry', u'JJ'), u'case', (u'through', u'IN')), ((u'came', u'VBD'), u'advcl', (u'using', u'VBG')), ((u'using', u'VBG'), u'mark', (u'despite', u'IN')), ((u'using', u'VBG'), u'dobj', (u'settings', u'NNS')), ((u'settings', u'NNS'), u'amod', (u'high', u'JJ')), ((u'settings', u'NNS'), u'compound', (u'quality', u'NN'))], [((u'was', u'VBD'), u'expl', (u'There', u'EX')), ((u'was', u'VBD'), u'nsubj', (u'lot', u'NN')), ((u'lot', u'NN'), u'det', (u'a', u'DT')), ((u'lot', u'NN'), u'nmod', (u'code', u'NN')), ((u'code', u'NN'), u'case', (u'of', u'IN')), ((u'lot', u'NN'), u'acl', (u'get', u'VB')), ((u'get', u'VB'), u'mark', (u'to', u'TO')), ((u'get', u'VB'), u'advcl', (u'organized', u'VBN')), ((u'organized', u'VBN'), u'mark', (u'through', u'IN')), ((u'organized', u'VBN'), u'nsubjpass', (u'that', u'WDT')), ((u'organized', u'VBN'), u'aux', (u'could', u'MD')), ((u'organized', u'VBN'), u'aux', (u'have', u'VB')), ((u'organized', u'VBN'), u'auxpass', (u'been', u'VBN')), ((u'organized', u'VBN'), u'advmod', (u'better', u'RBR'))], [((u'had', u'VBD'), u'nmod', (u'occasions', u'NNS')), ((u'occasions', u'NNS'), u'case', (u'On', u'IN')), ((u'occasions', u'NNS'), u'det', (u'a', u'DT')), ((u'occasions', u'NNS'), u'amod', (u'few', u'JJ')), ((u'had', u'VBD'), u'nsubj', (u'I', u'PRP')), ((u'had', u'VBD'), u'xcomp', (u'back-track', u'VB')), ((u'back-track', u'VB'), u'mark', (u'to', u'TO')), ((u'back-track', u'VB'), u'nmod', (u'videos', u'NNS')), ((u'videos', u'NNS'), u'case', (u'through', u'IN')), ((u'videos', u'NNS'), u'det', (u'the', u'DT')), ((u'had', u'VBD'), u'xcomp', (u'find', u'VB')), ((u'find', u'VB'), u'mark', (u'to', u'TO')), ((u'find', u'VB'), u'dobj', (u'something', u'NN')), ((u'something', u'NN'), u'acl:relcl', (u'missed', u'VBD')), ((u'missed', u'VBD'), u'nsubj', (u'I', u'PRP'))], [((u'had', u'VBD'), u'cc', (u'And', u'CC')), ((u'had', u'VBD'), u'nmod', (u'area', u'NN')), ((u'area', u'NN'), u'case', (u'in', u'IN')), ((u'area', u'NN'), u'nummod', (u'one', u'CD')), ((u'had', u'VBD'), u'nsubj', (u'instructor', u'NN')), ((u'had', u'VBD'), u'xcomp', (u'go', u'VB')), ((u'go', u'VB'), u'mark', (u'to', u'TO')), ((u'go', u'VB'), u'advmod', (u'back', u'RB')), ((u'go', u'VB'), u'cc', (u'and', u'CC')), ((u'go', u'VB'), u'conj', (u'fix', u'VB')), ((u'fix', u'VB'), u'dobj', (u'something', u'NN')), ((u'had', u'VBD'), u'cc', (u'but', u'CC')), ((u'had', u'VBD'), u'conj', (u'bother', u'VB')), ((u'bother', u'VB'), u'aux', (u'did', u'VBD')), ((u'bother', u'VB'), u'neg', (u""n't"", u'RB')), ((u'bother', u'VB'), u'xcomp', (u'provide', u'VB')), ((u'provide', u'VB'), u'mark', (u'to', u'TO')), ((u'provide', u'VB'), u'dobj', (u'guidance', u'NN')), ((u'provide', u'VB'), u'advcl', (u'were', u'VBD')), ((u'were', u'VBD'), u'mark', (u'as', u'IN')), ((u'were', u'VBD'), u'nsubj', (u'to', u'TO')), ((u'were', u'VBD'), u'xcomp', (u'go', u'VB')), ((u'go', u'VB'), u'mark', (u'to', u'TO')), ((u'go', u'VB'), u'cc', (u'and', u'CC')), ((u'go', u'VB'), u'conj', (u'do', u'VB')), ((u'go', u'VB'), u'dobj', (u'this', u'DT')), ((u'bother', u'VB'), u'dobj', (u'yourself', u'PRP'))], [((u'gave', u'VBD'), u'nmod', (u'end', u'NN')), ((u'end', u'NN'), u'case', (u'In', u'IN')), ((u'end', u'NN'), u'det', (u'the', u'DT')), ((u'gave', u'VBD'), u'nsubj', (u'I', u'PRP')), ((u'gave', u'VBD'), u'compound:prt', (u'up', u'RP')), ((u'gave', u'VBD'), u'xcomp', (u'following', u'VBG')), ((u'following', u'VBG'), u'compound:prt', (u'along', u'RP')), ((u'following', u'VBG'), u'nmod', (u'videos', u'NNS')), ((u'videos', u'NNS'), u'case', (u'with', u'IN')), ((u'videos', u'NNS'), u'det', (u'the', u'DT')), ((u'gave', u'VBD'), u'cc', (u'and', u'CC')), ((u'gave', u'VBD'), u'conj', (u'built', u'VBD')), ((u'built', u'VBD'), u'dobj', (u'app', u'NN')), ((u'app', u'NN'), u'det', (u'the', u'DT')), ((u'built', u'VBD'), u'xcomp', (u'using', u'VBG')), ((u'using', u'VBG'), u'dobj', (u'research', u'NN')), ((u'research', u'NN'), u'nmod:poss', (u'my', u'PRP$')), ((u'research', u'NN'), u'amod', (u'own', u'JJ'))]]"
5644,X55NADVvEeW6RApRXdjJPw,"looks like it has great contents but really hard to finish it , due to video and audio issueIn some lectures , I can't hardly read the blurry syntax and almost impossible to hear ","[[((u'looks', u'VBZ'), u'advcl', (u'has', u'VBZ')), ((u'has', u'VBZ'), u'mark', (u'like', u'IN')), ((u'has', u'VBZ'), u'nsubj', (u'it', u'PRP')), ((u'has', u'VBZ'), u'dobj', (u'contents', u'NNS')), ((u'contents', u'NNS'), u'amod', (u'great', u'JJ')), ((u'has', u'VBZ'), u'dep', (u'really', u'RB')), ((u'really', u'RB'), u'cc', (u'but', u'CC')), ((u'really', u'RB'), u'dep', (u'hard', u'RB')), ((u'has', u'VBZ'), u'nmod', (u'finish', u'NN')), ((u'finish', u'NN'), u'case', (u'to', u'TO')), ((u'looks', u'VBZ'), u'nsubj', (u'it', u'PRP')), ((u'it', u'PRP'), u'amod', (u'due', u'JJ')), ((u'due', u'JJ'), u'nmod', (u'issueIn', u'NN')), ((u'issueIn', u'NN'), u'case', (u'to', u'TO')), ((u'issueIn', u'NN'), u'compound', (u'video', u'NN')), ((u'video', u'NN'), u'cc', (u'and', u'CC')), ((u'video', u'NN'), u'conj', (u'audio', u'JJ')), ((u'issueIn', u'NN'), u'acl:relcl', (u'lectures', u'VBZ')), ((u'lectures', u'VBZ'), u'nsubj', (u'some', u'DT')), ((u'lectures', u'VBZ'), u'ccomp', (u'read', u'VB')), ((u'read', u'VB'), u'nsubj', (u'I', u'PRP')), ((u'read', u'VB'), u'aux', (u'ca', u'MD')), ((u'read', u'VB'), u'neg', (u""n't"", u'RB')), ((u'read', u'VB'), u'advmod', (u'hardly', u'RB')), ((u'read', u'VB'), u'dobj', (u'syntax', u'NN')), ((u'syntax', u'NN'), u'det', (u'the', u'DT')), ((u'syntax', u'NN'), u'amod', (u'blurry', u'JJ')), ((u'due', u'JJ'), u'cc', (u'and', u'CC')), ((u'due', u'JJ'), u'conj', (u'impossible', u'JJ')), ((u'impossible', u'JJ'), u'advmod', (u'almost', u'RB')), ((u'impossible', u'JJ'), u'xcomp', (u'hear', u'VB')), ((u'hear', u'VB'), u'mark', (u'to', u'TO'))]]"
5645,X55NADVvEeW6RApRXdjJPw,"The video quality was so bad, can not see the code clearly. Please update the better video. ","[[((u'bad', u'JJ'), u'nsubj', (u'quality', u'NN')), ((u'quality', u'NN'), u'det', (u'The', u'DT')), ((u'quality', u'NN'), u'amod', (u'video', u'JJ')), ((u'bad', u'JJ'), u'cop', (u'was', u'VBD')), ((u'bad', u'JJ'), u'advmod', (u'so', u'RB')), ((u'bad', u'JJ'), u'ccomp', (u'see', u'VB')), ((u'see', u'VB'), u'aux', (u'can', u'MD')), ((u'see', u'VB'), u'neg', (u'not', u'RB')), ((u'see', u'VB'), u'dobj', (u'code', u'NN')), ((u'code', u'NN'), u'det', (u'the', u'DT')), ((u'see', u'VB'), u'advmod', (u'clearly', u'RB'))], [((u'update', u'VB'), u'discourse', (u'Please', u'UH')), ((u'update', u'VB'), u'dobj', (u'video', u'NN')), ((u'video', u'NN'), u'det', (u'the', u'DT')), ((u'video', u'NN'), u'amod', (u'better', u'JJR'))]]"
