,course_id,comment,parsed_sent
6078,a_xPWXNVEeWxvQr3acyajw,A great academic challenge ,"[[((u'challenge', u'NN'), u'det', (u'A', u'DT')), ((u'challenge', u'NN'), u'amod', (u'great', u'JJ')), ((u'challenge', u'NN'), u'amod', (u'academic', u'JJ'))]]"
6079,a_xPWXNVEeWxvQr3acyajw,Great,[[]]
6080,a_xPWXNVEeWxvQr3acyajw,Wonderful course ,"[[((u'course', u'NN'), u'amod', (u'Wonderful', u'JJ'))]]"
6081,a_xPWXNVEeWxvQr3acyajw,Really good introduction to regression models. ,"[[((u'Really', u'VB'), u'dobj', (u'introduction', u'NN')), ((u'introduction', u'NN'), u'amod', (u'good', u'JJ')), ((u'Really', u'VB'), u'nmod', (u'models', u'NNS')), ((u'models', u'NNS'), u'case', (u'to', u'TO')), ((u'models', u'NNS'), u'compound', (u'regression', u'NN'))]]"
6082,a_xPWXNVEeWxvQr3acyajw,Great course ,"[[((u'course', u'NN'), u'amod', (u'Great', u'JJ'))]]"
6083,a_xPWXNVEeWxvQr3acyajw,"Awesome course. Handling a complex topic in a very lucid manner. However, be prepared of finishing in more than 1 class because it will really take time to grasp the concepts especially if you are not from statistical background. Great job Brian. ","[[((u'Awesome', u'VB'), u'dobj', (u'course', u'NN'))], [((u'Handling', u'VBG'), u'dobj', (u'topic', u'NN')), ((u'topic', u'NN'), u'det', (u'a', u'DT')), ((u'topic', u'NN'), u'amod', (u'complex', u'JJ')), ((u'Handling', u'VBG'), u'nmod', (u'manner', u'NN')), ((u'manner', u'NN'), u'case', (u'in', u'IN')), ((u'manner', u'NN'), u'det', (u'a', u'DT')), ((u'manner', u'NN'), u'advmod', (u'very', u'RB')), ((u'manner', u'NN'), u'amod', (u'lucid', u'JJ'))], [((u'prepared', u'VBN'), u'advmod', (u'However', u'RB')), ((u'prepared', u'VBN'), u'auxpass', (u'be', u'VB')), ((u'prepared', u'VBN'), u'advcl', (u'finishing', u'VBG')), ((u'finishing', u'VBG'), u'mark', (u'of', u'IN')), ((u'finishing', u'VBG'), u'nmod', (u'class', u'NN')), ((u'class', u'NN'), u'case', (u'in', u'IN')), ((u'class', u'NN'), u'nummod', (u'1', u'CD')), ((u'1', u'CD'), u'advmod', (u'more', u'JJR')), ((u'more', u'JJR'), u'mwe', (u'than', u'IN')), ((u'finishing', u'VBG'), u'advcl', (u'take', u'VB')), ((u'take', u'VB'), u'mark', (u'because', u'IN')), ((u'take', u'VB'), u'nsubj', (u'it', u'PRP')), ((u'take', u'VB'), u'aux', (u'will', u'MD')), ((u'take', u'VB'), u'advmod', (u'really', u'RB')), ((u'take', u'VB'), u'dobj', (u'time', u'NN')), ((u'take', u'VB'), u'advcl', (u'grasp', u'VB')), ((u'grasp', u'VB'), u'mark', (u'to', u'TO')), ((u'grasp', u'VB'), u'dobj', (u'concepts', u'NNS')), ((u'concepts', u'NNS'), u'det', (u'the', u'DT')), ((u'grasp', u'VB'), u'advmod', (u'especially', u'RB')), ((u'grasp', u'VB'), u'advcl', (u'background', u'NN')), ((u'background', u'NN'), u'mark', (u'if', u'IN')), ((u'background', u'NN'), u'nsubj', (u'you', u'PRP')), ((u'background', u'NN'), u'cop', (u'are', u'VBP')), ((u'background', u'NN'), u'neg', (u'not', u'RB')), ((u'background', u'NN'), u'case', (u'from', u'IN')), ((u'background', u'NN'), u'amod', (u'statistical', u'JJ'))], [((u'job', u'NN'), u'amod', (u'Great', u'JJ')), ((u'job', u'NN'), u'appos', (u'Brian', u'NNP'))]]"
6084,a_xPWXNVEeWxvQr3acyajw,Exceptional Learning ,"[[((u'Learning', u'NNP'), u'compound', (u'Exceptional', u'NNP'))]]"
6085,a_xPWXNVEeWxvQr3acyajw,good intro,"[[((u'intro', u'NN'), u'amod', (u'good', u'JJ'))]]"
6086,a_xPWXNVEeWxvQr3acyajw,well done ,"[[((u'done', u'VBN'), u'advmod', (u'well', u'RB'))]]"
6087,a_xPWXNVEeWxvQr3acyajw,Really helpful and well presented. ,"[[((u'helpful', u'JJ'), u'advmod', (u'Really', u'RB')), ((u'helpful', u'JJ'), u'cc', (u'and', u'CC')), ((u'helpful', u'JJ'), u'conj', (u'presented', u'JJ')), ((u'presented', u'JJ'), u'advmod', (u'well', u'RB'))]]"
