,course_id,comment,parsed_sent
10258,bVgqTevEEeWvGQrWsIkLlw,"The content was very useful, and the preparation of the course denoted much care and preparation by the teacher. I would love to see some modern topics like word embeddings covered in the course ","[[((u'useful', u'JJ'), u'nsubj', (u'content', u'NN')), ((u'content', u'NN'), u'det', (u'The', u'DT')), ((u'useful', u'JJ'), u'cop', (u'was', u'VBD')), ((u'useful', u'JJ'), u'advmod', (u'very', u'RB')), ((u'useful', u'JJ'), u'cc', (u'and', u'CC')), ((u'useful', u'JJ'), u'conj', (u'denoted', u'VBD')), ((u'denoted', u'VBD'), u'nsubj', (u'preparation', u'NN')), ((u'preparation', u'NN'), u'det', (u'the', u'DT')), ((u'preparation', u'NN'), u'nmod', (u'course', u'NN')), ((u'course', u'NN'), u'case', (u'of', u'IN')), ((u'course', u'NN'), u'det', (u'the', u'DT')), ((u'denoted', u'VBD'), u'dobj', (u'care', u'NN')), ((u'care', u'NN'), u'amod', (u'much', u'JJ')), ((u'care', u'NN'), u'cc', (u'and', u'CC')), ((u'care', u'NN'), u'conj', (u'preparation', u'NN')), ((u'denoted', u'VBD'), u'nmod', (u'teacher', u'NN')), ((u'teacher', u'NN'), u'case', (u'by', u'IN')), ((u'teacher', u'NN'), u'det', (u'the', u'DT'))], [((u'love', u'VB'), u'nsubj', (u'I', u'PRP')), ((u'love', u'VB'), u'aux', (u'would', u'MD')), ((u'love', u'VB'), u'xcomp', (u'see', u'VB')), ((u'see', u'VB'), u'mark', (u'to', u'TO')), ((u'see', u'VB'), u'dobj', (u'topics', u'NNS')), ((u'topics', u'NNS'), u'det', (u'some', u'DT')), ((u'topics', u'NNS'), u'amod', (u'modern', u'JJ')), ((u'see', u'VB'), u'nmod', (u'embeddings', u'NNS')), ((u'embeddings', u'NNS'), u'case', (u'like', u'IN')), ((u'embeddings', u'NNS'), u'compound', (u'word', u'NN')), ((u'embeddings', u'NNS'), u'acl', (u'covered', u'VBN')), ((u'covered', u'VBN'), u'nmod', (u'course', u'NN')), ((u'course', u'NN'), u'case', (u'in', u'IN')), ((u'course', u'NN'), u'det', (u'the', u'DT'))]]"
10259,bVgqTevEEeWvGQrWsIkLlw,Useful as introductory course on NLP. Recommended for anyone who wants to begin on this discipline. ,"[[((u'Useful', u'VB'), u'nmod', (u'course', u'NN')), ((u'course', u'NN'), u'case', (u'as', u'IN')), ((u'course', u'NN'), u'amod', (u'introductory', u'JJ')), ((u'course', u'NN'), u'nmod', (u'NLP', u'NNP')), ((u'NLP', u'NNP'), u'case', (u'on', u'IN'))], [((u'Recommended', u'VBN'), u'nmod', (u'anyone', u'NN')), ((u'anyone', u'NN'), u'case', (u'for', u'IN')), ((u'anyone', u'NN'), u'acl:relcl', (u'wants', u'VBZ')), ((u'wants', u'VBZ'), u'nsubj', (u'who', u'WP')), ((u'wants', u'VBZ'), u'xcomp', (u'begin', u'VB')), ((u'begin', u'VB'), u'mark', (u'to', u'TO')), ((u'begin', u'VB'), u'nmod', (u'discipline', u'NN')), ((u'discipline', u'NN'), u'case', (u'on', u'IN')), ((u'discipline', u'NN'), u'det', (u'this', u'DT'))]]"
10260,bVgqTevEEeWvGQrWsIkLlw,Nice course on text mining. ,"[[((u'Nice', u'VB'), u'dobj', (u'course', u'NN')), ((u'Nice', u'VB'), u'nmod', (u'mining', u'NN')), ((u'mining', u'NN'), u'case', (u'on', u'IN')), ((u'mining', u'NN'), u'compound', (u'text', u'NN'))]]"
10261,bVgqTevEEeWvGQrWsIkLlw,"A really interesting course which covers theoretically most of the text mining techniques. I missed having more practical exercise, which could help to deeply understand the lectures. Setting up the environment for the development task is a little bit complicated, it might be interesting to provide a virtual machine with all the software and correct versions required. Even though, I would recommend this course if you are interested on the topic. ","[[((u'theoretically', u'VBP'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'A', u'DT')), ((u'course', u'NN'), u'amod', (u'interesting', u'JJ')), ((u'interesting', u'JJ'), u'advmod', (u'really', u'RB')), ((u'course', u'NN'), u'acl:relcl', (u'covers', u'VBZ')), ((u'covers', u'VBZ'), u'nsubj', (u'which', u'WDT')), ((u'theoretically', u'VBP'), u'dobj', (u'most', u'JJS')), ((u'most', u'JJS'), u'nmod', (u'techniques', u'NNS')), ((u'techniques', u'NNS'), u'case', (u'of', u'IN')), ((u'techniques', u'NNS'), u'det', (u'the', u'DT')), ((u'techniques', u'NNS'), u'compound', (u'text', u'NN')), ((u'techniques', u'NNS'), u'compound', (u'mining', u'NN'))], [((u'missed', u'VBD'), u'nsubj', (u'I', u'PRP')), ((u'missed', u'VBD'), u'xcomp', (u'having', u'VBG')), ((u'having', u'VBG'), u'dobj', (u'exercise', u'NN')), ((u'exercise', u'NN'), u'amod', (u'practical', u'JJ')), ((u'practical', u'JJ'), u'advmod', (u'more', u'RBR')), ((u'exercise', u'NN'), u'acl:relcl', (u'help', u'VB')), ((u'help', u'VB'), u'nsubj', (u'which', u'WDT')), ((u'help', u'VB'), u'aux', (u'could', u'MD')), ((u'help', u'VB'), u'xcomp', (u'understand', u'VB')), ((u'understand', u'VB'), u'mark', (u'to', u'TO')), ((u'understand', u'VB'), u'advmod', (u'deeply', u'RB')), ((u'understand', u'VB'), u'dobj', (u'lectures', u'NN')), ((u'lectures', u'NN'), u'det', (u'the', u'DT'))], [((u'interesting', u'JJ'), u'ccomp', (u'complicated', u'VBN')), ((u'complicated', u'VBN'), u'csubjpass', (u'Setting', u'VBG')), ((u'Setting', u'VBG'), u'compound:prt', (u'up', u'RP')), ((u'Setting', u'VBG'), u'dobj', (u'environment', u'NN')), ((u'environment', u'NN'), u'det', (u'the', u'DT')), ((u'environment', u'NN'), u'nmod', (u'task', u'NN')), ((u'task', u'NN'), u'case', (u'for', u'IN')), ((u'task', u'NN'), u'det', (u'the', u'DT')), ((u'task', u'NN'), u'compound', (u'development', u'NN')), ((u'complicated', u'VBN'), u'auxpass', (u'is', u'VBZ')), ((u'complicated', u'VBN'), u'dep', (u'bit', u'NN')), ((u'bit', u'NN'), u'advmod', (u'a', u'DT')), ((u'bit', u'NN'), u'advmod', (u'little', u'JJ')), ((u'interesting', u'JJ'), u'nsubj', (u'it', u'PRP')), ((u'interesting', u'JJ'), u'aux', (u'might', u'MD')), ((u'interesting', u'JJ'), u'cop', (u'be', u'VB')), ((u'interesting', u'JJ'), u'xcomp', (u'provide', u'VB')), ((u'provide', u'VB'), u'mark', (u'to', u'TO')), ((u'provide', u'VB'), u'dobj', (u'machine', u'NN')), ((u'machine', u'NN'), u'det', (u'a', u'DT')), ((u'machine', u'NN'), u'amod', (u'virtual', u'JJ')), ((u'provide', u'VB'), u'nmod', (u'software', u'NN')), ((u'software', u'NN'), u'case', (u'with', u'IN')), ((u'software', u'NN'), u'det:predet', (u'all', u'PDT')), ((u'software', u'NN'), u'det', (u'the', u'DT')), ((u'provide', u'VB'), u'cc', (u'and', u'CC')), ((u'provide', u'VB'), u'conj', (u'correct', u'VB')), ((u'correct', u'VB'), u'dobj', (u'versions', u'NNS')), ((u'versions', u'NNS'), u'acl', (u'required', u'VBN'))], [((u'recommend', u'VB'), u'advmod', (u'Even', u'RB')), ((u'Even', u'RB'), u'case', (u'though', u'IN')), ((u'recommend', u'VB'), u'nsubj', (u'I', u'PRP')), ((u'recommend', u'VB'), u'aux', (u'would', u'MD')), ((u'recommend', u'VB'), u'dobj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'this', u'DT')), ((u'recommend', u'VB'), u'advcl', (u'interested', u'JJ')), ((u'interested', u'JJ'), u'mark', (u'if', u'IN')), ((u'interested', u'JJ'), u'nsubj', (u'you', u'PRP')), ((u'interested', u'JJ'), u'cop', (u'are', u'VBP')), ((u'interested', u'JJ'), u'nmod', (u'topic', u'NN')), ((u'topic', u'NN'), u'case', (u'on', u'IN')), ((u'topic', u'NN'), u'det', (u'the', u'DT'))]]"
10262,bVgqTevEEeWvGQrWsIkLlw,Awesome ,[[]]
10263,bVgqTevEEeWvGQrWsIkLlw,The content is really good but the course has too much theory. Mixing it with some practical programming assignments would have been very nice,"[[((u'good', u'JJ'), u'nsubj', (u'content', u'NN')), ((u'content', u'NN'), u'det', (u'The', u'DT')), ((u'good', u'JJ'), u'cop', (u'is', u'VBZ')), ((u'good', u'JJ'), u'advmod', (u'really', u'RB')), ((u'good', u'JJ'), u'cc', (u'but', u'CC')), ((u'good', u'JJ'), u'conj', (u'has', u'VBZ')), ((u'has', u'VBZ'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'the', u'DT')), ((u'has', u'VBZ'), u'dobj', (u'theory', u'NN')), ((u'theory', u'NN'), u'amod', (u'much', u'JJ')), ((u'much', u'JJ'), u'advmod', (u'too', u'RB'))], [((u'Mixing', u'VBG'), u'dobj', (u'it', u'PRP')), ((u'Mixing', u'VBG'), u'nmod', (u'programming', u'NN')), ((u'programming', u'NN'), u'case', (u'with', u'IN')), ((u'programming', u'NN'), u'det', (u'some', u'DT')), ((u'programming', u'NN'), u'amod', (u'practical', u'JJ')), ((u'programming', u'NN'), u'acl:relcl', (u'nice', u'JJ')), ((u'nice', u'JJ'), u'nsubj', (u'assignments', u'NNS')), ((u'nice', u'JJ'), u'aux', (u'would', u'MD')), ((u'nice', u'JJ'), u'aux', (u'have', u'VB')), ((u'nice', u'JJ'), u'cop', (u'been', u'VBN')), ((u'nice', u'JJ'), u'advmod', (u'very', u'RB'))]]"
10264,bVgqTevEEeWvGQrWsIkLlw,"I think the course has very limited practical problems; so for beginners in NLP and text analytics, it is very difficult to grasp all the theoretical concepts presented in the course. ","[[((u'think', u'VBP'), u'nsubj', (u'I', u'PRP')), ((u'think', u'VBP'), u'ccomp', (u'has', u'VBZ')), ((u'has', u'VBZ'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'the', u'DT')), ((u'has', u'VBZ'), u'dobj', (u'problems', u'NNS')), ((u'problems', u'NNS'), u'amod', (u'limited', u'VBN')), ((u'limited', u'VBN'), u'advmod', (u'very', u'RB')), ((u'problems', u'NNS'), u'amod', (u'practical', u'JJ')), ((u'think', u'VBP'), u'parataxis', (u'difficult', u'JJ')), ((u'difficult', u'JJ'), u'advmod', (u'so', u'RB')), ((u'so', u'RB'), u'nmod', (u'beginners', u'NNS')), ((u'beginners', u'NNS'), u'case', (u'for', u'IN')), ((u'beginners', u'NNS'), u'nmod', (u'analytics', u'NNS')), ((u'analytics', u'NNS'), u'case', (u'in', u'IN')), ((u'analytics', u'NNS'), u'compound', (u'NLP', u'NNP')), ((u'NLP', u'NNP'), u'cc', (u'and', u'CC')), ((u'NLP', u'NNP'), u'conj', (u'text', u'NN')), ((u'difficult', u'JJ'), u'nsubj', (u'it', u'PRP')), ((u'difficult', u'JJ'), u'cop', (u'is', u'VBZ')), ((u'difficult', u'JJ'), u'advmod', (u'very', u'RB')), ((u'difficult', u'JJ'), u'xcomp', (u'grasp', u'VB')), ((u'grasp', u'VB'), u'mark', (u'to', u'TO')), ((u'grasp', u'VB'), u'dobj', (u'concepts', u'NNS')), ((u'concepts', u'NNS'), u'det:predet', (u'all', u'PDT')), ((u'concepts', u'NNS'), u'det', (u'the', u'DT')), ((u'concepts', u'NNS'), u'amod', (u'theoretical', u'JJ')), ((u'concepts', u'NNS'), u'acl', (u'presented', u'VBN')), ((u'presented', u'VBN'), u'nmod', (u'course', u'NN')), ((u'course', u'NN'), u'case', (u'in', u'IN')), ((u'course', u'NN'), u'det', (u'the', u'DT'))]]"
10265,bVgqTevEEeWvGQrWsIkLlw,While I did not do the assignments. The videos and explanations included were top notch ,"[[((u'do', u'VBP'), u'csubj', (u'did', u'VBD')), ((u'did', u'VBD'), u'mark', (u'While', u'IN')), ((u'did', u'VBD'), u'nsubj', (u'I', u'PRP')), ((u'did', u'VBD'), u'neg', (u'not', u'RB')), ((u'do', u'VBP'), u'dobj', (u'assignments', u'NNS')), ((u'assignments', u'NNS'), u'det', (u'the', u'DT'))], [((u'included', u'VBD'), u'nsubj', (u'videos', u'NNS')), ((u'videos', u'NNS'), u'det', (u'The', u'DT')), ((u'videos', u'NNS'), u'cc', (u'and', u'CC')), ((u'videos', u'NNS'), u'conj', (u'explanations', u'NNS')), ((u'included', u'VBD'), u'ccomp', (u'notch', u'NNS')), ((u'notch', u'NNS'), u'cop', (u'were', u'VBD')), ((u'notch', u'NNS'), u'amod', (u'top', u'JJ'))]]"
10266,bVgqTevEEeWvGQrWsIkLlw,Nice course and all the chapters are well explained. ,"[[((u'explained', u'VBN'), u'nsubjpass', (u'course', u'NN')), ((u'course', u'NN'), u'amod', (u'Nice', u'JJ')), ((u'course', u'NN'), u'cc', (u'and', u'CC')), ((u'course', u'NN'), u'conj', (u'chapters', u'NNS')), ((u'chapters', u'NNS'), u'det:predet', (u'all', u'PDT')), ((u'chapters', u'NNS'), u'det', (u'the', u'DT')), ((u'explained', u'VBN'), u'auxpass', (u'are', u'VBP')), ((u'explained', u'VBN'), u'advmod', (u'well', u'RB'))]]"
10267,bVgqTevEEeWvGQrWsIkLlw,"I need it ,I like it. ","[[((u'like', u'VBP'), u'ccomp', (u'need', u'VBP')), ((u'need', u'VBP'), u'nsubj', (u'I', u'PRP')), ((u'need', u'VBP'), u'dobj', (u'it', u'PRP')), ((u'like', u'VBP'), u'nsubj', (u'I', u'PRP')), ((u'like', u'VBP'), u'dobj', (u'it', u'PRP'))]]"
