,comment,course_id,ratio
2176,"Very Nice! I think it's really a good introduction to use python!Maybe one problem is that homework in lesson 2 or 3 I forgot contain random.seed, that is explained in lesson four's video, but one can always google it.",bfE3GBnoEeWg_RJGAuFGjw,0.6078431372549019
2177,"Simple, straight-to-the-point course.",bfE3GBnoEeWg_RJGAuFGjw,0.5454545454545454
2178,"too easy, but fit the title of this course",bfE3GBnoEeWg_RJGAuFGjw,0.9
2179,A great first class,bfE3GBnoEeWg_RJGAuFGjw,1.0
2180,"The course was very well structured. When I needed support once, I got valuable feedback within a couple of hours it was over the weekend! .The only thing I didn't like was the low image resolution of the videos. Even on a big screen, I sometimes found it hard to read the code.",bfE3GBnoEeWg_RJGAuFGjw,0.5967741935483871
2181,Clear and helpful introduction to the 'Swiss army' knife of programming.,bfE3GBnoEeWg_RJGAuFGjw,0.7142857142857143
2182,Bill Boyd taught the topics very well..,bfE3GBnoEeWg_RJGAuFGjw,0.625
2183,A very good introductionary course that covers almost everything you need as a beginner.,bfE3GBnoEeWg_RJGAuFGjw,0.7333333333333333
2184,A very good introductory course !!,bfE3GBnoEeWg_RJGAuFGjw,0.8333333333333334
2185,very good,bfE3GBnoEeWg_RJGAuFGjw,1.0
2186,"liked,it was simple to follow and with good questions.",bfE3GBnoEeWg_RJGAuFGjw,0.6666666666666666
2187,This course is very useful for beginners who don't have any knowledge on Python. Spyder tool is userfriendly as well. ,bfE3GBnoEeWg_RJGAuFGjw,0.7083333333333334
2188,Good for beginners !!!,bfE3GBnoEeWg_RJGAuFGjw,0.5
2189,"Its project oriented course. After finishing you have still much to learn, but You can taste what and how pratical things can be done in Phyton. I think that You should some background in programming.",bfE3GBnoEeWg_RJGAuFGjw,0.6923076923076923
2190,Suitable for beginners. Real quick basic-building.,bfE3GBnoEeWg_RJGAuFGjw,0.6
2191,"This is a great course that teaches you the basics of python. I plan on taking more python courses at a higher level, but this was a nice way to get my feet wet in a new language.",bfE3GBnoEeWg_RJGAuFGjw,0.7073170731707317
2192,A really good course for beginners.,bfE3GBnoEeWg_RJGAuFGjw,0.7142857142857143
2193,Good basic course. I may have missed it but there was no discussion of libraries or more importantly where to find them until week 3. I keep using 'import xyz' but not really knowing what it was doing. I finally found the library and documentation pages that were talked about in week 03. this seems a good place to actually LOOK at them but I think they should be mention with the first excersise in week 01... here we put in 'import xyz'. this has many many functions in it that allow us to shorten the work that we do. In week 03 we open the documentation file and a library file to see how to navigate those especially the documentation files ,bfE3GBnoEeWg_RJGAuFGjw,0.5151515151515151
2194,Good catching up with the basics.,bfE3GBnoEeWg_RJGAuFGjw,0.7142857142857143
2195,A clean introduction to Python for beginners.,bfE3GBnoEeWg_RJGAuFGjw,0.75
2196,Very clear! I recommend this course!,bfE3GBnoEeWg_RJGAuFGjw,0.75
2197,Went too fast.,bfE3GBnoEeWg_RJGAuFGjw,0.75
2198,"This course really covers all the basics in a very illustrative manner. I definitely recommend it for absolute beginners in Python, previous programming experience helps but is not necessary to cover the material in a reasonable time.",bfE3GBnoEeWg_RJGAuFGjw,0.7
2199,Great introduction to Python,bfE3GBnoEeWg_RJGAuFGjw,1.0
2200,It's a good introduction course. Thank you so much! ,bfE3GBnoEeWg_RJGAuFGjw,0.7692307692307693
2201,"Great course, with hands on exercise very well structured.",bfE3GBnoEeWg_RJGAuFGjw,0.7272727272727273
