,course_id,comment,parsed_sent
4145,dPkbnh6zEeWP0w4yK2369w,thanks,[[]]
4146,dPkbnh6zEeWP0w4yK2369w,Excellent explanation with very nice examples. ,"[[((u'Excellent', u'VB'), u'dobj', (u'explanation', u'NN')), ((u'Excellent', u'VB'), u'nmod', (u'examples', u'NNS')), ((u'examples', u'NNS'), u'case', (u'with', u'IN')), ((u'examples', u'NNS'), u'amod', (u'nice', u'JJ')), ((u'nice', u'JJ'), u'advmod', (u'very', u'RB'))]]"
4147,dPkbnh6zEeWP0w4yK2369w,Excellent course. Learned a lot about usable security. ,"[[((u'Excellent', u'VB'), u'dobj', (u'course', u'NN'))], [((u'Learned', u'VB'), u'dobj', (u'lot', u'NN')), ((u'lot', u'NN'), u'det', (u'a', u'DT')), ((u'Learned', u'VB'), u'nmod', (u'security', u'NN')), ((u'security', u'NN'), u'case', (u'about', u'IN')), ((u'security', u'NN'), u'amod', (u'usable', u'JJ'))]]"
4148,dPkbnh6zEeWP0w4yK2369w,the best one,"[[((u'one', u'NN'), u'det', (u'the', u'DT')), ((u'one', u'NN'), u'amod', (u'best', u'JJS'))]]"
4149,dPkbnh6zEeWP0w4yK2369w,Great course. It opened my mind in a few aspects of day to day privacy and security aspects people tend to ignore. ,"[[((u'course', u'NN'), u'amod', (u'Great', u'JJ'))], [((u'tend', u'VBP'), u'dep', (u'opened', u'VBD')), ((u'opened', u'VBD'), u'nsubj', (u'It', u'PRP')), ((u'opened', u'VBD'), u'dobj', (u'mind', u'NN')), ((u'mind', u'NN'), u'nmod:poss', (u'my', u'PRP$')), ((u'opened', u'VBD'), u'nmod', (u'aspects', u'NNS')), ((u'aspects', u'NNS'), u'case', (u'in', u'IN')), ((u'aspects', u'NNS'), u'det', (u'a', u'DT')), ((u'aspects', u'NNS'), u'amod', (u'few', u'JJ')), ((u'aspects', u'NNS'), u'nmod', (u'day', u'NN')), ((u'day', u'NN'), u'case', (u'of', u'IN')), ((u'opened', u'VBD'), u'nmod', (u'privacy', u'NN')), ((u'privacy', u'NN'), u'case', (u'to', u'TO')), ((u'privacy', u'NN'), u'compound', (u'day', u'NN')), ((u'privacy', u'NN'), u'cc', (u'and', u'CC')), ((u'privacy', u'NN'), u'conj', (u'aspects', u'NNS')), ((u'aspects', u'NNS'), u'compound', (u'security', u'NN')), ((u'tend', u'VBP'), u'nsubj', (u'people', u'NNS')), ((u'tend', u'VBP'), u'xcomp', (u'ignore', u'VB')), ((u'ignore', u'VB'), u'mark', (u'to', u'TO'))]]"
4150,dPkbnh6zEeWP0w4yK2369w,It's a good course,"[[((u'course', u'NN'), u'nsubj', (u'It', u'PRP')), ((u'course', u'NN'), u'cop', (u""'s"", u'VBZ')), ((u'course', u'NN'), u'det', (u'a', u'DT')), ((u'course', u'NN'), u'amod', (u'good', u'JJ'))]]"
4151,dPkbnh6zEeWP0w4yK2369w,It was very interesting course Thank you. ,"[[((u'interesting', u'JJ'), u'nsubj', (u'It', u'PRP')), ((u'interesting', u'JJ'), u'cop', (u'was', u'VBD')), ((u'interesting', u'JJ'), u'advmod', (u'very', u'RB')), ((u'interesting', u'JJ'), u'ccomp', (u'Thank', u'VB')), ((u'Thank', u'VB'), u'nsubj', (u'course', u'NN')), ((u'Thank', u'VB'), u'dobj', (u'you', u'PRP'))]]"
4152,dPkbnh6zEeWP0w4yK2369w,Excellent course filled with plenty of info to get you started thinking about usable security. ,"[[((u'started', u'VBD'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'amod', (u'Excellent', u'JJ')), ((u'course', u'NN'), u'acl', (u'filled', u'VBN')), ((u'filled', u'VBN'), u'nmod', (u'plenty', u'RB')), ((u'plenty', u'RB'), u'case', (u'with', u'IN')), ((u'plenty', u'RB'), u'nmod', (u'info', u'NN')), ((u'info', u'NN'), u'case', (u'of', u'IN')), ((u'filled', u'VBN'), u'xcomp', (u'get', u'VB')), ((u'get', u'VB'), u'mark', (u'to', u'TO')), ((u'get', u'VB'), u'dobj', (u'you', u'PRP')), ((u'started', u'VBD'), u'xcomp', (u'thinking', u'VBG')), ((u'thinking', u'VBG'), u'nmod', (u'security', u'NN')), ((u'security', u'NN'), u'case', (u'about', u'IN')), ((u'security', u'NN'), u'amod', (u'usable', u'JJ'))]]"
4153,dPkbnh6zEeWP0w4yK2369w,"This course really brings security and privacy to life. It connects the technically detailed 'how' of the other courses (cryptography, software and hardware security) with the why. More importantly it helps us make informed choices when designing, and helps us identify the real options. ","[[((u'brings', u'VBZ'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'This', u'DT')), ((u'brings', u'VBZ'), u'advmod', (u'really', u'RB')), ((u'brings', u'VBZ'), u'dobj', (u'security', u'NN')), ((u'security', u'NN'), u'cc', (u'and', u'CC')), ((u'security', u'NN'), u'conj', (u'privacy', u'NN')), ((u'brings', u'VBZ'), u'nmod', (u'life', u'NN')), ((u'life', u'NN'), u'case', (u'to', u'TO'))], [((u'connects', u'VBZ'), u'nsubj', (u'It', u'PRP')), ((u'connects', u'VBZ'), u'dobj', (u'technically', u'NN')), ((u'technically', u'NN'), u'det', (u'the', u'DT')), ((u'technically', u'NN'), u'acl', (u'detailed', u'VBN')), ((u'detailed', u'VBN'), u'dobj', (u'how', u'WRB')), ((u'detailed', u'VBN'), u'nmod', (u'courses', u'NNS')), ((u'courses', u'NNS'), u'case', (u'of', u'IN')), ((u'courses', u'NNS'), u'det', (u'the', u'DT')), ((u'courses', u'NNS'), u'amod', (u'other', u'JJ')), ((u'courses', u'NNS'), u'appos', (u'security', u'NN')), ((u'security', u'NN'), u'compound', (u'cryptography', u'NN')), ((u'cryptography', u'NN'), u'conj', (u'software', u'NN')), ((u'cryptography', u'NN'), u'cc', (u'and', u'CC')), ((u'cryptography', u'NN'), u'conj', (u'hardware', u'NN')), ((u'courses', u'NNS'), u'nmod', (u'why', u'NN')), ((u'why', u'NN'), u'case', (u'with', u'IN')), ((u'why', u'NN'), u'det', (u'the', u'DT'))], [((u'helps', u'VBZ'), u'advmod', (u'importantly', u'RB')), ((u'importantly', u'RB'), u'advmod', (u'More', u'RBR')), ((u'helps', u'VBZ'), u'nsubj', (u'it', u'PRP')), ((u'helps', u'VBZ'), u'ccomp', (u'make', u'VBP')), ((u'make', u'VBP'), u'nsubj', (u'us', u'PRP')), ((u'make', u'VBP'), u'dobj', (u'choices', u'NNS')), ((u'choices', u'NNS'), u'amod', (u'informed', u'VBN')), ((u'make', u'VBP'), u'advcl', (u'designing', u'VBG')), ((u'designing', u'VBG'), u'advmod', (u'when', u'WRB')), ((u'helps', u'VBZ'), u'cc', (u'and', u'CC')), ((u'helps', u'VBZ'), u'conj', (u'helps', u'VBZ')), ((u'helps', u'VBZ'), u'ccomp', (u'identify', u'VB')), ((u'identify', u'VB'), u'nsubj', (u'us', u'PRP')), ((u'identify', u'VB'), u'dobj', (u'options', u'NNS')), ((u'options', u'NNS'), u'det', (u'the', u'DT')), ((u'options', u'NNS'), u'amod', (u'real', u'JJ'))]]"
4154,dPkbnh6zEeWP0w4yK2369w,"Great course, I loved the examples and video of practices throughout the learning ","[[((u'loved', u'VBD'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'amod', (u'Great', u'JJ')), ((u'loved', u'VBD'), u'nsubj', (u'I', u'PRP')), ((u'loved', u'VBD'), u'dobj', (u'examples', u'NNS')), ((u'examples', u'NNS'), u'det', (u'the', u'DT')), ((u'examples', u'NNS'), u'cc', (u'and', u'CC')), ((u'examples', u'NNS'), u'conj', (u'video', u'NN')), ((u'examples', u'NNS'), u'nmod', (u'practices', u'NNS')), ((u'practices', u'NNS'), u'case', (u'of', u'IN')), ((u'loved', u'VBD'), u'nmod', (u'learning', u'NN')), ((u'learning', u'NN'), u'case', (u'throughout', u'IN')), ((u'learning', u'NN'), u'det', (u'the', u'DT'))]]"
