,course_id,comment,parsed_sent
2844,meQ0ic9uEeWu4RLrx6VBYw,"Explanations are poorly thought out, jump around complex ideas without giving each enough time to be absorbed. It feels as if the course is in a very early stages and hasn't gone through a student review process. ","[[((u'thought', u'VBN'), u'nsubjpass', (u'Explanations', u'NNS')), ((u'thought', u'VBN'), u'auxpass', (u'are', u'VBP')), ((u'thought', u'VBN'), u'advmod', (u'poorly', u'RB')), ((u'thought', u'VBN'), u'compound:prt', (u'out', u'RP')), ((u'thought', u'VBN'), u'parataxis', (u'jump', u'VB')), ((u'jump', u'VB'), u'compound:prt', (u'around', u'RP')), ((u'jump', u'VB'), u'dobj', (u'ideas', u'NNS')), ((u'ideas', u'NNS'), u'amod', (u'complex', u'JJ')), ((u'thought', u'VBN'), u'advcl', (u'giving', u'VBG')), ((u'giving', u'VBG'), u'mark', (u'without', u'IN')), ((u'giving', u'VBG'), u'dobj', (u'time', u'NN')), ((u'time', u'NN'), u'det', (u'each', u'DT')), ((u'time', u'NN'), u'amod', (u'enough', u'JJ')), ((u'giving', u'VBG'), u'advcl', (u'absorbed', u'VBN')), ((u'absorbed', u'VBN'), u'mark', (u'to', u'TO')), ((u'absorbed', u'VBN'), u'auxpass', (u'be', u'VB'))], [((u'feels', u'VBZ'), u'nsubj', (u'It', u'PRP')), ((u'feels', u'VBZ'), u'advcl', (u'stages', u'NNS')), ((u'stages', u'NNS'), u'mark', (u'as', u'RB')), ((u'as', u'RB'), u'mwe', (u'if', u'IN')), ((u'stages', u'NNS'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'the', u'DT')), ((u'stages', u'NNS'), u'cop', (u'is', u'VBZ')), ((u'stages', u'NNS'), u'case', (u'in', u'IN')), ((u'stages', u'NNS'), u'det', (u'a', u'DT')), ((u'stages', u'NNS'), u'amod', (u'early', u'JJ')), ((u'early', u'JJ'), u'advmod', (u'very', u'RB')), ((u'feels', u'VBZ'), u'cc', (u'and', u'CC')), ((u'feels', u'VBZ'), u'conj', (u'gone', u'VBN')), ((u'gone', u'VBN'), u'aux', (u'has', u'VBZ')), ((u'gone', u'VBN'), u'neg', (u""n't"", u'RB')), ((u'gone', u'VBN'), u'nmod', (u'process', u'NN')), ((u'process', u'NN'), u'case', (u'through', u'IN')), ((u'process', u'NN'), u'det', (u'a', u'DT')), ((u'process', u'NN'), u'compound', (u'student', u'NN')), ((u'process', u'NN'), u'compound', (u'review', u'NN'))]]"
2845,meQ0ic9uEeWu4RLrx6VBYw,"Amazing course, with a very interesting historic overview throughout the subjects, a focus on intuitive understandment, and advanced materials to keep everyone happy. ","[[((u'understandment', u'VBD'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'amod', (u'Amazing', u'JJ')), ((u'understandment', u'VBD'), u'nmod', (u'overview', u'NN')), ((u'overview', u'NN'), u'case', (u'with', u'IN')), ((u'overview', u'NN'), u'det', (u'a', u'DT')), ((u'overview', u'NN'), u'amod', (u'interesting', u'JJ')), ((u'interesting', u'JJ'), u'advmod', (u'very', u'RB')), ((u'overview', u'NN'), u'amod', (u'historic', u'JJ')), ((u'overview', u'NN'), u'nmod', (u'subjects', u'NNS')), ((u'subjects', u'NNS'), u'case', (u'throughout', u'IN')), ((u'subjects', u'NNS'), u'det', (u'the', u'DT')), ((u'understandment', u'VBD'), u'nsubj', (u'focus', u'NN')), ((u'focus', u'NN'), u'det', (u'a', u'DT')), ((u'focus', u'NN'), u'acl', (u'intuitive', u'JJ')), ((u'intuitive', u'JJ'), u'case', (u'on', u'IN')), ((u'understandment', u'VBD'), u'cc', (u'and', u'CC')), ((u'understandment', u'VBD'), u'conj', (u'advanced', u'VBD')), ((u'advanced', u'VBD'), u'dobj', (u'materials', u'NNS')), ((u'advanced', u'VBD'), u'advcl', (u'keep', u'VB')), ((u'keep', u'VB'), u'mark', (u'to', u'TO')), ((u'keep', u'VB'), u'xcomp', (u'happy', u'JJ')), ((u'happy', u'JJ'), u'nsubj', (u'everyone', u'NN'))]]"
2846,meQ0ic9uEeWu4RLrx6VBYw,"There was no support from admins or moderators or assistants. There was a buggy quiz which we would all have failed, if I did not find an old version of it on the web. This is unacceptable and clearly exposes the differences between real courses and MOOCs. ","[[((u'was', u'VBD'), u'expl', (u'There', u'EX')), ((u'was', u'VBD'), u'nsubj', (u'support', u'NN')), ((u'support', u'NN'), u'neg', (u'no', u'DT')), ((u'support', u'NN'), u'nmod', (u'admins', u'NNS')), ((u'admins', u'NNS'), u'case', (u'from', u'IN')), ((u'admins', u'NNS'), u'cc', (u'or', u'CC')), ((u'admins', u'NNS'), u'conj', (u'moderators', u'NNS')), ((u'moderators', u'NNS'), u'cc', (u'or', u'CC')), ((u'moderators', u'NNS'), u'conj', (u'assistants', u'NNS'))], [((u'was', u'VBD'), u'expl', (u'There', u'EX')), ((u'was', u'VBD'), u'nsubj', (u'quiz', u'NN')), ((u'quiz', u'NN'), u'det', (u'a', u'DT')), ((u'quiz', u'NN'), u'amod', (u'buggy', u'JJ')), ((u'quiz', u'NN'), u'acl:relcl', (u'failed', u'VBN')), ((u'failed', u'VBN'), u'dobj', (u'which', u'WDT')), ((u'failed', u'VBN'), u'nsubj', (u'we', u'PRP')), ((u'failed', u'VBN'), u'aux', (u'would', u'MD')), ((u'failed', u'VBN'), u'advmod', (u'all', u'RB')), ((u'failed', u'VBN'), u'aux', (u'have', u'VB')), ((u'failed', u'VBN'), u'advcl', (u'find', u'VB')), ((u'find', u'VB'), u'mark', (u'if', u'IN')), ((u'find', u'VB'), u'nsubj', (u'I', u'PRP')), ((u'find', u'VB'), u'aux', (u'did', u'VBD')), ((u'find', u'VB'), u'neg', (u'not', u'RB')), ((u'find', u'VB'), u'dobj', (u'version', u'NN')), ((u'version', u'NN'), u'det', (u'an', u'DT')), ((u'version', u'NN'), u'amod', (u'old', u'JJ')), ((u'version', u'NN'), u'nmod', (u'it', u'PRP')), ((u'it', u'PRP'), u'case', (u'of', u'IN')), ((u'find', u'VB'), u'nmod', (u'web', u'NN')), ((u'web', u'NN'), u'case', (u'on', u'IN')), ((u'web', u'NN'), u'det', (u'the', u'DT'))], [((u'unacceptable', u'JJ'), u'nsubj', (u'This', u'DT')), ((u'unacceptable', u'JJ'), u'cop', (u'is', u'VBZ')), ((u'unacceptable', u'JJ'), u'cc', (u'and', u'CC')), ((u'unacceptable', u'JJ'), u'conj', (u'exposes', u'VBZ')), ((u'exposes', u'VBZ'), u'advmod', (u'clearly', u'RB')), ((u'exposes', u'VBZ'), u'dobj', (u'differences', u'NNS')), ((u'differences', u'NNS'), u'det', (u'the', u'DT')), ((u'differences', u'NNS'), u'nmod', (u'courses', u'NNS')), ((u'courses', u'NNS'), u'case', (u'between', u'IN')), ((u'courses', u'NNS'), u'amod', (u'real', u'JJ')), ((u'courses', u'NNS'), u'cc', (u'and', u'CC')), ((u'courses', u'NNS'), u'conj', (u'MOOCs', u'NNS'))]]"
2847,meQ0ic9uEeWu4RLrx6VBYw,Amazing Gave me a deeper insight into Artificial Intelligence. ,"[[((u'Gave', u'VBP'), u'nsubj', (u'Amazing', u'NNP')), ((u'Gave', u'VBP'), u'xcomp', (u'insight', u'NN')), ((u'insight', u'NN'), u'nsubj', (u'me', u'PRP')), ((u'insight', u'NN'), u'det', (u'a', u'DT')), ((u'insight', u'NN'), u'amod', (u'deeper', u'JJR')), ((u'insight', u'NN'), u'nmod', (u'Intelligence', u'NNP')), ((u'Intelligence', u'NNP'), u'case', (u'into', u'IN')), ((u'Intelligence', u'NNP'), u'compound', (u'Artificial', u'NNP'))]]"
2848,meQ0ic9uEeWu4RLrx6VBYw,Good,[[]]
2849,meQ0ic9uEeWu4RLrx6VBYw,Thank you Professor Hinton for making such a comprehensive and insightful course ,"[[((u'Thank', u'VB'), u'xcomp', (u'Hinton', u'NNP')), ((u'Hinton', u'NNP'), u'nsubj', (u'you', u'PRP')), ((u'Hinton', u'NNP'), u'compound', (u'Professor', u'NNP')), ((u'Hinton', u'NNP'), u'acl', (u'making', u'VBG')), ((u'making', u'VBG'), u'mark', (u'for', u'IN')), ((u'making', u'VBG'), u'dobj', (u'comprehensive', u'JJ')), ((u'comprehensive', u'JJ'), u'dep', (u'such', u'PDT')), ((u'comprehensive', u'JJ'), u'det', (u'a', u'DT')), ((u'comprehensive', u'JJ'), u'cc', (u'and', u'CC')), ((u'comprehensive', u'JJ'), u'conj', (u'course', u'NN')), ((u'course', u'NN'), u'amod', (u'insightful', u'JJ'))]]"
2850,meQ0ic9uEeWu4RLrx6VBYw,I would like to see more implementations of the algorithms shown. ,"[[((u'like', u'VB'), u'nsubj', (u'I', u'PRP')), ((u'like', u'VB'), u'aux', (u'would', u'MD')), ((u'like', u'VB'), u'xcomp', (u'see', u'VB')), ((u'see', u'VB'), u'mark', (u'to', u'TO')), ((u'see', u'VB'), u'dobj', (u'implementations', u'NNS')), ((u'implementations', u'NNS'), u'amod', (u'more', u'JJR')), ((u'implementations', u'NNS'), u'nmod', (u'algorithms', u'NNS')), ((u'algorithms', u'NNS'), u'case', (u'of', u'IN')), ((u'algorithms', u'NNS'), u'det', (u'the', u'DT')), ((u'algorithms', u'NNS'), u'acl', (u'shown', u'VBN'))]]"
2851,meQ0ic9uEeWu4RLrx6VBYw,So useful to start with neural networks and get the bases,"[[((u'useful', u'JJ'), u'advmod', (u'So', u'RB')), ((u'useful', u'JJ'), u'xcomp', (u'start', u'VB')), ((u'start', u'VB'), u'mark', (u'to', u'TO')), ((u'start', u'VB'), u'nmod', (u'networks', u'NNS')), ((u'networks', u'NNS'), u'case', (u'with', u'IN')), ((u'networks', u'NNS'), u'amod', (u'neural', u'JJ')), ((u'start', u'VB'), u'cc', (u'and', u'CC')), ((u'start', u'VB'), u'conj', (u'get', u'VB')), ((u'get', u'VB'), u'dobj', (u'bases', u'NNS')), ((u'bases', u'NNS'), u'det', (u'the', u'DT'))]]"
2852,meQ0ic9uEeWu4RLrx6VBYw,"I got a lot of knowledge about deep learning from the course, thanks ","[[((u'got', u'VBD'), u'nsubj', (u'I', u'PRP')), ((u'got', u'VBD'), u'dobj', (u'lot', u'NN')), ((u'lot', u'NN'), u'det', (u'a', u'DT')), ((u'lot', u'NN'), u'nmod', (u'knowledge', u'NN')), ((u'knowledge', u'NN'), u'case', (u'of', u'IN')), ((u'got', u'VBD'), u'nmod', (u'learning', u'NN')), ((u'learning', u'NN'), u'case', (u'about', u'IN')), ((u'learning', u'NN'), u'amod', (u'deep', u'JJ')), ((u'got', u'VBD'), u'nmod', (u'course', u'NN')), ((u'course', u'NN'), u'case', (u'from', u'IN')), ((u'course', u'NN'), u'det', (u'the', u'DT')), ((u'got', u'VBD'), u'advmod', (u'thanks', u'NNS'))]]"
2853,meQ0ic9uEeWu4RLrx6VBYw,Very recommending people who want to learn more about neural networks learn this course. The course is hard for me but latter I will take a good review to this. ,"[[((u'learn', u'VBP'), u'csubj', (u'recommending', u'VBG')), ((u'recommending', u'VBG'), u'advmod', (u'Very', u'RB')), ((u'recommending', u'VBG'), u'dobj', (u'people', u'NNS')), ((u'people', u'NNS'), u'acl:relcl', (u'want', u'VBP')), ((u'want', u'VBP'), u'nsubj', (u'who', u'WP')), ((u'want', u'VBP'), u'xcomp', (u'learn', u'VB')), ((u'learn', u'VB'), u'mark', (u'to', u'TO')), ((u'learn', u'VB'), u'dobj', (u'more', u'JJR')), ((u'learn', u'VB'), u'nmod', (u'networks', u'NNS')), ((u'networks', u'NNS'), u'case', (u'about', u'IN')), ((u'networks', u'NNS'), u'amod', (u'neural', u'JJ')), ((u'learn', u'VBP'), u'dobj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'this', u'DT'))], [((u'hard', u'JJ'), u'nsubj', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'The', u'DT')), ((u'hard', u'JJ'), u'cop', (u'is', u'VBZ')), ((u'hard', u'JJ'), u'nmod', (u'me', u'PRP')), ((u'me', u'PRP'), u'case', (u'for', u'IN')), ((u'hard', u'JJ'), u'dep', (u'latter', u'NN')), ((u'latter', u'NN'), u'cc', (u'but', u'CC')), ((u'latter', u'NN'), u'acl:relcl', (u'take', u'VB')), ((u'take', u'VB'), u'nsubj', (u'I', u'PRP')), ((u'take', u'VB'), u'aux', (u'will', u'MD')), ((u'take', u'VB'), u'dobj', (u'review', u'NN')), ((u'review', u'NN'), u'det', (u'a', u'DT')), ((u'review', u'NN'), u'amod', (u'good', u'JJ')), ((u'hard', u'JJ'), u'nmod', (u'this', u'DT')), ((u'this', u'DT'), u'case', (u'to', u'TO'))]]"
