,course_id,comment,parsed_sent
6369,ngZrURn5EeWwrBKfKrqlSQ,Excellent course material,"[[((u'Excellent', u'VB'), u'dobj', (u'material', u'NN')), ((u'material', u'NN'), u'compound', (u'course', u'NN'))]]"
6370,ngZrURn5EeWwrBKfKrqlSQ,Gave me a footing on Server-side Development. I recommend it ,"[[((u'Gave', u'VB'), u'xcomp', (u'footing', u'NN')), ((u'footing', u'NN'), u'nsubj', (u'me', u'PRP')), ((u'footing', u'NN'), u'det', (u'a', u'DT')), ((u'footing', u'NN'), u'nmod', (u'Development', u'NNP')), ((u'Development', u'NNP'), u'case', (u'on', u'IN')), ((u'Development', u'NNP'), u'compound', (u'Server-side', u'NNP'))], [((u'recommend', u'VBP'), u'nsubj', (u'I', u'PRP')), ((u'recommend', u'VBP'), u'dobj', (u'it', u'PRP'))]]"
6371,ngZrURn5EeWwrBKfKrqlSQ,Excellent introduction to Server-side development. I have used PHP for some similar but Node really rules ,"[[((u'Excellent', u'VB'), u'dobj', (u'introduction', u'NN')), ((u'Excellent', u'VB'), u'nmod', (u'development', u'NN')), ((u'development', u'NN'), u'case', (u'to', u'TO')), ((u'development', u'NN'), u'amod', (u'Server-side', u'JJ'))], [((u'used', u'VBN'), u'nsubj', (u'I', u'PRP')), ((u'used', u'VBN'), u'aux', (u'have', u'VBP')), ((u'used', u'VBN'), u'dobj', (u'PHP', u'NNP')), ((u'PHP', u'NNP'), u'nmod', (u'rules', u'NNS')), ((u'rules', u'NNS'), u'case', (u'for', u'IN')), ((u'rules', u'NNS'), u'det', (u'some', u'DT')), ((u'rules', u'NNS'), u'amod', (u'similar', u'JJ')), ((u'similar', u'JJ'), u'cc', (u'but', u'CC')), ((u'similar', u'JJ'), u'conj', (u'Node', u'JJ')), ((u'Node', u'JJ'), u'advmod', (u'really', u'RB'))]]"
6372,ngZrURn5EeWwrBKfKrqlSQ,Very bad video quality. The teacher is obviously bored by this course and does not put much effort in the creation process. ,"[[((u'quality', u'NN'), u'amod', (u'bad', u'JJ')), ((u'bad', u'JJ'), u'advmod', (u'Very', u'RB')), ((u'quality', u'NN'), u'amod', (u'video', u'JJ'))], [((u'bored', u'VBN'), u'nsubjpass', (u'teacher', u'NN')), ((u'teacher', u'NN'), u'det', (u'The', u'DT')), ((u'bored', u'VBN'), u'auxpass', (u'is', u'VBZ')), ((u'bored', u'VBN'), u'advmod', (u'obviously', u'RB')), ((u'bored', u'VBN'), u'nmod', (u'course', u'NN')), ((u'course', u'NN'), u'case', (u'by', u'IN')), ((u'course', u'NN'), u'det', (u'this', u'DT')), ((u'bored', u'VBN'), u'cc', (u'and', u'CC')), ((u'bored', u'VBN'), u'conj', (u'put', u'VB')), ((u'put', u'VB'), u'aux', (u'does', u'VBZ')), ((u'put', u'VB'), u'neg', (u'not', u'RB')), ((u'put', u'VB'), u'dobj', (u'effort', u'NN')), ((u'effort', u'NN'), u'amod', (u'much', u'JJ')), ((u'put', u'VB'), u'nmod', (u'process', u'NN')), ((u'process', u'NN'), u'case', (u'in', u'IN')), ((u'process', u'NN'), u'det', (u'the', u'DT')), ((u'process', u'NN'), u'compound', (u'creation', u'NN'))]]"
6373,ngZrURn5EeWwrBKfKrqlSQ,very good,"[[((u'good', u'JJ'), u'advmod', (u'very', u'RB'))]]"
6374,ngZrURn5EeWwrBKfKrqlSQ,"It was great experience. Thank you, professor)","[[((u'experience', u'NN'), u'nsubj', (u'It', u'PRP')), ((u'experience', u'NN'), u'cop', (u'was', u'VBD')), ((u'experience', u'NN'), u'amod', (u'great', u'JJ'))], [((u'Thank', u'VB'), u'dep', (u'you', u'PRP')), ((u'you', u'PRP'), u'appos', (u'professor', u'NN'))]]"
6375,ngZrURn5EeWwrBKfKrqlSQ,Awesome course. Everything explained in details and with great quality. ,"[[((u'Awesome', u'VB'), u'dobj', (u'course', u'NN'))], [((u'explained', u'VBD'), u'nsubj', (u'Everything', u'NNP')), ((u'explained', u'VBD'), u'nmod', (u'details', u'NNS')), ((u'details', u'NNS'), u'case', (u'in', u'IN')), ((u'details', u'NNS'), u'cc', (u'and', u'CC')), ((u'details', u'NNS'), u'conj', (u'quality', u'NN')), ((u'quality', u'NN'), u'case', (u'with', u'IN')), ((u'quality', u'NN'), u'amod', (u'great', u'JJ'))]]"
6376,ngZrURn5EeWwrBKfKrqlSQ,This the best course available on Node. js,"[[((u'This', u'DT'), u'dep', (u'course', u'NN')), ((u'course', u'NN'), u'det', (u'the', u'DT')), ((u'course', u'NN'), u'amod', (u'best', u'JJS')), ((u'course', u'NN'), u'amod', (u'available', u'JJ')), ((u'available', u'JJ'), u'nmod', (u'Node', u'NNP')), ((u'Node', u'NNP'), u'case', (u'on', u'IN'))], []]"
6377,ngZrURn5EeWwrBKfKrqlSQ,Excellent introduction to NodeJS. The professor is too good :),"[[((u'Excellent', u'VB'), u'dobj', (u'introduction', u'NN')), ((u'Excellent', u'VB'), u'nmod', (u'NodeJS', u'NNP')), ((u'NodeJS', u'NNP'), u'case', (u'to', u'TO'))], [((u'is', u'VBZ'), u'nsubj', (u'professor', u'NN')), ((u'professor', u'NN'), u'det', (u'The', u'DT')), ((u'is', u'VBZ'), u'dep', (u'too', u'RB')), ((u'too', u'RB'), u'dep', (u'good', u'RB'))]]"
6378,ngZrURn5EeWwrBKfKrqlSQ,good enough,"[[((u'good', u'JJ'), u'advmod', (u'enough', u'RB'))]]"
6379,ngZrURn5EeWwrBKfKrqlSQ,"Really great course I feel like I learned a lot, and was even forced to dig a little deeper on my own than other courses. ","[[((u'feel', u'VBP'), u'advmod', (u'Really', u'RB')), ((u'Really', u'RB'), u'nmod:npmod', (u'course', u'NN')), ((u'course', u'NN'), u'amod', (u'great', u'JJ')), ((u'feel', u'VBP'), u'nsubj', (u'I', u'PRP')), ((u'feel', u'VBP'), u'advcl', (u'learned', u'VBD')), ((u'learned', u'VBD'), u'mark', (u'like', u'IN')), ((u'learned', u'VBD'), u'nsubj', (u'I', u'PRP')), ((u'learned', u'VBD'), u'dobj', (u'lot', u'NN')), ((u'lot', u'NN'), u'det', (u'a', u'DT')), ((u'learned', u'VBD'), u'cc', (u'and', u'CC')), ((u'learned', u'VBD'), u'conj', (u'forced', u'VBN')), ((u'forced', u'VBN'), u'auxpass', (u'was', u'VBD')), ((u'forced', u'VBN'), u'advmod', (u'even', u'RB')), ((u'forced', u'VBN'), u'xcomp', (u'dig', u'VB')), ((u'dig', u'VB'), u'mark', (u'to', u'TO')), ((u'dig', u'VB'), u'xcomp', (u'deeper', u'JJR')), ((u'deeper', u'JJR'), u'nmod:npmod', (u'little', u'RB')), ((u'little', u'RB'), u'det', (u'a', u'DT')), ((u'deeper', u'JJR'), u'nmod', (u'own', u'JJ')), ((u'own', u'JJ'), u'case', (u'on', u'IN')), ((u'own', u'JJ'), u'nmod:poss', (u'my', u'PRP$')), ((u'dig', u'VB'), u'nmod', (u'courses', u'NNS')), ((u'courses', u'NNS'), u'case', (u'than', u'IN')), ((u'courses', u'NNS'), u'amod', (u'other', u'JJ'))]]"
6380,ngZrURn5EeWwrBKfKrqlSQ,"Wow So much is covered in this part of the course. I know we only scratched the surface but everything from the quick setup of an API server using tools like Loopback to doing simple password auth and advanced Facebook authentication, and all of it connected to a MongoDB backend. Very useful ","[[((u'covered', u'VBN'), u'nsubjpass', (u'Wow', u'NNP')), ((u'covered', u'VBN'), u'advmod', (u'much', u'RB')), ((u'much', u'RB'), u'case', (u'So', u'IN')), ((u'covered', u'VBN'), u'auxpass', (u'is', u'VBZ')), ((u'covered', u'VBN'), u'nmod', (u'part', u'NN')), ((u'part', u'NN'), u'case', (u'in', u'IN')), ((u'part', u'NN'), u'det', (u'this', u'DT')), ((u'part', u'NN'), u'nmod', (u'course', u'NN')), ((u'course', u'NN'), u'case', (u'of', u'IN')), ((u'course', u'NN'), u'det', (u'the', u'DT'))], [((u'know', u'VBP'), u'nsubj', (u'I', u'PRP')), ((u'know', u'VBP'), u'ccomp', (u'scratched', u'VBZ')), ((u'scratched', u'VBZ'), u'nsubj', (u'we', u'PRP')), ((u'scratched', u'VBZ'), u'advmod', (u'only', u'RB')), ((u'scratched', u'VBZ'), u'dobj', (u'surface', u'NN')), ((u'surface', u'NN'), u'det', (u'the', u'DT')), ((u'surface', u'NN'), u'cc', (u'but', u'CC')), ((u'surface', u'NN'), u'conj', (u'everything', u'NN')), ((u'scratched', u'VBZ'), u'nmod', (u'setup', u'NN')), ((u'setup', u'NN'), u'case', (u'from', u'IN')), ((u'setup', u'NN'), u'det', (u'the', u'DT')), ((u'setup', u'NN'), u'amod', (u'quick', u'JJ')), ((u'setup', u'NN'), u'nmod', (u'server', u'NN')), ((u'server', u'NN'), u'case', (u'of', u'IN')), ((u'server', u'NN'), u'det', (u'an', u'DT')), ((u'server', u'NN'), u'compound', (u'API', u'NNP')), ((u'scratched', u'VBZ'), u'xcomp', (u'using', u'VBG')), ((u'using', u'VBG'), u'dobj', (u'tools', u'NNS')), ((u'tools', u'NNS'), u'nmod', (u'Loopback', u'NNP')), ((u'Loopback', u'NNP'), u'case', (u'like', u'IN')), ((u'using', u'VBG'), u'advcl', (u'doing', u'VBG')), ((u'doing', u'VBG'), u'mark', (u'to', u'TO')), ((u'doing', u'VBG'), u'dobj', (u'auth', u'NN')), ((u'auth', u'NN'), u'amod', (u'simple', u'JJ')), ((u'auth', u'NN'), u'compound', (u'password', u'NN')), ((u'scratched', u'VBZ'), u'cc', (u'and', u'CC')), ((u'scratched', u'VBZ'), u'conj', (u'advanced', u'VBD')), ((u'advanced', u'VBD'), u'dobj', (u'Facebook', u'NNP')), ((u'Facebook', u'NNP'), u'nummod', (u'authentication', u'CD')), ((u'know', u'VBP'), u'cc', (u'and', u'CC')), ((u'know', u'VBP'), u'conj', (u'connected', u'VBN')), ((u'connected', u'VBN'), u'nsubj', (u'all', u'DT')), ((u'all', u'DT'), u'nmod', (u'it', u'PRP')), ((u'it', u'PRP'), u'case', (u'of', u'IN')), ((u'connected', u'VBN'), u'nmod', (u'backend', u'NN')), ((u'backend', u'NN'), u'case', (u'to', u'TO')), ((u'backend', u'NN'), u'det', (u'a', u'DT')), ((u'backend', u'NN'), u'compound', (u'MongoDB', u'NNP'))], [((u'useful', u'JJ'), u'advmod', (u'Very', u'RB'))]]"
6381,ngZrURn5EeWwrBKfKrqlSQ,A good Introduction to Server Side Programming in MEAN Stack,"[[((u'Introduction', u'NN'), u'det', (u'A', u'DT')), ((u'Introduction', u'NN'), u'amod', (u'good', u'JJ')), ((u'Introduction', u'NN'), u'nmod', (u'Server', u'NN')), ((u'Server', u'NN'), u'case', (u'to', u'TO')), ((u'Introduction', u'NN'), u'dep', (u'Programming', u'NNP')), ((u'Programming', u'NNP'), u'compound', (u'Side', u'NNP')), ((u'Programming', u'NNP'), u'nmod', (u'Stack', u'NNP')), ((u'Stack', u'NNP'), u'case', (u'in', u'IN')), ((u'Stack', u'NNP'), u'compound', (u'MEAN', u'NNP'))]]"
6382,ngZrURn5EeWwrBKfKrqlSQ, I really enjoyed this training and I intend to deepen my knowledge in NodeJS. Thank You ,"[[((u'enjoyed', u'VBD'), u'nsubj', (u'I', u'PRP')), ((u'enjoyed', u'VBD'), u'advmod', (u'really', u'RB')), ((u'enjoyed', u'VBD'), u'dobj', (u'training', u'NN')), ((u'training', u'NN'), u'det', (u'this', u'DT')), ((u'enjoyed', u'VBD'), u'cc', (u'and', u'CC')), ((u'enjoyed', u'VBD'), u'conj', (u'intend', u'VBP')), ((u'intend', u'VBP'), u'nsubj', (u'I', u'PRP')), ((u'intend', u'VBP'), u'xcomp', (u'deepen', u'VB')), ((u'deepen', u'VB'), u'mark', (u'to', u'TO')), ((u'deepen', u'VB'), u'dobj', (u'knowledge', u'NN')), ((u'knowledge', u'NN'), u'nmod:poss', (u'my', u'PRP$')), ((u'deepen', u'VB'), u'nmod', (u'NodeJS', u'NNP')), ((u'NodeJS', u'NNP'), u'case', (u'in', u'IN'))], [((u'Thank', u'VB'), u'dobj', (u'You', u'PRP'))]]"
6383,ngZrURn5EeWwrBKfKrqlSQ,Good course,"[[((u'course', u'NN'), u'amod', (u'Good', u'JJ'))]]"
