,comment,course_id,ratio
781,"I enjoyed a lot specially with the additional materials, giving insight to more in-depth concepts. I guess similar approach would help enrich the course if the course could also provide some basics of Scala so that we do not just copy and paste the commands. I am a programmer myself, but scripts like Scala have their own's very special culture that one has to adapt to it. It is not like Java or C++ which are easier to follow. ",zHCX4hJgEeaX4g6xdats6w,0.6444444444444445
782,Very informative with handson exercises. ,zHCX4hJgEeaX4g6xdats6w,0.5
783,Suggest to remove the peer-grade assessment as it could be bias ,zHCX4hJgEeaX4g6xdats6w,0.9230769230769232
784,Excellent course to get acquainted with the Graps ,zHCX4hJgEeaX4g6xdats6w,0.875
785,Can't do the homework because the instructions don't work.,zHCX4hJgEeaX4g6xdats6w,0.5714285714285714
786,not much explanation about the syntax of the commands given in excercises,zHCX4hJgEeaX4g6xdats6w,0.75
787,"Great course to get familiar with graph data, graph big data, and query languages in graph data.",zHCX4hJgEeaX4g6xdats6w,0.6
788,"It started well, but it became a little hard when Java came in. Apart from that, it was great.",zHCX4hJgEeaX4g6xdats6w,0.6086956521739131
789,Very good project! Hopefully it will be helpful in my future career!,zHCX4hJgEeaX4g6xdats6w,0.8571428571428571
790,"A good topic to continue building upon big data with Graphs, however Week 5 needs some more understandable examples and exercises. ",zHCX4hJgEeaX4g6xdats6w,0.7391304347826086
791,This is one of the toughest and most interesting course at it deals with big data in graph database. Highly recommend this course to those who wants to know graph database.,zHCX4hJgEeaX4g6xdats6w,0.6666666666666666
792,"Thanks to this program, I was able to obtain a job as a data scientist in a big data environment. I built a graphical database using neo4j, which no one else at my workplace had thought to do. I really appreciate the training I got through this specialization.",zHCX4hJgEeaX4g6xdats6w,0.660377358490566
793,Very poor explanation and very complicated topics.,zHCX4hJgEeaX4g6xdats6w,0.625
794,Lower quality when compared to the previous courses in this specialization. Neo4j is very interesting but it is poorly explained. ,zHCX4hJgEeaX4g6xdats6w,0.6818181818181818
795,"This course is supposed to be the most interesting, and most challenged one of this specialization. However i am quite disappointed with the instructor and the contents he put together. He speaks too fast without much clarity, and worst of all, i can tell most of the time he reads from the scripts without really conveying much knowledge about the contents.",zHCX4hJgEeaX4g6xdats6w,0.5671641791044776
796,Greate Course,zHCX4hJgEeaX4g6xdats6w,0.5
797,Displaying handson queries graphically would make it more appealing as it was in Neo4j,zHCX4hJgEeaX4g6xdats6w,0.6428571428571429
798,Good approach for introducing to graph analytics,zHCX4hJgEeaX4g6xdats6w,0.8571428571428571
799,All the complexity of the course is concentrated to the last week.,zHCX4hJgEeaX4g6xdats6w,0.7692307692307693
800,"I would have liked to put 5 stars. This topic is so important and relevant to big data. After week 4 hands on part, it became obvious we will not see how to implement or interpret the more abstract graph concepts presented in week 3. That was very disappointing. Moreover, the structure of the course is not as good as the other module. I don't understand the lack of balance between theory and hands on Not enough hands on to reflect the theory part.On a constructive note, I would replace some of the theoretical concepts of week 3 with additional information on how to link a graph database to machine learning OR I would add more hands on exercise to help using those more complex concepts and learn how to interpret them. ",zHCX4hJgEeaX4g6xdats6w,0.503448275862069
801,"I like the content at a high level, and I have a better appreciation for the value of graph analytics. That being said, I struggled with the GraphX hands on exersizes, where many of the Scala commands simply hung.",zHCX4hJgEeaX4g6xdats6w,0.6136363636363636
802,"Very interesting class, large applications possibilities, unfortunately the hands on machine wont work properly ",zHCX4hJgEeaX4g6xdats6w,0.6875
803,The concepts are brilliantly taught but the technical part that was programming was rushed through and not explained step by step. This is probably out of scope for this course but would have been good to get a little more technical training,zHCX4hJgEeaX4g6xdats6w,0.7674418604651163
804,Thanks so much you are great people,zHCX4hJgEeaX4g6xdats6w,1.0
805,"The neo4j parts were good, and nice introduction to graph terminology and concepts. would like to see detailed hands-on for wk 5 like wk 4 had w neo4j, which was very well done . like the tools survey and concepts. would like to see recommendations for other course s , not necessarily in this series or by UC SanDiego, about where to go for deeper math.",zHCX4hJgEeaX4g6xdats6w,0.5
806,"Really Thank you for all the big data course, just a little about the 5th course, Graph analytic, I think can must go to the deeper insight with more explanation, some of the modules was really vague!Thank you",zHCX4hJgEeaX4g6xdats6w,0.6590909090909091
807,"Not so easy, but well worth it!",zHCX4hJgEeaX4g6xdats6w,0.7777777777777778
808,"Probably because I'm new to all the big data and graph analytics terminologies but the lectures in this chapter were quite difficult to follow in my opinion. The instructor was just talking, not teaching nor explaining, just like someone who prepares notes and is reading to students. The hand-ons were a bit helpful, but overall this class is more for those who already know about the subject. ",zHCX4hJgEeaX4g6xdats6w,0.6493506493506493
809,"Concepts are explained in a rather structured way and hands-on with Neo4j are interesting.The last part with GraphX is pure copy-paste of orders, it is disappointing and not a good way to practive.",zHCX4hJgEeaX4g6xdats6w,0.5609756097560976
810,"Very good material, very good Neo4j hands on for new comers. The critique goes to the coverage of GraphX hands on which, at least to me, is not explained clear enough",zHCX4hJgEeaX4g6xdats6w,0.5714285714285714
811,I enjoyed this course and learned a great deal.,zHCX4hJgEeaX4g6xdats6w,0.8
812,"This course was excellent as an introduction to Graph Analytics and using Neo4j. Not only did I learn a lot, I've been given tasks related to what I've learned in this course after finishing it.",zHCX4hJgEeaX4g6xdats6w,0.6428571428571429
813,Another good and interesting course but the total lack of engagement by the course team and community mentors makes it hard going. ,zHCX4hJgEeaX4g6xdats6w,0.7391304347826086
814,"The professor is well spoken and the class started out very well. But by the final section the hands on example were simply cut-paste with no explanation of what we were doing or how it worked. It's not the fault of the professor but this course and the Big Data specialization attempts to cover too much information. Graph Analytics should be its own 6 course specialization. But really, to understand graph analytics one should be spending a great deal of time with the subject. Perhaps online courses are not the way to understand such a complex subject.",zHCX4hJgEeaX4g6xdats6w,0.5833333333333334
815,Wonderful course.,zHCX4hJgEeaX4g6xdats6w,0.6666666666666666
816,"I was unhappy with this. It was clear that this course was pulled together from a superset of other material, and that it was not checked for consistency or completeness. The students were tested on their ability to write down a specific phrase from a video rather than on application of the principles learned from utilization of the graph database tools. Broccoli -- REALLY??? Further, the lack of response to questions posted in the forum indicates a lack of engagement from instructors and or facilitators.",zHCX4hJgEeaX4g6xdats6w,0.532608695652174
817,Need to include more student project design in the course,zHCX4hJgEeaX4g6xdats6w,1.0
818,Excellent.,zHCX4hJgEeaX4g6xdats6w,0.5
819,First week of 3 min video. Seriously we want to dive into the subject. And the last two weeks should have more content. Felt like much more copy and paste without understanding why you did that. Understand this should be introduction to Big Data... But the price you pay for the introduction is too expensive. ,zHCX4hJgEeaX4g6xdats6w,0.7213114754098361
820,Nice love it.... the best in bigdata,zHCX4hJgEeaX4g6xdats6w,0.75
821,best course of the series,zHCX4hJgEeaX4g6xdats6w,1.0
822,"Maybe the best course of all the specialisation. Good balance between theory and hand-ons. I would give the fifth star with more details and explanations in some hand-ons mainly the ones from the last lesson . In summary, a good introductory course to graph analysis.",zHCX4hJgEeaX4g6xdats6w,0.6037735849056604
823,"The material on graph analytics was of introductory level. A string of interesting ideas, with unclear explanations. The lesson on GraphX was basically a copy-paste introduction to it's abilities without actually teaching how to use it. The transcripts are full of mistakes. Someone not proficient in English or hard of hearing would be confused by them. It was somewhat difficult to understand the main lecturer. The best part was the explanation of Neo4j - and it was at an introductory level. A disappointment.",zHCX4hJgEeaX4g6xdats6w,0.5520833333333334
824,"Great course. The reason I did not give it five stars because I thought the last week of the course was not up to par with the first 4 weeks. The lessons on Giraph and GraphX were confusing in my opinion and the hands on exercise did not really clear things up for me. Otherwise, a great course.",zHCX4hJgEeaX4g6xdats6w,0.5396825396825397
825, interesting practices with neo4j ,zHCX4hJgEeaX4g6xdats6w,0.5
826,"I enjoyed a lot specially with the additional materials, giving insight to more in-depth concepts. I guess similar approach would help enrich the course if the course could also provide some basics of Scala so that we do not just copy and paste the commands. I am a programmer myself, but scripts like Scala have their own's very special culture that one has to adapt to it. It is not like Java or C++ which are easier to follow. ",zHCX4hJgEeaX4g6xdats6w,0.6444444444444445
827,Very informative with handson exercises. ,zHCX4hJgEeaX4g6xdats6w,0.5
828,Suggest to remove the peer-grade assessment as it could be bias ,zHCX4hJgEeaX4g6xdats6w,0.9230769230769232
829,Excellent course to get acquainted with the Graps ,zHCX4hJgEeaX4g6xdats6w,0.875
830,not much explanation about the syntax of the commands given in excercises,zHCX4hJgEeaX4g6xdats6w,0.75
831,"Great course to get familiar with graph data, graph big data, and query languages in graph data.",zHCX4hJgEeaX4g6xdats6w,0.6
832,"It started well, but it became a little hard when Java came in. Apart from that, it was great.",zHCX4hJgEeaX4g6xdats6w,0.6086956521739131
833,Very good project! Hopefully it will be helpful in my future career!,zHCX4hJgEeaX4g6xdats6w,0.8571428571428571
834,"A good topic to continue building upon big data with Graphs, however Week 5 needs some more understandable examples and exercises. ",zHCX4hJgEeaX4g6xdats6w,0.7391304347826086
835,This is one of the toughest and most interesting course at it deals with big data in graph database. Highly recommend this course to those who wants to know graph database.,zHCX4hJgEeaX4g6xdats6w,0.6666666666666666
836,"Thanks to this program, I was able to obtain a job as a data scientist in a big data environment. I built a graphical database using neo4j, which no one else at my workplace had thought to do. I really appreciate the training I got through this specialization.",zHCX4hJgEeaX4g6xdats6w,0.660377358490566
837,Very poor explanation and very complicated topics.,zHCX4hJgEeaX4g6xdats6w,0.625
838,Lower quality when compared to the previous courses in this specialization. Neo4j is very interesting but it is poorly explained. ,zHCX4hJgEeaX4g6xdats6w,0.6818181818181818
839,Greate Course,zHCX4hJgEeaX4g6xdats6w,0.5
840,Displaying handson queries graphically would make it more appealing as it was in Neo4j,zHCX4hJgEeaX4g6xdats6w,0.6428571428571429
841,Good approach for introducing to graph analytics,zHCX4hJgEeaX4g6xdats6w,0.8571428571428571
842,All the complexity of the course is concentrated to the last week.,zHCX4hJgEeaX4g6xdats6w,0.7692307692307693
843,"I would have liked to put 5 stars. This topic is so important and relevant to big data. After week 4 hands on part, it became obvious we will not see how to implement or interpret the more abstract graph concepts presented in week 3. That was very disappointing. Moreover, the structure of the course is not as good as the other module. I don't understand the lack of balance between theory and hands on Not enough hands on to reflect the theory part.On a constructive note, I would replace some of the theoretical concepts of week 3 with additional information on how to link a graph database to machine learning OR I would add more hands on exercise to help using those more complex concepts and learn how to interpret them. ",zHCX4hJgEeaX4g6xdats6w,0.503448275862069
844,"I like the content at a high level, and I have a better appreciation for the value of graph analytics. That being said, I struggled with the GraphX hands on exersizes, where many of the Scala commands simply hung.",zHCX4hJgEeaX4g6xdats6w,0.6136363636363636
845,"Very interesting class, large applications possibilities, unfortunately the hands on machine wont work properly ",zHCX4hJgEeaX4g6xdats6w,0.6875
846,The concepts are brilliantly taught but the technical part that was programming was rushed through and not explained step by step. This is probably out of scope for this course but would have been good to get a little more technical training,zHCX4hJgEeaX4g6xdats6w,0.7674418604651163
847,Thanks so much you are great people,zHCX4hJgEeaX4g6xdats6w,1.0
848,"The neo4j parts were good, and nice introduction to graph terminology and concepts. would like to see detailed hands-on for wk 5 like wk 4 had w neo4j, which was very well done . like the tools survey and concepts. would like to see recommendations for other course s , not necessarily in this series or by UC SanDiego, about where to go for deeper math.",zHCX4hJgEeaX4g6xdats6w,0.5
849,"Really Thank you for all the big data course, just a little about the 5th course, Graph analytic, I think can must go to the deeper insight with more explanation, some of the modules was really vague!Thank you",zHCX4hJgEeaX4g6xdats6w,0.6590909090909091
850,"Not so easy, but well worth it!",zHCX4hJgEeaX4g6xdats6w,0.7777777777777778
851,"Concepts are explained in a rather structured way and hands-on with Neo4j are interesting.The last part with GraphX is pure copy-paste of orders, it is disappointing and not a good way to practive.",zHCX4hJgEeaX4g6xdats6w,0.5609756097560976
852,"Very good material, very good Neo4j hands on for new comers. The critique goes to the coverage of GraphX hands on which, at least to me, is not explained clear enough",zHCX4hJgEeaX4g6xdats6w,0.5714285714285714
853,"This course was excellent as an introduction to Graph Analytics and using Neo4j. Not only did I learn a lot, I've been given tasks related to what I've learned in this course after finishing it.",zHCX4hJgEeaX4g6xdats6w,0.6428571428571429
854,Another good and interesting course but the total lack of engagement by the course team and community mentors makes it hard going. ,zHCX4hJgEeaX4g6xdats6w,0.7391304347826086
