profici,"[3591, 4043, 4410, 8283, 9133, 9881]"
assimil,"[4565, 5325]"
child,"[5018, 5535]"
path-find,"[343, 469]"
skeleton,"[328, 461]"
mucho,"[8174, 9553]"
instructor,"[1, 4, 35, 41, 53, 97, 104, 134, 161, 178, 222, 242, 256, 267, 275, 291, 307, 326, 400, 406, 411, 425, 436, 459, 506, 510, 512, 523, 563, 623, 624, 647, 695, 752, 753, 789, 800, 808, 847, 912, 920, 921, 990, 998, 999, 1099, 1121, 1180, 1204, 1234, 1237, 1241, 1336, 1355, 1375, 1393, 1397, 1399, 1403, 1426, 1450, 1468, 1501, 1523, 1524, 1532, 1538, 1569, 1569, 1569, 1708, 1812, 1815, 1819, 1909, 1928, 1945, 1962, 1966, 1968, 1971, 1992, 2015, 2028, 2059, 2078, 2079, 2086, 2120, 2120, 2120, 2194, 2195, 2209, 2213, 2239, 2268, 2303, 2326, 2373, 2374, 2387, 2413, 2439, 2470, 2492, 2529, 2531, 2546, 2565, 2583, 2657, 2659, 2689, 2732, 2734, 2754, 2769, 2810, 2830, 2924, 2962, 2962, 3007, 3029, 3161, 3231, 3249, 3284, 3344, 3398, 3433, 3499, 3506, 3514, 3590, 3594, 3628, 3675, 3682, 3751, 3763, 3781, 3867, 3873, 3899, 3937, 3986, 3994, 4042, 4107, 4158, 4203, 4324, 4374, 4377, 4393, 4400, 4404, 4417, 4423, 4424, 4424, 4425, 4438, 4451, 4451, 4458, 4507, 4516, 4520, 4524, 4560, 4637, 4637, 4643, 4674, 4744, 4754, 4764, 4777, 4809, 4878, 4889, 4922, 4940, 4943, 4954, 4967, 4984, 4989, 5011, 5019, 5034, 5036, 5071, 5080, 5098, 5142, 5147, 5161, 5162, 5163, 5163, 5176, 5178, 5184, 5186, 5199, 5205, 5209, 5220, 5224, 5225, 5225, 5226, 5244, 5244, 5287, 5295, 5323, 5371, 5371, 5410, 5416, 5423, 5439, 5473, 5478, 5499, 5507, 5508, 5518, 5536, 5559, 5562, 5574, 5605, 5606, 5614, 5615, 5643, 5643, 5646, 5655, 5655, 5697, 5713, 5763, 5807, 5867, 5875, 5904, 5970, 5975, 5995, 6016, 6096, 6122, 6130, 6148, 6155, 6155, 6212, 6215, 6272, 6301, 6316, 6322, 6322, 6437, 6438, 6472, 6483, 6483, 6484, 6522, 6539, 6583, 6610, 6672, 6694, 6713, 6729, 6731, 6758, 6774, 6792, 6801, 6891, 6897, 6910, 6920, 6921, 6925, 6926, 6928, 6928, 7003, 7015, 7028, 7035, 7052, 7057, 7096, 7099, 7114, 7117, 7142, 7150, 7181, 7197, 7228, 7249, 7260, 7272, 7293, 7296, 7329, 7337, 7339, 7339, 7375, 7380, 7395, 7408, 7411, 7430, 7440, 7474, 7480, 7528, 7545, 7593, 7651, 7679, 7719, 7732, 7785, 7801, 7913, 7969, 8016, 8027, 8104, 8179, 8212, 8216, 8235, 8271, 8300, 8318, 8367, 8375, 8380, 8380, 8399, 8432, 8514, 8587, 8610, 8698, 8716, 8745, 8819, 8845, 8846, 8876, 8886, 8915, 8938, 8998, 9012, 9021, 9059, 9081, 9156, 9163, 9238, 9238, 9359, 9501, 9556, 9569, 9578, 9590, 9599, 9639, 9742, 9785, 9811, 9836, 9849, 9866, 9924, 9939, 9947, 10037, 10047, 10054, 10100, 10126, 10158, 10165, 10181, 10188, 10212, 10229, 10243, 10254]"
quality/specif,"[9, 141]"
tweet,"[899, 928, 977, 1004]"
self-studi,"[1021, 1293, 1330, 1457, 1460, 1621, 1868, 1904, 2022, 7506, 7701]"
..,"[2326, 2492, 3655, 4677, 6401, 6682, 7238, 7794, 7994, 8153, 8307, 8539, 8966, 9419, 9537, 9677, 10287, 10314]"
re-writ,"[6111, 6286]"
matlab,"[2876, 3120, 8928, 9808]"
worth,"[256, 275, 1290, 1865, 2695, 2834, 5883, 6967, 8702, 9731]"
everi,"[6614, 7642, 7891, 9349]"
voic,"[554, 686, 3861, 4654, 5646, 7480]"
specialization.th,"[872, 953]"
china.you,"[1566, 2117]"
solver,[7650]
school,"[1245, 1264, 1823, 1841, 2962, 6030, 6063, 8590, 9937, 10163]"
scholar,"[3029, 3249, 8290]"
handout,"[1235, 1813]"
readabl,"[6981, 7366]"
prof.david,"[8012, 9432]"
whirlwind,[7639]
enjoy,"[1155, 1540, 1740, 2093, 7096, 7408]"
ampliament,"[1434, 1999]"
bill,"[4556, 5319]"
throught,[8781]
phyton,"[871, 952, 1199, 1780]"
so.i,"[1259, 1837]"
direct,"[550, 682, 924, 1001, 3303, 3364, 3628, 3734, 3770, 3845, 3893, 4096, 4141, 5732, 6446, 6663, 7219, 7842, 9311]"
batch,"[585, 716]"
second,"[2865, 3110]"
street,"[359, 479]"
context.i,"[2942, 3178]"
