,key,length,id
0,profici,6,"[3591, 4043, 9133, 9881, 4410, 8283]"
1,assimil,2,"[4565, 5325]"
2,child,2,"[5018, 5535]"
3,path-find,2,"[469, 343]"
4,skeleton,2,"[328, 461]"
5,mucho,2,"[9553, 8174]"
6,educ,25,"[9349, 525, 2065, 2962, 661, 7961, 1306, 9628, 8135, 9267, 9397, 9526, 3653, 6727, 8264, 8403, 1880, 4316, 4063, 9587, 4194, 1509, 9456, 8050, 7891]"
7,tweet,4,"[928, 977, 899, 1004]"
8,self-studi,11,"[7506, 2022, 1868, 1293, 1904, 1457, 1330, 1460, 1621, 1021, 7701]"
9,messi,2,"[6286, 6111]"
10,on-lin,2,"[7099, 7411]"
11,matlab,9,"[8928, 7041, 1091, 2893, 3120, 1681, 9808, 2876, 7390]"
12,worth,14,"[256, 9731, 2695, 1865, 1290, 7275, 6450, 6736, 2834, 275, 6967, 5883, 6589, 8702]"
13,userful,2,"[5240, 4447]"
14,@,1,[8266]
15,kudo,8,"[736, 1761, 9061, 1928, 1355, 7065, 1179, 605]"
16,everi,6,"[9349, 1159, 1744, 7891, 6614, 7642]"
17,nikita,1,[6508]
18,voic,6,"[554, 5646, 4654, 7480, 686, 3861]"
19,emili,6,"[98, 166, 40, 183, 217, 60]"
20,school,11,"[9937, 6030, 6063, 1264, 1841, 2962, 6483, 8590, 10163, 1245, 1823]"
21,scholar,3,"[3249, 8290, 3029]"
22,handout,3,"[1235, 1813, 6053]"
23,readabl,2,"[6981, 7366]"
24,whirlwind,1,[7639]
25,enjoy,8,"[2339, 1540, 1740, 2093, 7408, 7096, 1155, 4760]"
26,ampliament,2,"[1434, 1999]"
27,throught,1,[8781]
28,phyton,6,"[871, 1199, 2353, 1780, 952, 2169]"
29,miller,8,"[736, 764, 623, 752, 596, 727, 636, 605]"
30,direct,19,"[4096, 7842, 3364, 3845, 550, 3303, 1001, 682, 6663, 3628, 4141, 6446, 7219, 3893, 3734, 5732, 3770, 924, 9311]"
31,batch,2,"[585, 716]"
32,second,2,"[2865, 3110]"
33,street,2,"[479, 359]"
34,semest,2,"[7704, 7509]"
35,excellet,2,"[264, 239]"
36,panda,178,"[1025, 1026, 2051, 2053, 1793, 1964, 1034, 1036, 1037, 2062, 1624, 1042, 1555, 1556, 2069, 2070, 2072, 2074, 2078, 1056, 2081, 1570, 1060, 1578, 1068, 1800, 1074, 1589, 1078, 1079, 2107, 2108, 2058, 1092, 1093, 1095, 2060, 1614, 2129, 1107, 1112, 1625, 2138, 2139, 1117, 1121, 1635, 1636, 1809, 1641, 2067, 1655, 1144, 1663, 1899, 1668, 1670, 1159, 1169, 1170, 1171, 1685, 1696, 1699, 1704, 1708, 1203, 1207, 1208, 1908, 1214, 1729, 1995, 1222, 1230, 1231, 1744, 1753, 1754, 1755, 1247, 1252, 1253, 1256, 1262, 1271, 1784, 1273, 9978, 1787, 1276, 1834, 1278, 1280, 1281, 1284, 1288, 1291, 1808, 1297, 1825, 1318, 1831, 1322, 1671, 1325, 1840, 2017, 1335, 1848, 1850, 1853, 1855, 1857, 1859, 1590, 1863, 1866, 1358, 1871, 1361, 1362, 10067, 2057, 1368, 1376, 1380, 1383, 1896, 1387, 1682, 1395, 1683, 1409, 1412, 1830, 1931, 1933, 1934, 1939, 1430, 1633, 1433, 1946, 1950, 1953, 1957, 1451, 1452, 2035, 1460, 2121, 1976, 1979, 1475, 1014, 1479, 1483, 1998, 1493, 1495, 1499, 1500, 1502, 1503, 2016, 1505, 2022, 1511, 1513, 1514, 1516, 1518, 1523, 1526, 2039, 1892, 2043]"
37,blue,1,[2892]
38,aim,4,"[714, 6599, 6485, 583]"
39,pre-requisit,1,[10270]
40,+,5,"[1762, 146, 1181, 8858, 15]"
41,yaakov,1,[8255]
42,dr.,21,"[577, 4395, 709, 4811, 1793, 1992, 636, 6088, 1483, 7884, 9345, 5201, 1426, 596, 6503, 727, 6264, 2043, 764, 1214, 4677]"
43,new,6,"[2470, 7527, 2894, 2303, 539, 3135]"
44,net,29,"[3201, 3077, 3206, 4747, 3084, 3218, 2970, 3229, 2977, 3108, 3110, 3244, 2862, 2991, 2865, 3129, 3004, 3133, 3264, 2885, 2890, 3023, 3281, 5412, 222, 104, 3049, 3178, 2942]"
45,ever,1,[7192]
46,courera,2,"[4657, 5378]"
47,specialist,2,"[3385, 3326]"
48,lert,2,"[1728, 1143]"
49,behavior,5,"[1104, 4520, 7364, 1693, 6977]"
50,join,3,"[8745, 10308, 10279]"
51,never,1,[3506]
52,china,2,"[2117, 1566]"
53,q13,2,"[1192, 1773]"
54,path,17,"[2528, 6432, 2731, 2535, 9192, 6581, 6727, 359, 5767, 8577, 5908, 6133, 475, 7164, 9898, 350, 479]"
55,pleasur,19,"[9625, 10256, 8855, 2183, 8395, 2604, 2413, 4814, 528, 9906, 10196, 2997, 1270, 1847, 3224, 9206, 8863, 2366, 2239]"
56,enrol,7,"[6949, 1096, 9163, 6991, 6512, 8787, 1686]"
57,interpret,7,"[6244, 6282, 6638, 6613, 278, 260, 6107]"
58,venkateshraman,1,[8266]
59,daughter,2,"[2377, 2199]"
60,forens,1,[3340]
