,comment,ratio
0,Good course. Learned a lot from it. Thanks!,0.727272727273
1,This course was great! With good code examples and algorithm applications and also intuition!It's a shame that we couldn't finish planned courses due to busy schedules of instructors as I was really looking forward to the capstone project! ,0.673913043478
2,Nice course with all the practical stuffs and nice analysis about each topic but practical part of LDA was restricted for GraphLab users only which is a weak fallback and rest everything is fine.,0.742857142857
3,Clustering &amp; Retrieval was a lot tougher compared to courses on regression &amp; classification because the match concepts behind this course were too complex. Nevertheless Emily tried to make this course as intuitive as possible,0.6
4,I'm a grad student and I can notice the instructor makes a difference in this course. I fully recommend it.,0.708333333333
5,awesome course!,0.666666666667
6,"sometimes difficult,but import so many useful knowledge",0.888888888889
7,very good! strongly recommend to people who want to start a career on data science or are interested in it,0.904761904762
8,The teachers are really amazing. They do not just explain it as if they read a book. They explain the concepts very well,0.68
9,Overall is great. The LDA and Dendrograms lack quality/specificity and depth of the previous topics. So sad the Specialization collapsed at 4 courses instead of 6.,0.516129032258
10,This course was my first encounter with Machine Learning! The course gave me a good understanding of the different ML algorithms used in clustering and retrieval of data! ,0.766666666667
11,Very nice course. Concepts are covered very clearly.,0.6
12,E,1.0
13," Really a good course, succinct and concise. ",0.777777777778
14,slightly repetitive of classification course with no real use-case value except lots of math..,0.823529411765
15,"Great course on machine learning, however, left us in middle of learning, Recommender System + Deep Learning Capstone is missing",0.739130434783
16,Some themes are shown very superficially it would be great to go deeper. Despite of this the course is great! Thanks.,0.75
17,The course was very engaging and mathematically intensive. It provides background for all the necessary tools one must know to start clustering. Great Course. Will miss this course format as 5 and 6 are cancelled! ,0.666666666667
18,Should use pandas instead of Graph Lab Create,0.875
19,Good and deep dive into ML!Absolutely disappointed that the course was delayed and the promise to take it through Course 5 and Capstone Project didn't come through.Not at all happy with that!! ,0.641025641026
20,"super one, ",0.666666666667
21, Best Course on ML yet on the Web ,0.75
22,"A great course as the other 3 courses in the specialization.This course introduces and make us implement Knn,Kd trees,Gaussian Mixture model and LDA model for clustering and retrieval.The data set is the peoples wiki from the Foundations course and theres a assignment on clustering images too.If you have taken the other 3 an do this with ease and if you haven't taken those i think it will be better to take this course after the other 3.",0.511111111111
23,Excellent course! Thanks a lot for the effort in compiling this course... I really enjoyed it!,0.684210526316
24,"Dependence on GraphLab technology is a big minus. The lectures are poorly balanced in terms of difficulty. Apart from that - interesting course, I'm glad I took it.",0.705882352941
