-i+11,[10947]
profici,"[3828, 3891, 4371, 4761, 8902, 9815, 10622]"
pido,"[2493, 2667, 9714]"
assimil,"[4925, 5740]"
child,"[5415, 5965]"
path-find,"[388, 520]"
consider,"[27, 606, 751, 4498, 4632]"
mucho,"[2493, 2667, 5418, 8693, 8784, 8890, 8922, 10199, 10268]"
instructor,"[1, 4, 39, 46, 59, 95, 114, 121, 154, 184, 203, 236, 258, 281, 297, 308, 316, 332, 339, 339, 349, 369, 446, 453, 458, 473, 485, 489, 489, 510, 558, 563, 565, 577, 621, 687, 688, 714, 766, 829, 830, 868, 882, 892, 936, 1007, 1015, 1016, 1089, 1097, 1098, 1146, 1146, 1203, 1225, 1274, 1274, 1274, 1275, 1288, 1312, 1344, 1347, 1351, 1404, 1454, 1473, 1497, 1518, 1522, 1524, 1528, 1555, 1581, 1599, 1632, 1642, 1657, 1658, 1667, 1675, 1704, 1704, 1710, 1710, 1710, 1753, 1753, 1753, 1795, 1795, 1862, 1908, 1971, 1974, 1978, 2028, 2076, 2095, 2116, 2136, 2140, 2142, 2145, 2170, 2194, 2207, 2238, 2244, 2258, 2259, 2267, 2299, 2299, 2305, 2305, 2305, 2387, 2389, 2403, 2407, 2431, 2460, 2498, 2522, 2572, 2573, 2586, 2610, 2636, 2670, 2693, 2731, 2734, 2749, 2768, 2769, 2787, 2866, 2868, 2869, 2902, 2948, 2950, 2970, 2971, 2986, 3030, 3031, 3053, 3155, 3195, 3195, 3245, 3270, 3313, 3419, 3494, 3515, 3544, 3559, 3626, 3628, 3688, 3690, 3724, 3794, 3801, 3809, 3890, 3894, 3929, 3980, 3987, 3992, 3992, 4062, 4075, 4093, 4187, 4193, 4219, 4259, 4312, 4320, 4370, 4440, 4493, 4541, 4585, 4669, 4705, 4724, 4727, 4744, 4751, 4755, 4768, 4774, 4775, 4775, 4776, 4788, 4802, 4802, 4809, 4866, 4875, 4879, 4883, 4920, 5003, 5003, 5010, 5043, 5105, 5112, 5118, 5129, 5139, 5153, 5188, 5226, 5226, 5226, 5226, 5265, 5276, 5312, 5330, 5333, 5345, 5358, 5376, 5384, 5407, 5416, 5433, 5436, 5472, 5481, 5501, 5546, 5551, 5566, 5567, 5568, 5568, 5581, 5583, 5589, 5591, 5604, 5610, 5614, 5625, 5629, 5630, 5630, 5631, 5650, 5650, 5701, 5709, 5738, 5789, 5789, 5828, 5835, 5843, 5860, 5879, 5879, 5879, 5879, 5897, 5902, 5925, 5933, 5934, 5945, 5966, 5991, 5994, 6006, 6037, 6038, 6048, 6049, 6083, 6083, 6086, 6088, 6096, 6096, 6097, 6145, 6164, 6175, 6187, 6223, 6269, 6338, 6347, 6377, 6449, 6455, 6475, 6498, 6581, 6608, 6617, 6635, 6642, 6642, 6659, 6704, 6707, 6729, 6767, 6798, 6813, 6819, 6819, 6832, 6865, 6940, 6942, 6977, 6989, 6989, 6990, 7031, 7051, 7102, 7132, 7193, 7216, 7236, 7252, 7254, 7286, 7305, 7324, 7333, 7372, 7423, 7430, 7444, 7454, 7455, 7460, 7461, 7463, 7463, 7540, 7552, 7565, 7572, 7589, 7595, 7637, 7641, 7657, 7660, 7685, 7693, 7726, 7735, 7735, 7735, 7745, 7778, 7800, 7811, 7823, 7849, 7852, 7869, 7886, 7894, 7897, 7897, 7935, 7940, 7956, 7969, 7972, 7991, 8002, 8020, 8039, 8045, 8095, 8113, 8159, 8165, 8222, 8222, 8225, 8240, 8256, 8297, 8310, 8336, 8366, 8382, 8501, 8559, 8610, 8623, 8706, 8791, 8825, 8830, 8850, 8888, 8920, 8941, 8991, 8995, 9003, 9008, 9008, 9032, 9067, 9153, 9229, 9256, 9347, 9366, 9397, 9480, 9507, 9508, 9514, 9539, 9551, 9572, 9572, 9580, 9584, 9609, 9670, 9686, 9696, 9720, 9739, 9762, 9839, 9846, 9927, 9927, 10056, 10209, 10272, 10286, 10295, 10308, 10318, 10361, 10469, 10517, 10520, 10536, 10536, 10548, 10573, 10587, 10596, 10607, 10667, 10684, 10692, 10787, 10798, 10805, 10855, 10883, 10901, 10918, 10926, 10942, 10945, 10952, 10966, 10979, 10998, 11013, 11026]"
quality/specif,"[11, 163]"
