,comment,target
0,Good course. Learned a lot from it. Thanks!,"{'cours': ['course'], 'lot': ['lot'], 'thank': ['Thanks']}"
1,This course was great! With good code examples and algorithm applications and also intuition!It's a shame that we couldn't finish planned courses due to busy schedules of instructors as I was really looking forward to the capstone project! ,"{'cours': ['course', 'courses'], 'code exampl': ['code examples'], 'algorithm applic': ['algorithm applications'], 'schedul': ['schedules'], 'instructor': ['instructors'], 'capston project': ['capstone project']}"
2,Nice course with all the practical stuffs and nice analysis about each topic but practical part of LDA was restricted for GraphLab users only which is a weak fallback and rest everything is fine.,"{'cours': ['course'], 'stuff': ['stuffs'], 'analysi': ['analysis'], 'topic': ['topic'], 'part': ['part'], 'lda': ['LDA'], 'graphlab user': ['GraphLab users'], 'fallback': ['fallback'], 'rest': ['rest'], 'everyth': ['everything']}"
3,Clustering &amp; Retrieval was a lot tougher compared to courses on regression &amp; classification because the match concepts behind this course were too complex. Nevertheless Emily tried to make this course as intuitive as possible,"{'cluster': ['Clustering'], 'retriev': ['Retrieval'], 'lot': ['lot'], 'cours': ['course', 'courses'], 'regress': ['regression'], 'classif': ['classification'], 'match concept': ['match concepts'], 'emili': ['Emily']}"
4,I'm a grad student and I can notice the instructor makes a difference in this course. I fully recommend it.,"{'grad student': ['grad student'], 'instructor': ['instructor'], 'differ': ['difference'], 'cours': ['course']}"
5,awesome course!,{'cours': ['course']}
6,"sometimes difficult,but import so many useful knowledge","{'import': ['import'], 'knowledg': ['knowledge']}"
7,very good! strongly recommend to people who want to start a career on data science or are interested in it,{'peopl': ['people']}
8,The teachers are really amazing. They do not just explain it as if they read a book. They explain the concepts very well,"{'teacher': ['teachers'], 'book': ['book'], 'concept': ['concepts']}"
9,Overall is great. The LDA and Dendrograms lack quality specificity and depth of the previous topics. So sad the Specialization collapsed at 4 courses instead of 6.,"{'lda': ['LDA'], 'dendrogram': ['Dendrograms'], 'qualiti specif': ['quality specificity'], 'depth': ['depth'], 'topic': ['topics'], 'special': ['Specialization'], 'cours': ['courses']}"
10,This course was my first encounter with Machine Learning! The course gave me a good understanding of the different ML algorithms used in clustering and retrieval of data! ,"{'cours': ['course'], 'encount': ['encounter'], 'machin learn': ['Machine Learning'], 'understand': ['understanding'], 'ml algorithm': ['ML algorithms'], 'cluster': ['clustering'], 'retriev': ['retrieval'], 'data': ['data']}"
11,Very nice course. Concepts are covered very clearly.,"{'cours': ['course'], 'concept': ['Concepts']}"
12,E,{}
13," Really a good course, succinct and concise. ",{'cours': ['course']}
14,slightly repetitive of classification course with no real use-case value except lots of math..,"{'classif cours': ['classification course'], 'valu': ['value'], 'lot': ['lots'], 'math': ['math']}"
15,"Great course on machine learning, however, left us in middle of learning, Recommender System + Deep Learning Capstone is missing","{'cours': ['course'], 'machin learn': ['machine learning'], 'middl': ['middle'], 'learn': ['learning'], 'recommend system': ['Recommender System'], 'deep learn capston': ['Deep Learning Capstone']}"
16,Some themes are shown very superficially it would be great to go deeper. Despite of this the course is great! Thanks.,"{'cours': ['course'], 'thank': ['Thanks']}"
17,The course was very engaging and mathematically intensive. It provides background for all the necessary tools one must know to start clustering. Great Course. Will miss this course format as 5 and 6 are cancelled! ,"{'cours': ['course', 'Course'], 'background': ['background'], 'tool': ['tools'], 'cluster': ['clustering']}"
18,Should use pandas instead of Graph Lab Create,"{'panda': ['pandas'], 'graph lab': ['Graph Lab']}"
19,Good and deep dive into ML!Absolutely disappointed that the course was delayed and the promise to take it through Course 5 and Capstone Project didn't come through.Not at all happy with that!! ,"{'dive': ['dive'], 'ml!absolut': ['ML!Absolutely'], 'cours': ['course', 'Course'], 'promis': ['promise'], 'capston project': ['Capstone Project'], 'through.not': ['through.Not']}"
20,"super one, ",{}
21, Best Course on ML yet on the Web ,"{'cours': ['Course'], 'ml': ['ML'], 'web': ['Web']}"
22,"A great course as the other 3 courses in the specialization.This course introduces and make us implement Knn,Kd trees,Gaussian Mixture model and LDA model for clustering and retrieval.The data set is the peoples wiki from the Foundations course and theres a assignment on clustering images too.If you have taken the other 3 an do this with ease and if you haven't taken those i think it will be better to take this course after the other 3.","{'cours': ['course', 'courses'], 'specialization.thi cours': ['specialization.This course'], 'gaussian mixtur model': ['Gaussian Mixture model'], 'lda model': ['LDA model'], 'retrieval.th': ['retrieval.The'], 'peopl': ['peoples'], 'foundat cours': ['Foundations course'], 'assign': ['assignment'], 'eas': ['ease']}"
23,Excellent course! Thanks a lot for the effort in compiling this course... I really enjoyed it!,"{'cours': ['course'], 'thank': ['Thanks'], 'lot': ['lot']}"
24,"Dependence on GraphLab technology is a big minus. The lectures are poorly balanced in terms of difficulty. Apart from that - interesting course, I'm glad I took it.","{'depend': ['Dependence'], 'graphlab technolog': ['GraphLab technology'], 'minus': ['minus'], 'term': ['terms'], 'difficulti': ['difficulty'], 'cours': ['course']}"
25,"If you are considering this specialization I would recommend the Andrew Ng course instead and the main reason is that it isn't depend on proprietary ML framework. Despite the good lectures, the assignments don't help you develop the knowledge required for ML developer role.Taking in consideration the permanent postponing the courses delivery, from summer 2016 to summer 2017, finally the most interesting part of the specialization was cancelled. I'm completely disappointed with the specialization learning expirience.","{'special': ['specialization'], 'andrew ng cours': ['Andrew Ng course'], 'reason': ['reason'], 'ml framework': ['ML framework'], 'assign': ['assignments'], 'knowledg': ['knowledge'], 'ml develop role.tak': ['ML developer role.Taking'], 'consider': ['consideration'], 'part': ['part']}"
26,No good without the missing course and capstone projects,"{'good': ['good'], 'cours': ['course'], 'capston project': ['capstone projects']}"
27,"The material is complex and challenging, but the teaching procedure is carefully thought out in a way that you quickly get it, giving you a great sense of accomplishment.","{'materi': ['material'], 'way': ['way'], 'sens': ['sense'], 'accomplish': ['accomplishment']}"
28, Excellent Course!!! ,{'cours !!': ['Course !!']}
29,"Very sophisticated, friendly and practical instructions",{'instruct': ['instructions']}
30,Enjoyed the course and learned a lot. Amazing! ,"{'cours': ['course'], 'lot': ['lot']}"
31,awesome clustering course,{'cluster cours': ['clustering course']}
32, This specialization is delayed for months now - very annoying! Don't give them money! ,"{'special': ['specialization'], 'month': ['months']}"
33,very helpful,{}
34,Great course but hard going at times for those of us without a strong maths background. The assignments took me a long time to complete and I think I'll have to revisit some areas as I become more familiar with them to really get the full benefit.,"{'cours': ['course'], 'time': ['time', 'times'], 'math background': ['maths background'], 'assign': ['assignments'], 'benefit': ['benefit']}"
35,"I am taking all courses in the specialization, and this is my fourth. I have been having a great time with materials by both instructors so far, until I came to week 5 of this course.Despite repeated viewing, my understanding of LDA is non-existent. The first section is fine, but starting from Bayesian inference via Gibbs sampling, for me at least, the method of instruction has gone off a cliff.I strongly suggest soliciting feedback from learners that narrowly targets the material of this week 5 to determine if it's just me or if this is a wider problem. If it is the latter, perhaps it is time to redesign the lessons of this week.","{'cours': ['courses'], 'special': ['specialization'], 'time': ['time'], 'materi': ['material', 'materials'], 'instructor': ['instructors'], 'week': ['week'], 'understand': ['understanding'], 'lda': ['LDA'], 'section': ['section'], 'infer': ['inference'], 'gibb sampl': ['Gibbs sampling'], 'method': ['method'], 'instruct': ['instruction'], 'cliff.i': ['cliff.I'], 'feedback': ['feedback'], 'learner': ['learners'], 'problem': ['problem'], 'lesson': ['lessons']}"
36,great.,{}
37,VERY IMPRESSIVE COURSE,{'cours': ['COURSE']}
38,This course contain many advance topic which was covered in fast pace by the professor special end lectures. This course contain very important topics of Machine learning could have given more time in explaining things. Thanks professor ,"{'cours': ['course'], 'advanc topic': ['advance topic'], 'pace': ['pace'], 'professor end': ['professor end'], 'topic': ['topics'], 'machin learn': ['Machine learning'], 'time': ['time']}"
39,Excellent course ,{'cours': ['course']}
40,It is explained in simple and lucid language by expert Emily and codes illustrated by Carlos. Go for it.,"{'languag': ['language'], 'expert emili': ['expert Emily'], 'code': ['codes'], 'carlo': ['Carlos']}"
41,Very Insightful. Great Instructors. Awesome Forum and intelligible peers. ,"{'insight': ['Insightful'], 'instructor': ['Instructors'], 'forum': ['Forum'], 'peer': ['peers']}"
42,It's an amazing Course.,{'cours': ['Course']}
43,So Much Concepts to learn and totally worth it!,{'concept': ['Concepts']}
44,"This was probably the most challenging course of them all, I thoroughly enjoyed it! Looking forward to dimensionality reduction and the capstone. ","{'cours': ['course'], 'dimension reduct': ['dimensionality reduction'], 'capston': ['capstone']}"
45,"Thank you, it was a good one",{}
46,Great course! Very simple and practical.,{'cours': ['course']}
47,"The course dived into basic and advanced concepts of unsupervised learning. As before, Prof Fox did a great job at explaining things.","{'cours': ['course'], 'concept': ['concepts'], 'learn': ['learning'], 'prof fox': ['Prof Fox'], 'job': ['job']}"
48,this is not a an easy course but certainly an awesome one ,{'cours': ['course']}
49,Excellent! Very good material and lectures and hands on. Really enriching.,{'materi': ['material']}
50,"Very good, not only learn many good ML concepts, but also polish my python programming skill a lot. Thank you, Emily and Carlos.","{'ml concept': ['ML concepts'], 'python program skill': ['python programming skill'], 'lot': ['lot'], 'emili': ['Emily'], 'carlo': ['Carlos']}"
51,"Great course, very hands-on, very practical knowledge.","{'cours': ['course'], 'knowledg': ['knowledge']}"
52,Best course available till date as MooC,"{'cours': ['course'], 'date': ['date'], 'mooc': ['MooC']}"
53,This was another great course. I hope that the instructors indulge in a little bit more theory. Anyway it was a magnificent course. Hope the coming courses are as good as this one.,"{'cours': ['course', 'courses'], 'instructor': ['instructors'], 'bit': ['bit'], 'theori': ['theory'], 'hope': ['Hope']}"
54,Deep insight into most useful techniques of machine learning.,"{'insight': ['insight'], 'techniqu': ['techniques'], 'machin learn': ['machine learning']}"
55,This specific course traded off depth and detail for breadth of topics. Too many ideas were quickly described and not really built up to my liking.,"{'cours': ['course'], 'depth': ['depth'], 'detail': ['detail'], 'topic': ['topics'], 'idea': ['ideas'], 'like': ['liking']}"
