,comment,target
0,Should use ionic 2!,{}
1, Excelente ,{}
2,"It's a good introduction to mobile app development; however, the class is unmaintained. Since 2014 when the videos and lectures were written, the frameworks have advanced and become incompatible with the lessons. Links in the lessons to documentation do not give useful information because they're for the wrong version of the framework. Still worth taking, but as a paid class I have higher expectations. ","{'introduct': ['introduction'], 'app develop': ['app development'], 'class': ['class'], 'video': ['videos'], 'framework': ['framework', 'frameworks'], 'lesson': ['lessons'], 'link': ['Links'], 'document': ['documentation'], 'inform': ['information'], 'version': ['version']}"
3,"Wow! Is developing an app THIS simple if I know Angular! This course and the way it proceeds in each step gave me a lot of confidence that developing an android app is simple.I haven't started anything yet I did not do the exercises , but the fact that I know. It is easy is a good enough take home from this course.","{'app this': ['app THIS'], 'cours': ['course'], 'way': ['way'], 'step': ['step'], 'lot': ['lot'], 'confid': ['confidence'], 'android app': ['android app'], 'exercis': ['exercises'], 'take home': ['take home']}"
4,Enjoyed this course less than the other courses in the series. Needs to be refreshed and updated.,"{'cours': ['course', 'courses'], 'seri': ['series']}"
5,"Would be good to be updated with Ionic 2 and Angular 2,",{}
6,"Great lessons, learned a lot, love it, appreciate!","{'lesson': ['lessons'], 'lot': ['lot']}"
7,Excellent course,{'cours': ['course']}
8,"Excellent. A bit long in terms of duration and explanation, but at the end you end up learning and understanding the concepts well. Finally after many attempts I have been able to learn Ionic.","{'bit': ['bit'], 'term': ['terms'], 'end': ['end'], 'learn': ['learning'], 'concept': ['concepts'], 'attempt': ['attempts'], 'ionic': ['Ionic']}"
9,Best course by best Instructor.,"{'cours': ['course'], 'instructor': ['Instructor']}"
10,Great course with lots of technologies evolved.,"{'cours': ['course'], 'lot': ['lots'], 'technolog': ['technologies']}"
11,So funny and really interestanting if you want to learn mobile app movil in few steps.,"{'app movil': ['app movil'], 'step': ['steps']}"
12,Yeah!,{}
13,"Bad video quality, errors in tasks and descriptions, no clear path through the course.","{'qualiti': ['quality'], 'error': ['errors'], 'task': ['tasks'], 'descript': ['descriptions'], 'path': ['path'], 'cours': ['course']}"
14,Awesome course and especially awesome faculty teaches all the concept so well and adds some humor as well very satisfied ,"{'cours': ['course'], 'faculti': ['faculty'], 'concept': ['concept'], 'humor': ['humor']}"
15,"Doesn't provide as much of an in-depth info as I was expecting, but its a good course to get you started with hybrid app development. ","{'info': ['info'], 'cours': ['course'], 'hybrid app develop': ['hybrid app development']}"
16,"Really good course, learned a lot of hybrid development","{'cours': ['course'], 'lot': ['lot'], 'hybrid develop': ['hybrid development']}"
17,"Great course indeed, can recommend it to anyone interested in mobile development","{'cours': ['course'], 'anyon': ['anyone'], 'develop': ['development']}"
18,Very interesting and useful course for web mobile development! I recommend it! ,"{'cours': ['course'], 'web develop': ['web development']}"
19,Very interesting course,{'cours': ['course']}
