,comment,target
0,Great course! ,{'cours': ['course']}
1,"Excellent course.Gives you a hands-on approach to Angular JS, with links to more resources so that you can explore further and find all information you need to build a complete project.","{'course.g': ['course.Gives'], 'approach': ['approach'], 'js': ['JS'], 'link': ['links'], 'resourc': ['resources'], 'inform': ['information'], 'project': ['project']}"
2,Tough but worth it,{}
3,There are no better ways than this! It's a great course and i would really recommend it for anyone because i gained more experience i never grasp before doing AngularJs course from another source and find the technique in this course more easier to understand too. ,"{'way': ['ways'], 'cours': ['course'], 'anyon': ['anyone'], 'experi i grasp': ['experience i grasp'], 'angularj cours': ['AngularJs course'], 'sourc': ['source'], 'techniqu': ['technique']}"
4,Tough and fast paced. It requires a lot troubleshooting. This is one of those classes where it hurts so good.,{'class': ['classes']}
5,great class. assignment 4 is a killer. make sure you really learn things in first assignments instead of just copy and paste.,"{'class': ['class'], 'assign': ['assignments', 'assignment'], 'killer': ['killer'], 'thing': ['things'], 'copi': ['copy']}"
6,very good course,{'cours': ['course']}
7,really great course with awesome professor,"{'cours': ['course'], 'professor': ['professor']}"
8,Highly recommended course. Helped a lot to get deeper understanding and later translate the knowledge to knew projects. Some topics you might need to watch more than one time.,"{'cours': ['course'], 'lot': ['lot'], 'understand': ['understanding'], 'knowledg': ['knowledge'], 'project': ['projects'], 'topic': ['topics'], 'time': ['time']}"
9,"A tough course, requires consistent hard work!!!!","{'cours': ['course'], 'work': ['work']}"
10,Practical and interesting.,{'practic': ['Practical']}
11,Very general but complete guide to get started on integrating some patterns and practices to deliver responsive web apps with open source tools,"{'guid': ['guide'], 'pattern': ['patterns'], 'practic': ['practices'], 'web app': ['web apps'], 'sourc tool': ['source tools']}"
12,Great Course! ,{'cours': ['Course']}
13,Great course! I just had some little problems with some explanations but it was just once. Thank you very much Coursera and University of Hong Kong and proffesors ,"{'cours': ['course'], 'problem': ['problems'], 'explan': ['explanations'], 'coursera': ['Coursera'], 'univers': ['University'], 'hong kong': ['Hong Kong']}"
14,Excelente curso,{}
15,"Great course. It is great for learning Angular1. we can learned with angular term services, controller, model, templates, dependency injection, filter.. Great for angular basic and we develop project along course.","{'cours': ['course'], 'term servic': ['term services'], 'control': ['controller'], 'filter': ['filter']}"
16,"At first I didn't know the value of this course. Every one just criticized me by saying that this is a time waste and need to concentrate more on back-end. But, now a days everyone is moving towards angularJs and updating their frameworks using Angular. Now, people who blamed me, were coming to me and saying that I was lucky knowing about this. Now, I knew the value about this. Thanks for the course !","{'valu': ['value'], 'cours': ['course'], 'time': ['time'], 'wast': ['waste'], 'day': ['days'], 'everyon': ['everyone'], 'angularj': ['angularJs'], 'framework': ['frameworks'], 'peopl': ['people'], 'thank': ['Thanks']}"
17,Very Good,{}
18, Excellent instructor with a sense of humor. Nicely organized course. You'll learn - if you're willing to. Invest more time than suggested. -- Iftekhar Ahmad Chowdhury,"{'instructor': ['instructor'], 'sens': ['sense'], 'humor': ['humor'], 'cours': ['course'], 'time': ['time']}"
19,Great course!,{'cours': ['course']}
20,Great Learning,{'great learn': ['Great Learning']}
21, Excelente ,{}
22,"Thanks all for this greate course, I want to give special thank to our teacher Mr Jogesh K. Muppala.","{'thank': ['Thanks'], 'great cours': ['greate course'], 'jogesh k. muppala': ['Jogesh K. Muppala']}"
23,great class.,{'class': ['class']}
24,"This was very difficult course for me as for newbie But at the same time it broadened my horizons. AngularJS - very interesting course. I'm glad to become graduate. Special thanks to professor Jogesh K. Muppala for his intelligence, kindness and excellent sense of humour. Also thanks to all people, who made a major contribution to this course record videos, write subtitles, correct code, consulting as mentors. So I wish prosperity to this course and lots of success!","{'cours': ['course'], 'newbi': ['newbie'], 'time': ['time'], 'angularj': ['AngularJS'], 'graduat': ['graduate'], 'thank': ['thanks'], 'jogesh k. muppala': ['Jogesh K. Muppala'], 'intellig': ['intelligence'], 'kind': ['kindness'], 'sens': ['sense'], 'humour': ['humour'], 'peopl': ['people'], 'contribut': ['contribution'], 'record video': ['record videos'], 'subtitl': ['subtitles'], 'code': ['code'], 'mentor': ['mentors'], 'prosper': ['prosperity'], 'lot': ['lots'], 'success': ['success']}"
25,This course is well designed with very good coverage of technical details of various aspects of web development. The exercises and assignments are quite inspiring. I would strongly recommend this course to those want to learn wen development and don't have much experience yet. ,"{'cours': ['course'], 'coverag': ['coverage'], 'detail': ['details'], 'aspect': ['aspects'], 'web develop': ['web development'], 'exercis': ['exercises'], 'assign': ['assignments'], 'develop': ['development'], 'experi': ['experience']}"
26,little bit slow but very good. some extra tools added that make it slow and boring but it makes it very interesting if we understand its benefit ,"{'bit': ['bit'], 'tool': ['tools'], 'benefit': ['benefit']}"
27,Nicely designed course to learn AngularJS,"{'cours': ['course'], 'angularj': ['AngularJS']}"
28,"Covers all the essential topics. At the end of the course, one should have enough confidence to try and deploy pages on their own. The topics are well explained and the teacher keeps the listener engaged with his teaching style.","{'topic': ['topics'], 'end': ['end'], 'cours': ['course'], 'confid': ['confidence'], 'page': ['pages'], 'teacher': ['teacher'], 'listen': ['listener'], 'teach style': ['teaching style']}"
29,Course is very compact and informative,{'cours': ['Course']}
30,"Lots of random details that the professor seems to have missed make the course difficult because you end up spending hours debugging random, irrelevant things.","{'lot': ['Lots'], 'detail': ['details'], 'professor': ['professor'], 'cours': ['course'], 'spend hour': ['spending hours'], 'thing': ['things']}"
31,Very well explained from basics,{'basic': ['basics']}
32,"The practical approach of taking a problem and solving it throughout the course and in the process teach stuff is super awesome. You get introduced to a concept and immediately followed by implementing it in the product at hand and thereby improving the product. When you actually do the exercises you get a satisfaction of developing a product along the way, which is very nice.If I ever plan to teach, this is the approach I'll be taking.PS The sprinkle of humor is refreshing breaks from serious listening otherwise! Thanks for that too.","{'approach': ['approach'], 'problem': ['problem'], 'cours': ['course'], 'process': ['process'], 'stuff': ['stuff'], 'concept': ['concept'], 'product': ['product'], 'hand': ['hand'], 'exercis': ['exercises'], 'way': ['way'], 'humor': ['humor'], 'break': ['breaks'], 'thank': ['Thanks']}"
