,comment,target
0,very good for learners,{'learner': ['learners']}
1,I found that there were a lot of mathematical function in this course. I need to see the examples of how are those functions applied in the real programming which support the business.,"{'lot': ['lot'], 'function': ['function', 'functions'], 'cours': ['course'], 'program': ['programming'], 'busi': ['business']}"
2,"Very well mounted course.For the majority of the topics explained, focused on techniques, not jut on theory.Good suplemental lectures listed.","{'major': ['majority'], 'topic': ['topics'], 'techniqu': ['techniques']}"
3,More programming assignments would have helped understanding the topics covered in the course better.,"{'program assign': ['programming assignments'], 'topic': ['topics'], 'cours': ['course']}"
4,A very useful course! thanks prof.,"{'cours': ['course'], 'thank': ['thanks']}"
5,"It?? a geat course, and the teacher shared his knowlege","{'cours': ['course'], 'teacher': ['teacher'], 'knowleg': ['knowlege']}"
6,It's worth to learn!,{}
7,"Interessant, but it wasn't organized too well. Some questions referred to topics which came in the next lesson","{'question': ['questions'], 'topic': ['topics'], 'lesson': ['lesson']}"
8," Too much theories ,I hope the professor add more programming assignment.","{'theori': ['theories'], 'professor': ['professor'], 'program assign': ['programming assignment']}"
9,"Very good course, but could have something practical.","{'cours': ['course'], 'someth': ['something']}"
10,great introductory course for IR ,"{'cours': ['course'], 'ir': ['IR']}"
11,"The course was great. What I had a real problem with was the lack of response for problems with the Honors programming assignments. I never received any feedback from the TA's and when I submitted to MeTa support, they said the school design the programs so they can't help. I got a Segmentation Fault on Assignment one which I never did get resolved. Because of this, I was unable to get the Honors status. ","{'cours': ['course'], 'problem': ['problem', 'problems'], 'lack': ['lack'], 'respons': ['response'], 'honor program assign': ['Honors programming assignments'], 'meta support': ['MeTa support'], 'program': ['programs'], 'segment fault': ['Segmentation Fault'], 'assign': ['Assignment']}"
12, Great!,{}
13,excellent material and great explanations! The main problem here is that quizzes will sometimes cover subjects not introduced until the following week. ,"{'materi': ['material'], 'explan': ['explanations'], 'problem': ['problem'], 'quizz': ['quizzes'], 'subject': ['subjects'], 'week': ['week']}"
14,This course is really great but the programming assignments need to be updated. ,"{'cours': ['course'], 'program assign': ['programming assignments']}"
15,thanks,{'thank': ['thanks']}
16,Great course for those trying to understand how ro analyse and process text data. It has the right amount of tools to help you understand the basics of information retrieval and search engines.,"{'cours': ['course'], 'amount': ['amount'], 'tool': ['tools'], 'basic': ['basics'], 'inform retriev': ['information retrieval'], 'search engin': ['search engines']}"
17,Ok. It was a rerun and there wasn't much help in the Forum and there were too few exercises. But it was really interesting.,"{'rerun': ['rerun'], 'help': ['help'], 'forum': ['Forum'], 'exercis': ['exercises']}"
18,The explanation is detailed and clear. But the missing star is because I hoped the course would have programming assignments using popular language as python.,"{'explan': ['explanation'], 'star': ['star'], 'cours': ['course'], 'program assign': ['programming assignments'], 'languag': ['language'], 'python': ['python']}"
19,Good survey of techniques,"{'survey': ['survey'], 'techniqu': ['techniques']}"
20,A great overview of text retrieval methods. Good coverage of search engines. A longer course will cover search engine better remember this is a 6 weeker ,"{'overview': ['overview'], 'text retriev method': ['text retrieval methods'], 'coverag': ['coverage'], 'search engin': ['search engines', 'search engine'], 'cours': ['course']}"
21,"The videos could not be too longer than they actually are. If this change, could be done, the student or user could have more time to dig into the assignments problems and even read more textbooks related to the main topic.","{'video': ['videos'], 'student': ['student'], 'user': ['user'], 'time': ['time'], 'assign problem': ['assignments problems'], 'textbook': ['textbooks'], 'topic': ['topic']}"
22,"Excellent ! Well organized, presented with aptitude to detail. Definitely will recommend and take further units in this specialization. Thanks Prof","{'aptitud': ['aptitude'], 'detail': ['detail'], 'unit': ['units'], 'special': ['specialization']}"
23,Excellent Introduction to Text Retrieval and Search Engines technologies.,"{'introduct': ['Introduction'], 'retriev': ['Retrieval']}"
24,much help for deep understanding of TR,"{'understand': ['understanding'], 'tr': ['TR']}"
25,G,{}
26,like it.,{}
27,The course is interesting and you can learn a lot. The professor is very knowledgeable in the area of search engines. However the course goes very early into mathematical details without too much context. The programming assignments are great and I would focus more on them as they really show you how the engine works. ,"{'cours': ['course'], 'lot': ['lot'], 'professor': ['professor'], 'area': ['area'], 'search engin': ['search engines'], 'detail': ['details'], 'context': ['context'], 'program assign': ['programming assignments'], 'engin': ['engine']}"
28,thanks,{'thank': ['thanks']}
29,"This is not a class I would normally pursue. I took it as part of the Data Mining certification. That being said, this class was wonderful. I learned the basics of text retrieval and search engines. I went from knowing nothing, to having a working sense of how search engine algorithms work. It was a challenging course for me, but very much worth the time and effort I put into it. It was like pulling back the curtain on the code behind Google, Netflix, and Amazon searches, and that has made me think of the world in a different way. I am now a human happily collaborating with machine learning systems. Thank you!!","{'class': ['class'], 'basic': ['basics'], 'text retriev': ['text retrieval'], 'search engin': ['search engines'], 'sens': ['sense'], 'search engin algorithm': ['search engine algorithms'], 'cours': ['course'], 'time': ['time'], 'world': ['world'], 'way': ['way'], 'machin learn system': ['machine learning systems']}"
30,Very good course for someone who wants to understand how text retrieval works. ,"{'cours': ['course'], 'someon': ['someone'], 'text retriev': ['text retrieval']}"
31,This course is complemented with a software and text not mandatory and good explanation with diagrams... ,"{'cours': ['course'], 'softwar': ['software'], 'text explan': ['text explanation'], 'diagram': ['diagrams']}"
32,"Very theoretical and somewhat dry. If you are interested in applied machine learning techniques for text retrieval and analysis this is not really the course to take. Gives a solid background though which, in my opinion, every aspiring data analyst needs.","{'machin': ['machine'], 'techniqu': ['techniques'], 'text retriev': ['text retrieval'], 'analysi': ['analysis'], 'cours': ['course'], 'background': ['background'], 'opinion': ['opinion'], 'data analyst': ['data analyst']}"
33,Great insights in this course... I learned so much!!,"{'insight': ['insights'], 'cours': ['course']}"
34,"The material is compelling and the lecturer is engaging, but the course is not well prepared. The assessments are not relevant to the material covered and there are no collateral materials e.g., downloadable slides handouts available to assist in learning.","{'materi': ['material'], 'lectur': ['lecturer'], 'cours': ['course'], 'assess': ['assessments'], 'collater materi': ['collateral materials'], 'slide handout': ['slides handouts']}"
35,It is an excellent trending topic!,{'topic': ['topic']}
36,very good for learners,{'learner': ['learners']}
37,I found that there were a lot of mathematical function in this course. I need to see the examples of how are those functions applied in the real programming which support the business.,"{'lot': ['lot'], 'function': ['function', 'functions'], 'cours': ['course'], 'program': ['programming'], 'busi': ['business']}"
38,More programming assignments would have helped understanding the topics covered in the course better.,"{'program assign': ['programming assignments'], 'topic': ['topics'], 'cours': ['course']}"
39,A very useful course! thanks prof.,"{'cours': ['course'], 'thank': ['thanks']}"
40,"It?? a geat course, and the teacher shared his knowlege","{'cours': ['course'], 'teacher': ['teacher'], 'knowleg': ['knowlege']}"
41,It's worth to learn!,{}
42," Too much theories ,I hope the professor add more programming assignment.","{'theori': ['theories'], 'professor': ['professor'], 'program assign': ['programming assignment']}"
43,"Very good course, but could have something practical.","{'cours': ['course'], 'someth': ['something']}"
44,"The course was great. What I had a real problem with was the lack of response for problems with the Honors programming assignments. I never received any feedback from the TA's and when I submitted to MeTa support, they said the school design the programs so they can't help. I got a Segmentation Fault on Assignment one which I never did get resolved. Because of this, I was unable to get the Honors status. ","{'cours': ['course'], 'problem': ['problem', 'problems'], 'lack': ['lack'], 'respons': ['response'], 'honor program assign': ['Honors programming assignments'], 'meta support': ['MeTa support'], 'program': ['programs'], 'segment fault': ['Segmentation Fault'], 'assign': ['Assignment']}"
45, Great!,{}
