,comment,target
0,I recommend this course for every beginner in data science.,"{'cours': ['course'], 'beginn': ['beginner'], 'data scienc': ['data science']}"
1,Great course !!!,{'cours': ['course']}
2,Very nice course with introduction to Data analysis!,"{'cours': ['course'], 'introduct': ['introduction'], 'data analysi': ['Data analysis']}"
3,"I am disappointed because the course doesn't provide profound material on data analysis with python. The videos are too short and the samples demonstrated in the videos aren't thoroughly explained. For instance, the speaker often only says what she is doing but not WHY she is doing it or what the function of a particular parameter is. I felt left alone and forced to google. In my opinion it cannot be the purpose to make your student google basic things that could easily be integrated into the course.Considering that this is labelled as a beginner course I was expecting much more theoretical input. Other courses offer additional slides and scripts that are aligend with the course videos and allow the students to look things up.","{'cours': ['course', 'courses'], 'materi': ['material'], 'data analysi': ['data analysis'], 'python': ['python'], 'video': ['videos'], 'sampl': ['samples'], 'function': ['function'], 'paramet': ['parameter'], 'googl': ['google'], 'opinion': ['opinion'], 'purpos': ['purpose'], 'student googl thing': ['student google things'], 'course.consid': ['course.Considering'], 'beginn cours': ['beginner course'], 'input': ['input'], 'slide': ['slides'], 'script': ['scripts'], 'cours video': ['course videos'], 'student': ['students'], 'thing': ['things']}"
4,Excellent course. I do recommend this course for anyone who is interested in analytics. ,"{'cours': ['course'], 'anyon': ['anyone'], 'analyt': ['analytics']}"
5,"I would prefer more coding example provided by the professor, I will be super useful.","{'exampl': ['example'], 'professor': ['professor']}"
6,The course was informative and stretched me a bit. ,"{'cours': ['course'], 'bit': ['bit']}"
7,The course is really helpful for beginners and is explained in a very simple manner.,"{'cours': ['course'], 'beginn': ['beginners'], 'manner': ['manner']}"
8,"The instructions for submitting through Tumblr are not specific enough, especially after Week 1. ","{'instruct': ['instructions'], 'week': ['Week']}"
9,Terrible. A waste of time and money. I recommend doing Statistics with R from Duke instead. This one should be taken off coursera.,"{'wast': ['waste'], 'time': ['time'], 'money': ['money'], 'statist': ['Statistics'], 'r': ['R'], 'coursera': ['coursera']}"
