,comment,target
0,"This course provides a great foundation to build upon, but it is not very engaging. The instructor is simply reading off the screen and it looks like all the lectures were recorded over one day. He struggles to read the material towards the end of the course, while often mispronouncing the words and neglecting the concept of punctuation. I would recommend reading the reference book used in this course, Cybersecurity and Cyberwar What Everyone Needs to Know, because listening to the lectures is painful!","{'cours': ['course'], 'foundat': ['foundation'], 'instructor': ['instructor'], 'screen': ['screen'], 'materi': ['material'], 'end': ['end'], 'word': ['words'], 'concept': ['concept'], 'cybersecur': ['Cybersecurity'], 'cyberwar': ['Cyberwar']}"
1,"It's a great course, I've learned a lot. ","{'cours': ['course'], 'lot': ['lot']}"
2,This course is informative and deals with the subject on a basic level so that we can use these lessons to understand and study further.,"{'cours': ['course'], 'deal': ['deals'], 'subject': ['subject'], 'level': ['level'], 'lesson': ['lessons']}"
3,"Hello, I found difficult to understand the speakers and it was too massive.",{'speaker': ['speakers']}
4,"A very interesting and comprehensive basic course on cyber warfare and cyber conflict and how they are will impact our lives in the future. The course provides a good view of cyber threats related to the political, economic, diplomatic realms of nowadays international relations.","{'cours': ['course'], 'cyber warfar': ['cyber warfare'], 'cyber conflict': ['cyber conflict'], 'live': ['lives'], 'futur': ['future'], 'view': ['view'], 'cyber threat': ['cyber threats'], 'realm': ['realms'], 'relat': ['relations']}"
5,"Much of the literature was unavailable which I think is a downside. Also, while interesting, the topics were covered only superficially and I felt that that questions during the videos and at the end of the module were very easy and did not challenge the participant to think or research.","{'literatur': ['literature'], 'topic': ['topics'], 'question': ['questions'], 'video': ['videos'], 'end': ['end'], 'particip': ['participant']}"
6,Fantastic course.,{'cours': ['course']}
7,"good insight on fundamentals on cyber conflicts, for b","{'insight': ['insight'], 'fundament': ['fundamentals'], 'cyber conflict': ['cyber conflicts'], 'b': ['b']}"
8,nice course. however would have liked more specific examples of cyber conflicts along with how they were resolved to each country's satisfaction if there are any such examples to look at Thank you to you all for putting this course together.,"{'cours': ['course'], 'exampl': ['examples'], 'cyber conflict': ['cyber conflicts'], 'countri': ['country']}"
9,"It's Ok, nothing much to gain iin terms of knowledge realted to cyber conflict.","{'ok': ['Ok'], 'noth': ['nothing'], 'iin term': ['iin terms'], 'knowledg': ['knowledge'], 'conflict': ['conflict']}"
10,The course was alright,{'cours': ['course']}
11,"I like the comparisons between past physical wars and current cyberwar. However, the course take the long way to explain very basic elements of nations interactions and trust.","{'comparison': ['comparisons'], 'war': ['wars'], 'cyberwar': ['cyberwar'], 'cours': ['course'], 'way': ['way'], 'element': ['elements'], 'nation interact': ['nations interactions'], 'trust': ['trust']}"
