,comment,target
0,Very good course. ,{'cours': ['course']}
1,"It was very interesting to go learn what I already know through this course. I liked the way it is organized. I got a bit casual with the quizzes but was very serious with the programming assignments. Otherwise I should have secured 100%. But marks or grades aside, it was lovely being busy for the past 4 weeks. I look forward to completing the 2nd course in this Specialization pack.All the instructors were very good. Thank you all so much.","{'cours': ['course'], 'way': ['way'], 'bit': ['bit'], 'quizz': ['quizzes'], 'program assign': ['programming assignments'], '%': ['%'], 'mark': ['marks'], 'grade': ['grades'], 'week': ['weeks'], 'special pack.al': ['Specialization pack.All'], 'instructor': ['instructors']}"
2,"this is a nice course for beginners, although it does not completed all basic functionality.","{'cours': ['course'], 'beginn': ['beginners'], 'function': ['functionality']}"
3,"Nice course, but so more unused code in examples","{'cours': ['course'], 'code': ['code'], 'exampl': ['examples']}"
4,this course is for very beginner in java or in coding so recommended this course to only those who are beginner otherwise it is good if you loose your hands on programming then to cleanup your hands it's very helpful ,"{'cours': ['course'], 'beginn': ['beginner'], 'java': ['java'], 'hand': ['hands'], 'program': ['programming']}"
5,"Excellent pace to review Java. I have dabbled in Java for over a decade, but this course gave me a formal footing esp regarding the strengths of inheritance vs. polymorphism.","{'pace': ['pace'], 'java': ['Java'], 'decad': ['decade'], 'cours': ['course'], 'foot esp': ['footing esp'], 'strength': ['strengths'], 'inherit': ['inheritance'], 'polymorph': ['polymorphism']}"
6,nice overview for java,"{'overview': ['overview'], 'java': ['java']}"
7,It provides me with exercises to practice but some of the videos explain things awfully or just not at all. Others are good. The discussion boards are helpful. I just wish they didn't talk as much about what something is as opposed to how it works. Many videos often don't show any code or very little which makes understand syntax difficult. ,"{'exercis': ['exercises'], 'video': ['videos'], 'thing': ['things'], 'other': ['Others'], 'discuss board': ['discussion boards'], 'someth': ['something'], 'code': ['code']}"
8,Great Course,{'great cours': ['Great Course']}
9,if you're a somewhat experienced programmer looking to start and hand on learn how to build apps this course is not for you. ,"{'programm': ['programmer'], 'cours': ['course']}"
10,Assignments are too good.,{'assign': ['Assignments']}
11,Very Nice and easy for a beginner.,{'beginn': ['beginner']}
12,"It was quite educating and challenging, it made me explore other coding options and see the importance of commenting my work.","{'option': ['options'], 'import': ['importance'], 'work': ['work']}"
13,Thank you!! ,{}
14,Subtitle files helped me to understand the lessonsand the explanation was well detailed ,{'lessonsand': ['lessonsand']}
15,"Good course but I think it is better for peaple with some programming background and be prepered for third week, it is lot to do.","{'cours': ['course'], 'peapl': ['peaple'], 'program background': ['programming background'], 'week': ['week'], 'lot': ['lot']}"
16,"a good course for a very beginner to learn android programing.it covers many useful aspects about java.and this course has demonstrated most of the idea of coding,so you won't get confused by its concept. ","{'cours': ['course'], 'beginn': ['beginner'], 'aspect': ['aspects'], 'java.and': ['java.and'], 'idea': ['idea'], 'concept': ['concept']}"
17,"Excellent course, it helped me reinforce my Java knowledge and learn the basis of Android development through many specialized tasks which I completed easily thanks to the hight quality professors and very detailed lessons.","{'cours': ['course'], 'java knowledg': ['Java knowledge'], 'basi': ['basis'], 'develop': ['development'], 'task': ['tasks'], 'thank': ['thanks'], 'qualiti professor': ['quality professors'], 'lesson': ['lessons']}"
18,A great course which covers a lot of practical java!,"{'cours': ['course'], 'lot': ['lot'], 'java': ['java']}"
19,It is an excellent course for learning Java.,"{'cours': ['course'], 'java': ['Java']}"
20,Great course!,{'cours': ['course']}
21,"This is basic course of Java applied not only for Android development. At the beginning of this course you don't need to know anything about java, but step by step you will find out basics and going to know OOP fundamentals. In my opinion third week is the hardest one, but everything is possible to do. Great course.","{'cours': ['course'], 'java': ['java', 'Java'], 'develop': ['development'], 'begin': ['beginning'], 'basic': ['basics'], 'oop fundament': ['OOP fundamentals'], 'opinion': ['opinion'], 'week': ['week'], 'everyth': ['everything']}"
22,"Very complete course to learn OOP programing, JAVA and basics on Android Studio IDE.","{'cours': ['course'], 'oop program': ['OOP programing'], 'java': ['JAVA'], 'basic': ['basics'], 'android studio ide': ['Android Studio IDE']}"
23,Very helpful!,{}
24,Excellent,{}
25,good lesson,{'lesson': ['lesson']}
26,Excellent course. The video lessons were really informative. The assignments given every week were fun to do and also tested your skills. ,"{'cours': ['course'], 'video lesson': ['video lessons'], 'assign': ['assignments'], 'week': ['week'], 'fun': ['fun'], 'skill': ['skills']}"
27,Anexceptionally well designed course. Instructors are very helpfull too.,"{'cours': ['course'], 'instructor': ['Instructors']}"
28,superb!!!,{'!!': ['!!']}
29,really very useful. i love this course,"{'love': ['love'], 'cours': ['course']}"
30,Simply amazing,{}
31,amazing experience.I love this course and I am absolutely satisfied with my choice.,"{'experience.i love': ['experience.I love'], 'cours': ['course'], 'choic': ['choice']}"
32,Pretty much code assignments help to understanding the concepts. Quite good for beginners.,"{'pretti': ['Pretty'], 'assign': ['assignments'], 'concept': ['concepts'], 'beginn': ['beginners']}"
