,comment,target
0,loved it - fascinating subject and more detail than you could possibly want from the course instructors. Friendly community in the forum too.,"{'detail': ['detail'], 'cours instructor': ['course instructors'], 'communiti': ['community'], 'forum': ['forum']}"
1,"By far the laziest course set up in the track. It's an interesting topic, but without independent study I would have learned almost nothing due to the lack of any practicals in this Practical Machine Learning. A really disappointing course that fails to be worth more than just a couple hours of youtube.","{'cours': ['course'], 'track': ['track'], 'topic': ['topic'], 'studi': ['study'], 'noth': ['nothing'], 'lack': ['lack'], 'practic': ['practicals'], 'practic machin learn': ['Practical Machine Learning'], 'hour': ['hours']}"
2,Some of the content are not designed in a way easy to digest especially for a novice people doesn't have a lot of background like me. I have to use google and read out of the lecture excessively to understand some of the points that were jumped or not mentioned in the lecture. Maybe they are self-evident to people in the domain of machine learning but they were hard for me. I wish the lecture could have explained them in more detail in a plainer way. ,"{'content': ['content'], 'way': ['way'], 'novic peopl': ['novice people'], 'lot': ['lot'], 'background': ['background'], 'googl': ['google'], 'lectur': ['lecture'], 'point': ['points'], 'peopl': ['people'], 'machin learn': ['machine learning'], 'detail': ['detail']}"
3,Fantastic Class!,{'class': ['Class']}
4,I enjoyed detailed information and was very straight forward to understand.,{'inform': ['information']}
5,Great Course!,{'cours': ['Course']}
6,Very fine course in machine learning where the focus is more on the use of ML rather on the theory behind it i.e. the course title fits its contents.,"{'cours': ['course'], 'machin learn': ['machine learning'], 'focus': ['focus'], 'use': ['use'], 'ml': ['ML'], 'theori': ['theory'], 'cours titl': ['course title'], 'content': ['contents']}"
7,"This course really demystified machine learning, and provided practical steps and guidance on how to create predictive models. While I do wish there were more resources on how to tune models and investigate specific model parameters, I understand that there just wasn't enough time. I couldn't imagine a better course for a solid foundation in this skill.","{'cours': ['course'], 'machin learn': ['machine learning'], 'step': ['steps'], 'guidanc': ['guidance'], 'model': ['models'], 'resourc': ['resources'], 'model paramet': ['model parameters'], 'time': ['time'], 'foundat': ['foundation'], 'skill': ['skill']}"
8,Good,{}
9,Good in introducing caret package and getting some experience in running algorithms. Was expecting more in-depth discussion about the methods though.,"{'caret packag': ['caret package'], 'experi': ['experience'], 'algorithm': ['algorithms'], 'discuss': ['discussion'], 'method': ['methods']}"
10,Interesting the final assignment. ,{'assign': ['assignment']}
11,"I learned so much in such a short period of time. Challenging, very hands on, great theoretical foundations! ","{'period': ['period'], 'time': ['time'], 'hand': ['hands'], 'foundat': ['foundations']}"
