,comment,target
0,Awesome!,{}
1,It gave me more confident about Front-End. Highly Recommend,{'front-end': ['Front-End']}
2,"The course explains HTML, CSS, and Javascript for complete beginners, although even more advanced users can still benefit from the course. The course material is very easy to follow, consists of both theory and hands-on examples. The instructor delivers awesome lectures, very easy to follow and understandable! Definitely recommend it for anyone who either wants to learn these skills or those who might already know them but want to refresh their memory like myself ","{'cours': ['course'], 'html': ['HTML'], 'css': ['CSS'], 'javascript': ['Javascript'], 'beginn': ['beginners'], 'user': ['users'], 'cours materi': ['course material'], 'theori': ['theory'], 'exampl': ['examples'], 'instructor': ['instructor'], 'anyon': ['anyone'], 'skill': ['skills'], 'memori': ['memory']}"
3," It is so much clear to understand the lessons,even your english is not good. Thank to all people who gives us their precious time to teach. ","{'lesson': ['lessons'], 'english': ['english'], 'peopl': ['people'], 'time': ['time']}"
4,"Well structured course, helped me build my skills.","{'cours': ['course'], 'skill': ['skills']}"
5,"Excellent course my friends, teaches the basics of what you need to know to use HTML,CSS,Javascript and then it expands on it just enough so you know whats coming, its a beautifully well crafted course and the starter of a complete program made by Coursera to learn how to be a web developer, i personally recommend this course in its entirety.","{'cours': ['course'], 'friend': ['friends'], 'basic': ['basics'], 'html': ['HTML'], 'css': ['CSS'], 'javascript': ['Javascript'], 'what': ['whats'], 'program': ['program'], 'coursera': ['Coursera'], 'web develop': ['web developer'], 'entireti': ['entirety']}"
6,Good course!,{'cours': ['course']}
7,"Nice course to refresh the basic's, you will defiantly learn something new ","{'cours': ['course'], 'basic': ['basic'], 'someth': ['something']}"
8,"Very, very good course! Many useful things were explained thoroughly!!! Thank you David Rossiter! Good luck with what you do!","{'cours': ['course'], 'thing': ['things'], 'david rossit': ['David Rossiter'], 'luck': ['luck']}"
9,The professor made it in an easy and clever way!,"{'professor': ['professor'], 'way': ['way']}"
10,"What I found interesting in this course was the fact that assignments were hands-on, thus I go to actually put the things I learned into practical use, not just watch and pretend to understand.","{'cours': ['course'], 'fact': ['fact'], 'assign': ['assignments'], 'thing': ['things'], 'use': ['use']}"
11,It was very helpful to me to know the basic concept of web designing... thank you for so.....,"{'concept': ['concept'], 'web': ['web']}"
12,well done!,{}
13,"Good introduction to web development, however I would update js part. Maybe use es6 esnext and use standard code conventions like camel case names etc so that students don't learn bad habits.","{'introduct': ['introduction'], 'web develop': ['web development'], 'js part': ['js part'], 'es6 esnext': ['es6 esnext'], 'code convent': ['code conventions'], 'camel case name': ['camel case names'], 'student': ['students'], 'habit': ['habits']}"
14,"Good basic introduction to HTML, CSS &amp; JS. You can grasp a basics and evolve your knowledge using other resources and later courses in the full stack program. ","{'introduct': ['introduction'], 'html': ['HTML'], 'css': ['CSS'], 'js': ['JS'], 'basic': ['basics'], 'knowledg': ['knowledge'], 'resourc': ['resources'], 'cours': ['courses'], 'stack program': ['stack program']}"
15,"Great course. Short, clear lesson that inform the exercises and practice questions. Learned a lot despite already knowing a fair amount about HTML and CSS. Enjoyed the projects!","{'cours': ['course'], 'short': ['Short'], 'lesson': ['lesson'], 'exercis': ['exercises'], 'practic question': ['practice questions'], 'lot': ['lot'], 'amount': ['amount'], 'html': ['HTML'], 'css': ['CSS'], 'project': ['projects']}"
16,"Love the professor, love the course, splendid job guys!","{'love professor': ['Love professor'], 'cours': ['course'], 'job guy': ['job guys']}"
17,excellent course. A best place for beginners!,"{'cours': ['course'], 'place': ['place'], 'beginn': ['beginners']}"
18,"The instructor David is really, really a very great teacher! It is definitely worth taking, while I didn't purchased it, but it is worth it. He made every concept as clear as it was possible.","{'instructor david': ['instructor David'], 'teacher': ['teacher'], 'concept': ['concept']}"
19,teach from basics to advance,"{'basic': ['basics'], 'advanc': ['advance']}"
20,Fantastic course!,{'cours': ['course']}
21,"nice teacher ,nice course","{'teacher': ['teacher'], 'cours': ['course']}"
22,"Clear, and easy to understand. Very compact and focused course. Thank You ",{'cours': ['course']}
23,Nice and evolved course.,{'cours': ['course']}
24,Enjoyed this course immensely. Clear instructions provided via the videos by the Professor. All projects are realistic and attainable. Thank you. ,"{'cours': ['course'], 'instruct': ['instructions'], 'video': ['videos'], 'professor': ['Professor'], 'project': ['projects']}"
25,It was a very good kick start... ,{'kick start': ['kick start']}
26,Awesome course!,{'cours': ['course']}
27,"A very useful course, strongly recommended!",{'cours': ['course']}
28,Very good course to get introduced to front-end web development.,"{'cours': ['course'], 'web develop': ['web development']}"
29,"Good course, gives quite a good understanding of the basics. But you must go on with the teacher, It is on yo to complete the course!!","{'cours': ['course'], 'understand': ['understanding'], 'basic': ['basics'], 'teacher': ['teacher']}"
30,very informative and fun course ,"{'fun': ['fun'], 'cours': ['course']}"
31,Best course i have ever seen...Thank you coursera Now I can say myself a FrontEndDeveloper,"{'cours': ['course'], 'coursera': ['coursera']}"
32,It really very good introductory course ,{'cours': ['course']}
33,Good Course for learning Html Css and javascript,"{'cours': ['Course'], 'html css': ['Html Css'], 'javascript': ['javascript']}"
34,"Excellent Course, easy to understand and follow.",{'cours': ['Course']}
35,Great course!,{'cours': ['course']}
36,"It's very basic, but definitely worth to cath up some details and basics","{'detail': ['details'], 'basic': ['basics']}"
