,comment,target
0,I like it. So far so good,{}
1,Nice Course for Java Beginners ,"{'cours': ['Course'], 'java beginn': ['Java Beginners']}"
2,"Perfect course for intermediate programming in Java. Great teaching method, detailed explanations, and excellent professors.","{'perfect cours': ['Perfect course'], 'program': ['programming'], 'java': ['Java'], 'teach method': ['teaching method'], 'explan': ['explanations'], 'professor': ['professors']}"
3,"Great Course Indeed. Using Maps and Applets through code was my first time experience, and it was great.A must course for Java Programmer.","{'cours': ['Course', 'course'], 'map': ['Maps'], 'applet': ['Applets'], 'code': ['code'], 'time experi': ['time experience'], 'great.a': ['great.A'], 'java programm': ['Java Programmer']}"
4,"Fantastic course that does exactly what the tutors say. You feel challenged all the way without ever feeling overwhelmed, and the projects are so much fun to do. I just finished my degree in Computer Engineering and this course filled so many gaps in what I already knew. Congratulations to the MOOC team and UC San Diego for creating this amazing course and specialization. You guys rock!","{'cours': ['course'], 'tutor': ['tutors'], 'way': ['way'], 'project': ['projects'], 'fun': ['fun'], 'degre': ['degree'], 'comput engin': ['Computer Engineering'], 'gap': ['gaps'], 'congratul': ['Congratulations'], 'mooc team': ['MOOC team'], 'uc san diego': ['UC San Diego'], 'special': ['specialization']}"
5,"Great course! It seems a little bit easy at the beginning, but soon it becomes hard enough. ","{'cours': ['course'], 'bit': ['bit'], 'begin': ['beginning']}"
6,One of the best course I have done on coursera. Everything is awesome about the course final project helped to extensively test my skill. This course is for learner with basic knowledge in java.,"{'cours': ['course'], 'coursera': ['coursera'], 'everyth': ['Everything'], 'project': ['project'], 'skill': ['skill'], 'learner': ['learner'], 'knowledg': ['knowledge'], 'java': ['java']}"
7,"Some of the concepts after week 2 were very tough for new begineer's in JAVA language. Moreover concepts of ArrayList, Generics, HashMap, Abstract Data Types should have been discussed in short videos before the module in which it is to be implemented to such a great extent.Overall a great course for someone looking to gain confidence on working large projects. Support videos were great though","{'concept': ['concepts'], 'week': ['week'], 'begin': ['begineer'], 'java languag': ['JAVA language'], 'video': ['videos'], 'modul': ['module'], 'extent.overal': ['extent.Overall'], 'cours': ['course'], 'someon': ['someone'], 'confid': ['confidence'], 'project': ['projects'], 'support video': ['Support videos']}"
8,Great course with the right levels of difficulty. Certainly a must be for beginner Java developers,"{'cours': ['course'], 'level': ['levels'], 'difficulti': ['difficulty'], 'beginn java develop': ['beginner Java developers']}"
9,Very interesting tasks with map.,"{'task': ['tasks'], 'map': ['map']}"
10,"This course is great to dive into real development. However, GUI Development in Java is not the most popular directions nowadays.","{'cours': ['course'], 'dive': ['dive'], 'develop': ['development'], 'gui develop': ['GUI Development'], 'java': ['Java'], 'direct': ['directions']}"
11,"Came from the predecessor specialization by Duke, which was really great. So I had high expectations for this course.But this course introduces not much new only some library using , no new programming concepts. I also didn't like the programming assignments one big project They were not challenging at all much too easy , and also not really interesting repetition and expansion of an assignment at Dukes You are also not writing that much code, because you get too much from them, where you just have to add a little here and there. Liked, that they divided the videos into different stages core, concept challenge, when I struggled , so you only have to watch the videos, that you find necessary.I hope the next course will be more interesting and challenging.","{'came': ['Came'], 'predecessor special': ['predecessor specialization'], 'duke': ['Duke', 'Dukes'], 'expect': ['expectations'], 'course.but': ['course.But'], 'cours': ['course'], 'librari': ['library'], 'program concept': ['programming concepts'], 'program assign': ['programming assignments'], 'project': ['project'], 'repetit': ['repetition'], 'expans': ['expansion'], 'assign': ['assignment'], 'code': ['code'], 'video': ['videos'], 'stage core': ['stages core'], 'concept challeng': ['concept challenge'], 'necessary.i': ['necessary.I']}"
12,"Very well guided course. Enjoyed the programming modules. The right difficulty and guidance to achieve the programming assignments without having to have interactive help from tutors. I feel like the lectures also gave me a good holistic view that is often missing from online courses. Thank you, I will recommend this course.","{'cours': ['courses', 'course'], 'program modul': ['programming modules'], 'difficulti': ['difficulty'], 'guidanc': ['guidance'], 'program assign': ['programming assignments'], 'help': ['help'], 'tutor': ['tutors'], 'view': ['view']}"
13,Solid intermediate course,{'cours': ['course']}
14,Very good course and extremely well designed lectures,{'cours': ['course']}
15,great! i love this course,"{'love': ['love'], 'cours': ['course']}"
16,Good material and good videos.,"{'materi': ['material'], 'video': ['videos']}"
17,"Being a self-taught programmer, this really filled in a lot of gaps for me. Thanks!","{'programm': ['programmer'], 'lot': ['lot'], 'gap': ['gaps'], 'thank': ['Thanks']}"
18,Very easy to follow and learn.; especially lecturer Mrs. Mia's videos are very good and lively.,"{'lectur mrs. mia': ['lecturer Mrs. Mia'], 'video': ['videos']}"
19,Excellent lectures. Assignments were fun but sometimes the instructions could have been a little clearer.I learned a lot so I would recommend it to others.,"{'assign': ['Assignments'], 'fun': ['fun'], 'instruct': ['instructions'], 'clearer.i': ['clearer.I'], 'lot': ['lot'], 'other': ['others']}"
20,It's an awesome course. Course instructors are great at teaching. MOOC students can enjoy extremely while doing the projects.,"{'cours': ['course'], 'cours instructor': ['Course instructors'], 'teach': ['teaching'], 'mooc student': ['MOOC students'], 'project': ['projects']}"
21,Good course but grade can be subjective.,"{'cours': ['course'], 'grade': ['grade']}"
22,Very good courses!!,{'cours': ['courses']}
