,comment,target
0,Fantastic course! I would recommend to anyone interested in learning the graph data structure in a fun and hands-on and engaging way! Definitely one of the best courses I have followed on Coursera.,"{'cours': ['courses', 'course'], 'anyon': ['anyone'], 'graph data structur': ['graph data structure'], 'fun': ['fun'], 'way': ['way']}"
1,"Although it is a little bit hard for beginner, it's really useful !! I am so happy that I have learned a lot about graph since there are many difficulties in this course.","{'bit': ['bit'], 'beginn': ['beginner'], 'lot': ['lot'], 'graph': ['graph'], 'difficulti': ['difficulties'], 'cours': ['course']}"
2,Pretty challenging but very interesting with a lot of useful assignments. Certainly good for those who aren't familiar with a data structure called graphs.,"{'pretti': ['Pretty'], 'lot': ['lot'], 'assign': ['assignments'], 'data structur': ['data structure'], 'graph': ['graphs']}"
3,One of the coolest courses I took on Coursera!,{'cours': ['courses']}
4,"Excellent course, appreciated the peer review aspect.","{'cours': ['course'], 'peer review aspect': ['peer review aspect']}"
5,Very well structured course.,{'cours': ['course']}
6,Excellent job! Learning various search algorithms with diverse applications in real life.,"{'job': ['job'], 'learn search algorithm': ['Learning search algorithms'], 'applic': ['applications'], 'life': ['life']}"
7,A great and 'must-do' course for all beginners.,"{'must-do cours': ['must-do course'], 'beginn': ['beginners']}"
8,Great ,{}
9,Good introduction to Data Structures with Java examples,"{'introduct': ['introduction'], 'data structur': ['Data Structures'], 'java exampl': ['Java examples']}"
10,"I thought the course was an outstanding treatment of data structures and algorithms. The instructors advance to more complex structures and algorithms as the student progresses. I never felt overwhelmed at any stage, and by the end of the course, I was impressed with how much new material we had covered.","{'cours': ['course'], 'treatment': ['treatment'], 'data structur': ['data structures'], 'algorithm': ['algorithms'], 'instructor': ['instructors'], 'advanc': ['advance'], 'structur': ['structures'], 'student': ['student'], 'stage': ['stage'], 'materi': ['material']}"
11,Very good course. I wish we could have done more algorithms with the map. Such a great way to teach algorithms. ,"{'cours': ['course'], 'algorithm': ['algorithms'], 'map': ['map'], 'way': ['way']}"
12,Great learning!,{'learn': ['learning']}
13,"It was really great course ,well designed and challenging ",{'cours': ['course']}
14,Course teams really spend a lot of time for providing a great studying experience and procedure.,"{'cours team': ['Course teams'], 'lot': ['lot'], 'time': ['time'], 'experi': ['experience'], 'procedur': ['procedure']}"
15,"UCSD always bring there A game, with fun projects and extensions to real world problems. I have completed all three courses.This course was especially informative as it dipped into the graph theory and the optimization problems we face. The course itself is fun and informative and may seem tough at times but is really rewarding once complete. Thanks guys and girls.","{'ucsd': ['UCSD'], 'game': ['game'], 'fun project': ['fun projects'], 'extens': ['extensions'], 'world problem': ['world problems'], 'courses.thi cours': ['courses.This course'], 'graph theori': ['graph theory'], 'optim problem': ['optimization problems'], 'cours': ['course'], 'fun': ['fun'], 'time': ['times']}"
16,"Great faculty, great course, great practical project!","{'faculti': ['faculty'], 'cours': ['course'], 'project': ['project']}"
17,Really helpful the course was.,{'cours': ['course']}
18,nice course. very well organised and presented. good refresher of ADS in Java,"{'cours': ['course'], 'refresh': ['refresher'], 'ad': ['ADS'], 'java': ['Java']}"
19,"The projects are fun, but the course is too short and abbreviated.","{'project': ['projects'], 'fun': ['fun'], 'cours': ['course']}"
20,Greate course! It was really fun and really difficult for me.,"{'great cours': ['Greate course'], 'fun': ['fun']}"
21,So So.Not good to learn an algorithm,{'algorithm': ['algorithm']}
22,Really fun,{'fun': ['fun']}
