,comment,target
0,wonderful PA!,{'pa': ['PA']}
1,Excellent course ,{'cours': ['course']}
2,This course is really useful for people who want to learn basic knowledge about data structure and performance.,"{'cours': ['course'], 'peopl': ['people'], 'knowledg': ['knowledge'], 'data structur': ['data structure'], 'perform': ['performance']}"
3,"A lot of very useful information. A perfect course for people familiar with the basics of java, and certainly a good continuation of the first course in the specialisation.","{'lot': ['lot'], 'inform': ['information'], 'cours': ['course'], 'peopl': ['people'], 'basic': ['basics'], 'java': ['java'], 'continu': ['continuation'], 'specialis': ['specialisation']}"
4,"Very good, graded practical way to learn the fundamentals of data structures. Another great value course from UCSD.","{'way': ['way'], 'fundament': ['fundamentals'], 'data structur': ['data structures'], 'valu cours': ['value course'], 'ucsd': ['UCSD']}"
5,Outstanding course...,{'cours': ['course']}
6,"Although I learned Java before, I never used it after second year of university. It has been 2 years and this series are good refreshing courses","{'java': ['Java'], 'year': ['years', 'year'], 'univers': ['university'], 'seri': ['series'], 'cours': ['courses']}"
7,Loved it,{}
8,great!,{}
9,This course is professional in many aspects. For me it was also inspiring.,"{'cours': ['course'], 'aspect': ['aspects']}"
10,Great course. Very clear explanations for java data structures and interesting projects. Thanks UCSD.,"{'cours': ['course'], 'explan': ['explanations'], 'java data structur': ['java data structures'], 'project': ['projects'], 'thank ucsd': ['Thanks UCSD']}"
11,"Excellent course! I truly recommend this course. Christine Alvarado, Mia Minnes and Leo Porter have created a great course on performance and data structures. You get to learn about regular expressions, Big-O notation and searching data structures such as trees and tries. I especially enjoyed the programming assignments that Christine, Mia and Leo had prepared for us, fascinating real life examples.","{'cours': ['course'], 'christin alvarado': ['Christine Alvarado'], 'mia minn': ['Mia Minnes'], 'leo porter': ['Leo Porter'], 'perform': ['performance'], 'data structur': ['data structures'], 'express': ['expressions'], 'big-o notat': ['Big-O notation'], 'tree': ['trees'], 'program assign': ['programming assignments'], 'christin': ['Christine'], 'mia': ['Mia'], 'life exampl': ['life examples']}"
12,This is one of the most comprehensive and engaging computer science courses I ever took. The content is well explained and very useful. The idea of working on a real-world project and finishing it is what made this course really great. You will have more to show off than a grade after you finish this course!,"{'comput scienc cours': ['computer science courses'], 'content': ['content'], 'idea': ['idea'], 'project': ['project'], 'cours': ['course']}"
13,Well-structured course with great content. ,"{'cours': ['course'], 'content': ['content']}"
14,Well organized course. I loved the content and the real world assignments in the course. Thank you to all the 3 trainers.,"{'cours': ['course'], 'content': ['content'], 'world assign': ['world assignments'], 'trainer': ['trainers']}"
15,"I love the course, good explanation of basics in Java.... NEEDED","{'cours': ['course'], 'explan': ['explanation'], 'basic': ['basics'], 'java': ['Java']}"
16,very good course for data structure,"{'cours': ['course'], 'data structur': ['data structure']}"
17,Great course!,{'cours': ['course']}
18,GOOD COURSE,{'cours': ['COURSE']}
19,Great Course To revise your knowledge on data strutures!,"{'cours': ['Course'], 'knowledg': ['knowledge'], 'data strutur': ['data strutures']}"
20,"The course is really good, I've learned a lot. The only thing I am not happy about, is lack of posibility to check the assignments without having bought the course.","{'cours': ['course'], 'lot': ['lot'], 'thing': ['thing'], 'lack': ['lack'], 'posibl': ['posibility'], 'assign': ['assignments']}"
21,Really loved the course and how every aspect covered was related to a real word application. It is an awesome start to learn the basics about data structures and algorithms in order to move to more advanced topics.,"{'cours': ['course'], 'aspect': ['aspect'], 'word applic': ['word application'], 'start': ['start'], 'basic': ['basics'], 'data structur': ['data structures'], 'algorithm': ['algorithms'], 'topic': ['topics']}"
22,Course is very well organized with solid projects. ,"{'cours': ['Course'], 'project': ['projects']}"
23,"A very good course for beginners , people having prior knowledge about data structures might found it a bit easy , anyways the projects were fun and was course was worth taking","{'cours': ['course'], 'beginn': ['beginners'], 'peopl': ['people'], 'knowledg': ['knowledge'], 'data structur': ['data structures'], 'bit': ['bit'], 'project': ['projects'], 'fun': ['fun']}"
24,Such a wonderful course! It will help you walk through a challenging path to learn java.,"{'cours': ['course'], 'path': ['path'], 'java': ['java']}"
25,"The materials are interesting, but the course can become better if the instructors discuss more about stacks, queues and trees","{'materi': ['materials'], 'cours': ['course'], 'instructor': ['instructors'], 'stack': ['stacks'], 'queue': ['queues'], 'tree': ['trees']}"
26,Rebalance of the content could make the course even better. There were too many topics at week 4. Tries should be discussed in another week. The example code in the main at week 5 was a very good idea. Similar solution would make the understanding better during the other weeks.,"{'content': ['content'], 'cours': ['course'], 'topic': ['topics'], 'week': ['weeks', 'week'], 'exampl code': ['example code'], 'idea': ['idea'], 'solut': ['solution'], 'understand': ['understanding']}"
27,"I usually do not review courses, but this is far better than my expensive college java classes. I can not express enough my gratitude for the great quality putted into this program by the instructors. Thank so much for presenting the course in easy, challenge but fun way. you guys are the best ","{'cours': ['courses', 'course'], 'colleg java class': ['college java classes'], 'gratitud': ['gratitude'], 'qualiti': ['quality'], 'program': ['program'], 'instructor': ['instructors'], 'challeng': ['challenge'], 'fun way': ['fun way'], 'guy': ['guys']}"
28,One of the best courses I have taken in coursera,"{'cours': ['courses'], 'coursera': ['coursera']}"
29,Exceptional so far,{}
30,This was another outstanding course. I will review what I've learned because everything was useful.,"{'cours': ['course'], 'everyth': ['everything']}"
31,"The presentation of the material, multiple paths to choose depending on your skill level and actual use application of what was being taught make this an excellent course !","{'present': ['presentation'], 'materi': ['material'], 'path': ['paths'], 'skill level': ['skill level'], 'use applic': ['use application'], 'cours': ['course']}"
32,Great course!,{'cours': ['course']}
33,"Very solid review of data structures. In fact, I learned a lot of new things along the way like how to benchmark test Java code and how to properly use JUnit and other unit testing frameworks.","{'review': ['review'], 'data structur': ['data structures'], 'fact': ['fact'], 'lot': ['lot'], 'thing': ['things'], 'way': ['way'], 'test java code': ['test Java code'], 'junit': ['JUnit'], 'unit test framework': ['unit testing frameworks']}"
