,comment,target
0,The Course assignments are challenging. Thank you,{'cours assign': ['Course assignments']}
1,I really liked the course. I learned a lot.,"{'cours': ['course'], 'lot': ['lot']}"
2,"An Awesome tutorial to start learning Data science using Python and its Libraries NUMPY, PANDAS and etc... ","{'tutori': ['tutorial'], 'data scienc': ['Data science'], 'python': ['Python'], 'librari numpi': ['Libraries NUMPY'], 'panda': ['PANDAS']}"
3,"The course is great for senior data analyst. However, you need to learn by yourself probability and statistics because they do not cover them in this course.","{'cours': ['course'], 'data analyst': ['data analyst'], 'yourself probabl': ['yourself probability'], 'statist': ['statistics']}"
4,Awesome !!!,{'!!': ['!!']}
5,Tough speed - learning effect created by the weekly assignments. Good start into data sience.,"{'speed': ['speed'], 'effect': ['effect'], 'assign': ['assignments'], 'start': ['start'], 'data sienc': ['data sience']}"
6,"The course is overall very good and is definitely a very complete introduction to the topic.Sometimes I found the pace of the course a bit too fast it's quite difficult to focus on the Professor's explanations and, at the very same time, follow the commands typed on the jupyter notebook not to mention reproducing them on my own!! The python exercises are overall quite well done, even though in some parts they could benefit from clearer explanations thankfully almost always provided in the discussion section Be careful that often the programming assignments go beyond what has been explained in the lectures and therefore require an active search in the documentation, on online forum such as stack overflow or in the resources section.","{'cours': ['course'], 'introduct': ['introduction'], 'topic.sometim': ['topic.Sometimes'], 'pace': ['pace'], 'bit': ['bit'], 'professor': ['Professor'], 'explan': ['explanations'], 'time': ['time'], 'command': ['commands'], 'jupyt notebook': ['jupyter notebook'], '!!': ['!!'], 'python exercis': ['python exercises'], 'part': ['parts'], 'discuss section': ['discussion section'], 'program assign': ['programming assignments'], 'search': ['search'], 'document': ['documentation'], 'onlin forum': ['online forum'], 'stack overflow': ['stack overflow'], 'resourc section': ['resources section']}"
7,Gained a lot of knowledge on using the pandas library in a short time. Introduced interesting topics on different data science topics like Goodhart's law etc.,"{'lot': ['lot'], 'knowledg': ['knowledge'], 'panda librari': ['pandas library'], 'time': ['time'], 'topic': ['topics'], 'data scienc topic': ['data science topics'], 'law etc.': ['law etc.']}"
8,"Excellent course, the teacher gives clear introduction, and the exercise is very useful to train our skill. I have no hesitation to recommend it to my classmates.","{'cours': ['course'], 'teacher': ['teacher'], 'introduct': ['introduction'], 'exercis': ['exercise'], 'skill': ['skill'], 'hesit': ['hesitation'], 'classmat': ['classmates']}"
9,"Great introductory course on data science in python. However, the final projects diverts significantly from the course material, requiring vast amounts of self-study for someone new to Python. Definitely learned a lot in this course.","{'cours': ['course'], 'data scienc': ['data science'], 'python': ['python', 'Python'], 'project': ['projects'], 'cours materi': ['course material'], 'amount': ['amounts'], 'self-studi': ['self-study'], 'someon': ['someone'], 'lot': ['lot']}"
10,"The videos are not so comprehensive! but by doing exercises, your coding skills will improve.","{'video': ['videos'], 'exercis': ['exercises'], 'code skill': ['coding skills']}"
11,Thanks,{'thank': ['Thanks']}
12,simply the best intro to data science!,"{'intro': ['intro'], 'data scienc': ['data science']}"
13,Very well prepared. 4 stars because it only scratches the surface of data wrangling with Pandas. I'd love to see more comprehensive course about Pandas.,"{'star': ['stars'], 'surfac': ['surface'], 'data': ['data'], 'panda': ['Pandas'], 'cours': ['course']}"
14,"Excellent introductory course to Pandas. Four stars because the pace of the videos are too fast and the assignments requires, sometimes, excesive individual learning. Hopefully the info found in the forums is very helpfull. ","{'cours': ['course'], 'panda': ['Pandas'], 'star': ['stars'], 'pace': ['pace'], 'video': ['videos'], 'assign': ['assignments'], 'learn': ['learning'], 'info': ['info'], 'forum': ['forums']}"
15,Very good starter on learning the basics for python data analysis.,"{'basic': ['basics'], 'python data analysi': ['python data analysis']}"
16,The course was wonderful. Really helped in understanding what Data Science is about.,"{'cours': ['course'], 'data scienc': ['Data Science']}"
17,"Very interesting course, with good assignments. It's a nice introduction to Python.","{'cours': ['course'], 'assign': ['assignments'], 'introduct': ['introduction'], 'python': ['Python']}"
18,Too many things to learn. The best Python course I've had so far!!,"{'thing': ['things'], 'python cours': ['Python course']}"
19,very good course and the lecturer is very good.,"{'cours': ['course'], 'lectur': ['lecturer']}"
20,The course is quite challenging on weekly assignments. I learned a lot striving to pass.,"{'cours': ['course'], 'assign': ['assignments'], 'lot': ['lot']}"
