,comment,target
0,A great academic challenge!,{'challeng': ['challenge']}
1,Great,{'great': ['Great']}
2,Wonderful course ,{'cours': ['course']}
3,Really good introduction to regression models. ,"{'introduct': ['introduction'], 'regress model': ['regression models']}"
4,Great course!,{'cours': ['course']}
5,"One of the better classes of the specialization. I found the quizzes quizzes in particular week 3 and 4 quite challenging. I took the ML class before, which I do not recommend. Take this class before the ML class.","{'class': ['class', 'classes'], 'special': ['specialization'], 'quizz': ['quizzes'], 'week': ['week'], 'ml class': ['ML class']}"
6,"Awesome course. Handling a complex topic in a very lucid manner. However, be prepared of finishing in more than 1 class because it will really take time to grasp the concepts especially if you are not from statistical background. Great job Brian.","{'cours': ['course'], 'complex topic': ['complex topic'], 'manner': ['manner'], 'class': ['class'], 'time': ['time'], 'concept': ['concepts'], 'background': ['background'], 'job brian': ['job Brian']}"
7,Exceptional Learning!,{'learn': ['Learning']}
8,good intro,{'intro': ['intro']}
9,well done!,{}
10,Really helpful and well presented.,{}
11,"Not impressed. Dr. Caffo tried to use non-calculus, non-linear-algrebra ways to explain complex concepts and derivations. IMO, he should not have done that. It only made things more confusing. Also the final project is so unsatisfactory in that we were to analyze the data with 32 obs but 11 variables! How robust could it be? Was expecting something much more challenging than that.","{'dr. caffo': ['Dr. Caffo'], 'way': ['ways'], 'concept': ['concepts'], 'deriv': ['derivations'], 'thing': ['things'], 'project': ['project'], 'data': ['data'], 'ob': ['obs'], 'variabl': ['variables'], 'someth': ['something']}"
12,Complicated but good information!,{'inform': ['information']}
13,Nicely presented and understandable course with a challenging an interesting project. ,"{'cours': ['course'], 'project': ['project']}"
14,Good,{}
15,I think this is the best course I have ever came across in the coursera. Everything is discussed in the most simple manner with great depth.,"{'cours': ['course'], 'coursera': ['coursera'], 'everyth': ['Everything'], 'manner': ['manner'], 'depth': ['depth']}"
16,Some lab work swirl did not match the material presentation order. Essential coursework delivered at a blistering pace. Good Stuff. ,"{'lab work swirl': ['lab work swirl'], 'materi present order': ['material presentation order'], 'coursework': ['coursework'], 'pace': ['pace'], 'stuff': ['Stuff']}"
17,B,{}
18,Very Good Course !,{'cours': ['Course']}
19,"With the first few videos, I was concerned I would be re-living the nightmare that was the Statistical Inference course. I gave a long review of that one. To summarize Statistical Inference I hated it. But I learned things. Those things stuck. I used them in real life. That's good. But wow, after getting through this course, I loved it. Very practical and useful stuff. It had me thirsting for more information and I found myself reading unassigned material. I became particularly interested in Anova and continuing to read up on it even though I am done the course.I would take this course again. I would recommend it to those wanting to learn more about data science. It's got some quirks and room for improvement, but overall it's a good course. ","{'video': ['videos'], 'nightmar': ['nightmare'], 'infer cours': ['Inference course'], 'review': ['review'], 'infer': ['Inference'], 'thing': ['things'], 'life': ['life'], 'wow': ['wow'], 'cours': ['course'], 'stuff': ['stuff'], 'inform': ['information'], 'materi': ['material'], 'anova': ['Anova'], 'course.i': ['course.I'], 'data scienc': ['data science'], 'quirk': ['quirks'], 'room': ['room'], 'improv': ['improvement']}"
