,comment,target
0,"The content was very useful, and the preparation of the course denoted much care and preparation by the teacher. I would love to see some modern topics like word embeddings covered in the course!","{'content': ['content'], 'prepar': ['preparation'], 'cours': ['course'], 'care': ['care'], 'teacher': ['teacher'], 'topic': ['topics'], 'word embed': ['word embeddings']}"
1,Useful as introductory course on NLP. Recommended for anyone who wants to begin on this discipline.,"{'cours': ['course'], 'nlp': ['NLP'], 'anyon': ['anyone']}"
2,Nice course on text mining.,"{'cours': ['course'], 'text mine': ['text mining']}"
3,"A really interesting course which covers theoretically most of the text mining techniques. I missed having more practical exercise, which could help to deeply understand the lectures. Setting up the environment for the development task is a little bit complicated, it might be interesting to provide a virtual machine with all the software and correct versions required. Even though, I would recommend this course if you are interested on the topic.","{'cours': ['course'], 'text mine techniqu': ['text mining techniques'], 'exercis': ['exercise'], 'environ': ['environment'], 'bit': ['bit'], 'machin': ['machine'], 'softwar': ['software'], 'version': ['versions'], 'topic': ['topic']}"
4,Awesome!,{}
5,The content is really good but the course has too much theory. Mixing it with some practical programming assignments would have been very nice,"{'content': ['content'], 'cours': ['course'], 'theori': ['theory'], 'program assign': ['programming assignments']}"
6,"I think the course has very limited practical problems; so for beginners in NLP and text analytics, it is very difficult to grasp all the theoretical concepts presented in the course.","{'cours': ['course'], 'problem': ['problems'], 'beginn': ['beginners'], 'nlp': ['NLP'], 'text analyt': ['text analytics'], 'concept': ['concepts']}"
7,While I did not do the assignments. The videos and explanations included were top notch!,"{'assign': ['assignments'], 'video': ['videos'], 'explan': ['explanations'], 'notch': ['notch']}"
8,Nice course and all the chapters are well explained.,"{'cours': ['course'], 'chapter': ['chapters']}"
9,"I need it ,I like it.",{}
10,Very good course thank you I wish we could have use case applications with high level tools such as RThanks a lot again !,"{'cours': ['course'], 'use case applic': ['use case applications'], 'level tool': ['level tools'], 'rthank': ['RThanks']}"
11,This is a very good course. I think it provides a very good foundation of text mining and analytics like PLSA and LDA. More advanced research discussed in the last lecture is also very interesting.,"{'cours': ['course'], 'foundat': ['foundation'], 'text mine': ['text mining'], 'analyt': ['analytics'], 'plsa': ['PLSA'], 'lda': ['LDA'], 'research': ['research'], 'lectur': ['lecture']}"
12,"Annoyingly, the specific pre-requisites can't be determined until AFTER enrolling. This course is in C++, so if you're not a C++ programmer, it's probably not a good idea to purchase this.","{'pre-requisit': ['pre-requisites'], 'cours': ['course'], 'idea': ['idea']}"
13,"Excellent course, the pipeline they propose to help you understand text mining is quite helpful. It has an important introduction to the most key concepts and techniques for text mining and analytics. ","{'cours': ['course'], 'text mine': ['text mining'], 'introduct': ['introduction'], 'concept': ['concepts'], 'techniqu': ['techniques'], 'analyt': ['analytics']}"
14,"The material of the course is very well organized, and presented. The examples and application use cased are interesting and clearly demonstrated. With Machine Learning background, it is very easy to understanding and grasp the theories, the althorithms and put them into practice. I highly recommend this course to anyone who has a ML background and would like to work on NLP problems.","{'cours': ['course'], 'exampl': ['examples'], 'applic': ['application'], 'machin learn background': ['Machine Learning background'], 'theori': ['theories'], 'practic': ['practice'], 'anyon': ['anyone'], 'ml background': ['ML background'], 'nlp problem': ['NLP problems']}"
15,Very interesting! Thank you prof.,{}
16,Could not understand many of the mathematical formulae involved. The topic coverage was good.,"{'formula': ['formulae'], 'topic coverag': ['topic coverage']}"
17,Best NLP course that I saw.,{'nlp cours': ['NLP course']}
18,loved all the lectures,{}
19,Great!!,{}
20,Very comprehensive introduction to text mining. It serves well as a First Class to text mining and analytics!,"{'introduct': ['introduction'], 'text mine': ['text mining'], 'class': ['Class'], 'analyt': ['analytics']}"
21,"I would recommend this course to everyone who wants to know much more about theoric part of text mining. For pratices, I'd recommend the data camp courses... I think the join of this platforms, could result in a better experience, because you can pratice the theorical knowledge gained here, regards !","{'cours': ['course'], 'everyon': ['everyone'], 'part': ['part'], 'text mine': ['text mining'], 'pratic': ['pratices'], 'data camp cours': ['data camp courses'], 'experi': ['experience'], 'knowledg': ['knowledge']}"
22,"the course is very helpful in giving the overall flavor of text mining and analytics. I would recommend to reduce the number of math work and focus on the conceptual level along with more application that could be used. For the math part, adding optional videos for more details about math will be very useful and helpful","{'cours': ['course'], 'flavor': ['flavor'], 'text mine': ['text mining'], 'analyt': ['analytics'], 'number': ['number'], 'math work': ['math work'], 'focus': ['focus'], 'level': ['level'], 'applic': ['application'], 'math part': ['math part'], 'video': ['videos'], 'detail': ['details'], 'math': ['math']}"
23,"Forums were poorly organized and not well participated in. There was no forum topic for the honors assignment.Honors assignment appeared to require unix, which was not stated in the course requirements.Honors assignment was due too early in the term.","{'forum topic': ['forum topic'], 'honor assignment.honor assign': ['honors assignment.Honors assignment'], 'cours requirements.honor assign': ['course requirements.Honors assignment']}"
24,This was a great introduction to Text Mining and Analytics. ,"{'introduct': ['introduction'], 'mine': ['Mining'], 'analyt': ['Analytics']}"
25,"This is an excellent course that captures many different text mining techniques. It requires some math knowledge in numerical analysis and probability in order to understand the concepts. I gave 4 star rating due to 2 problems during the course 1 Lack of examples along the formulas and principles. There are some, but many concepts could be adopted much faster if examples were introduced right along with them. 2 The optional programming exercises are easy to complete, but the environment is very confusing to set it up. ","{'cours': ['course'], 'text mine techniqu': ['text mining techniques'], 'math knowledg': ['math knowledge'], 'analysi': ['analysis'], 'probabl': ['probability'], 'concept': ['concepts'], 'star rate': ['star rating'], 'problem': ['problems'], 'lack': ['Lack'], 'exampl': ['examples'], 'formula': ['formulas'], 'principl': ['principles'], 'program exercis': ['programming exercises'], 'environ': ['environment']}"
26,"Too much theory, not enough practical exercises and too few examples of how the algorithms work.","{'theori': ['theory'], 'exercis': ['exercises'], 'exampl': ['examples'], 'algorithm': ['algorithms']}"
27,The coding assignment instructions are near impossible to follow. The lecture is monotonous in the later weeks. ,"{'assign instruct': ['assignment instructions'], 'lectur': ['lecture'], 'week': ['weeks']}"
28,Good survey of techniques,"{'survey': ['survey'], 'techniqu': ['techniques']}"
29,Excellent Module! A most know &amp; understand unit for all students of Data Science. Enjoyed every aspect of the learning Good teaching !!!,"{'modul': ['Module'], 'aspect': ['aspect'], 'learn teach': ['learning teaching']}"
30,The course focuses more on the theoretical side with no practical examples. It also does not explain these theoretical concepts in detail enough. It was difficult for me as a new learner in the text analytics field to follow such dense theoretical concepts.,"{'cours': ['course'], 'side': ['side'], 'exampl': ['examples'], 'concept': ['concepts'], 'detail': ['detail'], 'learner': ['learner'], 'text analyt field': ['text analytics field']}"
31,E,{}
32,Very good course! Thank you ,{'cours': ['course']}
33,Very practical. The lecture is easy to follow. ,{'lectur': ['lecture']}
34,"Very detailed, but taught in an easily understandable manner. ",{'manner': ['manner']}
35," You need to pay to participate in the quizzes. Stay clear, there are free alternatives out there ","{'stay': ['Stay'], 'altern': ['alternatives']}"
36,"The content was very useful, and the preparation of the course denoted much care and preparation by the teacher. I would love to see some modern topics like word embeddings covered in the course!","{'content': ['content'], 'prepar': ['preparation'], 'cours': ['course'], 'care': ['care'], 'teacher': ['teacher'], 'topic': ['topics'], 'word embed': ['word embeddings']}"
37,Useful as introductory course on NLP. Recommended for anyone who wants to begin on this discipline.,"{'cours': ['course'], 'nlp': ['NLP'], 'anyon': ['anyone']}"
38,"A really interesting course which covers theoretically most of the text mining techniques. I missed having more practical exercise, which could help to deeply understand the lectures. Setting up the environment for the development task is a little bit complicated, it might be interesting to provide a virtual machine with all the software and correct versions required. Even though, I would recommend this course if you are interested on the topic.","{'cours': ['course'], 'text mine techniqu': ['text mining techniques'], 'exercis': ['exercise'], 'environ': ['environment'], 'bit': ['bit'], 'machin': ['machine'], 'softwar': ['software'], 'version': ['versions'], 'topic': ['topic']}"
39,Awesome!,{}
40,The content is really good but the course has too much theory. Mixing it with some practical programming assignments would have been very nice,"{'content': ['content'], 'cours': ['course'], 'theori': ['theory'], 'program assign': ['programming assignments']}"
41,"I think the course has very limited practical problems; so for beginners in NLP and text analytics, it is very difficult to grasp all the theoretical concepts presented in the course.","{'cours': ['course'], 'problem': ['problems'], 'beginn': ['beginners'], 'nlp': ['NLP'], 'text analyt': ['text analytics'], 'concept': ['concepts']}"
42,Nice course and all the chapters are well explained.,"{'cours': ['course'], 'chapter': ['chapters']}"
43,Very good course thank you I wish we could have use case applications with high level tools such as RThanks a lot again !,"{'cours': ['course'], 'use case applic': ['use case applications'], 'level tool': ['level tools'], 'rthank': ['RThanks']}"
44,This is a very good course. I think it provides a very good foundation of text mining and analytics like PLSA and LDA. More advanced research discussed in the last lecture is also very interesting.,"{'cours': ['course'], 'foundat': ['foundation'], 'text mine': ['text mining'], 'analyt': ['analytics'], 'plsa': ['PLSA'], 'lda': ['LDA'], 'research': ['research'], 'lectur': ['lecture']}"
45,"Excellent course, the pipeline they propose to help you understand text mining is quite helpful. It has an important introduction to the most key concepts and techniques for text mining and analytics. ","{'cours': ['course'], 'text mine': ['text mining'], 'introduct': ['introduction'], 'concept': ['concepts'], 'techniqu': ['techniques'], 'analyt': ['analytics']}"
46,"The material of the course is very well organized, and presented. The examples and application use cased are interesting and clearly demonstrated. With Machine Learning background, it is very easy to understanding and grasp the theories, the althorithms and put them into practice. I highly recommend this course to anyone who has a ML background and would like to work on NLP problems.","{'cours': ['course'], 'exampl': ['examples'], 'applic': ['application'], 'machin learn background': ['Machine Learning background'], 'theori': ['theories'], 'practic': ['practice'], 'anyon': ['anyone'], 'ml background': ['ML background'], 'nlp problem': ['NLP problems']}"
47,Could not understand many of the mathematical formulae involved. The topic coverage was good.,"{'formula': ['formulae'], 'topic coverag': ['topic coverage']}"
48,Great!!,{}
49,Very comprehensive introduction to text mining. It serves well as a First Class to text mining and analytics!,"{'introduct': ['introduction'], 'text mine': ['text mining'], 'class': ['Class'], 'analyt': ['analytics']}"
50,"I would recommend this course to everyone who wants to know much more about theoric part of text mining. For pratices, I'd recommend the data camp courses... I think the join of this platforms, could result in a better experience, because you can pratice the theorical knowledge gained here, regards !","{'cours': ['course'], 'everyon': ['everyone'], 'part': ['part'], 'text mine': ['text mining'], 'pratic': ['pratices'], 'data camp cours': ['data camp courses'], 'experi': ['experience'], 'knowledg': ['knowledge']}"
51,"the course is very helpful in giving the overall flavor of text mining and analytics. I would recommend to reduce the number of math work and focus on the conceptual level along with more application that could be used. For the math part, adding optional videos for more details about math will be very useful and helpful","{'cours': ['course'], 'flavor': ['flavor'], 'text mine': ['text mining'], 'analyt': ['analytics'], 'number': ['number'], 'math work': ['math work'], 'focus': ['focus'], 'level': ['level'], 'applic': ['application'], 'math part': ['math part'], 'video': ['videos'], 'detail': ['details'], 'math': ['math']}"
52,This was a great introduction to Text Mining and Analytics. ,"{'introduct': ['introduction'], 'mine': ['Mining'], 'analyt': ['Analytics']}"
