,comment,target
0,"Very Nice! I think it's really a good introduction to use python!Maybe one problem is that homework in lesson 2 or 3 I forgot contain random.seed, that is explained in lesson four's video, but one can always google it.","{'introduct': ['introduction'], 'python!mayb problem': ['python!Maybe problem'], 'homework': ['homework'], 'lesson': ['lesson'], 'lesson video': ['lesson video']}"
1,"Simple, straight-to-the-point course.",{'cours': ['course']}
2,"too easy, but fit the title of this course",{'cours': ['course']}
3,A great first class,{'class': ['class']}
4,"The course was very well structured. When I needed support once, I got valuable feedback within a couple of hours it was over the weekend! The only thing I didn't like was the low image resolution of the videos. Even on a big screen, I sometimes found it hard to read the code.","{'cours': ['course'], 'support': ['support'], 'feedback': ['feedback'], 'coupl': ['couple'], 'weekend': ['weekend'], 'thing': ['thing'], 'imag resolut': ['image resolution'], 'video': ['videos'], 'screen': ['screen'], 'code': ['code']}"
5,Clear and helpful introduction to the 'Swiss army' knife of programming.,"{'introduct': ['introduction'], 'armi': ['army'], 'knife': ['knife'], 'program': ['programming']}"
6,Bill Boyd taught the topics very well..,"{'bill boyd': ['Bill Boyd'], 'topic': ['topics']}"
7,A very good introductionary course that covers almost everything you need as a beginner.,"{'cours': ['course'], 'everyth': ['everything'], 'beginn': ['beginner']}"
8,A very good introductory course !!,{'cours': ['course']}
9,very good,{}
10,"liked,it was simple to follow and with good questions.",{'question': ['questions']}
11,This course is very useful for beginners who don't have any knowledge on Python. Spyder tool is userfriendly as well. ,"{'cours': ['course'], 'beginn': ['beginners'], 'knowledg': ['knowledge'], 'python': ['Python']}"
12,Good for beginners !!!,{'beginn': ['beginners']}
13,"Its project oriented course. After finishing you have still much to learn, but You can taste what and how pratical things can be done in Phyton. I think that You should some background in programming.","{'project': ['project'], 'cours': ['course'], 'thing': ['things'], 'background': ['background'], 'program': ['programming']}"
14,Suitable for beginners. Real quick basic-building.,"{'beginn': ['beginners'], 'basic-build': ['basic-building']}"
15,"This is a great course that teaches you the basics of python. I plan on taking more python courses at a higher level, but this was a nice way to get my feet wet in a new language.","{'cours': ['courses', 'course'], 'basic': ['basics'], 'python': ['python'], 'level': ['level'], 'way': ['way'], 'feet': ['feet'], 'languag': ['language']}"
16,A really good course for beginners.,"{'cours': ['course'], 'beginn': ['beginners']}"
17,Good basic course. I may have missed it but there was no discussion of libraries or more importantly where to find them until week 3. I keep using 'import xyz' but not really knowing what it was doing. I finally found the library and documentation pages that were talked about in week 03. this seems a good place to actually LOOK at them but I think they should be mention with the first excersise in week 01... here we put in 'import xyz'. this has many many functions in it that allow us to shorten the work that we do. In week 03 we open the documentation file and a library file to see how to navigate those especially the documentation files ,"{'cours': ['course'], 'discuss': ['discussion'], 'librari': ['libraries', 'library'], 'week': ['week'], 'import xyz': ['import xyz'], 'document': ['documentation'], 'function': ['functions'], 'work': ['work'], 'document file': ['documentation file', 'documentation files'], 'librari file': ['library file']}"
18,Good catching up with the basics.,{'basic': ['basics']}
19,A clean introduction to Python for beginners.,"{'introduct': ['introduction'], 'python': ['Python'], 'beginn': ['beginners']}"
20,Very clear! I recommend this course!,{'cours': ['course']}
21,Went too fast.,{}
22,"This course really covers all the basics in a very illustrative manner. I definitely recommend it for absolute beginners in Python, previous programming experience helps but is not necessary to cover the material in a reasonable time.","{'cours': ['course'], 'basic': ['basics'], 'manner': ['manner'], 'beginn': ['beginners'], 'python': ['Python'], 'program experi': ['programming experience'], 'materi': ['material'], 'time': ['time']}"
23,Great introduction to Python,"{'introduct': ['introduction'], 'python': ['Python']}"
24,It's a good introduction course. Thank you so much! ,{'introduct cours': ['introduction course']}
25,"Great course, with hands on exercise very well structured.","{'cours': ['course'], 'exercis': ['exercise']}"
26,"Great introductory course, especially for someone with prior programming experience.","{'cours': ['course'], 'someon': ['someone'], 'program experi': ['programming experience']}"
27,"Thank You Bill! Great! Once I got your way of study it was a pleasure to learn. You introduce methods slowly so that it does not intervene with grasping the whole idea of the subject. Submissions needs to be very precise but that is the joy of learning on line. Sometimes you fail as you are missing one space. In terms of certificate, I do not need one and I it is quite expensive but I would surly support your course by donating. I could not see the option to do it though.Kind regards","{'you bill': ['You Bill'], 'way': ['way'], 'pleasur': ['pleasure'], 'method': ['methods'], 'idea': ['idea'], 'subject': ['subject'], 'submiss': ['Submissions'], 'need': ['needs'], 'joy': ['joy'], 'line': ['line'], 'space': ['space'], 'cours': ['course'], 'option': ['option']}"
28,Very good course,{'cours': ['course']}
29,Nice first steps inside Python language. Teacher helps and supports you through the whole course,"{'step': ['steps'], 'python languag': ['Python language'], 'teacher': ['Teacher'], 'cours': ['course']}"
30,Good for novice,{'novic': ['novice']}
31,"Nice course, enjoyed it!",{'cours': ['course']}
32,A nice concise introduction or review ,"{'introduct': ['introduction'], 'review': ['review']}"
33,Very nice course for starters,"{'cours': ['course'], 'starter': ['starters']}"
34,I like the content of this course. But the way of delivering is confusing and boring. Sometimes I lost the logic of video. ,"{'content': ['content'], 'cours': ['course'], 'way': ['way'], 'logic': ['logic'], 'video': ['video']}"
35,"This is by far not my first programming course, but I wanted to learn python. As such, I found the selection of topics very good - first language basics then some libraries. The videos were a good addition. Coming from classical Unix NetBSD, I do not use integrated development environments a lot nor like them, per se , but I found Spyder a positive experience. Thanks esp. for that one! The grading of exercises was sometimes a bit picky, as it was not so clear what the grader was complaining about. More detailled feedback could help there. In general the automated grader is a VERY good thing, though. Thanks a lot for this learning experience! ","{'program cours': ['programming course'], 'python': ['python'], 'select': ['selection'], 'topic': ['topics'], 'languag basic': ['language basics'], 'librari': ['libraries'], 'video': ['videos'], 'addit': ['addition'], 'unix netbsd': ['Unix NetBSD'], 'develop environ': ['development environments'], 'lot': ['lot'], 'spyder': ['Spyder'], 'experi': ['experience'], 'thank': ['Thanks'], 'grade': ['grading'], 'exercis': ['exercises'], 'bit': ['bit'], 'grader': ['grader'], 'feedback': ['feedback'], 'thing': ['thing']}"
36,Concise Indeed,{}
37,"The teacher definitely has an ability to make you understand. Even without the videos, you clearly understand the basics of Python.i wish this would be the first course of a series in Python programming.Great course!","{'teacher': ['teacher'], 'abil': ['ability'], 'video': ['videos'], 'basic': ['basics'], 'python.i wish': ['Python.i wish'], 'cours': ['course'], 'seri': ['series'], 'python programming.great cours': ['Python programming.Great course']}"
38,"I have struggled with python for along time for some reason - suddenly, this professor's method of understanding really makes you understand the mechanics of how the programming mechanics work. Recommended if you have read python and have been struggling to understand even the foundations - and also - Spyder really makes things a lot easier to learn! ","{'python': ['python'], 'time': ['time'], 'reason': ['reason'], 'method': ['method'], 'mechan': ['mechanics'], 'program mechan': ['programming mechanics'], 'foundat': ['foundations'], 'spyder': ['Spyder'], 'thing': ['things'], 'lot': ['lot']}"
39,"Its a very good course to get yourself started with Python, The instructor is very patient with explaining all the concepts. Plus love the auto grader and the assignments ","{'cours': ['course'], 'python': ['Python'], 'instructor': ['instructor'], 'concept': ['concepts'], 'auto grader': ['auto grader'], 'assign': ['assignments']}"
40,This course is a very good introduction. The instructor is good at making the material easy to understand without talking too much. I recommend this course to anyone who has a basic knowledge of how programming works but who has not yet learned any python.,"{'cours': ['course'], 'introduct': ['introduction'], 'instructor': ['instructor'], 'materi': ['material'], 'anyon': ['anyone'], 'knowledg': ['knowledge'], 'program': ['programming'], 'python': ['python']}"
41,Loving It!,{}
42,"Nice course, Good progression,Pertinent evaluations","{'cours': ['course'], 'progress': ['progression'], 'evalu': ['evaluations']}"
43,"Great beginner course to learn Python for someone with some programming background, but new to Python!","{'beginn cours': ['beginner course'], 'python': ['Python'], 'someon': ['someone'], 'program background': ['programming background']}"
44,I took this course mainly to teach my daughter and to review what I already learned years ago. Teaching style is good and assignments are reasonable. I encourage new programmers to take this course.,"{'cours': ['course'], 'style': ['style'], 'assign': ['assignments'], 'programm': ['programmers']}"
45,"great teacher, great course,THANK YOU, PROFESSOR!!!","{'teacher': ['teacher'], 'cours': ['course']}"
46,excellent course,{'cours': ['course']}
47,"After submitting the assignments and getting score,it will be better if Coursera provides the solution of those assignments.By this,students will get benefit form this that what mistakes they did and how will it will be corrected in future.","{'assign': ['assignments'], 'coursera': ['Coursera'], 'solut': ['solution'], 'student': ['students'], 'benefit form': ['benefit form'], 'mistak': ['mistakes'], 'futur': ['future']}"
48,"Self contained, hard to find hands-on course ,that offers accessible exercises that are progressively difficult ie without dramatic jumps , Do not use this as a comprehensive Python training, rather a very good place to practice what you think you have learned...","{'self': ['Self'], 'cours': ['course'], 'exercis': ['exercises'], 'python train': ['Python training'], 'place': ['place']}"
49,For the newbies to Python coding this course is excellent. I will recommend it to my colleagues and friends. I studied Python at University so for me it was easy. As final word I would ask you to make more this courses but for upper levels of knowledge. Thanks. All best!,"{'newbi': ['newbies'], 'python': ['Python'], 'cours': ['courses', 'course'], 'colleagu': ['colleagues'], 'friend': ['friends'], 'univers': ['University'], 'word': ['word'], 'level': ['levels'], 'knowledg': ['knowledge'], 'thank': ['Thanks']}"
50,Excellent course. ,{'cours': ['course']}
51,Concise but useful introduction to Python. Teaching methodology is great. ,"{'introduct': ['introduction'], 'python': ['Python']}"
52,This course is very useful to know the basic python language,"{'cours': ['course'], 'python languag': ['python language']}"
53,"Great introductory course. The explanations are very straightforward, the examples introduce the important basic matter and the exercices help a lot in learning to use the learned material.","{'cours': ['course'], 'explan': ['explanations'], 'exampl': ['examples'], 'matter': ['matter'], 'exercic': ['exercices'], 'lot': ['lot'], 'materi': ['material']}"
54,Excellent Course for a beginner.Looking forward to more classes by the same instructor and support groups. Thanks! ,"{'cours': ['Course'], 'beginner.look': ['beginner.Looking'], 'class': ['classes'], 'instructor': ['instructor'], 'support group': ['support groups'], 'thank': ['Thanks']}"
55,Excellent course to get a quick grasp of how python works and start using it,"{'cours': ['course'], 'grasp': ['grasp'], 'work': ['works']}"
56,the code shown in the video was not clear enough in some modules. Topics were explained in easy and understandable manner,"{'code': ['code'], 'video': ['video'], 'modul': ['modules'], 'topic': ['Topics'], 'manner': ['manner']}"
57,Good practice. Straight forward information.,"{'practic': ['practice'], 'inform': ['information']}"
58,"It would be better if the instructor could talk about the difference advantages disadvantages vs other languages, and what fields are python most useful over other languages.","{'instructor': ['instructor'], 'differ advantag': ['difference advantages'], 'languag': ['languages'], 'python': ['python']}"
59,A great course! ,{'cours': ['course']}
60,Best study material and very apt from a beginner perspective of learning,{'studi materi': ['study material']}
61,Easy to follow.Very good assessment questions,"{'easi': ['Easy'], 'follow.veri assess question': ['follow.Very assessment questions']}"
62,Thank you,{}
63,Too easy.,{}
64,"Brilliant intro for coding,. I suggest everyone starts from here","{'intro': ['intro'], 'everyon': ['everyone']}"
65,"I found this course as per my expectations. For first time learners, having minimal programming language experience can also learn python. Very nice explanation and course coverage.","{'cours': ['course'], 'expect': ['expectations'], 'time learner': ['time learners'], 'program languag experi': ['programming language experience'], 'python': ['python'], 'explan': ['explanation'], 'cours coverag': ['course coverage']}"
66,it was short and concise python learning tutorials and i enjoyed it fully.thank you coursera,{}
