,comment,target
0,thanks,{'thank': ['thanks']}
1,Excellent explanation with very nice examples.,"{'explan': ['explanation'], 'exampl': ['examples']}"
2,Excellent course. Learned a lot about usable security.,"{'cours': ['course'], 'lot': ['lot'], 'secur': ['security']}"
3,the best one,{}
4,Great course. It opened my mind in a few aspects of day to day privacy and security aspects people tend to ignore.,"{'cours': ['course'], 'mind': ['mind'], 'aspect': ['aspects'], 'day': ['day'], 'day privaci': ['day privacy'], 'secur aspect peopl': ['security aspects people']}"
5,It's a good course,{'cours': ['course']}
6,It was very interesting course! Thank you.,{'cours': ['course']}
7,Excellent course filled with plenty of info to get you started thinking about usable security.,"{'cours': ['course'], 'plenti': ['plenty'], 'info': ['info'], 'secur': ['security']}"
8,"This course really brings security and privacy to life. It connects the technically detailed 'how' of the other courses cryptography, software and hardware security with the why. More importantly it helps us make informed choices when designing, and helps us identify the real options.","{'cours': ['course'], 'secur': ['security'], 'privaci': ['privacy'], 'life': ['life'], 'cours cryptographi': ['courses cryptography'], 'softwar': ['software'], 'hardwar secur': ['hardware security'], 'choic': ['choices'], 'option': ['options']}"
9,"Great course, I loved the examples and video of practices throughout the learning!","{'cours': ['course'], 'exampl': ['examples'], 'video': ['video'], 'practic': ['practices'], 'learn': ['learning']}"
10,A very fascinating and enjoyable course! I would highly recommend this to anyone wanting to take the first step in learning about cybersecurity.,"{'cours': ['course'], 'anyon': ['anyone'], 'step': ['step'], 'cybersecur': ['cybersecurity']}"
11,Awesome concepts to include in our daily infosec ,"{'concept': ['concepts'], 'infosec': ['infosec']}"
12,"I found this course very interesting. Even if I already have some knowledge of security in general, I was very happy to follow this course and go in details about all aspect of usable security. Lessons are very clear and easy to understand. I will go forward with other security courses.","{'cours': ['course'], 'knowledg': ['knowledge'], 'secur': ['security'], 'detail': ['details'], 'aspect': ['aspect'], 'lesson': ['Lessons'], 'secur cours': ['security courses']}"
13,"A shame it is part of the cybersecurity specialization. It is boring and full of obvious-psicology things like passwords need to be secure but easy to remember. The instructor, at least, seems to have zero knowledge about software development. Everything we did in seven weeks could have been taught in one or two.","{'part': ['part'], 'cybersecur special': ['cybersecurity specialization'], 'thing': ['things'], 'password': ['passwords'], 'instructor': ['instructor'], 'knowledg': ['knowledge'], 'softwar develop': ['software development'], 'week': ['weeks']}"
14,"Very interesting course, good material","{'cours': ['course'], 'materi': ['material']}"
15,great,{}
16,I learned the psychology of implementing security systems.,"{'psycholog': ['psychology'], 'secur system': ['security systems']}"
17,"Excellent course, well explained. Not too much things to learn at once. Ideal when you want to start. Would be useful to have also a slide deck next to it for the review and exam preparation.","{'cours': ['course'], 'thing': ['things'], 'slide deck': ['slide deck'], 'review': ['review'], 'exam prepar': ['exam preparation']}"
18,Liked the structure of the course and the way concepts have been integrated with real life practical examples. Would have loved to understand some examples or references to 'design thinking' consideration of some specific industry problems - like building a payments system or a ticketing system etc.,"{'structur': ['structure'], 'cours': ['course'], 'way': ['way'], 'concept': ['concepts'], 'life exampl': ['life examples'], 'exampl': ['examples'], 'refer': ['references'], 'consider': ['consideration'], 'industri problem': ['industry problems'], 'payment system': ['payments system'], 'system etc.': ['system etc.']}"
19,"There are many parts of the lectures that are very quiet and even with my speakers turned to max, I struggled to hear, while other parts were clear. The course is interesting, but I doubt that anyone would pay to attend this course.","{'part': ['parts'], 'speaker': ['speakers'], 'cours': ['course'], 'anyon': ['anyone']}"
20,"I strongly recommend this course to all security software developers, managers and of course to designers.","{'cours': ['course'], 'secur softwar develop': ['security software developers'], 'manag': ['managers'], 'design': ['designers']}"
21,"Very good, excellent course",{'cours': ['course']}
22, Cool ! ,{}
23,Thanks for the course. it's very useful for my present job ,"{'thank': ['Thanks'], 'cours': ['course'], 'job': ['job']}"
24,"would be nice if you could see the questions and answers after you take a quiz or exam, that way its easier to lean where you went wrong on a question.","{'question': ['question', 'questions'], 'answer': ['answers'], 'way': ['way']}"
25,Nice course with more important info,"{'cours': ['course'], 'info': ['info']}"
26,thanks alot,{'thank': ['thanks']}
27,"Best course to learn about usable security, If you are familiar with Human Computer Interaction then easily can related the security issue in between Human and Machine. ","{'cours': ['course'], 'secur': ['security'], 'comput interact': ['Computer Interaction'], 'secur issu': ['security issue']}"
28,Well organized. Material is well presented and relevant.,{'materi': ['Material']}
29,This course broaden your perspective of security and how are the best ways to design the security of the systems from the perspective of the users.I recommended this course to all programmers and designers no matter what level you have.,"{'cours': ['course'], 'perspect': ['perspective'], 'secur': ['security'], 'way': ['ways'], 'system': ['systems'], 'programm': ['programmers'], 'design': ['designers'], 'matter': ['matter']}"
30,this course is amazing,{'cours': ['course']}
31,"Exactly what I needed in a concise, interesting and provoking way.",{'way': ['way']}
32,It was a powerful course,{'cours': ['course']}
33,Great class. Ms. Golbeck is very clear and the pacing is great. I like that you can skip ahead to the next week if you have the time.,"{'class': ['class'], 'ms. golbeck': ['Ms. Golbeck'], 'pace': ['pacing'], 'week': ['week'], 'time': ['time']}"
34,"Covered many topics which are complementary to skills i'm improving or I wanna improve. Also, usability is always something relegated on software engineering so it's valuable to find a course to learn more about it.","{'topic': ['topics'], 'skill': ['skills'], 'usabl': ['usability'], 'someth': ['something'], 'softwar engin': ['software engineering'], 'cours': ['course']}"
35,Great course. I recomend for everyone.,"{'cours': ['course'], 'everyon': ['everyone']}"
36,I loved the idea of Security by Design.,"{'idea': ['idea'], 'secur': ['Security'], 'design': ['Design']}"
37,Very interesting course that will help you in designing systems that people will want to use!,"{'cours': ['course'], 'system': ['systems'], 'peopl': ['people']}"
38,"The course was pretty good, I certainly learned a lot, but more hands on material would have been nice Interactive Thanks","{'cours': ['course'], 'lot': ['lot'], 'hand': ['hands'], 'materi': ['material'], 'thank': ['Thanks']}"
39,"This course improved my perspective of security and privacy. The concepts of usability is something I will use on every system I develop from now on. The University of Maryland team does a wonderfull work to keep the understanding easy and completed, much thanks to them.","{'cours': ['course'], 'perspect': ['perspective'], 'secur': ['security'], 'privaci': ['privacy'], 'concept': ['concepts'], 'usabl': ['usability'], 'someth': ['something'], 'system': ['system'], 'wonderful': ['wonderfull'], 'work': ['work'], 'understand': ['understanding'], 'thank': ['thanks']}"
40,"Good introduction to usable security, with interesting and illustrative examples and scenarios showing how usable security concepts play out in real life and in tools and services we use on a day to day basis. ","{'introduct': ['introduction'], 'secur': ['security'], 'exampl': ['examples'], 'scenario': ['scenarios'], 'secur concept': ['security concepts'], 'life': ['life'], 'day': ['day'], 'day basi': ['day basis']}"
41,A great course that has completely changed my perception towards software design with the course USABLE SECURITY. The materials and lecture videos are nothing but wonderful. I really had a great time while learning. Thanks,"{'cours': ['course'], 'percept': ['perception'], 'softwar design': ['software design'], 'cours secur': ['course SECURITY'], 'materi': ['materials'], 'lectur video': ['lecture videos'], 'noth': ['nothing'], 'time': ['time'], 'thank': ['Thanks']}"
42,Informative and practical use of Security design,"{'use': ['use'], 'secur design': ['Security design']}"
43,Great course!,{'cours': ['course']}
44,W,{}
45,V,{}
46,Nice course,{'cours': ['course']}
47,Very Good course,{'cours': ['course']}
48,I did not learn a lot. ,{'lot': ['lot']}
49,Great education program for usable security ,"{'educ program': ['education program'], 'secur': ['security']}"
50,"This course is about good practices for user interface design. If this is what you are looking for it may be worth your time, just be aware that the production quality of the videos is among the worst courses I have taken in Coursera. On the other hand, if you are looking for a heavy Cybersecurity related course I suggest you to stay away from this one, unless you are taking the specialization in which case you don't have other choice.Content 2.5 5Videos Quality 1 5Practice Theory ratio 1 5 ","{'cours': ['course', 'courses'], 'practic': ['practices'], 'user interfac design': ['user interface design'], 'time': ['time'], 'product qualiti': ['production quality'], 'video': ['videos'], 'hand': ['hand'], 'cybersecur cours': ['Cybersecurity course'], 'special': ['specialization'], 'case': ['case'], '5video': ['5Videos'], '5practic theori ratio': ['5Practice Theory ratio']}"
51,"Instructor was easy to follow, made clear points with today's technology examples and kept me engaged during my time.","{'instructor': ['Instructor'], 'point': ['points'], 'technolog exampl': ['technology examples'], 'time': ['time']}"
52,Great,{}
53,Very good course.. I learned much!Thank you for this opportunities,{'cours': ['course']}
54,"Helps reform UNIX and C lovers, let's not be the BOFH and make usable systems for our users!","{'reform unix': ['reform UNIX'], 'c lover': ['C lovers'], 'system': ['systems'], 'user': ['users']}"
55,Useful concepts. Quite simple.,{'concept': ['concepts']}
56,Excellent course. A must for every software architect of any software that has human interaction.,"{'cours': ['course'], 'softwar': ['software'], 'interact': ['interaction']}"
57,Bad sound quality,{'qualiti': ['quality']}
58,"I sincerely enjoyed this course. The instructor was clear, concise, and obviously passionate about the subject matter. I appreciate that reading materials were complimentary to the videos. I can say I actually walked away with information I can apply to my career. I gained a new perspective about usability testing and implementation that I will be employing in my network authentication practices and policy development.","{'cours': ['course'], 'instructor': ['instructor'], 'matter': ['matter'], 'materi': ['materials'], 'video': ['videos'], 'inform': ['information'], 'perspect': ['perspective'], 'usabl test': ['usability testing'], 'implement': ['implementation'], 'network authent practic': ['network authentication practices'], 'polici develop': ['policy development']}"
59,thanks for the lectures. the best so farvery informative. never knew system designers have to go through a lot to make it usable. wow now am a system designer ,"{'thank': ['thanks'], 'system design': ['system designer', 'system designers'], 'lot': ['lot'], 'wow': ['wow']}"
60,amazing course and i would recommend it for others for sure,"{'cours': ['course'], 'other': ['others']}"
