,comment,target
0,I really liked the assignments in this course and all the content was well explained.,"{'assign': ['assignments'], 'cours': ['course'], 'content': ['content']}"
1,"Thank the teacher, the course is very good, the teacher is also very nice. The first three weeks of feeling learned a lot of new knowledge, the last week may be each class time is relatively long. It would be better if you could split it.","{'teacher': ['teacher'], 'cours': ['course'], 'week': ['week', 'weeks'], 'feel': ['feeling'], 'lot': ['lot'], 'knowledg': ['knowledge'], 'class time': ['class time']}"
2,"So many mistakes in the slides. Coding exercises are so hard to comprehend, it's tough to know what you are trying to achieve. I have already done a course in spark, this was supposed to be just refresher, but now I'm just confused...","{'mistak': ['mistakes'], 'slide': ['slides'], 'exercis': ['exercises'], 'cours': ['course'], 'refresh': ['refresher']}"
3,Thanks ,{'thank': ['Thanks']}
4,Basics are covered in an effective way.,{'way': ['way']}
5,"Very average. Lectures could be a fraction of their current length, too much time spent rephrasing the same point sometimes 3+ times! It was driving me nuts, my mind would wonder if I didn't focus. It would be nice to have local tests that incrementally check progress similar to Andrew Ng's Machine Learning coursera.","{'lectur': ['Lectures'], 'length': ['length'], 'time': ['times', 'time'], 'point': ['point'], 'mind': ['mind'], 'test': ['tests'], 'progress': ['progress'], 'machin learn coursera': ['Machine Learning coursera']}"
6,Great course. Would definitely recommend.,{'cours': ['course']}
7,Good course.,{'cours': ['course']}
8,Great Course! ,{'cours': ['Course']}
9,Awesome video lectures by the instructor. The content is very good and i fee i gained good knowledge. I really loved the series. ,"{'video': ['video'], 'instructor': ['instructor'], 'content': ['content'], 'knowledg': ['knowledge'], 'seri': ['series']}"
10,Great! But I want to know more about dataset! ,{'dataset': ['dataset']}
11,"This is my first cource review on English, but I want to do accent on Heather's high professionalism, great explanations abilities and great organisation of material. I need to say that I have education of computer science teacher and I can say that it's wonderful cource. It was difficult for me and I've really increased my skill. Thanx. ","{'courc review': ['cource review'], 'english': ['English'], 'accent': ['accent'], 'heather': ['Heather'], 'profession': ['professionalism'], 'explan abil': ['explanations abilities'], 'organis': ['organisation'], 'materi': ['material'], 'educ': ['education'], 'comput scienc teacher': ['computer science teacher'], 'courc': ['cource'], 'skill': ['skill']}"
12,"Nice course, thanks!","{'cours': ['course'], 'thank': ['thanks']}"
13,"I had previous experience with Scala and Spark and I really enjoyed the course. I learned some very interesting things, specially y de last 2 weeks about partitioning and Spark SQL.","{'experi': ['experience'], 'scala': ['Scala'], 'spark': ['Spark'], 'cours': ['course'], 'thing': ['things'], 'week': ['weeks']}"
14,Awesome teacher - very engaging. This is probably first time when I am watching lectures with pleasure. Also you can easily feel that course is fresh and specially made for this unlike previous ones from Scala speciality.,"{'teacher': ['teacher'], 'time': ['time'], 'pleasur': ['pleasure'], 'cours': ['course'], 'one': ['ones'], 'scala special': ['Scala speciality']}"
15,"It gave me very good understanding on Spark Architecture, functioning along with hands on over Scala. Good examples used during lessons.","{'understand': ['understanding'], 'spark architectur': ['Spark Architecture'], 'hand': ['hands'], 'scala': ['Scala'], 'exampl': ['examples'], 'lesson': ['lessons']}"
16,This course is awesome. I got a pretty good idea of spark. In fact this course helped me understand scala well. ,"{'cours': ['course'], 'idea': ['idea'], 'fact': ['fact'], 'scala': ['scala']}"
17,Great lectures and great content!,{'content': ['content']}
18,Awesome course !,{'cours': ['course']}
19,Very good and concise course.,{'cours': ['course']}
20,I guess it's a goo introduction course into Apache Spark. Meantime I would expect deeper dive into optimizations and algorithms.,"{'goo introduct cours': ['goo introduction course'], 'apach spark': ['Apache Spark'], 'dive': ['dive'], 'optim': ['optimizations'], 'algorithm': ['algorithms']}"
21,excellent quality of content,"{'qualiti': ['quality'], 'content': ['content']}"
22,"Great subject, well explained with solid weekly assignments make this course a stellar learning experience.","{'great': ['Great'], 'assign': ['assignments'], 'cours': ['course'], 'learn experi': ['learning experience']}"
23,Good course. Could be more comprehensive about analysis. Content is all video and Lecture notes would be nice.,"{'cours': ['course'], 'analysi': ['analysis'], 'content': ['Content'], 'lectur': ['Lecture'], 'video note': ['video notes']}"
24,"Great course, learnt a lot from it. Thank you. ","{'cours': ['course'], 'lot': ['lot']}"
25,love this topic!!!! New and frontier technology in NLP. More and more concentrations and analysis on this big data research.I wish more courses about Parallel clustering using Spark available to the many.,"{'love': ['love'], 'topic': ['topic'], 'concentr': ['concentrations'], 'analysi': ['analysis'], 'data research.i wish': ['data research.I wish'], 'cours': ['courses'], 'cluster': ['clustering'], 'spark': ['Spark']}"
26,"In the assignments, I had the feeling that the goal was more guess what they want than write it correctly using what you have learnt. Stating more clearly the requirements and improving error messages from the grader may help.","{'assign': ['assignments'], 'feel': ['feeling'], 'requir': ['requirements'], 'error messag': ['error messages'], 'grader': ['grader']}"
