,comment,target
0,"Nothing much to learn, the videos were rather short. There's no lecture on computing the angles and the full features of the framework. The framework wasn't updated for Swift 3.","{'noth': ['Nothing'], 'video': ['videos'], 'angl': ['angles'], 'featur': ['features'], 'framework': ['framework'], 'swift': ['Swift']}"
1,waste of time and money,"{'wast': ['waste'], 'time': ['time'], 'money': ['money']}"
2,Why there is no minus one star? Because one star is way to much for this course. Stay away!,"{'minus star': ['minus star'], 'star': ['star'], 'way': ['way'], 'cours': ['course']}"
3,"In this capstone project, you're given a framework to work with, and asked to create an app with pretty minimal required criteria. The problem is, there's very little instructions or support, so it feels like a classroom where the instructor said do whatever you want and walks out of the door. Overall the specialization feels ill-organized and of questionable quality, and there are plenty of negative sentiments in the forums.","{'capston project': ['capstone project'], 'framework': ['framework'], 'app': ['app'], 'criteria': ['criteria'], 'problem': ['problem'], 'instruct': ['instructions'], 'support': ['support'], 'instructor': ['instructor'], 'special': ['specialization'], 'qualiti': ['quality'], 'plenti': ['plenty'], 'sentiment': ['sentiments'], 'forum': ['forums']}"
4,"After the first week, the instructors never showed up to answer a single question in the forums. The capstone project itself was disappointing, I learned much more from doing my own app in class 3.I took the Coursera Android specialization, which was eons better than this. I would not recommend this iOS specialization to anyone. I would never again take a MOOC from U of Toronto.","{'week': ['week'], 'instructor': ['instructors'], 'question': ['question'], 'forum': ['forums'], 'capston project': ['capstone project'], 'app': ['app'], 'class': ['class'], 'io special': ['iOS specialization'], 'anyon': ['anyone']}"
5,A Wortlhy Course,{'cours': ['Course']}
6,The capstone project had nothing to do with the previous three courses.,"{'capston project': ['capstone project'], 'noth': ['nothing'], 'cours': ['courses']}"
7,I'm kind of disappointed with this last level. It isn't really what i expected.,"{'kind': ['kind'], 'level': ['level']}"
8,This is a joke.,{'joke': ['joke']}
9,"The course has been released way too early, clearly it lacks most of its content and what does exist isn't working properly either.","{'cours': ['course'], 'way': ['way'], 'content': ['content']}"
10,"Nothing much to learn, the videos were rather short. There's no lecture on computing the angles and the full features of the framework. The framework wasn't updated for Swift 3.","{'noth': ['Nothing'], 'video': ['videos'], 'angl': ['angles'], 'featur': ['features'], 'framework': ['framework'], 'swift': ['Swift']}"
11,waste of time and money,"{'wast': ['waste'], 'time': ['time'], 'money': ['money']}"
12,"In this capstone project, you're given a framework to work with, and asked to create an app with pretty minimal required criteria. The problem is, there's very little instructions or support, so it feels like a classroom where the instructor said do whatever you want and walks out of the door. Overall the specialization feels ill-organized and of questionable quality, and there are plenty of negative sentiments in the forums.","{'capston project': ['capstone project'], 'framework': ['framework'], 'app': ['app'], 'criteria': ['criteria'], 'problem': ['problem'], 'instruct': ['instructions'], 'support': ['support'], 'instructor': ['instructor'], 'special': ['specialization'], 'qualiti': ['quality'], 'plenti': ['plenty'], 'sentiment': ['sentiments'], 'forum': ['forums']}"
13,"After the first week, the instructors never showed up to answer a single question in the forums. The capstone project itself was disappointing, I learned much more from doing my own app in class 3.I took the Coursera Android specialization, which was eons better than this. I would not recommend this iOS specialization to anyone. I would never again take a MOOC from U of Toronto.","{'week': ['week'], 'instructor': ['instructors'], 'question': ['question'], 'forum': ['forums'], 'capston project': ['capstone project'], 'app': ['app'], 'class': ['class'], 'io special': ['iOS specialization'], 'anyon': ['anyone']}"
14,A Wortlhy Course,{'cours': ['Course']}
15,The capstone project had nothing to do with the previous three courses.,"{'capston project': ['capstone project'], 'noth': ['nothing'], 'cours': ['courses']}"
