,comment,target
0,"Explanations are poorly thought out, jump around complex ideas without giving each enough time to be absorbed.It feels as if the course is in a very early stages and hasn't gone through a student review process.","{'explan': ['Explanations'], 'idea': ['ideas'], 'time': ['time'], 'cours': ['course'], 'stage': ['stages']}"
1,"Breadth depth of content is great. Biggest issue is lectures &amp; slides to not always tell you everything you need to know to take the tests &amp; assignments - best to take Andrew Ng's course first and be ready to search on Google to find things you don't understand. Also check discussion forums, some of the quizzes actually have errors !! you cannot pass unless you know how to fix the questions. Kind of surprising ","{'breadth depth': ['Breadth depth'], 'content': ['content'], 'issu': ['issue'], 'everyth': ['everything'], 'test': ['tests'], 'assign': ['assignments'], 'andrew ng': ['Andrew Ng'], 'cours': ['course'], 'googl': ['Google'], 'thing': ['things'], 'discuss forum': ['discussion forums'], 'quizz': ['quizzes'], 'error': ['errors'], 'question': ['questions'], 'kind': ['Kind']}"
2,"Amazing course, with a very interesting historic overview throughout the subjects, a focus on intuitive understandment, and advanced materials to keep everyone happy.","{'cours': ['course'], 'overview': ['overview'], 'subject': ['subjects'], 'focus': ['focus'], 'understand': ['understandment'], 'materi': ['materials'], 'everyon': ['everyone']}"
3,"There was no support from admins moderators assistants. There was a buggy quiz which we would all have failed, if I did not find an old version of it on the web. This is unacceptable and clearly exposes the differences between real courses and MOOCs. ","{'support': ['support'], 'admin moder assist': ['admins moderators assistants'], 'buggi quiz': ['buggy quiz'], 'version': ['version'], 'web': ['web'], 'differ': ['differences'], 'cours': ['courses'], 'mooc': ['MOOCs']}"
4,Amazing!! Gave me a deeper insight into Artificial Intelligence. ,"{'!!': ['!!'], 'insight': ['insight'], 'artifici intellig': ['Artificial Intelligence']}"
5,Good,{}
6,Thank you Professor Hinton for making such a comprehensive and insightful course!,"{'professor hinton': ['Professor Hinton'], 'cours': ['course']}"
7,I would like to see more implementations of the algorithms shown.,"{'implement': ['implementations'], 'algorithm': ['algorithms']}"
8,So useful to start with neural networks and get the bases,"{'network': ['networks'], 'base': ['bases']}"
9,"I got a lot of knowledge about deep learning from the course, thanks!","{'lot': ['lot'], 'knowledg': ['knowledge'], 'learn': ['learning'], 'cours': ['course'], 'thank': ['thanks']}"
10,Very recommending people who want to learn more about neural networks learn this course. The course is hard for me but latter I will take a good review to this.,"{'peopl': ['people'], 'network': ['networks'], 'cours': ['course'], 'review': ['review']}"
11,This is the best course I've ever taken on Coursera. Extremely thorough and covers years worth of research and insights about neural networks.,"{'cours': ['course'], 'coursera': ['Coursera'], 'year': ['years'], 'research': ['research'], 'insight': ['insights'], 'network': ['networks']}"
12,"Althoght math is a bit difficult, this course is a wonderful start for me to start the journey of deep learning! ","{'math': ['math'], 'bit': ['bit'], 'cours': ['course'], 'start': ['start'], 'journey': ['journey'], 'learn': ['learning']}"
13,"I feel overloaded with information and knowledge, but that feeling is appreciated and very welcome. I would like to thank the team behind the Coursera and Professor Hinton and his team.","{'inform': ['information'], 'knowledg': ['knowledge'], 'feel': ['feeling'], 'team': ['team'], 'coursera': ['Coursera'], 'professor hinton': ['Professor Hinton']}"
14,All you need.,{}
15,"Tough going in places, but mind blowing. Geoffrey Hinton gives thorough explanations and really goes into detail of Neural Networks. A great follow up to Andrew Ng's Machine Learning course.","{'geoffrey hinton': ['Geoffrey Hinton'], 'explan': ['explanations'], 'detail': ['detail'], 'network': ['Networks'], 'andrew ng': ['Andrew Ng'], 'machin learn cours': ['Machine Learning course']}"
16,"There is a lot of material to cover however, I think the professor and his crew do a good job on touching the most important points. The discussion group is also extremely helpful. I would suggest adding either more materials or recommended links for those willing to dig further into the mathematics details of some topics RBMs for instance , as the material shown in the slides is way too sparse sometimes. The practical assignments were well planned and extremely useful and helpful to master some of the concepts, thanks for that. I am in the process of cleaning up the code in a way that I believe would be easier for students to understand them. I will contribute them back to the course in case there is any interest. Thanks!","{'lot': ['lot'], 'materi': ['material', 'materials'], 'professor': ['professor'], 'crew': ['crew'], 'job': ['job'], 'point': ['points'], 'discuss group': ['discussion group'], 'link': ['links'], 'mathemat detail': ['mathematics details'], 'topic rbms': ['topics RBMs'], 'instanc': ['instance'], 'slide': ['slides'], 'way': ['way'], 'assign': ['assignments'], 'concept': ['concepts'], 'thank': ['thanks', 'Thanks'], 'code': ['code'], 'student': ['students'], 'cours': ['course'], 'case': ['case'], 'interest': ['interest']}"
17,very good,{}
18,"The excellent lecture on NN. It covers a wide variety of issues on NN throughout. However, it is sometimes difficult to understand. More explanation on basic concepts and the maths behind would help.","{'lectur': ['lecture'], 'nn': ['NN'], 'varieti': ['variety'], 'issu': ['issues'], 'explan': ['explanation'], 'concept': ['concepts'], 'math': ['maths']}"
19,"The course covers the cornerstones of neural nets architectures, learning, optimization and regularization techniques. Helps to get a grip on the terminology of the field, and to develop an intuition of how things work.","{'cours': ['course'], 'cornerston': ['cornerstones'], 'net architectur': ['nets architectures'], 'optim': ['optimization'], 'techniqu': ['techniques'], 'terminolog': ['terminology'], 'field': ['field'], 'intuit': ['intuition'], 'thing': ['things']}"
20,"The slides are extremely annoying and lacks of examples, only have theoretical explanations. The man was basically read the text that was shown in the slide. I am a decent self-learner but for this course after 3 weeks I decided to drop this course.","{'slide': ['slide', 'slides'], 'exampl': ['examples'], 'explan': ['explanations'], 'man': ['man'], 'text': ['text'], 'self-learn': ['self-learner'], 'cours': ['course'], 'week': ['weeks']}"
21,It's a good course to learn about the algorithms behind neural networks and how they work.,"{'cours': ['course'], 'algorithm': ['algorithms'], 'network': ['networks']}"
22,"geof hinton is top in neural nets. in this course he gives great intuition without much math wchich is at the same time good and bad,i personally was really intersted in the math so i spent much time looking it up, but not a single second is to be taken for wasted. worth it! covers the up to date techniques on n.n.'s, in really great depth. each week i wondered where should it end. i'm glad to say each week was building on the last and in the end i can say i have an understanding of what's out there, what i need to read, who are some people i should follow, and prof hinton is one of them!","{'geof hinton': ['geof hinton'], 'net': ['nets'], 'cours': ['course'], 'intuit': ['intuition'], 'math wchich': ['math wchich'], 'time': ['time'], 'math': ['math'], 'second': ['second'], 'date techniqu': ['date techniques'], 'depth': ['depth'], 'week': ['week'], 'end': ['end'], 'understand': ['understanding'], 'peopl': ['people'], 'prof hinton': ['prof hinton']}"
23,This is a tough course. The quizzes and assigments are even tougher. One needs a lot of dedication to succed in this course.,"{'cours': ['course'], 'quizz': ['quizzes'], 'assig': ['assigments'], 'lot': ['lot'], 'dedic': ['dedication']}"
24,The best neural networks course available!,{'network cours': ['networks course']}
25,Amazing course ,{'cours': ['course']}
26,Great course for us to learn neural networks.,"{'cours': ['course'], 'network': ['networks']}"
27,You can learn a lot about the neural networks but only if you make your way through low quality video lectures and buggy quizzes assignments. Geoffrey Hinton is a great scientist but it looks like he is not a good teacher. ,"{'lot': ['lot'], 'network': ['networks'], 'way': ['way'], 'qualiti video': ['quality video'], 'buggi': ['buggy'], 'assign': ['assignments'], 'geoffrey hinton': ['Geoffrey Hinton'], 'scientist': ['scientist'], 'teacher': ['teacher']}"
28,"Great course about Neural Networks,a lot of theory,a lot of challenges,but helps a lot.Thanks everyone who participate in this course.Thank you!","{'cours': ['course'], 'neural network': ['Neural Networks'], 'lot': ['lot'], 'theori': ['theory'], 'challeng': ['challenges'], 'lot.thank everyon': ['lot.Thanks everyone']}"
29,A great course! George Hinton is one of the best teachers at Machine Learning,"{'cours': ['course'], 'georg hinton': ['George Hinton'], 'teacher': ['teachers'], 'machin learn': ['Machine Learning']}"
30,This is one of the best courses I have ever been taught in my life. Thank you Professor Geoffrey Hinton and Coursera.,"{'cours': ['courses'], 'professor geoffrey hinton': ['Professor Geoffrey Hinton'], 'coursera': ['Coursera']}"
31,Very good to get a good idea about some of the neural network techniques. The assignments are very well designed to help understand the concepts rather than making one do the entire coding.Very useful if you want to know the feel of the subject as well as get to know some concepts in not very deep level.,"{'idea': ['idea'], 'network techniqu': ['network techniques'], 'assign': ['assignments'], 'concept': ['concepts'], 'coding.veri': ['coding.Very'], 'feel': ['feel'], 'subject': ['subject'], 'level': ['level']}"
32,The best course I've taken on Coursera!,"{'cours': ['course'], 'coursera': ['Coursera']}"
33,This course is very deep. May not be very friendly without much prior knowledge in machine learning or matlab programming.,"{'cours': ['course'], 'knowledg': ['knowledge'], 'machin learn': ['machine learning'], 'matlab program': ['matlab programming']}"
34,very good for the people who wants to learn neural networks,"{'peopl': ['people'], 'network': ['networks']}"
35,"A thorough introduction to Neural Networks, really enjoyed the course!","{'introduct': ['introduction'], 'neural network': ['Neural Networks'], 'cours': ['course']}"
36,"Great course, nice introduction to neural networks. Can make better elaboration in discussion.","{'cours': ['course'], 'introduct': ['introduction'], 'network': ['networks'], 'elabor': ['elaboration'], 'discuss': ['discussion']}"
37,complete and interesting,{}
38,"This is a very interesting course that blends theory, intuition and practice but it is also demanding, also in time. It covers a lot of different topics, and is a fantastic overview of neural networks - perhaps with a slight bias to the work interests of Professor Hinton, which is fully okay - but probably too difficult as a first course - I would recommend taking a basic neural network course prior to taking this course. ","{'cours': ['course'], 'theori': ['theory'], 'intuit': ['intuition'], 'practic': ['practice'], 'time': ['time'], 'lot': ['lot'], 'topic': ['topics'], 'overview': ['overview'], 'network': ['networks'], 'bias': ['bias'], 'work interest': ['work interests'], 'professor hinton': ['Professor Hinton'], 'network cours': ['network course']}"
39,Excelent course to introduce the world of Neural Networks.,"{'cours': ['course'], 'world': ['world'], 'network': ['Networks']}"
40,"Deep and interesting introduction to machine learning and neural networks. Pace of this course was perfect for me, not too much work for every week, nevertheless it took considerable time to study all material and to complete all assignments in time.","{'introduct': ['introduction'], 'machin learn': ['machine learning'], 'network': ['networks'], 'pace': ['Pace'], 'cours': ['course'], 'work': ['work'], 'week': ['week'], 'time': ['time'], 'materi': ['material'], 'assign': ['assignments']}"
41,"Hinton was GREAT! A very insightful course on NN, with a lot of practical knowledges. Theory is a bit thin; there are also quite some flaws in course documents and videos noticed by many viewers But it doesn't change the usefulness of this course. Thank you Prof. Hinton and TAs.","{'hinton': ['Hinton'], 'cours': ['course'], 'nn': ['NN'], 'lot': ['lot'], 'knowledg': ['knowledges'], 'theori': ['Theory'], 'bit': ['bit'], 'flaw': ['flaws'], 'cours document': ['course documents'], 'video': ['videos'], 'viewer': ['viewers'], 'use': ['usefulness'], 'prof. hinton': ['Prof. Hinton'], 'tas': ['TAs']}"
42,Very interesting course; not easy to consume but diverse and challenging; the whole concept of Boltzmann networks and belief nets was new to me &gt; great!,"{'cours': ['course'], 'concept': ['concept'], 'boltzmann network': ['Boltzmann networks'], 'belief net': ['belief nets']}"
43,Excelente !!!!,{}
44,"Great course, extremely informative and useful. A bit tough sometimes but totally worth it.","{'cours': ['course'], 'bit': ['bit']}"
45,"The course needs some updating, mostly in some quizzes with wrong data. Also, some of the programming assignments specially programming asignment 3 need a little more theory. But this course is really awesome. You need to know this stuff if you mean to work with NN.","{'cours': ['course'], 'quizz': ['quizzes'], 'data': ['data'], 'program assign': ['programming assignments'], 'theori': ['theory'], 'stuff': ['stuff'], 'nn': ['NN']}"
46,Excellent explanation by prof. Hinton who invented tones of things in the field of artificial neural networks. Mechanics is clearly justified with intuition behind it.,"{'explan': ['explanation'], 'prof. hinton': ['prof. Hinton'], 'tone': ['tones'], 'thing': ['things'], 'field': ['field'], 'network': ['networks'], 'mechan': ['Mechanics'], 'intuit': ['intuition']}"
