,comment,target
0,Excellent course material,"{'cours': ['course'], 'materi': ['material']}"
1,Gave me a footing on Server-side Development. I recommend it!,{'server-sid develop': ['Server-side Development']}
2,Excellent introduction to Server-side development. I have used PHP for some similar but Node really rules!!,"{'introduct': ['introduction'], 'develop': ['development'], 'php': ['PHP'], 'node': ['Node']}"
3,Very bad video quality. The teacher is obviously bored by this course and does not put much effort in the creation process. ,"{'qualiti': ['quality'], 'teacher': ['teacher'], 'cours': ['course'], 'effort': ['effort'], 'creation process': ['creation process']}"
4,very good,{}
5,"It was great experience. Thank you, professor ","{'experi': ['experience'], 'professor': ['professor']}"
6,Awesome course. Everything explained in details and with great quality.,"{'cours': ['course'], 'everyth': ['Everything'], 'detail': ['details'], 'qualiti': ['quality']}"
7,This the best course available on Node.js,"{'cours': ['course'], 'node.j': ['Node.js']}"
8,Excellent introduction to NodeJS. The professor is too good ,"{'introduct': ['introduction'], 'nodej': ['NodeJS'], 'professor': ['professor']}"
9,good enough,{'enough': ['enough']}
10,"Really great course! I feel like I learned a lot, and was even forced to dig a little deeper on my own than other courses. ","{'cours': ['courses', 'course'], 'lot': ['lot']}"
11,"Wow! So much is covered in this part of the course. I know we only scratched the surface but everything from the quick setup of an API server using tools like Loopback to doing simple password auth and advanced Facebook authentication, and all of it connected to a MongoDB backend. Very useful!","{'part': ['part'], 'cours': ['course'], 'surfac': ['surface'], 'everyth': ['everything'], 'setup': ['setup'], 'api server': ['API server'], 'tool': ['tools'], 'password auth': ['password auth'], 'facebook authent': ['Facebook authentication'], 'mongodb backend': ['MongoDB backend']}"
12,A good Introduction to Server Side Programming in MEAN Stack,"{'introduct': ['Introduction'], 'server side program': ['Server Side Programming'], 'mean stack': ['MEAN Stack']}"
13, I really enjoyed this training and I intend to deepen my knowledge in NodeJS. Thank You ,"{'train': ['training'], 'knowledg': ['knowledge'], 'nodej': ['NodeJS']}"
14,Good course,{'cours': ['course']}
15,It is very good course. Teachs basics of NodeJs and backend and also gives some tricks. I recommend this course whoever want to learn NodeJs.,"{'cours': ['course'], 'basic': ['basics'], 'nodej': ['NodeJs'], 'trick': ['tricks']}"
16,thanks,{'thank': ['thanks']}
17,One of the best courses I ever took. The course material is amazing with proper instructions. More focus is put on building basics which is the need in the present world.,"{'cours': ['courses'], 'cours materi': ['course material'], 'instruct': ['instructions'], 'focus': ['focus'], 'build basic': ['building basics'], 'world': ['world']}"
18,"Very challenging, the lecture are really deep and could be improve overall really helpful!",{'lectur': ['lecture']}
19,The course is excellent. The professor is very clear and presents many concepts and resources usefuls.,"{'cours': ['course'], 'professor': ['professor'], 'concept': ['concepts'], 'resourc use': ['resources usefuls']}"
20,Its good to get started with server side development with node.,"{'server side develop': ['server side development'], 'node': ['node']}"
