,comment,target
0,Excellet! I highly recommend!,{}
1,Very good. I enjoyed doing it and learned a lot. I would have liked that it had included r as one of the softwares. ,{'lot': ['lot']}
2,easy to capture the concept,{'concept': ['concept']}
3,"Excellent introductory course on machine learning focusing on simple linear and multiple regression, lasso regression and k-means clustering. A background in Python programming is useful but not required as the instructors discuss the techniques with annotated code examples.","{'cours': ['course'], 'machin learn': ['machine learning'], 'regress': ['regression'], 'lasso regress': ['lasso regression'], 'background': ['background'], 'instructor': ['instructors'], 'techniqu': ['techniques'], 'code exampl': ['code examples']}"
4,Course could be better,{'cours': ['Course']}
5,"Excellent course, some basic tecniques of Machine Learning are implemented in Python and SAS.","{'cours': ['course'], 'tecniqu': ['tecniques'], 'machin learn': ['Machine Learning'], 'python': ['Python'], 'sas': ['SAS']}"
6,Great Class!,{'class': ['Class']}
7,Very good course. I recommend to anyone who's interested in data analysis and machine learning.,"{'cours': ['course'], 'anyon': ['anyone'], 'data analysi': ['data analysis'], 'machin learn': ['machine learning']}"
8,short vedios and good ma,"{'vedio': ['vedios'], 'ma': ['ma']}"
9,"Not good at all.We see different processes without anyone making clear the reason why we should apply this processes ,under which conditions and what is the question that we have to answer when we apply these processes.The only good is that we get into some new terms and see new things.I could say that for me,it wouldn't make such a difference if it wasn't in this specialization.","{'all.w': ['all.We'], 'process': ['processes'], 'anyon': ['anyone'], 'reason': ['reason'], 'condit': ['conditions'], 'question': ['question'], 'term': ['terms'], 'things.i': ['things.I'], 'differ': ['difference'], 'special': ['specialization']}"
10,"It is very interesting, helpful, useful and wonderful course. Everybody who interesting in statistic must surely learn this course.","{'cours': ['course'], 'statist': ['statistic']}"
11, V ,{}
12,Option of learning both SAS and Python is great!,"{'option': ['Option'], 'sas': ['SAS'], 'python': ['Python']}"
13,Good introduction with python example for famous algorithm such as random forest and k-mean,"{'introduct': ['introduction'], 'python exampl': ['python example'], 'algorithm': ['algorithm'], 'forest': ['forest'], 'k-mean': ['k-mean']}"
14,"Actually i want rate 0, as the instruction for the installation of new tools are quite vague and misleading","{'instruct': ['instruction'], 'instal': ['installation'], 'tool': ['tools']}"
15,This level of detail was good for easier statistical concepts but there are much better courses on Coursera for Machine Learning,"{'level': ['level'], 'detail': ['detail'], 'concept': ['concepts'], 'cours': ['courses'], 'coursera': ['Coursera'], 'machin learn': ['Machine Learning']}"
16,It's not an intro class. But you can practice a lot if you know something. ,"{'intro class': ['intro class'], 'lot': ['lot']}"
17,"Disadvantages Lacks Rigour, Lacks Support from instructors , Expensive , Peer review this is somewhat bad as most barely give any comments, though towards the end, reviews tend to be pretty good DISCLAIMER I am not statistically significant as i only receive 3 reviews per week. Advantages Quick to earn cert, prewritten code available for easy use. Assignments on your own data. This is probably useful for people wanting to learn techniques for data analysis, who need not go too deep into the technique. I would recommend this to people learning techniques for data analysis in various non-mathematical and non-statistical fields, though the content lacks rigour, and you need outside sources to help understand techniques. This course IS NOT WORTH PAYING USD79, there are definitely other courses much more worth the money. You can audit it for free, if you do not want a cert. ","{'disadvantag': ['Disadvantages'], 'rigour': ['rigour', 'Rigour'], 'support': ['Support'], 'instructor': ['instructors'], 'expens': ['Expensive'], 'peer review': ['Peer review'], 'comment': ['comments'], 'end': ['end'], 'disclaim': ['DISCLAIMER'], 'review': ['reviews'], 'week': ['week'], 'advantag': ['Advantages'], 'code': ['code'], 'use': ['use'], 'data': ['data'], 'peopl': ['people'], 'techniqu': ['technique', 'techniques'], 'data analysi': ['data analysis'], 'field': ['fields'], 'content': ['content'], 'sourc': ['sources'], 'cours': ['course', 'courses'], 'usd79': ['USD79']}"
18,More examples in coding and results are expected. So it is more convenient for students to compare different results and understand deeper,"{'exampl': ['examples'], 'result': ['results'], 'student': ['students']}"
19,I would like to have an opportunity to contact my reviews.,{'review': ['reviews']}
20,Not impressed with the teaching style.Seems that lectures were being read and not taught.,{'teach style.seem': ['teaching style.Seems']}
21,Not deep enough on diagnostic and interpretation,{}
22,"It was okay for an introduction to the methods, but I would have liked to learn about them in more details, i.e. the course was too short.","{'introduct': ['introduction'], 'method': ['methods'], 'detail': ['details'], 'cours': ['course']}"
23,Excellent course,{'cours': ['course']}
