,comment,target
0,The course material is not sufficient to work out the exercises. For the Spark final quiz you will have to take up another course to pass this one. ,"{'cours materi': ['course material'], 'exercis': ['exercises'], 'spark quiz': ['Spark quiz'], 'cours': ['course']}"
1,"The virtual machine for running the environment is, at start, a good idea. But even with 8 core i7 with 8G of RAM laptop, it was sometime painful to process the exercices. Maybe an ubuntu virtualbox laptop compatibility...","{'machin': ['machine'], 'start': ['start'], 'idea': ['idea'], 'core i7': ['core i7']}"
2,The final quiz was a bit tough and needed understanding and googling,"{'quiz': ['quiz'], 'bit': ['bit'], 'understand': ['understanding'], 'googl': ['googling']}"
3,"Very interesting course, and a good practical exercise at the end","{'cours': ['course'], 'exercis': ['exercise'], 'end': ['end']}"
4,"What a great relief, after passing that last quiz, it took my entire Memorial Day weekend, after the Microsoft Windows 10 Creators upgrade totally ruined my Virtualbox installation for the Cloudera QuickStart VM. Looks like that is a very very good quiz. ","{'relief': ['relief'], 'quiz': ['quiz'], 'memori day weekend': ['Memorial Day weekend'], 'microsoft window creator': ['Microsoft Windows Creators'], 'virtualbox instal': ['Virtualbox installation'], 'cloudera quickstart vm': ['Cloudera QuickStart VM']}"
5,"Great course, only a bit difficult on Spark assignment for the people that are not familiar or a bit rusty with python and programming.Thanks againluca","{'cours': ['course'], 'bit': ['bit'], 'spark assign': ['Spark assignment'], 'peopl': ['people'], 'python': ['python'], 'programming.thank againluca': ['programming.Thanks againluca']}"
6,It was A greate course ,{'great cours': ['greate course']}
7,Excellent!,{}
8,the quiz at the end is impossible to solve with the course content.,"{'quiz': ['quiz'], 'end': ['end'], 'cours content': ['course content']}"
9,"Excellent course design, it gives you basic of MongoDB, Splunk and Apache Spark. Happy learning and think BIG DATA","{'cours design': ['course design'], 'mongodb': ['MongoDB'], 'splunk': ['Splunk'], 'apach spark': ['Apache Spark'], 'learn': ['learning'], 'big data': ['BIG DATA']}"
10,"Very good course, and challenging, by the way. Thanks a lot!","{'cours': ['course'], 'way': ['way'], 'thank': ['Thanks'], 'lot': ['lot']}"
11,Excellent course and very demanding! I really enjoyed. ,{'cours': ['course']}
12,Get a better description in the week 6,"{'descript': ['description'], 'week': ['week']}"
13,"the course content is critical and as it appears in many interviews, and the fundamental understanding is important for beginners to learn this new area. however I think the software spark or mongoDB can be taught in a more systematic way at least point out some resources that can help people learn them based on individual needs I understand this course is for beginners and people supposed to learn deeper on themselves. but a road map will be helpful and reduce the pain finishing the tests.","{'cours content': ['course content'], 'interview': ['interviews'], 'understand': ['understanding'], 'beginn': ['beginners'], 'area': ['area'], 'softwar': ['software'], 'mongodb': ['mongoDB'], 'way': ['way'], 'point': ['point'], 'resourc': ['resources'], 'peopl': ['people'], 'need': ['needs'], 'cours': ['course'], 'road map': ['road map'], 'pain': ['pain'], 'test': ['tests']}"
14,I enjoyed this course. I learnt a lot of stuff about Big Data processing in a simple and clear way.,"{'cours': ['course'], 'lot': ['lot'], 'stuff': ['stuff'], 'big data process': ['Big Data processing'], 'way': ['way']}"
15,Pros covers lots of good topics about Big DataCons No real big data exercise,"{'pros': ['Pros'], 'lot': ['lots'], 'topic': ['topics'], 'datacon data exercis': ['DataCons data exercise']}"
16,"We need more exercises to use phyton and spark because with only the examples the hands on quizes are very complicated and I feel that I'm not understanding very well how to use the bigdata tools, is more like error and proof than real learningthanks a lot!!!","{'exercis': ['exercises'], 'phyton': ['phyton'], 'exampl': ['examples'], 'hand': ['hands'], 'quiz': ['quizes'], 'bigdata tool': ['bigdata tools'], 'error': ['error'], 'proof': ['proof'], 'learningthank': ['learningthanks']}"
17,The materials explaining the course are too poor. This is a core course in the specialization.The quizzes are out of the material's league,"{'materi': ['material', 'materials'], 'cours': ['course'], 'core cours': ['core course']}"
18,"Very Good Course! I'd never used spark before, and doing and passing the assignment on it was very rewarding!","{'cours': ['Course'], 'assign': ['assignment']}"
19,"This course is more hands on than previous courses, I've found it very interesting and useful","{'cours': ['course', 'courses'], 'hand': ['hands']}"
20,One of the best ways to start to be in contact with the real Big Data Tools,"{'way': ['ways'], 'big data tool': ['Big Data Tools']}"
21,Thank you. Spark in this course is very helpful.,{'cours': ['course']}
22,Course was excellent. I liked the hands on sessions the most. Not too easy and not too difficult. They encourage you to explore more and learn more.,"{'cours': ['Course'], 'hand': ['hands'], 'session': ['sessions']}"
23,The VM doesn't work out of the box sometimes for the hands on activities,"{'vm': ['VM'], 'box': ['box'], 'hand': ['hands'], 'activ': ['activities']}"
24,"A little slower than the last ones, not my favorite but great use of hands-on projects and enagagement","{'one': ['ones'], 'use': ['use'], 'project': ['projects'], 'enagag': ['enagagement']}"
25,This has been one of the best courses ever. A really good insight into big data. I will recommend it to all people trying to get into data scientist.,"{'cours': ['courses'], 'insight': ['insight'], 'data': ['data'], 'peopl': ['people']}"
26,I have enrolled in this twice but can't see the course content. Every time I click go to course I get directed to the description of the course. Where are the lecture videos and other course content?,"{'cours content': ['course content'], 'time': ['time'], 'cours': ['course'], 'descript': ['description'], 'lectur video': ['lecture videos']}"
27,Lot of learning in this course compared to the first two courses. ,"{'lot': ['Lot'], 'cours': ['course', 'courses']}"
28,Big data integration and processing is a very nice theoretical course on big data integrations systems and also includes a bunch of practical exercises with big data integration products. The assignments including mongodb and apache spark are worth doing. ,"{'data integr': ['data integration'], 'process': ['processing'], 'cours': ['course'], 'data integr system': ['data integrations systems'], 'bunch': ['bunch'], 'exercis': ['exercises'], 'data integr product': ['data integration products'], 'assign': ['assignments'], 'mongodb': ['mongodb'], 'apach': ['apache']}"
29,Very good course and professors. I recommend it. ,"{'cours': ['course'], 'professor': ['professors']}"
