,comment,target
0,good course with great instructor,"{'cours': ['course'], 'instructor': ['instructor']}"
1,Definitely liked it. Tons of useful information. Strongly recommend to everyone who wants to learn Bootstrap.,"{'ton': ['Tons'], 'inform': ['information'], 'everyon': ['everyone'], 'bootstrap': ['Bootstrap']}"
2,Very Good Tutorial. Very good platform to learn more in web development.,"{'tutori': ['Tutorial'], 'platform': ['platform'], 'web develop': ['web development']}"
3,Great instructor. ,{'instructor': ['instructor']}
4,"Thank to Mr Muppala for clear,understandable and also joyful lesson. Recommend to all people who wants to improve themselves about these issues.","{'mr muppala': ['Mr Muppala'], 'lesson': ['lesson'], 'peopl': ['people'], 'issu': ['issues']}"
5,great class,{'class': ['class']}
6,Awesome course for web developers.,"{'cours': ['course'], 'web develop': ['web developers']}"
7,"Very well crafted course, it emphasizes why Bootstrap its such a popular web-dev language nowadays, its quite easy to understand and quite pleasant to see and use, also made clear by such an outstanding teacher, i wholeheartedly recommend this course and good luck if you get it.","{'cours': ['course'], 'bootstrap': ['Bootstrap'], 'languag': ['language'], 'teacher': ['teacher'], 'luck': ['luck']}"
8,Good course!,{'cours': ['course']}
9,"Great course, I learned a lot.","{'cours': ['course'], 'lot': ['lot']}"
10,really great professor !!,{'professor': ['professor']}
11,Nice Course content..And Best Teachers...Thank you coursera to help me to learn Bootstrap,{'cours content': ['Course content']}
12,"Great course about bootrap, it explains all the basics","{'cours': ['course'], 'bootrap': ['bootrap'], 'basic': ['basics']}"
13,Great Course!,{'cours': ['Course']}
14,A must guide for any one willing to understand from scratch and take some challenges on web design these days,"{'scratch': ['scratch'], 'challeng': ['challenges'], 'web design': ['web design']}"
15,Nice course for fundamentals of bootstrap!!,"{'cours': ['course'], 'fundament': ['fundamentals'], 'bootstrap': ['bootstrap']}"
16,"The course is super good, and easy to follow, ",{'cours': ['course']}
17,"The explanation is lengthy,there are short pauses in between and the way he explain is not really that clear. It is also hard for us to grade the assignment. ","{'explan': ['explanation'], 'way': ['way'], 'grade': ['grade'], 'assign': ['assignment']}"
18,Great course. Working with doing is best method for learning.,"{'cours': ['course'], 'method': ['method'], 'learn': ['learning']}"
19, Excellent instructor with a sense of humor. Nicely organized course. - Iftekhar ,"{'instructor': ['instructor'], 'sens': ['sense'], 'humor': ['humor'], 'cours': ['course']}"
20,Thank you a very much for this.,{}
