,comment,target
0,"I enjoyed a lot specially with the additional materials, giving insight to more in-depth concepts. I guess similar approach would help enrich the course if the course could also provide some basics of Scala so that we do not just copy and paste the commands. I am a programmer myself, but scripts like Scala have their own's very special culture that one has to adapt to it. It is not like Java or C++ which are easier to follow. ","{'lot': ['lot'], 'materi': ['materials'], 'insight': ['insight'], 'concept': ['concepts'], 'approach': ['approach'], 'cours': ['course'], 'basic': ['basics'], 'scala': ['Scala'], 'copi': ['copy'], 'script': ['scripts'], 'cultur': ['culture'], 'java': ['Java'], 'c++': ['C++']}"
1,Very informative with handson exercises. ,{'handson exercis': ['handson exercises']}
2,Suggest to remove the peer-grade assessment as it could be bias ,{'bias': ['bias']}
3,Excellent course to get acquainted with the Graps ,{'cours': ['course']}
4,Can't do the homework because the instructions don't work.,{'instruct': ['instructions']}
5,not much explanation about the syntax of the commands given in excercises,"{'explan': ['explanation'], 'syntax': ['syntax']}"
6,"Great course to get familiar with graph data, graph big data, and query languages in graph data.","{'cours': ['course'], 'graph data': ['graph data']}"
7,"It started well, but it became a little hard when Java came in. Apart from that, it was great.",{'java': ['Java']}
8,Very good project! Hopefully it will be helpful in my future career!,"{'project': ['project'], 'career': ['career']}"
9,"A good topic to continue building upon big data with Graphs, however Week 5 needs some more understandable examples and exercises. ","{'topic': ['topic'], 'data': ['data'], 'graph': ['Graphs'], 'week': ['Week'], 'exampl': ['examples'], 'exercis': ['exercises']}"
10,This is one of the toughest and most interesting course at it deals with big data in graph database. Highly recommend this course to those who wants to know graph database.,"{'cours': ['course'], 'data': ['data'], 'graph databas': ['graph database']}"
11,"Thanks to this program, I was able to obtain a job as a data scientist in a big data environment. I built a graphical database using neo4j, which no one else at my workplace had thought to do. I really appreciate the training I got through this specialization.","{'thank': ['Thanks'], 'program': ['program'], 'job': ['job'], 'data scientist': ['data scientist'], 'data environ': ['data environment'], 'graphic databas': ['graphical database'], 'neo4j': ['neo4j'], 'one': ['one'], 'train': ['training'], 'special': ['specialization']}"
12,Very poor explanation and very complicated topics.,"{'explan': ['explanation'], 'topic': ['topics']}"
13,Lower quality when compared to the previous courses in this specialization. Neo4j is very interesting but it is poorly explained. ,"{'qualiti': ['quality'], 'cours': ['courses'], 'special': ['specialization'], 'neo4j': ['Neo4j']}"
14,"This course is supposed to be the most interesting, and most challenged one of this specialization. However i am quite disappointed with the instructor and the contents he put together. He speaks too fast without much clarity, and worst of all, i can tell most of the time he reads from the scripts without really conveying much knowledge about the contents.","{'cours': ['course'], 'special': ['specialization'], 'instructor': ['instructor'], 'content': ['contents'], 'clariti': ['clarity'], 'time': ['time'], 'script': ['scripts'], 'knowledg': ['knowledge']}"
15,Greate Course,{'great cours': ['Greate Course']}
16,Displaying handson queries graphically would make it more appealing as it was in Neo4j,"{'handson queri': ['handson queries'], 'neo4j': ['Neo4j']}"
17,Good approach for introducing to graph analytics,"{'approach': ['approach'], 'graph analyt': ['graph analytics']}"
18,All the complexity of the course is concentrated to the last week.,"{'complex': ['complexity'], 'cours': ['course'], 'week': ['week']}"
